,open,high,low,close,volume
2023-12-18 03:45:00+00:00,258.0,258.65,254.5,254.5,2448
2023-12-18 03:50:00+00:00,254.5,256.0,254.0,256.0,4634
2023-12-18 03:55:00+00:00,256.0,256.0,254.55,255.0,1980
2023-12-18 04:00:00+00:00,255.0,255.3,254.35,254.4,1094
2023-12-18 04:05:00+00:00,254.4,254.7,253.2,253.75,4055
2023-12-18 04:10:00+00:00,253.75,254.45,252.95,254.0,1634
2023-12-18 04:15:00+00:00,254.0,254.5,253.75,254.4,410
2023-12-18 04:20:00+00:00,254.4,254.4,253.5,253.5,535
2023-12-18 04:25:00+00:00,253.5,254.0,252.7,253.6,2305
2023-12-18 04:30:00+00:00,253.6,253.95,253.6,253.95,143
2023-12-18 04:35:00+00:00,253.95,253.95,253.15,253.55,4009
2023-12-18 04:40:00+00:00,253.55,253.55,252.75,252.8,1651
2023-12-18 04:45:00+00:00,252.8,253.35,252.8,253.35,274
2023-12-18 04:50:00+00:00,252.85,253.15,252.8,252.8,1698
2023-12-18 04:55:00+00:00,252.8,253.3,252.8,253.3,226
2023-12-18 05:00:00+00:00,253.3,253.3,252.85,252.9,999
2023-12-18 05:05:00+00:00,252.9,252.9,252.0,252.35,2499
2023-12-18 05:10:00+00:00,252.35,252.5,252.1,252.5,632
2023-12-18 05:15:00+00:00,252.5,253.0,252.25,253.0,3129
2023-12-18 05:20:00+00:00,253.0,253.0,252.55,252.75,211
2023-12-18 05:25:00+00:00,252.75,252.85,252.3,252.3,1964
2023-12-18 05:30:00+00:00,252.3,252.3,252.3,252.3,112
2023-12-18 05:35:00+00:00,252.3,252.5,252.0,252.1,2698
2023-12-18 05:40:00+00:00,252.0,253.0,251.85,252.95,2329
2023-12-18 05:45:00+00:00,252.95,253.0,252.75,253.0,290
2023-12-18 05:50:00+00:00,253.0,253.0,252.65,252.65,694
2023-12-18 05:55:00+00:00,252.65,253.35,252.65,252.95,1412
2023-12-18 06:00:00+00:00,252.95,253.25,252.95,253.0,56
2023-12-18 06:05:00+00:00,253.0,253.25,252.95,253.15,182
2023-12-18 06:10:00+00:00,253.15,253.25,252.8,252.8,98
2023-12-18 06:15:00+00:00,252.8,253.25,252.6,252.6,1866
2023-12-18 06:20:00+00:00,252.6,253.15,252.25,252.55,1110
2023-12-18 06:25:00+00:00,252.55,252.7,252.55,252.7,215
2023-12-18 06:30:00+00:00,252.7,252.85,251.8,251.8,2584
2023-12-18 06:35:00+00:00,251.95,252.15,251.8,251.8,524
2023-12-18 06:40:00+00:00,251.8,252.35,251.05,251.6,2965
2023-12-18 06:45:00+00:00,251.6,251.6,250.6,251.5,8065
2023-12-18 06:50:00+00:00,251.5,251.8,251.45,251.45,646
2023-12-18 06:55:00+00:00,251.45,251.8,251.45,251.8,135
2023-12-18 07:00:00+00:00,251.8,251.8,251.8,251.8,170
2023-12-18 07:05:00+00:00,251.8,251.8,251.1,251.4,3514
2023-12-18 07:10:00+00:00,251.4,252.0,251.4,252.0,2969
2023-12-18 07:15:00+00:00,252.0,252.55,252.0,252.55,177
2023-12-18 07:20:00+00:00,252.55,252.55,252.1,252.45,1403
2023-12-18 07:25:00+00:00,252.45,252.45,251.5,251.7,3499
2023-12-18 07:30:00+00:00,251.7,251.8,251.5,251.55,1002
