,open,high,low,close,volume
2023-12-18 03:45:00+00:00,361.25,361.5,355.3,356.7,79975
2023-12-18 03:50:00+00:00,356.9,357.75,355.7,357.4,38829
2023-12-18 03:55:00+00:00,357.5,358.5,357.45,358.5,18684
2023-12-18 04:00:00+00:00,358.3,358.65,357.1,357.7,34460
2023-12-18 04:05:00+00:00,357.65,357.75,356.35,356.8,62136
2023-12-18 04:10:00+00:00,357.0,358.25,357.0,358.1,27662
2023-12-18 04:15:00+00:00,358.1,358.45,357.0,357.35,21651
2023-12-18 04:20:00+00:00,357.3,357.75,357.2,357.55,14699
2023-12-18 04:25:00+00:00,357.55,359.1,357.0,358.5,44365
2023-12-18 04:30:00+00:00,358.4,360.0,358.35,359.55,49826
2023-12-18 04:35:00+00:00,359.65,359.95,359.1,359.6,12502
2023-12-18 04:40:00+00:00,359.6,361.6,359.55,361.1,45146
2023-12-18 04:45:00+00:00,361.6,363.95,360.8,363.6,78326
2023-12-18 04:50:00+00:00,363.45,364.0,361.8,363.0,84667
2023-12-18 04:55:00+00:00,363.0,363.6,361.4,363.3,115023
2023-12-18 05:00:00+00:00,363.05,363.3,362.05,362.25,29191
2023-12-18 05:05:00+00:00,362.35,362.95,361.6,362.25,41745
2023-12-18 05:10:00+00:00,362.25,362.25,361.1,361.15,28550
2023-12-18 05:15:00+00:00,361.15,361.9,361.05,361.2,20588
2023-12-18 05:20:00+00:00,361.05,361.85,361.05,361.45,15737
2023-12-18 05:25:00+00:00,361.45,362.35,361.4,362.3,21146
2023-12-18 05:30:00+00:00,362.3,362.3,361.6,361.6,12251
2023-12-18 05:35:00+00:00,361.85,361.85,361.4,361.4,15015
2023-12-18 05:40:00+00:00,361.4,361.4,360.8,361.0,17293
2023-12-18 05:45:00+00:00,361.0,361.5,360.8,361.4,10188
2023-12-18 05:50:00+00:00,361.4,361.4,360.25,360.5,20341
2023-12-18 05:55:00+00:00,360.5,360.65,360.05,360.65,18728
2023-12-18 06:00:00+00:00,360.65,361.5,360.55,361.0,209702
2023-12-18 06:05:00+00:00,361.0,361.45,360.5,361.2,17954
2023-12-18 06:10:00+00:00,361.2,361.6,360.9,361.25,17334
2023-12-18 06:15:00+00:00,361.2,361.65,360.45,360.65,236152
2023-12-18 06:20:00+00:00,360.65,360.95,360.5,360.65,10667
2023-12-18 06:25:00+00:00,360.75,360.75,359.5,359.55,34064
2023-12-18 06:30:00+00:00,359.5,359.55,358.6,359.0,29836
2023-12-18 06:35:00+00:00,359.15,359.4,356.1,358.7,140712
2023-12-18 06:40:00+00:00,358.7,358.7,357.6,358.55,48733
2023-12-18 06:45:00+00:00,358.55,359.0,358.1,358.65,27024
2023-12-18 06:50:00+00:00,358.65,359.35,358.6,359.05,24724
2023-12-18 06:55:00+00:00,359.0,360.5,359.0,360.25,34005
2023-12-18 07:00:00+00:00,360.25,360.85,360.05,360.55,50642
2023-12-18 07:05:00+00:00,360.8,361.25,360.5,360.7,37973
2023-12-18 07:10:00+00:00,360.7,361.3,360.55,360.75,51878
2023-12-18 07:15:00+00:00,360.75,361.05,360.25,360.4,10700
2023-12-18 07:20:00+00:00,360.4,361.5,360.25,360.95,21005
2023-12-18 07:25:00+00:00,361.05,361.45,360.5,360.75,15580
2023-12-18 07:30:00+00:00,360.75,361.2,360.45,360.7,14278
2023-12-18 07:35:00+00:00,360.75,361.05,360.35,360.55,23355
2023-12-18 07:40:00+00:00,360.55,362.45,360.5,362.25,51767
2023-12-18 07:45:00+00:00,362.25,362.55,360.65,360.8,30614
2023-12-18 07:50:00+00:00,360.8,361.0,360.45,360.5,14523
2023-12-18 07:55:00+00:00,360.5,360.8,359.5,359.85,65838
2023-12-18 08:00:00+00:00,359.95,360.5,359.45,360.5,45971
2023-12-18 08:05:00+00:00,360.35,361.25,360.25,361.25,171116
2023-12-18 08:10:00+00:00,361.25,362.95,361.0,362.4,31097
2023-12-18 08:15:00+00:00,362.4,362.8,361.6,362.3,32854
2023-12-18 08:20:00+00:00,362.3,362.3,361.15,361.65,26321
2023-12-18 08:25:00+00:00,361.65,362.0,360.95,361.4,22770
2023-12-18 08:30:00+00:00,361.4,361.9,360.8,361.9,30717
2023-12-18 08:35:00+00:00,361.9,362.8,361.8,362.3,25662
2023-12-18 08:40:00+00:00,362.15,363.8,362.05,362.7,42271
2023-12-18 08:45:00+00:00,362.65,362.65,360.8,362.35,48397
2023-12-18 08:50:00+00:00,362.35,362.75,361.15,362.25,43156
2023-12-18 08:55:00+00:00,362.05,363.5,362.0,363.3,48244
2023-12-18 09:00:00+00:00,363.3,363.35,362.7,363.2,32877
2023-12-18 09:05:00+00:00,363.2,363.3,360.9,360.95,35723
2023-12-18 09:10:00+00:00,361.0,361.65,360.5,360.75,63787
2023-12-18 09:15:00+00:00,360.65,361.25,360.3,361.0,44444
2023-12-18 09:20:00+00:00,360.95,360.95,359.9,360.5,46257
2023-12-18 09:25:00+00:00,360.5,360.8,360.4,360.4,22897
2023-12-18 09:30:00+00:00,360.4,360.45,359.35,360.15,35237
2023-12-18 09:35:00+00:00,360.15,360.5,358.6,359.6,45107
2023-12-18 09:40:00+00:00,359.5,359.95,359.15,359.95,45491
2023-12-18 09:45:00+00:00,359.9,360.65,359.35,360.05,219596
2023-12-18 09:50:00+00:00,360.05,360.65,360.0,360.45,56765
2023-12-18 09:55:00+00:00,360.45,361.0,360.0,360.8,55514
2023-12-19 03:45:00+00:00,363.6,363.8,360.2,360.5,43038
2023-12-19 03:50:00+00:00,360.5,361.3,360.2,361.2,228457
2023-12-19 03:55:00+00:00,361.2,363.15,361.0,362.55,84420
2023-12-19 04:00:00+00:00,362.55,363.8,361.9,363.35,81194
2023-12-19 04:05:00+00:00,363.2,363.6,363.0,363.35,36159
2023-12-19 04:10:00+00:00,363.35,363.35,363.0,363.05,40355
2023-12-19 04:15:00+00:00,363.05,363.55,363.0,363.25,39521
2023-12-19 04:20:00+00:00,363.25,363.4,363.0,363.25,5780
2023-12-19 04:25:00+00:00,363.25,363.7,363.0,363.65,12535
2023-12-19 04:30:00+00:00,363.65,364.2,363.5,363.5,29157
2023-12-19 04:35:00+00:00,363.55,363.55,362.15,362.2,15665
2023-12-19 04:40:00+00:00,362.25,362.8,361.5,362.3,32221
2023-12-19 04:45:00+00:00,362.3,362.75,362.0,362.6,19991
2023-12-19 04:50:00+00:00,362.6,363.35,362.5,363.2,28101
2023-12-19 04:55:00+00:00,363.2,363.95,362.8,363.3,18596
2023-12-19 05:00:00+00:00,363.1,363.9,363.0,363.9,6575
2023-12-19 05:05:00+00:00,363.9,364.5,363.65,363.8,27534
2023-12-19 05:10:00+00:00,363.8,364.0,363.55,363.9,9893
2023-12-19 05:15:00+00:00,363.9,364.1,363.65,364.0,4581
