,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1030.35,1036.95,1025.95,1030.45,2832
2023-12-18 03:50:00+00:00,1029.85,1037.8,1028.65,1036.0,5140
2023-12-18 03:55:00+00:00,1036.0,1039.2,1036.0,1037.9,971
2023-12-18 04:00:00+00:00,1037.9,1041.0,1036.9,1040.85,2196
2023-12-18 04:05:00+00:00,1039.9,1041.0,1038.25,1038.7,1506
2023-12-18 04:10:00+00:00,1038.7,1040.4,1036.6,1038.0,756
2023-12-18 04:15:00+00:00,1038.0,1039.3,1035.45,1036.75,1330
2023-12-18 04:20:00+00:00,1036.75,1038.1,1034.55,1034.75,814
2023-12-18 04:25:00+00:00,1033.85,1034.95,1033.2,1034.0,269
2023-12-18 04:30:00+00:00,1034.0,1037.9,1032.75,1036.7,563
2023-12-18 04:35:00+00:00,1036.7,1038.45,1036.35,1038.45,394
2023-12-18 04:40:00+00:00,1037.15,1037.9,1033.2,1035.7,346
2023-12-18 04:45:00+00:00,1035.7,1036.3,1033.65,1035.3,522
2023-12-18 04:50:00+00:00,1035.3,1035.95,1033.05,1034.0,468
2023-12-18 04:55:00+00:00,1034.0,1035.0,1033.1,1033.1,219
2023-12-18 05:00:00+00:00,1034.15,1036.6,1033.05,1036.6,348
2023-12-18 05:05:00+00:00,1036.6,1037.0,1034.6,1035.45,219
2023-12-18 05:10:00+00:00,1035.45,1037.9,1035.25,1036.1,221
2023-12-18 05:15:00+00:00,1036.1,1037.95,1035.9,1037.95,329
2023-12-18 05:20:00+00:00,1037.95,1037.95,1035.85,1035.85,418
2023-12-18 05:25:00+00:00,1035.85,1038.0,1033.55,1033.8,898
2023-12-18 05:30:00+00:00,1033.8,1035.75,1033.4,1034.1,1028
2023-12-18 05:35:00+00:00,1034.1,1034.3,1032.1,1034.1,735
2023-12-18 05:40:00+00:00,1034.4,1035.15,1033.05,1033.9,319
2023-12-18 05:45:00+00:00,1033.9,1036.2,1033.65,1036.2,435
2023-12-18 05:50:00+00:00,1037.45,1043.25,1036.3,1040.0,6009
2023-12-18 05:55:00+00:00,1041.6,1043.75,1040.0,1042.9,1745
2023-12-18 06:00:00+00:00,1042.9,1043.55,1040.6,1043.0,415
2023-12-18 06:05:00+00:00,1043.0,1046.3,1042.6,1045.0,3275
2023-12-18 06:10:00+00:00,1045.0,1047.5,1043.15,1043.15,1253
2023-12-18 06:15:00+00:00,1043.15,1045.0,1042.4,1045.0,403
2023-12-18 06:20:00+00:00,1044.15,1045.0,1042.4,1043.8,1145
2023-12-18 06:25:00+00:00,1043.8,1052.0,1043.8,1050.7,8843
2023-12-18 06:30:00+00:00,1050.7,1054.0,1048.9,1052.2,3602
2023-12-18 06:35:00+00:00,1052.2,1053.95,1050.0,1050.45,1431
2023-12-18 06:40:00+00:00,1050.45,1053.0,1050.0,1052.5,1107
2023-12-18 06:45:00+00:00,1052.5,1054.0,1051.05,1052.5,1193
2023-12-18 06:50:00+00:00,1052.5,1053.4,1050.2,1051.85,660
2023-12-18 06:55:00+00:00,1050.9,1051.85,1050.55,1050.95,238
2023-12-18 07:00:00+00:00,1050.95,1052.95,1048.85,1050.65,1157
2023-12-18 07:05:00+00:00,1050.65,1052.05,1050.0,1050.05,636
2023-12-18 07:10:00+00:00,1050.05,1051.95,1050.0,1050.15,809
2023-12-18 07:15:00+00:00,1050.45,1052.0,1049.9,1051.5,1015
2023-12-18 07:20:00+00:00,1051.5,1053.8,1050.5,1052.4,242
2023-12-18 07:25:00+00:00,1052.4,1053.75,1050.6,1053.75,288
2023-12-18 07:30:00+00:00,1052.5,1053.95,1052.5,1052.85,371
2023-12-18 07:35:00+00:00,1052.85,1055.0,1052.55,1054.6,2445
2023-12-18 07:40:00+00:00,1054.6,1054.8,1052.5,1053.95,905
2023-12-18 07:45:00+00:00,1053.95,1054.4,1052.5,1052.5,1333
2023-12-18 07:50:00+00:00,1053.4,1053.4,1052.5,1052.85,419
