,open,high,low,close,volume
2023-12-18 03:45:00+00:00,702.45,703.8,700.5,703.4,100855
2023-12-18 03:50:00+00:00,703.2,704.5,701.65,704.25,84292
2023-12-18 03:55:00+00:00,704.4,705.3,703.6,704.95,47801
2023-12-18 04:00:00+00:00,705.0,705.85,703.0,703.55,52200
2023-12-18 04:05:00+00:00,703.85,704.25,702.75,702.8,37378
2023-12-18 04:10:00+00:00,702.8,703.0,702.0,702.85,31591
2023-12-18 04:15:00+00:00,702.9,703.0,701.6,701.95,28670
2023-12-18 04:20:00+00:00,701.95,702.9,701.9,702.35,15582
2023-12-18 04:25:00+00:00,702.35,702.65,701.25,701.85,27558
2023-12-18 04:30:00+00:00,702.05,702.9,701.35,701.65,31776
2023-12-18 04:35:00+00:00,702.05,702.25,700.2,700.65,29624
2023-12-18 04:40:00+00:00,700.65,700.8,699.7,700.1,38960
2023-12-18 04:45:00+00:00,700.1,701.1,700.0,700.6,129850
2023-12-18 04:50:00+00:00,700.85,701.45,699.8,701.45,21302
2023-12-18 04:55:00+00:00,701.15,702.05,701.1,701.9,18026
2023-12-18 05:00:00+00:00,701.9,702.8,701.25,702.75,16946
2023-12-18 05:05:00+00:00,702.4,702.65,700.6,700.6,19380
2023-12-18 05:10:00+00:00,700.75,702.15,700.25,702.15,10527
2023-12-18 05:15:00+00:00,702.15,702.25,701.2,701.75,10629
2023-12-18 05:20:00+00:00,701.75,702.5,701.5,702.35,15221
2023-12-18 05:25:00+00:00,702.05,702.5,700.5,700.6,16978
2023-12-18 05:30:00+00:00,700.7,701.55,700.05,700.3,12903
2023-12-18 05:35:00+00:00,700.3,700.7,699.45,699.45,21604
2023-12-18 05:40:00+00:00,699.5,700.4,699.4,700.35,12631
2023-12-18 05:45:00+00:00,700.3,700.55,699.8,700.05,14451
2023-12-18 05:50:00+00:00,700.05,700.1,697.2,697.85,38580
2023-12-18 05:55:00+00:00,697.85,699.5,697.7,699.2,19071
2023-12-18 06:00:00+00:00,699.2,699.45,698.6,699.15,20006
2023-12-18 06:05:00+00:00,699.35,699.45,698.25,698.25,14230
2023-12-18 06:10:00+00:00,698.25,698.65,698.0,698.6,21480
2023-12-18 06:15:00+00:00,698.6,698.6,698.0,698.1,11636
2023-12-18 06:20:00+00:00,698.1,698.95,698.05,698.75,14339
2023-12-18 06:25:00+00:00,698.75,698.75,697.25,697.4,19124
2023-12-18 06:30:00+00:00,697.35,698.6,697.0,697.9,27624
2023-12-18 06:35:00+00:00,698.0,698.1,697.7,697.95,11299
2023-12-18 06:40:00+00:00,697.95,698.7,697.9,698.55,15578
2023-12-18 06:45:00+00:00,698.55,698.85,697.55,697.85,26865
2023-12-18 06:50:00+00:00,697.85,698.15,697.0,697.1,15508
2023-12-18 06:55:00+00:00,697.1,697.1,696.2,696.2,26285
2023-12-18 07:00:00+00:00,696.2,696.9,696.2,696.2,11819
2023-12-18 07:05:00+00:00,696.2,696.8,696.15,696.65,11448
2023-12-18 07:10:00+00:00,696.45,697.35,696.35,697.15,11430
2023-12-18 07:15:00+00:00,697.15,697.15,696.1,696.15,12283
2023-12-18 07:20:00+00:00,696.15,696.15,695.2,696.0,23359
2023-12-18 07:25:00+00:00,696.0,696.55,695.75,696.0,13738
2023-12-18 07:30:00+00:00,696.0,696.25,695.05,695.3,15546
2023-12-18 07:35:00+00:00,695.3,695.4,694.0,694.2,32297
2023-12-18 07:40:00+00:00,694.2,694.85,693.45,694.15,22326
2023-12-18 07:45:00+00:00,694.15,695.65,694.1,695.05,11440
2023-12-18 07:50:00+00:00,695.05,695.5,694.7,695.5,12993
2023-12-18 07:55:00+00:00,695.5,696.3,695.45,695.95,18817
2023-12-18 08:00:00+00:00,695.95,696.0,694.5,694.6,9412
2023-12-18 08:05:00+00:00,694.55,695.3,694.5,694.75,9186
