,open,high,low,close,volume
2023-12-18 03:45:00+00:00,427.7,427.75,424.1,424.8,1727
2023-12-18 03:50:00+00:00,425.95,428.75,424.65,428.75,1871
2023-12-18 03:55:00+00:00,428.75,428.9,425.55,428.05,1622
2023-12-18 04:00:00+00:00,428.05,428.9,428.0,428.0,2533
2023-12-18 04:05:00+00:00,428.0,429.95,427.5,429.95,756
2023-12-18 04:10:00+00:00,429.95,429.95,428.35,428.55,1115
2023-12-18 04:15:00+00:00,428.55,430.0,428.55,430.0,1621
2023-12-18 04:20:00+00:00,430.0,430.0,429.5,429.55,982
2023-12-18 04:25:00+00:00,429.55,430.65,429.15,430.3,2513
2023-12-18 04:30:00+00:00,430.3,430.3,428.75,429.9,1078
2023-12-18 04:35:00+00:00,429.5,430.0,429.5,429.9,506
2023-12-18 04:40:00+00:00,429.9,429.9,429.55,429.9,444
2023-12-18 04:45:00+00:00,429.9,429.9,429.0,429.9,626
2023-12-18 04:50:00+00:00,429.9,429.9,429.05,429.05,293
2023-12-18 04:55:00+00:00,429.1,429.7,422.05,428.5,6901
2023-12-18 05:00:00+00:00,428.5,429.0,427.9,427.95,497
2023-12-18 05:05:00+00:00,427.9,428.0,427.65,428.0,226
2023-12-18 05:10:00+00:00,428.0,428.0,427.6,427.6,290
2023-12-18 05:15:00+00:00,427.6,427.85,427.6,427.85,41
2023-12-18 05:20:00+00:00,427.85,428.0,427.1,428.0,30
2023-12-18 05:25:00+00:00,428.0,428.0,427.0,427.85,394
2023-12-18 05:30:00+00:00,428.0,428.5,427.3,428.5,760
2023-12-18 05:35:00+00:00,428.5,429.65,428.3,428.3,544
2023-12-18 05:40:00+00:00,428.3,429.5,428.3,428.7,44
2023-12-18 05:45:00+00:00,428.7,428.7,428.35,428.35,32
2023-12-18 05:50:00+00:00,428.35,428.5,427.95,428.5,136
2023-12-18 05:55:00+00:00,428.5,429.1,427.95,429.1,754
2023-12-18 06:00:00+00:00,429.25,429.6,428.5,428.55,409
2023-12-18 06:05:00+00:00,428.55,429.6,428.55,428.55,486
2023-12-18 06:10:00+00:00,428.55,429.6,428.55,429.05,184
2023-12-18 06:15:00+00:00,429.5,429.55,429.05,429.05,1085
2023-12-18 06:20:00+00:00,429.05,429.9,429.05,429.65,1163
2023-12-18 06:25:00+00:00,429.65,430.0,428.9,429.7,5576
2023-12-18 06:30:00+00:00,429.7,430.0,429.0,430.0,2003
2023-12-18 06:35:00+00:00,430.0,430.0,429.1,429.9,102
2023-12-18 06:40:00+00:00,429.9,429.9,429.15,429.9,786
2023-12-18 06:45:00+00:00,429.9,430.5,429.8,430.5,2468
2023-12-18 06:50:00+00:00,430.5,435.95,430.5,435.0,17860
2023-12-18 06:55:00+00:00,434.75,435.0,431.15,433.0,3147
2023-12-18 07:00:00+00:00,433.2,433.3,432.2,432.45,617
2023-12-18 07:05:00+00:00,433.35,434.5,433.35,434.5,838
2023-12-18 07:10:00+00:00,434.5,438.0,434.5,436.25,10439
2023-12-18 07:15:00+00:00,436.3,436.9,435.5,436.0,4796
2023-12-18 07:20:00+00:00,436.0,436.4,435.0,435.95,1611
2023-12-18 07:25:00+00:00,436.1,438.0,435.05,436.5,6248
2023-12-18 07:30:00+00:00,436.5,438.0,435.75,437.95,3017
2023-12-18 07:35:00+00:00,438.0,438.5,436.95,437.85,3704
2023-12-18 07:40:00+00:00,437.85,438.2,436.2,438.0,554
2023-12-18 07:45:00+00:00,437.3,438.0,436.9,436.9,973
2023-12-18 07:50:00+00:00,436.9,437.15,436.9,437.05,1275
2023-12-18 07:55:00+00:00,437.05,437.5,436.35,436.35,1455
2023-12-18 08:00:00+00:00,436.35,439.95,436.35,439.6,8555
2023-12-18 08:05:00+00:00,439.6,440.0,437.9,438.95,6463
2023-12-18 08:10:00+00:00,438.95,438.95,437.8,437.8,201
2023-12-18 08:15:00+00:00,437.7,438.55,437.35,438.45,176
2023-12-18 08:20:00+00:00,438.45,438.45,437.15,437.15,724
2023-12-18 08:25:00+00:00,437.15,437.8,436.4,436.5,291
2023-12-18 08:30:00+00:00,436.7,437.15,436.15,437.15,1125
2023-12-18 08:35:00+00:00,437.15,437.15,436.75,436.95,508
2023-12-18 08:40:00+00:00,436.95,436.95,436.4,436.4,320
2023-12-18 08:45:00+00:00,436.4,436.9,436.4,436.9,327
2023-12-18 08:50:00+00:00,436.05,436.9,436.05,436.15,252
2023-12-18 08:55:00+00:00,436.25,436.9,435.7,435.95,1576
2023-12-18 09:00:00+00:00,435.15,437.45,435.15,437.45,873
2023-12-18 09:05:00+00:00,437.0,437.5,436.95,437.5,1373
2023-12-18 09:10:00+00:00,437.5,438.15,437.05,437.5,1857
2023-12-18 09:15:00+00:00,437.5,438.0,437.15,437.4,232
2023-12-18 09:20:00+00:00,437.2,437.2,433.95,435.45,6641
2023-12-18 09:25:00+00:00,435.8,435.9,435.2,435.2,326
2023-12-18 09:30:00+00:00,435.9,436.0,434.1,436.0,1281
2023-12-18 09:35:00+00:00,436.0,436.5,435.4,436.5,958
2023-12-18 09:40:00+00:00,436.45,436.45,435.0,435.0,1546
2023-12-18 09:45:00+00:00,435.0,437.95,435.0,437.5,3557
2023-12-18 09:50:00+00:00,437.4,438.0,435.95,435.95,4780
2023-12-18 09:55:00+00:00,435.95,436.5,435.75,436.5,2781
2023-12-19 03:45:00+00:00,438.0,453.95,438.0,449.65,57364
2023-12-19 03:50:00+00:00,449.65,452.8,448.25,452.8,21427
2023-12-19 03:55:00+00:00,452.8,456.0,448.0,449.45,27299
2023-12-19 04:00:00+00:00,449.45,451.95,447.95,448.6,16466
2023-12-19 04:05:00+00:00,448.6,450.5,446.2,450.5,10540
2023-12-19 04:10:00+00:00,450.15,450.15,447.1,447.7,4853
2023-12-19 04:15:00+00:00,447.7,450.0,446.6,449.85,7576
2023-12-19 04:20:00+00:00,449.75,451.35,449.0,450.65,9629
2023-12-19 04:25:00+00:00,450.65,451.2,448.0,448.85,5693
2023-12-19 04:30:00+00:00,448.85,453.25,448.25,452.75,12209
2023-12-19 04:35:00+00:00,452.2,452.2,448.9,449.45,6041
2023-12-19 04:40:00+00:00,448.75,452.0,448.75,451.85,5212
2023-12-19 04:45:00+00:00,451.95,452.95,450.75,452.4,4546
2023-12-19 04:50:00+00:00,452.95,453.7,451.8,453.1,3132
2023-12-19 04:55:00+00:00,453.55,453.7,451.85,452.4,2236
2023-12-19 05:00:00+00:00,452.4,452.7,451.5,452.15,710
2023-12-19 05:05:00+00:00,452.25,453.0,451.2,451.45,3020
2023-12-19 05:10:00+00:00,451.45,451.8,450.0,451.15,1513
2023-12-19 05:15:00+00:00,451.0,451.6,450.0,450.05,1229
2023-12-19 05:20:00+00:00,450.05,452.05,450.0,451.5,3535
2023-12-19 05:25:00+00:00,451.5,451.5,450.0,451.1,2364
2023-12-19 05:30:00+00:00,451.25,451.35,450.0,451.35,1267
2023-12-19 05:35:00+00:00,451.35,451.35,450.15,450.9,666
2023-12-19 05:40:00+00:00,450.9,451.0,450.0,450.2,937
2023-12-19 05:45:00+00:00,450.2,450.2,449.1,449.1,7858
2023-12-19 05:50:00+00:00,449.1,449.4,448.1,448.7,1182
2023-12-19 05:55:00+00:00,448.7,448.7,447.15,448.15,1386
2023-12-19 06:00:00+00:00,448.5,448.5,447.2,447.5,1257
2023-12-19 06:05:00+00:00,447.5,449.55,447.5,449.55,1800
2023-12-19 06:10:00+00:00,449.55,450.45,449.0,450.0,2307
2023-12-19 06:15:00+00:00,450.0,450.0,450.0,450.0,840
2023-12-19 06:20:00+00:00,450.0,451.0,449.0,449.95,4499
2023-12-19 06:25:00+00:00,449.95,450.0,449.0,449.1,948
2023-12-19 06:30:00+00:00,449.15,449.55,449.0,449.0,1764
2023-12-19 06:35:00+00:00,449.0,449.0,447.65,448.2,5896
2023-12-19 06:40:00+00:00,448.2,448.35,447.65,447.7,318
2023-12-19 06:45:00+00:00,447.7,448.1,447.0,447.8,660
2023-12-19 06:50:00+00:00,447.8,448.95,447.0,447.05,1557
2023-12-19 06:55:00+00:00,447.05,447.95,447.0,447.25,1506
2023-12-19 07:00:00+00:00,447.25,447.7,447.25,447.5,394
2023-12-19 07:05:00+00:00,447.45,448.0,447.0,447.4,1779
2023-12-19 07:10:00+00:00,447.4,447.4,446.5,446.5,1607
2023-12-19 07:15:00+00:00,446.5,447.05,446.5,447.05,719
2023-12-19 07:20:00+00:00,447.05,447.25,446.0,446.0,3062
2023-12-19 07:25:00+00:00,446.0,446.75,446.0,446.15,815
2023-12-19 07:30:00+00:00,446.15,446.6,446.0,446.6,735
2023-12-19 07:35:00+00:00,447.0,447.0,445.1,445.1,1965
2023-12-19 07:40:00+00:00,445.1,445.65,445.05,445.65,183
2023-12-19 07:45:00+00:00,445.65,446.3,445.0,445.7,1846
2023-12-19 07:50:00+00:00,445.7,446.25,445.6,446.05,155
2023-12-19 07:55:00+00:00,446.05,446.8,445.0,445.85,1468
2023-12-19 08:00:00+00:00,445.85,445.85,445.4,445.45,305
2023-12-19 08:05:00+00:00,445.45,445.75,445.4,445.45,766
2023-12-19 08:10:00+00:00,445.45,445.95,445.2,445.3,401
2023-12-19 08:15:00+00:00,445.3,445.95,445.15,445.95,300
2023-12-19 08:20:00+00:00,445.95,446.4,445.15,445.4,2987
2023-12-19 08:25:00+00:00,445.4,445.5,445.4,445.5,76
2023-12-19 08:30:00+00:00,445.5,446.1,445.5,445.75,93
2023-12-19 08:35:00+00:00,445.75,447.15,445.75,446.4,528
2023-12-19 08:40:00+00:00,446.2,446.95,445.5,445.8,2256
2023-12-19 08:45:00+00:00,445.8,446.8,445.6,445.75,741
2023-12-19 08:50:00+00:00,445.75,446.2,445.6,445.8,739
2023-12-19 08:55:00+00:00,445.8,446.95,445.75,445.75,531
2023-12-19 09:00:00+00:00,445.75,446.5,445.55,446.5,442
2023-12-19 09:05:00+00:00,446.5,446.5,445.6,446.2,316
2023-12-19 09:10:00+00:00,446.2,446.2,445.05,445.5,2737
2023-12-19 09:15:00+00:00,445.5,445.85,445.15,445.2,643
2023-12-19 09:20:00+00:00,445.2,446.0,445.2,445.5,630
2023-12-19 09:25:00+00:00,445.5,446.0,445.25,445.35,410
2023-12-19 09:30:00+00:00,445.35,445.8,445.05,445.65,628
2023-12-19 09:35:00+00:00,445.65,446.2,445.0,446.2,1292
2023-12-19 09:40:00+00:00,446.15,446.15,445.1,445.45,1547
2023-12-19 09:45:00+00:00,445.45,445.85,445.0,445.15,1894
2023-12-19 09:50:00+00:00,445.15,446.0,444.2,444.45,6756
2023-12-19 09:55:00+00:00,444.75,445.7,444.0,444.4,3230
2023-12-20 03:45:00+00:00,447.85,448.95,445.15,447.15,1730
2023-12-20 03:50:00+00:00,447.15,447.8,446.55,447.55,1126
2023-12-20 03:55:00+00:00,447.55,447.55,446.0,446.3,5920
2023-12-20 04:00:00+00:00,446.3,447.3,446.0,446.5,1564
