,open,high,low,close,volume
2023-12-18 03:45:00+00:00,592.0,594.95,588.5,591.25,12856
2023-12-18 03:50:00+00:00,591.15,598.95,591.05,598.9,14671
2023-12-18 03:55:00+00:00,598.9,598.9,596.0,596.55,4459
2023-12-18 04:00:00+00:00,596.55,597.1,594.75,595.2,2607
2023-12-18 04:05:00+00:00,595.2,606.0,595.2,605.0,17267
2023-12-18 04:10:00+00:00,605.0,605.6,600.35,602.35,6590
2023-12-18 04:15:00+00:00,602.35,606.85,602.35,606.1,35751
2023-12-18 04:20:00+00:00,606.25,606.9,602.1,603.0,9836
2023-12-18 04:25:00+00:00,603.0,605.45,602.45,604.0,3002
2023-12-18 04:30:00+00:00,604.45,604.6,603.1,603.4,2591
2023-12-18 04:35:00+00:00,602.65,603.2,601.5,601.5,1521
2023-12-18 04:40:00+00:00,601.0,603.0,600.55,603.0,2707
2023-12-18 04:45:00+00:00,603.0,603.0,600.55,600.65,804
2023-12-18 04:50:00+00:00,600.35,602.0,600.3,602.0,1437
2023-12-18 04:55:00+00:00,602.0,602.0,600.3,600.4,1016
2023-12-18 05:00:00+00:00,600.4,600.95,600.25,600.25,577
2023-12-18 05:05:00+00:00,600.75,603.5,599.4,599.4,6588
2023-12-18 05:10:00+00:00,599.4,599.6,598.0,599.45,4131
2023-12-18 05:15:00+00:00,599.45,599.45,598.2,598.95,609
2023-12-18 05:20:00+00:00,599.0,599.4,598.45,599.0,1074
2023-12-18 05:25:00+00:00,599.0,599.0,597.2,598.0,1782
2023-12-18 05:30:00+00:00,598.0,598.4,597.1,597.55,1206
2023-12-18 05:35:00+00:00,597.55,603.45,597.0,602.65,7733
2023-12-18 05:40:00+00:00,602.65,602.8,600.35,600.35,6211
2023-12-18 05:45:00+00:00,600.35,600.55,600.0,600.0,344
2023-12-18 05:50:00+00:00,600.0,600.0,598.55,599.1,481
2023-12-18 05:55:00+00:00,599.1,599.1,598.2,598.25,740
2023-12-18 06:00:00+00:00,598.25,599.15,598.25,599.15,120
2023-12-18 06:05:00+00:00,598.85,599.95,598.85,599.5,718
2023-12-18 06:10:00+00:00,599.5,599.95,599.35,599.9,393
2023-12-18 06:15:00+00:00,599.9,599.9,599.0,599.0,112
2023-12-18 06:20:00+00:00,599.0,599.25,598.4,599.15,957
2023-12-18 06:25:00+00:00,599.15,599.85,597.75,598.05,908
2023-12-18 06:30:00+00:00,598.05,601.85,598.0,601.5,3149
2023-12-18 06:35:00+00:00,601.5,602.3,600.05,600.05,1807
2023-12-18 06:40:00+00:00,600.05,601.25,600.05,601.0,725
2023-12-18 06:45:00+00:00,601.0,602.15,600.5,601.0,1758
2023-12-18 06:50:00+00:00,601.0,601.0,600.0,600.0,1584
2023-12-18 06:55:00+00:00,600.0,601.35,599.45,599.45,1358
2023-12-18 07:00:00+00:00,599.45,600.8,599.45,600.0,348
2023-12-18 07:05:00+00:00,599.1,602.0,599.05,601.4,2146
2023-12-18 07:10:00+00:00,601.4,601.55,600.8,600.9,217
2023-12-18 07:15:00+00:00,600.9,600.9,599.1,599.1,469
2023-12-18 07:20:00+00:00,599.1,600.6,599.1,600.6,640
2023-12-18 07:25:00+00:00,600.6,601.9,599.55,601.9,1083
2023-12-18 07:30:00+00:00,601.9,601.9,599.7,600.75,741
2023-12-18 07:35:00+00:00,600.75,601.0,599.8,600.0,52
2023-12-18 07:40:00+00:00,600.0,600.85,598.85,598.85,350
2023-12-18 07:45:00+00:00,598.85,599.5,598.45,599.0,2056
2023-12-18 07:50:00+00:00,599.0,599.0,598.25,598.4,201
2023-12-18 07:55:00+00:00,598.4,598.95,598.4,598.95,0
2023-12-18 08:00:00+00:00,598.95,600.55,597.5,597.5,1712
2023-12-18 08:05:00+00:00,597.5,598.85,597.4,597.7,489
2023-12-18 08:10:00+00:00,597.7,598.0,597.25,598.0,73
2023-12-18 08:15:00+00:00,598.0,598.0,597.8,597.8,179
2023-12-18 08:20:00+00:00,597.8,598.3,597.75,597.75,144
2023-12-18 08:25:00+00:00,597.75,598.35,597.75,598.0,145
2023-12-18 08:30:00+00:00,598.0,598.85,597.8,598.05,387
2023-12-18 08:35:00+00:00,598.05,598.5,597.75,598.5,173
2023-12-18 08:40:00+00:00,598.5,598.5,597.5,598.35,718
2023-12-18 08:45:00+00:00,598.35,598.85,597.85,598.25,135
2023-12-18 08:50:00+00:00,598.25,598.55,597.65,598.55,435
2023-12-18 08:55:00+00:00,599.35,599.35,598.5,599.15,588
2023-12-18 09:00:00+00:00,600.0,601.5,599.65,600.3,5744
2023-12-18 09:05:00+00:00,600.3,600.45,598.15,598.15,763
