,open,high,low,close,volume
2023-12-18 03:45:00+00:00,645.45,657.95,645.4,649.0,1293
2023-12-18 03:50:00+00:00,649.0,651.95,649.0,651.95,524
2023-12-18 03:55:00+00:00,651.95,654.9,651.9,654.5,794
2023-12-18 04:00:00+00:00,653.65,654.85,653.1,654.0,215
2023-12-18 04:05:00+00:00,654.0,658.0,653.15,657.05,2460
2023-12-18 04:10:00+00:00,657.05,657.05,652.1,654.35,602
2023-12-18 04:15:00+00:00,654.35,655.15,652.3,655.0,358
2023-12-18 04:20:00+00:00,655.0,655.0,653.8,653.85,143
2023-12-18 04:25:00+00:00,653.85,653.85,652.1,652.95,290
2023-12-18 04:30:00+00:00,652.95,652.95,651.9,652.9,19
2023-12-18 04:35:00+00:00,652.9,652.9,650.35,652.0,200
2023-12-18 04:40:00+00:00,652.0,652.0,650.2,650.2,329
2023-12-18 04:45:00+00:00,650.2,652.0,650.2,651.9,49
2023-12-18 04:50:00+00:00,651.9,652.0,650.0,650.1,320
2023-12-18 04:55:00+00:00,650.1,651.4,650.0,650.0,72
2023-12-18 05:00:00+00:00,650.0,651.95,650.0,651.6,139
2023-12-18 05:05:00+00:00,651.6,651.6,650.3,650.3,31
2023-12-18 05:10:00+00:00,650.3,651.6,650.3,651.0,5
2023-12-18 05:15:00+00:00,651.0,651.0,649.9,649.95,440
2023-12-18 05:20:00+00:00,649.95,650.0,649.0,649.0,247
2023-12-18 05:25:00+00:00,649.0,649.0,648.25,648.5,670
2023-12-18 05:30:00+00:00,648.5,648.5,648.5,648.5,165
2023-12-18 05:35:00+00:00,648.5,648.6,647.0,648.6,367
2023-12-18 05:40:00+00:00,648.6,649.2,648.6,648.6,41
2023-12-18 05:45:00+00:00,648.9,649.05,648.9,649.0,11
2023-12-18 05:50:00+00:00,649.0,650.2,648.9,650.2,160
2023-12-18 05:55:00+00:00,650.2,650.2,650.2,650.2,0
2023-12-18 06:00:00+00:00,650.2,650.9,650.0,650.9,34
2023-12-18 06:05:00+00:00,650.9,650.9,650.9,650.9,15
2023-12-18 06:10:00+00:00,650.9,650.9,649.15,650.45,89
2023-12-18 06:15:00+00:00,650.45,650.45,648.9,648.9,50
2023-12-18 06:20:00+00:00,648.9,649.9,648.9,648.9,36
2023-12-18 06:25:00+00:00,648.9,649.05,648.9,649.05,12
2023-12-18 06:30:00+00:00,650.0,650.0,648.6,649.4,125
2023-12-18 06:35:00+00:00,649.4,649.85,649.0,649.0,17
2023-12-18 06:40:00+00:00,649.0,649.95,649.0,649.95,11
2023-12-18 06:45:00+00:00,650.0,650.8,649.05,649.05,163
2023-12-18 06:50:00+00:00,649.05,649.4,649.0,649.0,24
2023-12-18 06:55:00+00:00,649.0,649.75,648.0,648.95,310
2023-12-18 07:00:00+00:00,648.0,648.0,648.0,648.0,25
2023-12-18 07:05:00+00:00,648.0,648.0,648.0,648.0,444
2023-12-18 07:10:00+00:00,648.0,648.0,648.0,648.0,0
2023-12-18 07:15:00+00:00,648.0,649.6,648.0,649.6,55
2023-12-18 07:20:00+00:00,649.6,649.6,649.0,649.0,87
2023-12-18 07:25:00+00:00,649.0,649.65,648.0,648.0,261
2023-12-18 07:30:00+00:00,648.0,650.1,648.0,649.75,130
2023-12-18 07:35:00+00:00,649.75,650.4,648.45,649.4,315
2023-12-18 07:40:00+00:00,650.6,650.95,650.6,650.95,63
2023-12-18 07:45:00+00:00,650.95,651.45,650.05,650.05,20
2023-12-18 07:50:00+00:00,650.05,650.05,650.05,650.05,0
2023-12-18 07:55:00+00:00,650.1,651.5,650.05,651.5,53
2023-12-18 08:00:00+00:00,651.5,651.5,650.55,651.3,22
2023-12-18 08:05:00+00:00,651.3,651.35,651.3,651.35,8
2023-12-18 08:10:00+00:00,651.35,651.35,650.55,650.55,55
2023-12-18 08:15:00+00:00,650.55,651.6,650.55,651.6,33
2023-12-18 08:20:00+00:00,651.6,651.6,651.4,651.4,15
2023-12-18 08:25:00+00:00,651.4,651.5,648.65,648.65,192
2023-12-18 08:30:00+00:00,648.65,650.45,648.65,649.2,13
2023-12-18 08:35:00+00:00,649.2,649.25,648.45,648.45,84
2023-12-18 08:40:00+00:00,648.45,649.85,648.4,649.25,132
2023-12-18 08:45:00+00:00,649.25,649.25,648.1,649.0,38
2023-12-18 08:50:00+00:00,649.0,649.0,648.1,648.1,206
2023-12-18 08:55:00+00:00,648.1,649.0,648.1,648.75,20
2023-12-18 09:00:00+00:00,648.75,648.75,648.1,648.75,27
2023-12-18 09:05:00+00:00,648.75,648.75,648.2,648.7,8
2023-12-18 09:10:00+00:00,648.7,648.7,648.1,648.7,345
2023-12-18 09:15:00+00:00,648.7,648.95,648.0,648.0,612
2023-12-18 09:20:00+00:00,648.0,648.95,648.0,648.95,246
2023-12-18 09:25:00+00:00,648.0,649.15,648.0,649.0,120
2023-12-18 09:30:00+00:00,649.0,649.15,648.0,648.0,350
2023-12-18 09:35:00+00:00,648.0,649.15,648.0,648.5,10
2023-12-18 09:40:00+00:00,648.5,649.2,648.0,649.0,154
2023-12-18 09:45:00+00:00,649.0,649.45,649.0,649.45,292
2023-12-18 09:50:00+00:00,649.0,649.0,648.0,649.0,326
2023-12-18 09:55:00+00:00,648.35,649.0,648.0,648.0,1127
2023-12-19 03:45:00+00:00,658.0,658.0,648.8,649.85,132
2023-12-19 03:50:00+00:00,649.85,649.9,647.5,648.0,381
2023-12-19 03:55:00+00:00,648.0,648.0,648.0,648.0,0
2023-12-19 04:00:00+00:00,648.0,648.0,645.0,645.1,282
2023-12-19 04:05:00+00:00,645.1,647.05,645.1,645.1,80
2023-12-19 04:10:00+00:00,645.1,646.8,645.1,646.8,34
2023-12-19 04:15:00+00:00,646.8,646.8,645.45,645.45,44
2023-12-19 04:20:00+00:00,645.45,646.0,645.0,645.0,112
2023-12-19 04:25:00+00:00,645.0,646.0,645.0,646.0,35
2023-12-19 04:30:00+00:00,646.0,646.25,645.0,645.0,240
2023-12-19 04:35:00+00:00,644.6,644.6,643.85,643.85,38
2023-12-19 04:40:00+00:00,643.85,643.85,642.0,642.0,349
2023-12-19 04:45:00+00:00,642.6,644.1,641.2,644.1,51
2023-12-19 04:50:00+00:00,644.1,644.1,643.0,643.0,22
2023-12-19 04:55:00+00:00,643.0,644.6,642.1,642.1,171
2023-12-19 05:00:00+00:00,642.1,642.55,641.05,642.55,216
2023-12-19 05:05:00+00:00,642.55,643.0,642.55,643.0,140
2023-12-19 05:10:00+00:00,643.0,643.0,643.0,643.0,18
2023-12-19 05:15:00+00:00,643.0,643.0,641.95,642.0,288
2023-12-19 05:20:00+00:00,642.9,642.9,641.05,641.9,129
2023-12-19 05:25:00+00:00,641.9,641.9,640.65,640.75,50
2023-12-19 05:30:00+00:00,640.75,642.15,640.75,641.0,125
2023-12-19 05:35:00+00:00,641.0,641.0,640.6,641.0,78
2023-12-19 05:40:00+00:00,641.0,641.0,640.1,640.1,41
2023-12-19 05:45:00+00:00,640.1,641.0,640.1,640.9,203
2023-12-19 05:50:00+00:00,640.9,640.9,640.1,640.1,32
2023-12-19 05:55:00+00:00,640.1,640.95,640.1,640.9,30
2023-12-19 06:00:00+00:00,640.9,640.9,640.9,640.9,55
2023-12-19 06:05:00+00:00,640.9,640.9,640.0,640.0,278
2023-12-19 06:10:00+00:00,640.0,640.8,640.0,640.15,3
2023-12-19 06:15:00+00:00,640.15,640.9,640.15,640.15,13
2023-12-19 06:20:00+00:00,640.15,640.25,635.55,640.25,1081
2023-12-19 06:25:00+00:00,640.25,640.25,639.4,639.4,9
2023-12-19 06:30:00+00:00,639.4,640.95,639.4,639.65,141
2023-12-19 06:35:00+00:00,639.65,640.7,639.05,639.15,43
2023-12-19 06:40:00+00:00,639.15,640.15,639.15,640.15,2
2023-12-19 06:45:00+00:00,640.15,640.15,639.4,639.4,2
2023-12-19 06:50:00+00:00,639.4,639.95,639.35,639.95,15
2023-12-19 06:55:00+00:00,639.95,640.0,639.9,640.0,21
2023-12-19 07:00:00+00:00,640.0,640.95,635.1,640.4,319
2023-12-19 07:05:00+00:00,640.4,640.4,638.7,639.35,39
2023-12-19 07:10:00+00:00,639.35,639.9,633.0,637.0,1474
2023-12-19 07:15:00+00:00,637.0,637.15,637.0,637.15,21
2023-12-19 07:20:00+00:00,637.15,637.75,637.15,637.75,27
2023-12-19 07:25:00+00:00,637.75,637.8,636.9,636.9,93
2023-12-19 07:30:00+00:00,636.9,636.95,636.85,636.95,93
2023-12-19 07:35:00+00:00,636.95,636.95,636.95,636.95,0
2023-12-19 07:40:00+00:00,636.95,638.95,636.95,638.95,36
2023-12-19 07:45:00+00:00,638.95,638.95,638.2,638.2,8
2023-12-19 07:50:00+00:00,638.2,638.2,637.8,638.05,119
2023-12-19 07:55:00+00:00,638.05,640.95,637.9,639.5,349
2023-12-19 08:00:00+00:00,639.5,639.9,639.5,639.9,15
2023-12-19 08:05:00+00:00,639.9,640.3,639.9,640.3,12
2023-12-19 08:10:00+00:00,640.3,640.35,639.5,640.0,20
2023-12-19 08:15:00+00:00,640.0,640.5,639.5,639.5,48
2023-12-19 08:20:00+00:00,639.5,639.5,639.5,639.5,0
2023-12-19 08:25:00+00:00,639.5,641.0,639.5,640.95,116
2023-12-19 08:30:00+00:00,640.95,641.0,639.7,640.95,50
2023-12-19 08:35:00+00:00,640.95,640.95,640.0,640.1,27
2023-12-19 08:40:00+00:00,640.1,641.0,640.1,640.95,13
2023-12-19 08:45:00+00:00,640.95,642.2,640.95,640.95,321
2023-12-19 08:50:00+00:00,640.95,642.45,640.2,641.7,58
2023-12-19 08:55:00+00:00,641.7,642.1,641.2,641.2,11
2023-12-19 09:00:00+00:00,641.2,641.9,640.45,641.9,92
2023-12-19 09:05:00+00:00,641.9,641.9,638.1,638.1,59
2023-12-19 09:10:00+00:00,639.1,640.65,638.8,639.0,22
2023-12-19 09:15:00+00:00,639.0,639.15,638.0,639.15,129
2023-12-19 09:20:00+00:00,639.15,640.25,638.25,640.15,159
2023-12-19 09:25:00+00:00,640.15,640.75,639.35,639.9,50
2023-12-19 09:30:00+00:00,639.9,640.95,639.15,640.6,253
2023-12-19 09:35:00+00:00,640.6,640.9,639.6,640.45,92
2023-12-19 09:40:00+00:00,640.45,642.2,640.05,642.2,245
2023-12-19 09:45:00+00:00,642.2,642.2,640.2,640.3,178
2023-12-19 09:50:00+00:00,640.3,640.5,637.5,637.65,857
2023-12-19 09:55:00+00:00,637.7,639.9,637.7,639.9,242
2023-12-20 03:45:00+00:00,638.15,642.95,638.15,640.25,116
2023-12-20 03:50:00+00:00,640.25,645.35,638.2,645.0,969
2023-12-20 03:55:00+00:00,645.0,645.0,639.15,639.4,796
2023-12-20 04:00:00+00:00,639.4,640.95,638.95,640.5,147
2023-12-20 04:05:00+00:00,640.5,640.5,638.0,638.25,233
2023-12-20 04:10:00+00:00,638.25,639.6,638.0,638.1,233
