,open,high,low,close,volume
2023-12-18 03:45:00+00:00,327.05,328.9,325.1,325.4,1870
2023-12-18 03:50:00+00:00,324.95,326.15,324.5,325.95,3919
2023-12-18 03:55:00+00:00,325.95,326.25,325.1,325.65,1571
2023-12-18 04:00:00+00:00,325.65,326.0,324.45,324.9,3281
2023-12-18 04:05:00+00:00,324.9,325.8,324.9,325.55,892
2023-12-18 04:10:00+00:00,325.8,326.6,325.1,325.4,3064
2023-12-18 04:15:00+00:00,325.95,328.0,325.5,327.5,4654
2023-12-18 04:20:00+00:00,327.1,327.95,327.0,327.95,586
2023-12-18 04:25:00+00:00,327.95,328.3,327.55,328.3,568
2023-12-18 04:30:00+00:00,328.3,328.3,327.8,327.8,80
2023-12-18 04:35:00+00:00,327.8,328.5,327.8,328.5,41
2023-12-18 04:40:00+00:00,328.5,328.9,328.5,328.9,758
2023-12-18 04:45:00+00:00,328.9,329.65,328.15,328.15,1413
2023-12-18 04:50:00+00:00,327.95,328.0,327.85,327.95,330
2023-12-18 04:55:00+00:00,327.95,328.5,327.5,328.25,394
2023-12-18 05:00:00+00:00,328.25,328.35,327.5,328.35,188
2023-12-18 05:05:00+00:00,328.35,328.35,327.4,327.45,153
2023-12-18 05:10:00+00:00,327.45,327.7,327.2,327.55,155
2023-12-18 05:15:00+00:00,327.9,328.1,327.35,327.35,2814
2023-12-18 05:20:00+00:00,327.35,327.45,327.0,327.45,411
2023-12-18 05:25:00+00:00,327.45,327.45,326.0,326.0,1257
2023-12-18 05:30:00+00:00,326.0,326.5,325.75,325.75,2473
2023-12-18 05:35:00+00:00,325.75,326.0,325.55,326.0,503
2023-12-18 05:40:00+00:00,326.0,326.3,325.35,325.5,1198
2023-12-18 05:45:00+00:00,325.5,327.5,325.5,327.5,2006
2023-12-18 05:50:00+00:00,327.5,327.5,327.35,327.35,50
2023-12-18 05:55:00+00:00,327.35,327.35,326.85,326.85,948
2023-12-18 06:00:00+00:00,326.85,326.85,326.15,326.15,250
2023-12-18 06:05:00+00:00,327.4,327.4,326.4,326.4,720
2023-12-18 06:10:00+00:00,326.4,326.4,326.35,326.35,0
2023-12-18 06:15:00+00:00,326.35,327.0,326.35,326.95,1
2023-12-18 06:20:00+00:00,326.95,326.95,326.0,326.4,284
2023-12-18 06:25:00+00:00,326.45,326.75,325.85,325.85,263
2023-12-18 06:30:00+00:00,325.85,325.85,325.1,325.6,241
2023-12-18 06:35:00+00:00,325.6,325.8,325.0,325.1,1382
2023-12-18 06:40:00+00:00,325.1,325.1,325.05,325.05,25
2023-12-18 06:45:00+00:00,325.05,325.05,325.05,325.05,200
2023-12-18 06:50:00+00:00,325.05,325.05,325.05,325.05,119
2023-12-18 06:55:00+00:00,325.05,325.2,325.0,325.2,280
2023-12-18 07:00:00+00:00,325.2,325.2,324.9,324.9,270
2023-12-18 07:05:00+00:00,324.9,324.95,324.9,324.95,12
2023-12-18 07:10:00+00:00,324.95,325.45,324.95,324.95,104
2023-12-18 07:15:00+00:00,324.95,324.95,324.95,324.95,3
2023-12-18 07:20:00+00:00,324.95,324.95,324.95,324.95,0
2023-12-18 07:25:00+00:00,324.95,326.0,324.95,325.9,934
2023-12-18 07:30:00+00:00,325.9,326.3,325.45,325.45,256
2023-12-18 07:35:00+00:00,325.45,325.45,325.45,325.45,0
2023-12-18 07:40:00+00:00,325.45,325.45,323.3,323.5,4769
2023-12-18 07:45:00+00:00,323.5,324.85,323.5,324.75,355
2023-12-18 07:50:00+00:00,324.75,324.75,324.75,324.75,200
2023-12-18 07:55:00+00:00,324.75,324.9,324.4,324.4,106
2023-12-18 08:00:00+00:00,324.4,324.85,324.4,324.5,211
2023-12-18 08:05:00+00:00,324.5,324.5,324.15,324.15,460
2023-12-18 08:10:00+00:00,324.15,325.25,324.15,325.25,58
2023-12-18 08:15:00+00:00,325.25,325.25,323.05,323.85,2451
2023-12-18 08:20:00+00:00,323.85,324.6,323.85,324.05,78
2023-12-18 08:25:00+00:00,324.05,324.5,324.05,324.25,322
2023-12-18 08:30:00+00:00,324.25,324.4,323.1,323.5,1963
2023-12-18 08:35:00+00:00,323.5,323.5,322.95,323.45,450
2023-12-18 08:40:00+00:00,323.45,323.9,323.45,323.7,397
2023-12-18 08:45:00+00:00,323.7,324.15,323.5,323.5,2133
2023-12-18 08:50:00+00:00,323.5,323.9,322.9,323.0,1108
2023-12-18 08:55:00+00:00,323.0,324.7,323.0,324.65,577
2023-12-18 09:00:00+00:00,324.65,325.0,324.65,325.0,390
2023-12-18 09:05:00+00:00,325.0,325.0,324.0,324.2,220
2023-12-18 09:10:00+00:00,324.15,324.15,321.7,321.7,6327
2023-12-18 09:15:00+00:00,321.65,322.75,321.5,322.75,2095
2023-12-18 09:20:00+00:00,322.75,323.0,322.0,322.0,845
2023-12-18 09:25:00+00:00,322.0,322.45,321.75,322.3,779
2023-12-18 09:30:00+00:00,322.3,322.7,321.95,322.0,1022
2023-12-18 09:35:00+00:00,322.0,323.1,321.75,322.15,1084
2023-12-18 09:40:00+00:00,322.15,323.0,322.15,322.95,59
2023-12-18 09:45:00+00:00,322.95,323.2,322.65,323.2,958
2023-12-18 09:50:00+00:00,323.3,324.0,322.6,323.3,2705
2023-12-18 09:55:00+00:00,323.3,324.95,323.15,324.0,3750
2023-12-19 03:45:00+00:00,324.1,327.4,324.0,326.25,2378
2023-12-19 03:50:00+00:00,326.25,326.25,325.25,325.35,359
2023-12-19 03:55:00+00:00,325.35,325.35,323.55,324.8,1634
2023-12-19 04:00:00+00:00,324.8,324.8,323.0,323.05,1380
2023-12-19 04:05:00+00:00,323.05,323.85,321.7,321.7,1398
2023-12-19 04:10:00+00:00,321.75,323.05,321.5,322.0,2200
2023-12-19 04:15:00+00:00,321.4,322.2,320.85,322.2,1389
2023-12-19 04:20:00+00:00,322.2,322.2,321.3,321.85,168
2023-12-19 04:25:00+00:00,321.9,322.4,321.9,322.4,261
2023-12-19 04:30:00+00:00,322.4,322.4,320.95,320.95,983
2023-12-19 04:35:00+00:00,320.95,321.45,320.6,320.6,295
2023-12-19 04:40:00+00:00,320.6,321.15,320.5,321.15,380
2023-12-19 04:45:00+00:00,321.15,321.85,321.15,321.85,233
2023-12-19 04:50:00+00:00,321.9,323.0,321.9,322.8,143
2023-12-19 04:55:00+00:00,322.8,322.8,322.8,322.8,0
2023-12-19 05:00:00+00:00,322.8,322.8,321.1,321.1,479
2023-12-19 05:05:00+00:00,321.1,322.6,321.1,322.55,194
2023-12-19 05:10:00+00:00,322.55,322.6,321.55,321.55,504
2023-12-19 05:15:00+00:00,321.55,322.55,321.55,321.95,245
2023-12-19 05:20:00+00:00,321.95,322.15,321.95,322.15,105
2023-12-19 05:25:00+00:00,322.15,322.15,322.15,322.15,18
2023-12-19 05:30:00+00:00,322.15,322.45,321.6,322.45,1604
2023-12-19 05:35:00+00:00,322.45,322.45,321.55,321.55,150
2023-12-19 05:40:00+00:00,321.55,321.55,321.55,321.55,0
2023-12-19 05:45:00+00:00,321.55,321.8,321.55,321.65,1791
2023-12-19 05:50:00+00:00,321.65,322.1,321.6,321.6,565
2023-12-19 05:55:00+00:00,321.6,322.2,321.6,322.2,161
2023-12-19 06:00:00+00:00,322.2,322.4,322.15,322.4,613
2023-12-19 06:05:00+00:00,322.4,322.7,322.2,322.2,168
2023-12-19 06:10:00+00:00,322.2,323.0,322.2,323.0,300
2023-12-19 06:15:00+00:00,323.0,323.0,322.3,322.3,841
2023-12-19 06:20:00+00:00,322.3,322.85,322.3,322.8,26
2023-12-19 06:25:00+00:00,322.8,322.9,322.8,322.9,21
2023-12-19 06:30:00+00:00,322.9,322.9,322.05,322.05,301
2023-12-19 06:35:00+00:00,322.05,322.75,321.8,321.8,501
2023-12-19 06:40:00+00:00,321.8,321.8,321.8,321.8,0
2023-12-19 06:45:00+00:00,321.8,322.65,321.8,322.5,384
2023-12-19 06:50:00+00:00,322.5,322.6,322.5,322.6,3
2023-12-19 06:55:00+00:00,322.6,322.7,322.1,322.7,101
2023-12-19 07:00:00+00:00,322.7,322.7,322.05,322.05,0
2023-12-19 07:05:00+00:00,322.05,322.75,322.05,322.75,22
2023-12-19 07:10:00+00:00,322.75,323.1,322.55,322.55,655
2023-12-19 07:15:00+00:00,322.6,323.25,322.6,322.7,51
2023-12-19 07:20:00+00:00,322.7,323.45,322.6,323.45,110
2023-12-19 07:25:00+00:00,323.45,323.45,323.45,323.45,15
2023-12-19 07:30:00+00:00,323.45,324.0,323.45,324.0,109
2023-12-19 07:35:00+00:00,324.0,324.0,322.8,322.8,1652
2023-12-19 07:40:00+00:00,322.8,323.2,322.8,323.2,3
2023-12-19 07:45:00+00:00,323.2,323.2,323.2,323.2,0
2023-12-19 07:50:00+00:00,323.0,323.35,323.0,323.0,35
2023-12-19 07:55:00+00:00,323.0,323.75,323.0,323.75,158
