,open,high,low,close,volume
2023-12-18 03:45:00+00:00,425.85,428.8,425.0,428.05,632
2023-12-18 03:50:00+00:00,428.05,429.0,423.7,428.45,921
2023-12-18 03:55:00+00:00,428.95,428.95,425.1,426.55,269
2023-12-18 04:00:00+00:00,426.55,430.0,426.1,429.95,627
2023-12-18 04:05:00+00:00,429.95,430.0,428.05,429.35,1414
2023-12-18 04:10:00+00:00,429.35,429.4,427.55,427.55,340
2023-12-18 04:15:00+00:00,428.8,429.4,427.65,429.4,268
2023-12-18 04:20:00+00:00,429.4,429.45,428.1,429.45,133
2023-12-18 04:25:00+00:00,428.9,429.4,427.6,429.1,335
2023-12-18 04:30:00+00:00,429.1,429.4,427.65,429.0,145
2023-12-18 04:35:00+00:00,429.0,429.65,427.65,429.65,328
2023-12-18 04:40:00+00:00,429.65,429.65,427.6,428.55,977
2023-12-18 04:45:00+00:00,427.75,428.7,427.75,427.9,131
2023-12-18 04:50:00+00:00,427.9,428.65,427.9,428.65,1142
2023-12-18 04:55:00+00:00,428.65,428.65,425.55,427.35,28
2023-12-18 05:00:00+00:00,427.35,427.9,426.2,427.9,169
2023-12-18 05:05:00+00:00,427.9,427.9,425.6,425.6,46
2023-12-18 05:10:00+00:00,426.95,426.95,426.95,426.95,14
2023-12-18 05:15:00+00:00,426.95,426.95,426.0,426.0,193
2023-12-18 05:20:00+00:00,426.0,426.0,426.0,426.0,64
2023-12-18 05:25:00+00:00,426.0,426.0,425.95,425.95,17
2023-12-18 05:30:00+00:00,425.95,425.95,425.0,425.9,436
2023-12-18 05:35:00+00:00,425.9,425.9,425.1,425.55,56
2023-12-18 05:40:00+00:00,425.55,425.55,425.0,425.0,148
2023-12-18 05:45:00+00:00,425.0,426.8,425.0,425.55,193
2023-12-18 05:50:00+00:00,425.55,426.9,425.55,426.85,20
2023-12-18 05:55:00+00:00,426.85,426.85,426.0,426.0,100
2023-12-18 06:00:00+00:00,426.0,426.05,426.0,426.0,69
2023-12-18 06:05:00+00:00,426.0,426.8,426.0,426.8,10
2023-12-18 06:10:00+00:00,426.8,426.8,426.8,426.8,0
2023-12-18 06:15:00+00:00,426.8,426.8,426.05,426.05,40
2023-12-18 06:20:00+00:00,426.05,426.85,426.05,426.75,5
2023-12-18 06:25:00+00:00,426.75,426.9,426.1,426.9,58
2023-12-18 06:30:00+00:00,426.9,426.9,426.0,426.0,203
2023-12-18 06:35:00+00:00,426.85,426.85,426.0,426.0,42
2023-12-18 06:40:00+00:00,426.0,426.85,425.05,426.45,480
2023-12-18 06:45:00+00:00,426.45,427.4,425.0,427.4,555
2023-12-18 06:50:00+00:00,426.9,426.9,424.3,424.95,472
2023-12-18 06:55:00+00:00,424.8,425.0,424.8,425.0,145
2023-12-18 07:00:00+00:00,425.0,425.0,424.8,425.0,107
2023-12-18 07:05:00+00:00,425.0,425.0,424.0,425.0,57
2023-12-18 07:10:00+00:00,425.0,425.0,424.7,424.7,363
2023-12-18 07:15:00+00:00,424.7,424.7,424.4,424.4,54
2023-12-18 07:20:00+00:00,424.4,424.4,424.4,424.4,20
2023-12-18 07:25:00+00:00,424.8,424.8,423.8,423.8,112
2023-12-18 07:30:00+00:00,423.25,424.4,423.25,424.4,56
2023-12-18 07:35:00+00:00,424.4,424.95,424.25,424.95,135
2023-12-18 07:40:00+00:00,424.95,424.95,424.4,424.5,142
2023-12-18 07:45:00+00:00,424.9,424.95,424.3,424.95,118
2023-12-18 07:50:00+00:00,424.95,424.95,423.45,424.95,143
2023-12-18 07:55:00+00:00,424.95,425.0,424.55,425.0,56
2023-12-18 08:00:00+00:00,424.55,424.95,423.05,424.95,471
2023-12-18 08:05:00+00:00,424.95,425.0,424.8,425.0,465
2023-12-18 08:10:00+00:00,425.0,425.0,424.75,424.75,55
2023-12-18 08:15:00+00:00,424.75,425.0,424.75,425.0,18
2023-12-18 08:20:00+00:00,425.0,425.0,424.75,424.75,273
2023-12-18 08:25:00+00:00,424.95,424.95,424.95,424.95,59
2023-12-18 08:30:00+00:00,424.75,424.95,424.75,424.95,63
2023-12-18 08:35:00+00:00,424.75,425.0,424.0,424.45,638
2023-12-18 08:40:00+00:00,424.45,424.75,424.0,424.75,120
2023-12-18 08:45:00+00:00,424.75,424.75,424.05,424.75,262
2023-12-18 08:50:00+00:00,424.75,424.75,424.75,424.75,17
