,open,high,low,close,volume
2024-07-10 03:45:00+00:00,1170.0,1170.0,1170.0,1170.0,0
2024-07-10 04:10:00+00:00,1325.05,1325.05,1325.05,1325.05,2388834
2024-07-10 04:15:00+00:00,1325.05,1325.05,1325.05,1325.05,0
2024-07-10 04:20:00+00:00,1325.05,1325.05,1325.05,1325.05,0
2024-07-10 04:25:00+00:00,1325.05,1325.05,1325.05,1325.05,0
2024-07-10 04:30:00+00:00,1327.35,1380.0,1327.35,1370.2,3881689
2024-07-10 04:35:00+00:00,1370.55,1384.0,1361.2,1375.2,1041342
2024-07-10 04:40:00+00:00,1375.0,1385.0,1370.0,1375.25,632528
2024-07-10 04:45:00+00:00,1375.7,1376.0,1350.0,1351.5,686932
2024-07-10 04:50:00+00:00,1351.5,1356.45,1341.0,1345.25,770233
2024-07-10 04:55:00+00:00,1345.7,1353.8,1345.0,1352.2,238721
2024-07-10 05:00:00+00:00,1352.3,1353.95,1351.0,1352.8,163834
2024-07-10 05:05:00+00:00,1352.8,1352.8,1351.0,1351.0,134987
2024-07-10 05:10:00+00:00,1351.0,1352.6,1351.0,1351.05,130176
2024-07-10 05:15:00+00:00,1351.5,1358.3,1351.05,1356.7,110429
2024-07-10 05:20:00+00:00,1357.1,1364.05,1355.1,1363.5,150882
2024-07-10 05:25:00+00:00,1364.0,1368.55,1362.05,1367.4,119745
2024-07-10 05:30:00+00:00,1367.65,1367.65,1361.0,1362.95,77795
2024-07-10 05:35:00+00:00,1362.65,1367.85,1360.5,1360.65,76261
2024-07-10 05:40:00+00:00,1360.65,1361.45,1352.35,1358.1,83215
2024-07-10 05:45:00+00:00,1357.8,1362.9,1357.1,1361.4,54195
2024-07-10 05:50:00+00:00,1361.9,1362.5,1355.5,1355.95,47922
2024-07-10 05:55:00+00:00,1355.95,1356.85,1351.6,1353.9,49380
2024-07-10 06:00:00+00:00,1353.5,1356.95,1353.45,1355.85,32992
2024-07-10 06:05:00+00:00,1355.75,1356.0,1351.5,1352.0,55994
2024-07-10 06:10:00+00:00,1352.15,1354.35,1351.5,1353.4,26519
2024-07-10 06:15:00+00:00,1353.4,1354.5,1351.5,1351.85,24788
2024-07-10 06:20:00+00:00,1351.85,1352.95,1351.5,1351.8,55046
2024-07-10 06:25:00+00:00,1351.9,1354.8,1351.8,1354.7,31851
2024-07-10 06:30:00+00:00,1354.45,1355.0,1353.3,1353.3,17893
2024-07-10 06:35:00+00:00,1353.3,1354.85,1353.15,1353.2,15040
2024-07-10 06:40:00+00:00,1353.25,1359.8,1353.25,1357.9,25316
2024-07-10 06:45:00+00:00,1358.0,1358.9,1352.5,1353.5,21848
2024-07-10 06:50:00+00:00,1353.75,1353.85,1352.15,1352.7,19934
2024-07-10 06:55:00+00:00,1352.7,1355.4,1352.5,1355.3,16888
2024-07-10 07:00:00+00:00,1355.4,1358.0,1353.9,1356.6,26321
2024-07-10 07:05:00+00:00,1356.6,1357.65,1353.2,1353.45,20280
2024-07-10 07:10:00+00:00,1353.75,1357.0,1353.35,1356.1,15109
2024-07-10 07:15:00+00:00,1356.7,1357.0,1356.1,1357.0,17927
2024-07-10 07:20:00+00:00,1357.0,1360.0,1356.05,1359.4,36418
2024-07-10 07:25:00+00:00,1359.4,1359.9,1357.0,1358.0,16330
2024-07-10 07:30:00+00:00,1357.7,1359.4,1357.0,1357.85,21033
2024-07-10 07:35:00+00:00,1357.75,1359.0,1357.65,1358.4,15574
2024-07-10 07:40:00+00:00,1358.95,1360.0,1358.0,1359.8,25012
2024-07-10 07:45:00+00:00,1359.85,1359.85,1356.0,1357.4,30060
