,open,high,low,close,volume
2024-03-05 03:45:00+00:00,215.0,215.0,215.0,215.0,0
2024-03-05 04:10:00+00:00,265.0,265.0,265.0,265.0,0
2024-03-05 04:15:00+00:00,265.0,265.0,265.0,265.0,0
2024-03-05 04:20:00+00:00,265.0,265.0,265.0,265.0,0
2024-03-05 04:25:00+00:00,265.0,265.0,265.0,265.0,0
2024-03-05 04:30:00+00:00,268.85,274.5,260.0,262.45,9001001
2024-03-05 04:35:00+00:00,262.95,266.8,252.5,255.0,2465860
2024-03-05 04:40:00+00:00,254.8,254.85,245.0,245.45,1946975
2024-03-05 04:45:00+00:00,245.3,245.45,233.1,235.5,2237680
2024-03-05 04:50:00+00:00,234.7,242.65,234.55,241.55,1213260
2024-03-05 04:55:00+00:00,241.75,248.0,241.6,247.0,911770
2024-03-05 05:00:00+00:00,246.4,249.9,246.0,247.25,670223
2024-03-05 05:05:00+00:00,247.4,247.4,242.55,246.1,417599
2024-03-05 05:10:00+00:00,246.0,247.25,243.1,246.0,266539
2024-03-05 05:15:00+00:00,245.9,249.6,245.55,249.2,376420
2024-03-05 05:20:00+00:00,249.3,249.3,245.45,246.25,295450
2024-03-05 05:25:00+00:00,246.1,247.65,245.2,245.2,150526
2024-03-05 05:30:00+00:00,245.35,245.35,242.45,243.85,222982
2024-03-05 05:35:00+00:00,243.85,244.0,238.1,239.6,379923
2024-03-05 05:40:00+00:00,239.3,243.8,239.3,243.05,235121
2024-03-05 05:45:00+00:00,242.9,243.0,241.45,242.8,106065
2024-03-05 05:50:00+00:00,242.8,244.35,242.65,243.4,131076
2024-03-05 05:55:00+00:00,243.4,244.7,242.15,244.25,103227
2024-03-05 06:00:00+00:00,244.1,247.85,243.45,245.6,188236
2024-03-05 06:05:00+00:00,245.55,246.65,245.0,246.05,121728
2024-03-05 06:10:00+00:00,246.2,246.75,245.0,245.75,79132
2024-03-05 06:15:00+00:00,245.75,246.35,245.05,245.75,88065
2024-03-05 06:20:00+00:00,245.65,245.75,242.5,243.55,113632
2024-03-05 06:25:00+00:00,243.55,243.95,243.05,243.9,45820
2024-03-05 06:30:00+00:00,243.9,244.8,243.5,244.55,49006
2024-03-05 06:35:00+00:00,244.55,244.65,242.65,242.65,62052
2024-03-05 06:40:00+00:00,242.8,244.65,240.9,244.5,144793
2024-03-05 06:45:00+00:00,244.5,244.65,243.05,243.4,59709
2024-03-05 06:50:00+00:00,243.35,244.5,243.15,243.2,72967
2024-03-05 06:55:00+00:00,243.15,243.45,242.2,242.3,48271
2024-03-05 07:00:00+00:00,242.3,244.55,241.0,244.55,108776
2024-03-05 07:05:00+00:00,244.55,245.0,243.55,244.85,98950
2024-03-05 07:10:00+00:00,244.55,244.85,244.0,244.35,61099
2024-03-05 07:15:00+00:00,244.35,244.45,242.15,243.05,62755
2024-03-05 07:20:00+00:00,243.1,243.65,241.9,241.9,62282
2024-03-05 07:25:00+00:00,242.0,244.4,241.75,243.85,57854
2024-03-05 07:30:00+00:00,243.85,243.85,240.05,240.05,147694
2024-03-05 07:35:00+00:00,240.4,241.95,240.0,241.65,70686
2024-03-05 07:40:00+00:00,241.6,241.95,241.1,241.4,58878
2024-03-05 07:45:00+00:00,241.3,241.4,237.75,238.35,308920
2024-03-05 07:50:00+00:00,238.3,238.95,235.15,238.25,240151
2024-03-05 07:55:00+00:00,238.4,239.35,237.6,238.95,132369
2024-03-05 08:00:00+00:00,238.75,238.95,236.5,238.55,88715
2024-03-05 08:05:00+00:00,238.4,238.75,235.5,235.9,86502
2024-03-05 08:10:00+00:00,235.85,236.8,231.4,231.75,391312
2024-03-05 08:15:00+00:00,231.35,232.6,230.6,231.6,392115
2024-03-05 08:20:00+00:00,231.6,232.7,228.55,229.6,533765
2024-03-05 08:25:00+00:00,229.6,233.9,229.35,232.7,461034
2024-03-05 08:30:00+00:00,232.55,233.65,231.05,232.75,126036
2024-03-05 08:35:00+00:00,232.75,234.4,232.15,233.65,152170
2024-03-05 08:40:00+00:00,233.75,233.75,231.3,232.3,100120
2024-03-05 08:45:00+00:00,232.45,233.8,231.6,231.8,91830
2024-03-05 08:50:00+00:00,231.8,232.45,229.1,230.25,173007
2024-03-05 08:55:00+00:00,230.25,231.5,230.25,231.25,80663
2024-03-05 09:00:00+00:00,231.15,231.5,229.0,229.0,142375
2024-03-05 09:05:00+00:00,228.95,229.95,226.55,227.9,320936
2024-03-05 09:10:00+00:00,227.65,227.65,223.0,223.0,645415
2024-03-05 09:15:00+00:00,223.25,224.75,219.0,224.45,787761
2024-03-05 09:20:00+00:00,224.4,226.5,222.0,223.15,332001
2024-03-05 09:25:00+00:00,223.2,224.65,220.1,221.8,257729
2024-03-05 09:30:00+00:00,221.8,224.0,221.65,222.5,171747
2024-03-05 09:35:00+00:00,222.3,224.6,221.1,224.5,227151
2024-03-05 09:40:00+00:00,224.5,226.6,222.05,222.3,294301
2024-03-05 09:45:00+00:00,222.5,224.7,221.55,223.6,269755
2024-03-05 09:50:00+00:00,223.55,227.1,223.55,226.3,418931
2024-03-05 09:55:00+00:00,226.35,228.95,226.0,228.4,466123
2024-03-06 03:45:00+00:00,231.15,242.0,229.3,240.1,1548383
2024-03-06 03:50:00+00:00,240.05,241.5,235.2,235.75,550093
2024-03-06 03:55:00+00:00,235.55,240.3,234.1,239.4,395275
2024-03-06 04:00:00+00:00,239.4,239.4,235.1,236.55,217383
2024-03-06 04:05:00+00:00,236.55,236.9,232.3,232.65,300584
2024-03-06 04:10:00+00:00,232.7,236.7,232.15,236.35,223996
2024-03-06 04:15:00+00:00,236.1,239.8,236.1,239.55,204812
2024-03-06 04:20:00+00:00,239.5,241.15,236.55,236.8,386253
2024-03-06 04:25:00+00:00,236.7,237.0,235.05,235.3,106935
2024-03-06 04:30:00+00:00,235.3,236.0,234.15,235.95,133080
2024-03-06 04:35:00+00:00,235.9,236.0,234.1,235.5,77992
2024-03-06 04:40:00+00:00,235.5,236.8,235.5,236.45,48241
2024-03-06 04:45:00+00:00,236.45,238.5,235.6,237.85,51975
2024-03-06 04:50:00+00:00,238.5,239.0,235.8,237.35,132650
2024-03-06 04:55:00+00:00,237.0,239.8,236.5,239.5,78745
2024-03-06 05:00:00+00:00,239.75,242.9,238.2,239.85,447248
2024-03-06 05:05:00+00:00,239.65,239.95,237.5,239.55,121640
2024-03-06 05:10:00+00:00,239.7,242.35,238.9,240.55,198226
2024-03-06 05:15:00+00:00,240.8,243.8,240.6,241.75,319610
2024-03-06 05:20:00+00:00,241.75,245.0,241.0,245.0,296959
2024-03-06 05:25:00+00:00,245.0,245.95,242.85,243.5,353847
2024-03-06 05:30:00+00:00,243.2,244.6,241.5,241.5,106707
2024-03-06 05:35:00+00:00,241.65,242.95,238.95,239.0,172611
2024-03-06 05:40:00+00:00,239.0,239.0,235.0,238.75,307532
2024-03-06 05:45:00+00:00,238.75,240.8,237.75,240.35,140129
2024-03-06 05:50:00+00:00,240.3,241.8,238.8,241.3,141407
2024-03-06 05:55:00+00:00,241.25,243.5,239.75,242.5,126659
2024-03-06 06:00:00+00:00,242.5,243.25,240.75,241.1,65831
2024-03-06 06:05:00+00:00,241.05,241.8,239.75,241.25,71786
2024-03-06 06:10:00+00:00,241.65,244.1,241.25,244.0,99944
2024-03-06 06:15:00+00:00,243.9,244.9,243.35,244.4,162850
2024-03-06 06:20:00+00:00,244.05,244.4,241.7,243.3,99412
2024-03-06 06:25:00+00:00,243.45,247.35,243.15,246.25,404036
2024-03-06 06:30:00+00:00,246.3,246.6,244.45,244.7,164335
2024-03-06 06:35:00+00:00,244.7,247.0,244.3,245.7,112936
2024-03-06 06:40:00+00:00,245.7,247.8,245.65,246.25,234525
2024-03-06 06:45:00+00:00,246.35,246.9,244.05,244.8,127793
2024-03-06 06:50:00+00:00,245.0,245.5,241.6,242.35,160884
2024-03-06 06:55:00+00:00,242.3,244.0,242.3,243.15,71450
2024-03-06 07:00:00+00:00,243.25,244.7,243.15,244.0,62400
2024-03-06 07:05:00+00:00,243.65,244.75,243.45,244.5,24426
2024-03-06 07:10:00+00:00,244.35,245.0,244.0,244.45,46241
2024-03-06 07:15:00+00:00,244.15,245.0,242.0,244.4,82073
2024-03-06 07:20:00+00:00,244.35,244.7,243.0,243.05,39396
2024-03-06 07:25:00+00:00,243.05,243.3,241.6,242.45,71717
2024-03-06 07:30:00+00:00,242.45,242.85,241.35,241.5,36845
2024-03-06 07:35:00+00:00,241.5,242.0,240.1,241.55,162713
2024-03-06 07:40:00+00:00,241.55,241.9,240.2,240.8,185515
2024-03-06 07:45:00+00:00,240.75,241.65,240.4,241.45,128417
2024-03-06 07:50:00+00:00,241.5,243.0,241.0,242.55,60372
2024-03-06 07:55:00+00:00,242.55,242.9,242.35,242.6,28284
2024-03-06 08:00:00+00:00,242.6,243.8,242.5,242.95,41160
2024-03-06 08:05:00+00:00,242.95,242.95,242.0,242.8,26564
2024-03-06 08:10:00+00:00,242.8,243.7,242.6,243.7,29401
2024-03-06 08:15:00+00:00,243.65,245.9,243.4,245.7,118949
2024-03-06 08:20:00+00:00,245.65,245.7,243.6,245.0,63800
2024-03-06 08:25:00+00:00,245.15,247.0,244.85,246.5,195883
2024-03-06 08:30:00+00:00,246.5,248.4,245.25,245.45,255740
2024-03-06 08:35:00+00:00,245.5,245.65,244.0,244.65,67088
2024-03-06 08:40:00+00:00,244.6,244.85,241.7,243.55,102549
2024-03-06 08:45:00+00:00,243.6,243.6,240.75,241.3,107637
2024-03-06 08:50:00+00:00,241.25,242.95,241.25,242.5,53839
2024-03-06 08:55:00+00:00,242.95,244.25,242.55,243.3,42498
2024-03-06 09:00:00+00:00,243.15,243.9,242.0,243.25,34961
2024-03-06 09:05:00+00:00,243.65,244.75,243.15,243.55,38259
2024-03-06 09:10:00+00:00,243.5,244.2,243.1,243.95,33654
2024-03-06 09:15:00+00:00,243.95,243.95,242.15,243.15,41561
2024-03-06 09:20:00+00:00,243.05,243.9,242.55,243.8,43346
2024-03-06 09:25:00+00:00,243.75,245.45,242.05,242.55,219447
2024-03-06 09:30:00+00:00,242.95,247.0,242.95,245.65,156117
2024-03-06 09:35:00+00:00,245.55,246.4,244.65,245.75,95313
2024-03-06 09:40:00+00:00,245.75,246.0,245.0,245.8,138231
2024-03-06 09:45:00+00:00,245.55,247.0,244.7,245.1,295058
2024-03-06 09:50:00+00:00,245.1,248.35,245.0,248.0,271154
2024-03-06 09:55:00+00:00,247.85,248.75,247.0,248.45,300834
2024-03-07 03:45:00+00:00,250.0,255.9,246.45,254.75,725515
2024-03-07 03:50:00+00:00,254.6,257.65,253.35,256.45,619274
2024-03-07 03:55:00+00:00,256.2,256.2,253.5,253.5,172165
2024-03-07 04:00:00+00:00,253.5,255.0,252.0,253.4,157607
2024-03-07 04:05:00+00:00,253.5,256.2,253.5,255.4,181244
2024-03-07 04:10:00+00:00,255.45,255.75,253.35,253.55,107854
2024-03-07 04:15:00+00:00,253.65,254.7,253.45,254.1,75642
2024-03-07 04:20:00+00:00,254.1,254.5,251.3,251.3,101286
2024-03-07 04:25:00+00:00,251.55,251.8,248.5,248.8,167043
2024-03-07 04:30:00+00:00,249.0,252.4,248.5,251.9,173092
2024-03-07 04:35:00+00:00,252.05,252.2,250.2,250.7,48601
2024-03-07 04:40:00+00:00,250.9,251.75,250.7,250.95,21149
2024-03-07 04:45:00+00:00,251.0,251.3,249.65,251.3,50864
2024-03-07 04:50:00+00:00,251.2,252.5,250.75,252.25,63653
2024-03-07 04:55:00+00:00,252.25,252.45,250.5,250.7,24498
2024-03-07 05:00:00+00:00,250.95,251.0,250.4,250.65,18591
2024-03-07 05:05:00+00:00,250.65,251.65,250.55,251.05,14006
2024-03-07 05:10:00+00:00,251.25,251.6,251.0,251.0,11752
2024-03-07 05:15:00+00:00,250.9,251.1,248.5,248.7,78394
2024-03-07 05:20:00+00:00,248.95,250.9,248.6,249.65,57027
2024-03-07 05:25:00+00:00,249.65,250.0,248.5,249.25,42974
2024-03-07 05:30:00+00:00,249.25,249.8,248.85,249.7,27216
2024-03-07 05:35:00+00:00,249.7,249.85,248.8,249.0,17623
2024-03-07 05:40:00+00:00,249.0,249.25,248.4,249.0,16632
2024-03-07 05:45:00+00:00,248.65,248.8,248.0,248.0,57368
2024-03-07 05:50:00+00:00,248.0,248.7,246.15,246.6,122724
2024-03-07 05:55:00+00:00,246.6,249.85,246.6,249.2,69940
2024-03-07 06:00:00+00:00,249.2,251.6,249.2,250.3,75188
2024-03-07 06:05:00+00:00,250.4,250.5,250.0,250.0,29138
2024-03-07 06:10:00+00:00,250.0,250.8,250.0,250.65,17308
2024-03-07 06:15:00+00:00,250.6,251.75,250.15,250.95,41661
2024-03-07 06:20:00+00:00,250.95,250.95,250.15,250.2,11952
2024-03-07 06:25:00+00:00,250.5,250.95,250.2,250.85,6391
2024-03-07 06:30:00+00:00,250.55,250.9,250.1,250.65,15263
2024-03-07 06:35:00+00:00,250.5,251.0,250.3,250.6,13275
2024-03-07 06:40:00+00:00,250.65,250.7,247.9,249.7,46836
2024-03-07 06:45:00+00:00,249.8,249.95,249.0,249.35,16794
2024-03-07 06:50:00+00:00,249.1,249.35,248.45,248.95,15727
2024-03-07 06:55:00+00:00,248.95,248.95,248.5,248.7,8463
2024-03-07 07:00:00+00:00,248.5,248.9,248.1,248.3,10277
2024-03-07 07:05:00+00:00,248.3,250.0,248.1,249.9,16887
2024-03-07 07:10:00+00:00,249.75,250.3,249.1,249.15,11577
2024-03-07 07:15:00+00:00,249.15,249.35,248.4,249.35,6787
2024-03-07 07:20:00+00:00,249.35,250.1,249.05,249.85,8686
2024-03-07 07:25:00+00:00,249.8,249.8,249.1,249.6,5175
2024-03-07 07:30:00+00:00,249.6,249.85,248.45,248.65,21528
2024-03-07 07:35:00+00:00,248.65,249.0,248.5,248.7,4597
2024-03-07 07:40:00+00:00,248.7,248.7,248.05,248.3,12421
2024-03-07 07:45:00+00:00,248.25,248.35,247.5,247.7,28084
2024-03-07 07:50:00+00:00,247.7,249.0,247.6,248.6,10289
2024-03-07 07:55:00+00:00,248.65,248.9,248.5,248.7,10880
2024-03-07 08:00:00+00:00,248.7,249.0,248.6,248.8,6267
2024-03-07 08:05:00+00:00,248.75,248.8,247.5,247.5,21210
2024-03-07 08:10:00+00:00,247.5,248.2,247.25,247.7,21681
2024-03-07 08:15:00+00:00,247.7,248.25,247.35,247.5,18653
2024-03-07 08:20:00+00:00,247.5,248.2,247.5,247.85,9100
2024-03-07 08:25:00+00:00,247.85,248.05,247.25,247.65,15633
2024-03-07 08:30:00+00:00,247.65,247.8,245.0,245.6,81714
2024-03-07 08:35:00+00:00,245.55,245.55,242.5,244.2,98933
2024-03-07 08:40:00+00:00,244.1,244.35,242.55,243.95,58421
2024-03-07 08:45:00+00:00,243.95,244.6,243.15,243.8,35823
2024-03-07 08:50:00+00:00,243.55,244.0,243.5,243.65,9678
2024-03-07 08:55:00+00:00,243.65,243.65,237.5,239.5,157712
2024-03-07 09:00:00+00:00,239.5,240.65,238.45,240.35,87862
2024-03-07 09:05:00+00:00,240.35,240.4,236.65,238.2,104683
2024-03-07 09:10:00+00:00,238.2,238.95,237.1,237.1,40855
2024-03-07 09:15:00+00:00,237.1,237.7,237.0,237.2,38754
2024-03-07 09:20:00+00:00,237.15,239.7,237.15,237.7,50538
2024-03-07 09:25:00+00:00,237.7,238.1,237.5,237.9,19375
2024-03-07 09:30:00+00:00,238.1,242.1,238.0,239.5,111141
2024-03-07 09:35:00+00:00,239.5,239.8,237.1,239.15,124656
2024-03-07 09:40:00+00:00,239.2,239.7,238.7,239.3,37243
2024-03-07 09:45:00+00:00,239.4,239.65,238.1,238.1,96184
2024-03-07 09:50:00+00:00,238.3,238.35,235.25,236.45,145067
2024-03-07 09:55:00+00:00,236.0,237.35,236.0,237.3,85570
2024-03-11 03:45:00+00:00,238.0,240.6,230.65,231.9,177819
2024-03-11 03:50:00+00:00,231.85,231.95,224.5,228.75,261513
2024-03-11 03:55:00+00:00,228.8,229.0,225.5,225.5,107766
2024-03-11 04:00:00+00:00,225.85,228.6,224.7,227.85,133506
2024-03-11 04:05:00+00:00,226.9,228.45,225.9,227.35,64409
2024-03-11 04:10:00+00:00,227.6,227.75,226.25,227.1,48093
2024-03-11 04:15:00+00:00,226.8,227.2,226.4,227.2,24362
2024-03-11 04:20:00+00:00,227.2,227.55,227.0,227.3,18039
2024-03-11 04:25:00+00:00,227.45,228.15,227.2,227.45,38727
2024-03-11 04:30:00+00:00,227.45,227.45,225.0,225.2,79380
2024-03-11 04:35:00+00:00,225.3,226.15,225.0,225.2,34005
2024-03-11 04:40:00+00:00,225.05,225.45,220.4,221.05,119007
2024-03-11 04:45:00+00:00,221.35,225.0,220.55,224.95,111973
2024-03-11 04:50:00+00:00,225.0,225.2,223.7,225.15,37937
2024-03-11 04:55:00+00:00,225.15,225.7,222.05,222.95,73641
