,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1146.0,1167.95,1146.0,1166.7,147
2023-12-18 03:50:00+00:00,1163.55,1183.8,1160.25,1180.0,937
2023-12-18 03:55:00+00:00,1180.0,1182.0,1175.1,1179.6,68
2023-12-18 04:00:00+00:00,1179.6,1179.6,1171.3,1171.55,27
2023-12-18 04:05:00+00:00,1171.55,1178.65,1170.0,1175.05,119
2023-12-18 04:10:00+00:00,1175.05,1175.55,1170.4,1171.05,66
2023-12-18 04:15:00+00:00,1171.05,1171.35,1170.05,1170.6,22
2023-12-18 04:20:00+00:00,1170.6,1172.95,1170.15,1172.3,33
2023-12-18 04:25:00+00:00,1172.3,1174.8,1164.05,1164.4,222
2023-12-18 04:30:00+00:00,1164.4,1171.85,1164.05,1170.5,65
2023-12-18 04:35:00+00:00,1170.5,1172.2,1168.5,1168.5,30
2023-12-18 04:40:00+00:00,1168.5,1169.75,1166.4,1167.05,39
2023-12-18 04:45:00+00:00,1167.05,1167.15,1162.75,1162.8,38
2023-12-18 04:50:00+00:00,1162.75,1162.8,1162.45,1162.8,15
2023-12-18 04:55:00+00:00,1162.65,1166.95,1162.6,1166.4,44
2023-12-18 05:00:00+00:00,1166.4,1166.75,1164.3,1166.75,12
2023-12-18 05:05:00+00:00,1166.5,1167.05,1165.5,1165.5,42
2023-12-18 05:10:00+00:00,1165.5,1167.95,1165.5,1166.95,100
2023-12-18 05:15:00+00:00,1166.95,1168.55,1165.5,1165.5,16
2023-12-18 05:20:00+00:00,1165.5,1168.4,1165.5,1166.6,119
2023-12-18 05:25:00+00:00,1166.6,1167.0,1158.0,1159.2,1777
2023-12-18 05:30:00+00:00,1159.45,1162.95,1158.0,1158.0,86
2023-12-18 05:35:00+00:00,1158.0,1160.95,1157.5,1158.25,282
2023-12-18 05:40:00+00:00,1158.05,1160.6,1158.05,1158.95,15
2023-12-18 05:45:00+00:00,1158.95,1161.4,1158.0,1158.6,55
2023-12-18 05:50:00+00:00,1159.0,1159.2,1158.0,1158.6,26
2023-12-18 05:55:00+00:00,1158.6,1160.9,1158.6,1159.2,26
2023-12-18 06:00:00+00:00,1159.5,1162.1,1158.6,1158.6,28
2023-12-18 06:05:00+00:00,1158.65,1160.9,1158.6,1159.6,41
2023-12-18 06:10:00+00:00,1159.6,1161.65,1156.9,1156.9,160
2023-12-18 06:15:00+00:00,1158.55,1158.55,1156.45,1158.1,54
2023-12-18 06:20:00+00:00,1155.8,1164.85,1155.8,1162.5,590
2023-12-18 06:25:00+00:00,1162.5,1162.75,1160.0,1160.0,79
2023-12-18 06:30:00+00:00,1160.0,1163.0,1160.0,1160.45,224
2023-12-18 06:35:00+00:00,1160.45,1168.0,1160.45,1165.95,430
2023-12-18 06:40:00+00:00,1165.65,1167.9,1165.2,1165.2,34
2023-12-18 06:45:00+00:00,1165.2,1168.0,1165.2,1168.0,129
2023-12-18 06:50:00+00:00,1168.0,1173.9,1167.65,1169.45,683
2023-12-18 06:55:00+00:00,1169.45,1172.55,1167.2,1167.3,59
2023-12-18 07:00:00+00:00,1167.25,1169.05,1164.4,1164.4,19
