,open,high,low,close,volume
2023-12-18 03:45:00+00:00,440.0,442.2,437.1,439.75,1999
2023-12-18 03:50:00+00:00,439.75,440.6,438.05,440.6,353
2023-12-18 03:55:00+00:00,440.6,442.85,440.1,442.1,866
2023-12-18 04:00:00+00:00,442.1,443.55,442.1,443.2,430
2023-12-18 04:05:00+00:00,443.2,444.45,442.25,443.85,355
2023-12-18 04:10:00+00:00,442.6,444.9,441.55,441.55,1347
2023-12-18 04:15:00+00:00,441.55,442.3,441.55,442.0,40
2023-12-18 04:20:00+00:00,442.0,444.05,442.0,442.65,799
2023-12-18 04:25:00+00:00,442.65,442.65,441.65,442.4,57
2023-12-18 04:30:00+00:00,442.4,443.45,441.55,443.45,106
2023-12-18 04:35:00+00:00,443.45,443.45,443.45,443.45,26
2023-12-18 04:40:00+00:00,442.95,444.9,441.3,444.9,178
2023-12-18 04:45:00+00:00,444.9,444.9,444.8,444.8,46
2023-12-18 04:50:00+00:00,443.55,444.75,443.55,444.75,43
2023-12-18 04:55:00+00:00,444.75,444.75,444.65,444.65,25
2023-12-18 05:00:00+00:00,444.65,447.0,444.65,446.8,1473
2023-12-18 05:05:00+00:00,446.8,447.0,446.1,446.1,137
2023-12-18 05:10:00+00:00,446.1,446.1,446.1,446.1,0
2023-12-18 05:15:00+00:00,446.1,446.1,444.0,444.0,114
2023-12-18 05:20:00+00:00,444.0,444.95,444.0,444.95,5
2023-12-18 05:25:00+00:00,444.95,446.9,444.95,446.5,160
2023-12-18 05:30:00+00:00,446.5,448.0,446.5,447.35,1358
2023-12-18 05:35:00+00:00,447.35,448.0,446.7,446.7,386
2023-12-18 05:40:00+00:00,446.7,447.55,446.35,447.55,30
2023-12-18 05:45:00+00:00,447.55,447.9,446.75,447.8,39
2023-12-18 05:50:00+00:00,447.8,448.95,447.8,448.5,2338
2023-12-18 05:55:00+00:00,447.9,448.6,447.9,448.6,43
2023-12-18 06:00:00+00:00,448.6,448.85,447.9,447.9,24
2023-12-18 06:05:00+00:00,447.9,447.9,447.9,447.9,0
2023-12-18 06:10:00+00:00,447.9,447.9,447.05,447.35,241
2023-12-18 06:15:00+00:00,447.35,448.6,447.3,448.6,382
2023-12-18 06:20:00+00:00,448.6,448.85,448.5,448.85,18
2023-12-18 06:25:00+00:00,448.85,448.85,448.85,448.85,23
2023-12-18 06:30:00+00:00,448.55,449.15,448.15,448.15,135
2023-12-18 06:35:00+00:00,448.15,448.55,447.05,447.3,284
2023-12-18 06:40:00+00:00,447.3,449.45,447.3,449.45,176
2023-12-18 06:45:00+00:00,449.45,449.5,449.3,449.5,16
2023-12-18 06:50:00+00:00,449.5,449.5,448.8,448.8,1
2023-12-18 06:55:00+00:00,449.5,449.5,448.15,449.0,131
2023-12-18 07:00:00+00:00,449.0,449.25,448.7,448.7,239
2023-12-18 07:05:00+00:00,448.7,448.7,448.1,448.1,33
2023-12-18 07:10:00+00:00,448.1,449.45,448.1,449.45,235
2023-12-18 07:15:00+00:00,449.45,449.45,446.6,447.85,121
2023-12-18 07:20:00+00:00,447.85,448.8,447.8,448.8,74
2023-12-18 07:25:00+00:00,448.8,448.8,447.1,447.95,103
2023-12-18 07:30:00+00:00,447.95,447.95,447.95,447.95,10
2023-12-18 07:35:00+00:00,447.95,447.95,446.3,447.0,269
2023-12-18 07:40:00+00:00,447.0,447.0,446.55,447.0,82
2023-12-18 07:45:00+00:00,447.0,447.0,446.0,446.0,118
2023-12-18 07:50:00+00:00,446.0,446.0,444.9,444.9,671
2023-12-18 07:55:00+00:00,444.9,444.9,444.7,444.7,250
2023-12-18 08:00:00+00:00,444.7,444.9,443.85,444.6,294
2023-12-18 08:05:00+00:00,444.6,444.6,443.15,444.45,227
2023-12-18 08:10:00+00:00,444.45,444.45,443.1,444.3,264
2023-12-18 08:15:00+00:00,444.3,444.3,443.1,443.25,238
2023-12-18 08:20:00+00:00,443.45,444.3,443.1,444.0,271
2023-12-18 08:25:00+00:00,444.15,444.3,442.6,442.95,1182
2023-12-18 08:30:00+00:00,442.95,443.2,442.95,443.2,158
2023-12-18 08:35:00+00:00,443.2,443.2,442.1,443.15,110
2023-12-18 08:40:00+00:00,443.15,443.15,443.15,443.15,65
2023-12-18 08:45:00+00:00,443.15,444.5,442.45,444.5,1059
2023-12-18 08:50:00+00:00,444.5,444.5,441.9,443.45,1002
2023-12-18 08:55:00+00:00,443.45,444.4,443.45,444.4,140
2023-12-18 09:00:00+00:00,444.4,444.4,443.8,443.8,17
2023-12-18 09:05:00+00:00,443.8,443.8,443.45,443.45,8
2023-12-18 09:10:00+00:00,443.45,443.45,443.45,443.45,0
2023-12-18 09:15:00+00:00,443.45,443.8,441.75,442.75,128
2023-12-18 09:20:00+00:00,442.75,443.95,441.8,442.7,748
2023-12-18 09:25:00+00:00,442.7,443.85,442.05,442.05,210
2023-12-18 09:30:00+00:00,443.7,444.0,443.7,443.95,22
2023-12-18 09:35:00+00:00,443.95,445.0,443.85,445.0,756
2023-12-18 09:40:00+00:00,445.0,454.0,444.35,453.7,4705
2023-12-18 09:45:00+00:00,453.7,454.8,451.75,452.65,585
2023-12-18 09:50:00+00:00,452.65,452.65,450.0,452.55,2188
2023-12-18 09:55:00+00:00,452.55,453.0,450.2,452.95,644
2023-12-19 03:45:00+00:00,449.0,454.8,449.0,453.1,871
2023-12-19 03:50:00+00:00,453.1,453.2,451.55,453.1,209
2023-12-19 03:55:00+00:00,455.5,455.5,453.45,454.0,1436
2023-12-19 04:00:00+00:00,454.0,454.0,452.0,452.4,316
2023-12-19 04:05:00+00:00,452.4,452.9,451.8,451.8,358
2023-12-19 04:10:00+00:00,451.8,455.5,451.0,454.85,1938
2023-12-19 04:15:00+00:00,454.85,455.0,454.5,454.9,828
2023-12-19 04:20:00+00:00,454.9,457.05,454.5,457.05,1734
2023-12-19 04:25:00+00:00,457.05,457.05,455.05,455.05,253
2023-12-19 04:30:00+00:00,455.05,458.0,455.05,456.05,793
2023-12-19 04:35:00+00:00,456.05,457.75,455.85,456.9,262
2023-12-19 04:40:00+00:00,456.9,457.6,455.4,456.8,293
2023-12-19 04:45:00+00:00,456.8,457.0,455.55,457.0,1317
2023-12-19 04:50:00+00:00,457.0,457.0,455.7,455.7,1645
2023-12-19 04:55:00+00:00,455.7,455.95,455.0,455.8,100
2023-12-19 05:00:00+00:00,455.8,455.95,455.8,455.95,50
2023-12-19 05:05:00+00:00,455.95,456.9,455.95,456.9,189
2023-12-19 05:10:00+00:00,456.9,456.9,456.9,456.9,5
2023-12-19 05:15:00+00:00,456.9,456.9,453.9,454.55,2709
2023-12-19 05:20:00+00:00,454.55,455.0,452.15,454.45,1832
2023-12-19 05:25:00+00:00,454.45,454.45,453.35,453.5,71
2023-12-19 05:30:00+00:00,453.5,454.4,453.5,454.4,1
2023-12-19 05:35:00+00:00,454.4,455.0,453.75,454.5,1231
2023-12-19 05:40:00+00:00,454.5,454.5,454.5,454.5,15
2023-12-19 05:45:00+00:00,454.5,454.5,453.2,454.5,146
2023-12-19 05:50:00+00:00,454.5,454.5,454.3,454.3,55
