,open,high,low,close,volume
2023-12-18 03:45:00+00:00,357.6,358.35,351.4,353.6,35522
2023-12-18 03:50:00+00:00,353.15,353.15,350.2,353.0,25389
2023-12-18 03:55:00+00:00,353.0,353.0,351.3,352.35,28506
2023-12-18 04:00:00+00:00,352.35,352.75,350.7,351.1,8195
2023-12-18 04:05:00+00:00,351.1,352.9,350.75,351.8,14341
2023-12-18 04:10:00+00:00,351.8,352.0,350.8,351.85,3853
2023-12-18 04:15:00+00:00,351.85,352.35,351.3,352.0,6409
2023-12-18 04:20:00+00:00,351.55,352.15,349.0,349.0,26389
2023-12-18 04:25:00+00:00,349.0,350.35,348.5,350.35,15011
2023-12-18 04:30:00+00:00,350.35,351.95,350.0,351.65,3431
2023-12-18 04:35:00+00:00,351.65,351.7,350.15,351.2,8371
2023-12-18 04:40:00+00:00,351.2,351.9,351.1,351.45,1939
2023-12-18 04:45:00+00:00,351.45,351.9,350.65,351.1,3420
2023-12-18 04:50:00+00:00,351.15,351.3,351.0,351.25,3513
2023-12-18 04:55:00+00:00,351.25,351.25,351.0,351.25,1132
2023-12-18 05:00:00+00:00,351.25,351.3,350.75,351.1,3422
2023-12-18 05:05:00+00:00,351.0,351.4,350.25,351.4,10153
2023-12-18 05:10:00+00:00,351.4,351.45,350.5,350.55,2617
2023-12-18 05:15:00+00:00,350.55,351.45,350.3,351.0,3501
2023-12-18 05:20:00+00:00,351.0,351.45,350.65,351.45,754
2023-12-18 05:25:00+00:00,351.45,351.7,350.5,351.05,1647
2023-12-18 05:30:00+00:00,351.05,351.4,350.6,350.95,1124
2023-12-18 05:35:00+00:00,350.95,351.25,350.4,350.8,4448
2023-12-18 05:40:00+00:00,350.8,350.8,350.0,350.1,3830
2023-12-18 05:45:00+00:00,350.1,350.65,350.1,350.65,614
2023-12-18 05:50:00+00:00,350.65,350.7,350.15,350.15,2691
2023-12-18 05:55:00+00:00,350.45,350.7,350.15,350.65,1638
2023-12-18 06:00:00+00:00,350.65,351.15,350.65,350.9,1446
2023-12-18 06:05:00+00:00,350.9,351.3,350.55,350.85,876
2023-12-18 06:10:00+00:00,350.85,351.15,350.8,351.0,1043
2023-12-18 06:15:00+00:00,351.0,351.2,350.15,351.15,3976
2023-12-18 06:20:00+00:00,351.15,351.15,350.7,351.1,3640
2023-12-18 06:25:00+00:00,351.1,351.4,350.5,350.7,3474
2023-12-18 06:30:00+00:00,350.7,351.35,350.5,351.0,2517
2023-12-18 06:35:00+00:00,351.0,351.35,350.5,350.5,4611
2023-12-18 06:40:00+00:00,350.5,351.45,350.5,351.45,1195
2023-12-18 06:45:00+00:00,351.45,351.45,350.5,350.9,3363
2023-12-18 06:50:00+00:00,350.9,350.9,350.5,350.9,519
2023-12-18 06:55:00+00:00,350.9,351.0,350.5,350.85,3000
2023-12-18 07:00:00+00:00,350.85,351.0,350.05,350.15,10591
2023-12-18 07:05:00+00:00,350.15,350.8,350.15,350.25,742
2023-12-18 07:10:00+00:00,350.25,350.7,349.35,349.5,10112
2023-12-18 07:15:00+00:00,349.5,350.0,349.35,349.95,2058
2023-12-18 07:20:00+00:00,349.95,349.95,349.0,349.7,4243
2023-12-18 07:25:00+00:00,349.7,350.0,349.55,350.0,2527
2023-12-18 07:30:00+00:00,350.0,350.15,349.05,349.4,8328
2023-12-18 07:35:00+00:00,349.4,349.9,349.1,349.75,643
2023-12-18 07:40:00+00:00,349.75,350.1,349.15,349.55,1267
2023-12-18 07:45:00+00:00,349.8,350.3,349.5,349.7,1835
2023-12-18 07:50:00+00:00,349.7,350.0,349.25,349.95,4311
2023-12-18 07:55:00+00:00,349.95,350.5,349.6,350.05,4150
2023-12-18 08:00:00+00:00,350.05,350.3,349.6,350.2,1090
2023-12-18 08:05:00+00:00,350.2,350.2,349.95,350.15,1125
2023-12-18 08:10:00+00:00,350.15,350.25,349.95,350.25,1086
2023-12-18 08:15:00+00:00,350.25,350.5,350.0,350.2,3634
2023-12-18 08:20:00+00:00,350.2,350.35,350.0,350.0,745
2023-12-18 08:25:00+00:00,350.0,350.45,350.0,350.25,919
2023-12-18 08:30:00+00:00,350.25,350.75,349.0,349.6,28302
2023-12-18 08:35:00+00:00,349.6,349.9,349.4,349.75,1618
2023-12-18 08:40:00+00:00,349.75,349.95,349.2,349.2,2219
2023-12-18 08:45:00+00:00,349.25,349.95,349.2,349.65,2522
2023-12-18 08:50:00+00:00,349.65,349.65,349.15,349.25,513
2023-12-18 08:55:00+00:00,349.25,349.6,349.2,349.3,681
2023-12-18 09:00:00+00:00,349.5,349.6,349.05,349.55,2616
2023-12-18 09:05:00+00:00,349.55,349.9,349.1,349.45,3036
2023-12-18 09:10:00+00:00,349.65,349.9,349.35,349.9,1380
2023-12-18 09:15:00+00:00,349.9,349.9,349.05,349.85,1685
2023-12-18 09:20:00+00:00,349.85,349.95,349.6,349.65,1591
2023-12-18 09:25:00+00:00,349.9,349.95,349.5,349.55,1858
2023-12-18 09:30:00+00:00,349.55,349.9,349.5,349.9,1954
2023-12-18 09:35:00+00:00,349.9,350.35,349.4,350.35,8960
2023-12-18 09:40:00+00:00,350.35,351.5,349.4,349.95,7472
2023-12-18 09:45:00+00:00,350.0,350.0,348.0,348.35,14852
2023-12-18 09:50:00+00:00,348.35,348.55,348.0,348.5,10737
2023-12-18 09:55:00+00:00,348.5,348.5,348.15,348.3,9937
2023-12-19 03:45:00+00:00,352.0,353.95,348.0,349.0,19432
2023-12-19 03:50:00+00:00,349.0,351.65,348.5,349.95,23252
2023-12-19 03:55:00+00:00,349.7,356.0,349.05,355.75,49144
2023-12-19 04:00:00+00:00,355.3,359.9,355.05,359.65,35625
2023-12-19 04:05:00+00:00,359.4,360.1,355.2,355.2,21253
2023-12-19 04:10:00+00:00,355.2,356.35,354.1,354.15,9887
2023-12-19 04:15:00+00:00,353.9,355.0,353.0,355.0,11799
2023-12-19 04:20:00+00:00,355.0,357.4,354.65,356.2,12066
2023-12-19 04:25:00+00:00,356.2,356.35,355.35,355.5,1097
2023-12-19 04:30:00+00:00,355.7,356.2,353.4,353.4,6794
2023-12-19 04:35:00+00:00,353.4,354.15,352.1,353.15,4811
2023-12-19 04:40:00+00:00,353.15,354.5,352.95,354.1,1323
2023-12-19 04:45:00+00:00,354.1,355.4,353.65,355.4,2312
2023-12-19 04:50:00+00:00,355.4,356.95,355.15,355.65,13403
2023-12-19 04:55:00+00:00,355.65,359.7,355.55,357.95,19072
2023-12-19 05:00:00+00:00,357.4,357.95,355.85,357.0,11308
2023-12-19 05:05:00+00:00,357.0,358.8,356.65,358.0,5230
2023-12-19 05:10:00+00:00,358.35,358.85,358.3,358.45,3414
2023-12-19 05:15:00+00:00,358.45,358.9,358.3,358.6,3745
2023-12-19 05:20:00+00:00,358.8,358.9,356.75,357.25,12624
2023-12-19 05:25:00+00:00,357.25,359.0,357.25,358.05,5404
2023-12-19 05:30:00+00:00,358.05,358.9,358.0,358.5,3527
2023-12-19 05:35:00+00:00,358.5,358.95,358.05,358.3,4898
2023-12-19 05:40:00+00:00,358.3,359.0,358.1,358.2,3067
2023-12-19 05:45:00+00:00,358.2,358.45,357.6,358.1,4912
2023-12-19 05:50:00+00:00,358.1,358.5,357.6,358.5,2064
2023-12-19 05:55:00+00:00,358.6,358.75,358.5,358.7,715
2023-12-19 06:00:00+00:00,358.5,358.6,358.0,358.0,3867
2023-12-19 06:05:00+00:00,358.0,358.6,358.0,358.6,1654
