,open,high,low,close,volume
2023-12-18 03:45:00+00:00,412.85,417.75,411.2,416.45,15950
2023-12-18 03:50:00+00:00,416.45,420.35,415.7,420.0,13295
2023-12-18 03:55:00+00:00,419.7,420.2,418.35,419.5,5168
2023-12-18 04:00:00+00:00,419.5,420.0,418.2,418.65,6549
2023-12-18 04:05:00+00:00,418.6,420.1,418.05,420.0,7613
2023-12-18 04:10:00+00:00,420.0,422.0,420.0,421.85,11036
2023-12-18 04:15:00+00:00,421.85,423.0,421.5,422.9,16429
2023-12-18 04:20:00+00:00,422.9,423.0,422.5,422.5,9045
2023-12-18 04:25:00+00:00,422.5,422.5,421.3,421.5,3938
2023-12-18 04:30:00+00:00,421.75,422.15,421.25,421.8,1883
2023-12-18 04:35:00+00:00,421.8,421.8,420.1,421.05,5679
2023-12-18 04:40:00+00:00,421.05,421.5,420.35,420.45,2633
2023-12-18 04:45:00+00:00,420.7,421.15,420.4,421.15,1494
2023-12-18 04:50:00+00:00,421.15,421.25,420.15,420.2,1881
2023-12-18 04:55:00+00:00,420.2,420.4,418.6,419.25,4304
2023-12-18 05:00:00+00:00,419.65,420.0,419.3,419.5,1645
2023-12-18 05:05:00+00:00,419.5,419.95,418.5,418.85,3662
2023-12-18 05:10:00+00:00,418.5,419.0,418.1,418.1,1854
2023-12-18 05:15:00+00:00,418.1,418.5,417.45,417.65,5770
2023-12-18 05:20:00+00:00,417.65,418.1,417.45,417.75,1567
2023-12-18 05:25:00+00:00,417.85,418.45,417.55,418.15,1869
2023-12-18 05:30:00+00:00,418.15,418.4,416.7,417.5,1918
2023-12-18 05:35:00+00:00,417.5,417.7,417.05,417.25,392
2023-12-18 05:40:00+00:00,417.25,418.4,417.1,418.25,2057
2023-12-18 05:45:00+00:00,418.25,418.3,416.65,416.7,6733
2023-12-18 05:50:00+00:00,417.0,417.4,416.0,416.95,2814
2023-12-18 05:55:00+00:00,416.95,417.75,415.1,415.1,4968
2023-12-18 06:00:00+00:00,415.5,416.0,415.1,416.0,2289
2023-12-18 06:05:00+00:00,415.6,415.95,415.1,415.95,1389
2023-12-18 06:10:00+00:00,416.0,416.4,415.1,416.3,2753
2023-12-18 06:15:00+00:00,416.3,416.4,415.5,415.95,765
2023-12-18 06:20:00+00:00,415.95,415.95,414.85,414.85,4303
2023-12-18 06:25:00+00:00,414.95,415.45,414.6,415.3,1964
2023-12-18 06:30:00+00:00,414.9,415.6,414.8,415.6,1424
2023-12-18 06:35:00+00:00,415.6,416.0,415.05,415.35,2451
