,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1008.9,1013.65,1000.0,1005.7,856
2023-12-18 03:50:00+00:00,1005.7,1006.35,1002.8,1005.3,270
2023-12-18 03:55:00+00:00,1005.3,1008.95,1001.85,1006.7,1086
2023-12-18 04:00:00+00:00,1006.7,1008.55,1006.25,1006.25,181
2023-12-18 04:05:00+00:00,1006.25,1009.4,1004.55,1006.55,2020
2023-12-18 04:10:00+00:00,1006.55,1009.3,1006.25,1007.5,170
2023-12-18 04:15:00+00:00,1007.5,1007.5,1006.0,1007.15,142
2023-12-18 04:20:00+00:00,1007.15,1010.45,1005.05,1008.7,1086
2023-12-18 04:25:00+00:00,1008.1,1016.05,1008.1,1016.05,4343
2023-12-18 04:30:00+00:00,1016.05,1017.95,1013.55,1015.0,1217
2023-12-18 04:35:00+00:00,1015.0,1016.8,1015.0,1016.0,205
2023-12-18 04:40:00+00:00,1016.0,1018.05,1014.55,1016.65,904
2023-12-18 04:45:00+00:00,1015.5,1017.4,1015.15,1017.15,136
2023-12-18 04:50:00+00:00,1017.15,1022.0,1014.15,1021.8,2466
2023-12-18 04:55:00+00:00,1021.8,1021.8,1015.55,1017.7,553
2023-12-18 05:00:00+00:00,1017.7,1021.55,1017.6,1019.5,264
2023-12-18 05:05:00+00:00,1021.35,1025.0,1019.25,1022.45,2737
2023-12-18 05:10:00+00:00,1022.45,1034.9,1022.45,1033.65,8941
2023-12-18 05:15:00+00:00,1033.65,1034.0,1028.55,1028.55,1256
2023-12-18 05:20:00+00:00,1028.55,1028.55,1023.0,1023.65,778
2023-12-18 05:25:00+00:00,1023.65,1025.0,1023.5,1023.5,50
2023-12-18 05:30:00+00:00,1024.75,1032.0,1024.3,1028.7,2031
2023-12-18 05:35:00+00:00,1028.7,1045.0,1028.7,1033.05,9137
2023-12-18 05:40:00+00:00,1033.05,1042.1,1032.8,1037.45,1870
2023-12-18 05:45:00+00:00,1037.45,1038.6,1026.55,1033.05,583
2023-12-18 05:50:00+00:00,1033.05,1033.75,1028.7,1031.55,792
2023-12-18 05:55:00+00:00,1031.55,1031.55,1028.1,1031.1,392
2023-12-18 06:00:00+00:00,1031.1,1031.2,1028.05,1031.2,560
2023-12-18 06:05:00+00:00,1031.2,1031.2,1027.0,1028.0,218
2023-12-18 06:10:00+00:00,1028.0,1028.0,1025.0,1025.4,246
2023-12-18 06:15:00+00:00,1025.4,1027.8,1025.0,1025.05,206
2023-12-18 06:20:00+00:00,1025.05,1026.3,1024.5,1026.3,325
2023-12-18 06:25:00+00:00,1026.3,1027.3,1026.3,1027.3,110
2023-12-18 06:30:00+00:00,1027.15,1028.05,1027.0,1028.05,128
2023-12-18 06:35:00+00:00,1028.05,1029.95,1026.35,1027.6,261
2023-12-18 06:40:00+00:00,1027.6,1028.3,1026.05,1026.05,58
2023-12-18 06:45:00+00:00,1026.05,1027.4,1025.25,1025.6,43
