,open,high,low,close,volume
2023-12-18 03:45:00+00:00,238.0,246.15,236.1,242.95,392612
2023-12-18 03:50:00+00:00,243.0,243.45,241.5,243.0,104303
2023-12-18 03:55:00+00:00,243.0,244.5,242.5,243.9,64228
2023-12-18 04:00:00+00:00,244.0,244.45,242.0,242.75,62752
2023-12-18 04:05:00+00:00,242.25,242.75,238.0,239.8,75473
2023-12-18 04:10:00+00:00,239.8,241.65,239.3,241.6,21645
2023-12-18 04:15:00+00:00,241.6,242.35,241.35,241.55,29025
2023-12-18 04:20:00+00:00,241.5,242.0,241.2,241.55,20243
2023-12-18 04:25:00+00:00,241.4,242.0,241.35,241.65,10910
2023-12-18 04:30:00+00:00,241.6,241.9,241.4,241.5,12660
2023-12-18 04:35:00+00:00,241.5,242.35,241.5,242.15,23139
2023-12-18 04:40:00+00:00,242.15,242.3,241.65,241.7,3285
2023-12-18 04:45:00+00:00,241.7,241.85,241.4,241.65,8065
2023-12-18 04:50:00+00:00,241.65,241.7,240.8,241.0,12355
2023-12-18 04:55:00+00:00,241.0,241.5,238.3,238.7,42576
2023-12-18 05:00:00+00:00,239.25,239.95,238.7,239.75,14577
2023-12-18 05:05:00+00:00,240.0,240.0,239.55,239.6,9247
2023-12-18 05:10:00+00:00,239.6,240.0,239.6,239.95,3959
2023-12-18 05:15:00+00:00,239.8,239.95,239.2,239.6,12190
2023-12-18 05:20:00+00:00,239.6,239.6,239.05,239.5,4545
2023-12-18 05:25:00+00:00,239.5,241.0,239.3,241.0,3675
2023-12-18 05:30:00+00:00,241.0,241.9,240.75,241.9,10297
2023-12-18 05:35:00+00:00,241.9,242.0,241.1,241.3,7665
2023-12-18 05:40:00+00:00,241.3,241.8,241.15,241.7,2786
2023-12-18 05:45:00+00:00,241.7,241.9,241.15,241.3,7873
2023-12-18 05:50:00+00:00,241.35,241.4,241.15,241.3,3317
2023-12-18 05:55:00+00:00,241.3,241.5,241.1,241.1,1607
2023-12-18 06:00:00+00:00,241.1,241.5,241.1,241.3,4466
2023-12-18 06:05:00+00:00,241.5,241.5,240.8,241.1,5960
2023-12-18 06:10:00+00:00,241.1,241.25,240.5,240.6,6921
2023-12-18 06:15:00+00:00,240.9,240.95,240.5,240.95,2817
2023-12-18 06:20:00+00:00,240.95,240.95,240.0,240.6,9841
2023-12-18 06:25:00+00:00,240.6,240.95,240.4,240.75,2522
2023-12-18 06:30:00+00:00,240.75,240.8,240.55,240.6,3173
2023-12-18 06:35:00+00:00,240.6,240.75,240.55,240.55,2286
2023-12-18 06:40:00+00:00,240.55,240.65,238.8,239.0,11371
2023-12-18 06:45:00+00:00,238.8,239.0,238.8,239.0,3708
2023-12-18 06:50:00+00:00,239.0,239.0,238.25,238.5,14379
2023-12-18 06:55:00+00:00,238.5,238.5,235.6,235.6,42076
2023-12-18 07:00:00+00:00,235.6,236.7,235.6,236.65,24335
2023-12-18 07:05:00+00:00,236.7,236.7,236.55,236.65,7343
2023-12-18 07:10:00+00:00,236.65,237.85,236.6,236.65,6542
2023-12-18 07:15:00+00:00,236.95,237.85,236.6,237.65,7157
2023-12-18 07:20:00+00:00,237.75,238.95,237.35,237.9,11185
2023-12-18 07:25:00+00:00,237.75,238.25,237.4,238.25,1766
2023-12-18 07:30:00+00:00,238.25,238.25,237.0,237.5,6964
2023-12-18 07:35:00+00:00,237.55,237.55,237.15,237.5,2424
2023-12-18 07:40:00+00:00,237.5,237.5,237.1,237.5,2820
2023-12-18 07:45:00+00:00,237.5,237.7,237.0,237.7,2530
2023-12-18 07:50:00+00:00,237.45,238.0,237.45,237.85,3715
