,open,high,low,close,volume
2023-12-18 03:45:00+00:00,854.0,858.7,852.55,853.95,13199
2023-12-18 03:50:00+00:00,852.9,857.5,852.5,856.5,3653
2023-12-18 03:55:00+00:00,855.45,857.9,855.1,855.5,3002
2023-12-18 04:00:00+00:00,855.5,858.45,854.5,857.85,5888
2023-12-18 04:05:00+00:00,856.95,858.0,856.15,857.5,3062
2023-12-18 04:10:00+00:00,857.5,858.95,857.0,858.75,2647
2023-12-18 04:15:00+00:00,858.8,858.8,857.1,858.0,729
2023-12-18 04:20:00+00:00,858.0,858.0,856.7,856.95,1061
2023-12-18 04:25:00+00:00,856.95,858.0,856.95,857.75,628
2023-12-18 04:30:00+00:00,857.75,859.85,857.0,859.75,2770
2023-12-18 04:35:00+00:00,859.75,860.9,859.0,860.0,4201
2023-12-18 04:40:00+00:00,860.0,860.9,858.55,858.55,1483
2023-12-18 04:45:00+00:00,858.55,858.65,857.2,857.55,578
2023-12-18 04:50:00+00:00,858.25,860.0,858.25,859.0,4689
2023-12-18 04:55:00+00:00,859.0,859.0,858.0,858.0,446
2023-12-18 05:00:00+00:00,858.4,860.5,858.1,859.65,1499
2023-12-18 05:05:00+00:00,859.65,859.65,858.0,859.4,2112
2023-12-18 05:10:00+00:00,859.7,860.4,859.0,860.0,2865
2023-12-18 05:15:00+00:00,859.9,862.25,859.9,862.25,3788
2023-12-18 05:20:00+00:00,861.95,862.5,861.3,861.5,504
2023-12-18 05:25:00+00:00,861.5,862.0,859.3,860.0,983
2023-12-18 05:30:00+00:00,860.35,861.55,860.15,861.5,629
2023-12-18 05:35:00+00:00,861.5,861.5,860.25,860.95,1376
2023-12-18 05:40:00+00:00,860.95,861.5,860.95,861.45,499
2023-12-18 05:45:00+00:00,861.45,861.45,860.4,861.0,673
2023-12-18 05:50:00+00:00,860.3,861.45,860.3,861.4,593
2023-12-18 05:55:00+00:00,861.4,861.5,861.0,861.0,766
2023-12-18 06:00:00+00:00,861.0,861.5,861.0,861.5,161
2023-12-18 06:05:00+00:00,861.5,861.5,860.75,861.45,669
2023-12-18 06:10:00+00:00,861.45,861.65,861.1,861.65,143
2023-12-18 06:15:00+00:00,861.65,861.65,861.0,861.05,267
2023-12-18 06:20:00+00:00,861.1,861.85,861.1,861.65,214
2023-12-18 06:25:00+00:00,861.65,861.65,861.0,861.5,286
2023-12-18 06:30:00+00:00,861.5,861.85,861.05,861.85,908
2023-12-18 06:35:00+00:00,861.85,862.5,861.85,862.3,1142
2023-12-18 06:40:00+00:00,862.3,862.5,861.85,862.5,196
2023-12-18 06:45:00+00:00,862.2,862.2,861.05,861.05,84
2023-12-18 06:50:00+00:00,861.05,861.45,860.4,861.45,602
2023-12-18 06:55:00+00:00,861.45,861.45,861.35,861.35,116
2023-12-18 07:00:00+00:00,861.35,861.45,859.15,859.75,2798
2023-12-18 07:05:00+00:00,859.75,859.95,859.05,859.65,808
2023-12-18 07:10:00+00:00,859.1,861.8,859.1,860.3,2620
2023-12-18 07:15:00+00:00,860.3,862.0,860.3,861.85,488
2023-12-18 07:20:00+00:00,861.85,862.2,861.2,861.3,2139
2023-12-18 07:25:00+00:00,861.3,861.3,860.3,861.3,162
2023-12-18 07:30:00+00:00,861.3,861.3,859.05,859.05,271
2023-12-18 07:35:00+00:00,859.05,859.5,859.05,859.5,346
2023-12-18 07:40:00+00:00,859.5,860.05,859.05,859.6,841
2023-12-18 07:45:00+00:00,859.6,860.65,859.6,860.65,194
2023-12-18 07:50:00+00:00,860.7,861.0,858.1,858.9,2318
2023-12-18 07:55:00+00:00,858.5,860.95,858.5,860.55,931
2023-12-18 08:00:00+00:00,860.55,860.75,859.3,860.1,576
2023-12-18 08:05:00+00:00,860.1,860.35,859.3,860.35,1964
2023-12-18 08:10:00+00:00,860.35,860.35,859.9,860.35,663
2023-12-18 08:15:00+00:00,860.35,862.5,859.9,861.5,3087
2023-12-18 08:20:00+00:00,861.5,861.5,860.0,860.0,1376
2023-12-18 08:25:00+00:00,860.0,860.55,859.05,860.45,1053
2023-12-18 08:30:00+00:00,860.0,861.0,860.0,861.0,1512
2023-12-18 08:35:00+00:00,861.0,861.0,859.85,860.7,2806
2023-12-18 08:40:00+00:00,860.7,864.0,859.95,864.0,3509
2023-12-18 08:45:00+00:00,864.0,864.5,862.6,864.5,688
2023-12-18 08:50:00+00:00,864.5,864.5,863.0,864.25,845
2023-12-18 08:55:00+00:00,864.25,871.0,863.75,869.05,26426
2023-12-18 09:00:00+00:00,869.05,870.0,867.25,868.1,2174
2023-12-18 09:05:00+00:00,868.0,868.2,865.95,866.45,3793
2023-12-18 09:10:00+00:00,866.45,868.0,864.5,864.5,4739
