,open,high,low,close,volume
2023-12-18 03:45:00+00:00,537.45,539.6,534.15,538.8,2867
2023-12-18 03:50:00+00:00,538.0,542.0,537.8,540.9,3843
2023-12-18 03:55:00+00:00,541.0,541.0,539.0,539.55,1376
2023-12-18 04:00:00+00:00,538.2,538.2,535.7,536.0,871
2023-12-18 04:05:00+00:00,536.0,537.95,535.0,537.95,1076
2023-12-18 04:10:00+00:00,537.95,537.95,537.95,537.95,106
2023-12-18 04:15:00+00:00,537.95,540.0,537.95,540.0,659
2023-12-18 04:20:00+00:00,540.0,540.0,537.5,537.55,329
2023-12-18 04:25:00+00:00,537.55,537.7,536.5,536.5,82
2023-12-18 04:30:00+00:00,536.5,538.15,536.5,538.15,586
2023-12-18 04:35:00+00:00,538.15,539.1,538.15,539.1,229
2023-12-18 04:40:00+00:00,539.1,541.0,538.95,540.3,959
2023-12-18 04:45:00+00:00,540.3,540.3,540.0,540.3,39
2023-12-18 04:50:00+00:00,540.45,540.8,539.35,539.35,252
2023-12-18 04:55:00+00:00,539.35,549.4,539.1,548.65,7447
2023-12-18 05:00:00+00:00,550.45,551.1,547.0,547.0,7461
2023-12-18 05:05:00+00:00,547.0,547.35,543.35,544.05,2530
2023-12-18 05:10:00+00:00,544.05,547.65,543.3,546.65,1283
2023-12-18 05:15:00+00:00,546.65,548.9,545.25,546.55,968
2023-12-18 05:20:00+00:00,546.55,547.8,545.7,546.0,597
2023-12-18 05:25:00+00:00,546.0,551.85,546.0,551.15,3912
2023-12-18 05:30:00+00:00,551.85,551.85,548.6,548.6,2644
2023-12-18 05:35:00+00:00,548.6,549.1,546.2,546.2,513
2023-12-18 05:40:00+00:00,546.2,547.1,546.2,546.9,163
2023-12-18 05:45:00+00:00,546.9,546.9,545.1,545.1,184
2023-12-18 05:50:00+00:00,545.1,546.0,545.1,546.0,56
2023-12-18 05:55:00+00:00,546.0,546.0,544.0,545.9,678
2023-12-18 06:00:00+00:00,545.9,545.9,545.5,545.5,9
2023-12-18 06:05:00+00:00,545.5,545.5,544.15,544.25,231
2023-12-18 06:10:00+00:00,544.25,545.0,544.25,544.35,401
2023-12-18 06:15:00+00:00,544.35,545.0,544.35,544.4,43
2023-12-18 06:20:00+00:00,544.4,545.0,544.3,544.3,276
2023-12-18 06:25:00+00:00,544.3,545.0,544.0,544.0,1015
2023-12-18 06:30:00+00:00,544.0,544.5,543.25,544.5,78
2023-12-18 06:35:00+00:00,544.5,544.5,542.0,542.9,919
2023-12-18 06:40:00+00:00,542.9,544.65,542.9,543.95,240
2023-12-18 06:45:00+00:00,543.95,545.0,543.95,543.95,263
2023-12-18 06:50:00+00:00,543.95,543.95,543.25,543.9,65
2023-12-18 06:55:00+00:00,544.75,544.75,544.5,544.5,106
2023-12-18 07:00:00+00:00,544.5,544.5,544.5,544.5,0
2023-12-18 07:05:00+00:00,544.5,544.6,544.5,544.6,54
2023-12-18 07:10:00+00:00,544.6,544.9,542.9,542.9,105
2023-12-18 07:15:00+00:00,542.9,544.25,542.9,543.25,13
2023-12-18 07:20:00+00:00,543.25,544.45,543.25,544.3,56
2023-12-18 07:25:00+00:00,544.3,544.3,544.3,544.3,0
2023-12-18 07:30:00+00:00,544.3,544.3,544.3,544.3,10
2023-12-18 07:35:00+00:00,544.0,544.0,544.0,544.0,619
2023-12-18 07:40:00+00:00,544.0,544.0,544.0,544.0,10
2023-12-18 07:45:00+00:00,544.0,544.9,544.0,544.3,32
2023-12-18 07:50:00+00:00,544.3,544.3,543.0,543.75,772
2023-12-18 07:55:00+00:00,543.75,544.8,542.05,542.05,246
2023-12-18 08:00:00+00:00,542.05,542.05,542.0,542.0,100
2023-12-18 08:05:00+00:00,542.2,543.15,542.2,543.15,41
2023-12-18 08:10:00+00:00,543.15,543.15,542.85,542.85,5
2023-12-18 08:15:00+00:00,542.85,543.35,542.85,543.35,15
2023-12-18 08:20:00+00:00,543.35,545.0,543.35,545.0,20
2023-12-18 08:25:00+00:00,545.0,545.0,545.0,545.0,95
2023-12-18 08:30:00+00:00,545.0,545.0,545.0,545.0,0
2023-12-18 08:35:00+00:00,545.0,545.0,543.85,543.85,1
2023-12-18 08:40:00+00:00,543.85,544.1,543.85,544.1,25
2023-12-18 08:45:00+00:00,544.1,544.5,543.75,544.5,125
2023-12-18 08:50:00+00:00,544.5,544.6,543.45,544.0,35
2023-12-18 08:55:00+00:00,544.0,544.85,543.65,544.3,377
2023-12-18 09:00:00+00:00,544.3,544.3,542.6,543.05,60
2023-12-18 09:05:00+00:00,543.05,544.75,543.05,544.75,81
2023-12-18 09:10:00+00:00,544.75,544.85,544.05,544.85,169
2023-12-18 09:15:00+00:00,544.85,545.9,543.3,543.5,1001
2023-12-18 09:20:00+00:00,543.5,545.0,543.5,543.55,92
2023-12-18 09:25:00+00:00,543.55,544.75,542.85,542.85,107
2023-12-18 09:30:00+00:00,542.85,543.05,540.0,541.25,1789
2023-12-18 09:35:00+00:00,541.25,542.0,540.25,540.35,1604
2023-12-18 09:40:00+00:00,540.35,541.85,540.25,541.65,792
2023-12-18 09:45:00+00:00,541.65,542.35,540.7,540.9,468
2023-12-18 09:50:00+00:00,540.9,542.1,540.9,542.1,743
2023-12-18 09:55:00+00:00,542.1,544.95,540.1,544.95,2327
2023-12-19 03:45:00+00:00,542.95,544.65,542.95,543.65,414
2023-12-19 03:50:00+00:00,543.65,545.0,543.65,544.0,276
2023-12-19 03:55:00+00:00,544.0,547.0,544.0,547.0,703
2023-12-19 04:00:00+00:00,547.0,547.0,545.05,545.05,229
2023-12-19 04:05:00+00:00,545.05,546.45,544.0,544.0,617
2023-12-19 04:10:00+00:00,544.0,544.0,542.0,542.15,666
2023-12-19 04:15:00+00:00,542.15,542.55,540.65,541.6,635
2023-12-19 04:20:00+00:00,541.6,541.6,541.6,541.6,0
2023-12-19 04:25:00+00:00,541.6,541.75,541.4,541.75,232
2023-12-19 04:30:00+00:00,541.75,541.75,541.75,541.75,0
2023-12-19 04:35:00+00:00,541.75,541.75,541.0,541.0,199
2023-12-19 04:40:00+00:00,541.0,541.0,541.0,541.0,65
2023-12-19 04:45:00+00:00,541.0,541.6,540.85,541.6,155
2023-12-19 04:50:00+00:00,541.6,541.85,540.95,541.85,40
2023-12-19 04:55:00+00:00,541.85,542.15,539.95,541.6,1119
2023-12-19 05:00:00+00:00,541.6,541.6,540.45,540.45,211
2023-12-19 05:05:00+00:00,540.45,540.5,539.55,540.5,217
2023-12-19 05:10:00+00:00,540.95,540.95,539.65,540.0,132
2023-12-19 05:15:00+00:00,540.0,542.0,539.9,542.0,110
2023-12-19 05:20:00+00:00,542.0,544.0,542.0,543.1,354
2023-12-19 05:25:00+00:00,543.1,543.1,542.45,542.5,130
2023-12-19 05:30:00+00:00,542.5,542.5,541.75,541.75,50
