,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1042.0,1046.0,1030.15,1033.7,20967
2023-12-18 03:50:00+00:00,1034.45,1038.95,1033.8,1036.3,11366
2023-12-18 03:55:00+00:00,1035.85,1037.65,1035.25,1035.8,10861
2023-12-18 04:00:00+00:00,1036.2,1037.25,1034.9,1034.9,7616
2023-12-18 04:05:00+00:00,1034.9,1041.25,1034.9,1040.15,9953
2023-12-18 04:10:00+00:00,1040.15,1041.35,1039.5,1040.4,9902
2023-12-18 04:15:00+00:00,1040.0,1043.2,1040.0,1042.75,7318
2023-12-18 04:20:00+00:00,1042.75,1044.35,1042.0,1042.9,3916
2023-12-18 04:25:00+00:00,1042.4,1044.7,1042.0,1044.35,6075
2023-12-18 04:30:00+00:00,1044.35,1047.5,1044.0,1045.75,35163
2023-12-18 04:35:00+00:00,1045.75,1045.75,1044.0,1045.0,46888
2023-12-18 04:40:00+00:00,1045.0,1045.5,1044.0,1044.0,24213
2023-12-18 04:45:00+00:00,1044.0,1045.7,1044.0,1044.95,27308
2023-12-18 04:50:00+00:00,1044.95,1046.5,1044.95,1045.3,5482
2023-12-18 04:55:00+00:00,1045.3,1045.55,1044.5,1045.35,6378
2023-12-18 05:00:00+00:00,1045.35,1046.45,1045.25,1045.95,2785
2023-12-18 05:05:00+00:00,1046.0,1047.4,1045.2,1046.45,7444
2023-12-18 05:10:00+00:00,1046.45,1047.05,1046.0,1046.8,2535
2023-12-18 05:15:00+00:00,1046.8,1047.4,1046.0,1046.25,4721
2023-12-18 05:20:00+00:00,1046.25,1049.55,1046.2,1048.6,8132
2023-12-18 05:25:00+00:00,1048.85,1049.2,1047.15,1047.6,2937
2023-12-18 05:30:00+00:00,1047.6,1049.5,1047.6,1047.75,4682
2023-12-18 05:35:00+00:00,1047.75,1048.45,1047.6,1048.0,1389
2023-12-18 05:40:00+00:00,1048.0,1048.0,1046.05,1046.05,3620
2023-12-18 05:45:00+00:00,1046.55,1046.55,1045.85,1045.85,2076
2023-12-18 05:50:00+00:00,1045.85,1048.3,1045.85,1046.95,5529
2023-12-18 05:55:00+00:00,1046.95,1049.85,1046.6,1049.0,44674
2023-12-18 06:00:00+00:00,1049.0,1050.6,1048.5,1048.95,16806
2023-12-18 06:05:00+00:00,1048.95,1049.0,1047.35,1047.4,2451
2023-12-18 06:10:00+00:00,1047.4,1047.7,1047.2,1047.2,1866
2023-12-18 06:15:00+00:00,1047.2,1047.25,1040.0,1040.55,13941
2023-12-18 06:20:00+00:00,1040.55,1042.05,1039.3,1040.6,4494
2023-12-18 06:25:00+00:00,1040.6,1041.2,1037.0,1038.05,9132
2023-12-18 06:30:00+00:00,1038.05,1038.2,1035.15,1035.8,8571
2023-12-18 06:35:00+00:00,1035.8,1037.3,1034.9,1035.65,9507
2023-12-18 06:40:00+00:00,1035.2,1035.75,1035.0,1035.2,6990
2023-12-18 06:45:00+00:00,1035.2,1037.0,1035.0,1036.35,6401
2023-12-18 06:50:00+00:00,1036.35,1036.55,1035.0,1036.4,5540
2023-12-18 06:55:00+00:00,1036.4,1036.65,1034.9,1035.35,10350
2023-12-18 07:00:00+00:00,1035.35,1036.1,1034.35,1035.4,7053
2023-12-18 07:05:00+00:00,1035.4,1036.2,1035.0,1035.35,6457
2023-12-18 07:10:00+00:00,1035.35,1037.6,1035.0,1035.35,6405
2023-12-18 07:15:00+00:00,1035.35,1037.05,1035.25,1035.7,8217
2023-12-18 07:20:00+00:00,1035.7,1036.6,1035.0,1035.35,5603
2023-12-18 07:25:00+00:00,1035.35,1036.25,1033.6,1034.45,11774
2023-12-18 07:30:00+00:00,1034.45,1036.3,1034.05,1034.85,5462
2023-12-18 07:35:00+00:00,1034.85,1035.6,1034.25,1034.45,6396
2023-12-18 07:40:00+00:00,1034.45,1035.0,1034.45,1034.9,4944
2023-12-18 07:45:00+00:00,1034.9,1035.0,1034.5,1035.0,4934
2023-12-18 07:50:00+00:00,1034.8,1035.0,1034.15,1034.85,4042
2023-12-18 07:55:00+00:00,1034.85,1039.3,1034.85,1036.7,19944
2023-12-18 08:00:00+00:00,1036.7,1036.95,1035.15,1035.8,5292
2023-12-18 08:05:00+00:00,1035.8,1036.65,1035.0,1035.0,4478
2023-12-18 08:10:00+00:00,1035.0,1036.05,1035.0,1035.5,4550
2023-12-18 08:15:00+00:00,1035.5,1036.0,1035.0,1035.4,6113
2023-12-18 08:20:00+00:00,1035.95,1035.95,1034.6,1035.75,5830
2023-12-18 08:25:00+00:00,1035.25,1035.9,1034.6,1035.5,6936
2023-12-18 08:30:00+00:00,1035.4,1036.95,1035.05,1035.05,4611
2023-12-18 08:35:00+00:00,1035.05,1036.45,1035.0,1035.8,5710
2023-12-18 08:40:00+00:00,1035.8,1036.0,1035.0,1035.6,6518
2023-12-18 08:45:00+00:00,1035.6,1035.7,1034.2,1035.0,10444
2023-12-18 08:50:00+00:00,1035.0,1035.25,1034.45,1035.0,6588
2023-12-18 08:55:00+00:00,1035.0,1035.25,1035.0,1035.0,5137
2023-12-18 09:00:00+00:00,1035.05,1036.0,1035.0,1035.35,3833
2023-12-18 09:05:00+00:00,1035.4,1036.4,1035.0,1035.5,7956
2023-12-18 09:10:00+00:00,1035.5,1035.95,1035.0,1035.15,7315
2023-12-18 09:15:00+00:00,1035.15,1035.35,1034.55,1034.8,6428
2023-12-18 09:20:00+00:00,1034.8,1035.2,1032.2,1032.2,10551
2023-12-18 09:25:00+00:00,1032.2,1033.05,1032.2,1032.5,2347
2023-12-18 09:30:00+00:00,1032.3,1032.5,1030.55,1031.05,15544
2023-12-18 09:35:00+00:00,1031.05,1031.8,1030.25,1030.85,9320
2023-12-18 09:40:00+00:00,1030.85,1031.8,1029.95,1030.7,29253
2023-12-18 09:45:00+00:00,1030.85,1032.25,1029.7,1031.0,32187
2023-12-18 09:50:00+00:00,1031.0,1031.3,1030.3,1030.95,17314
2023-12-18 09:55:00+00:00,1030.95,1031.65,1026.35,1027.1,22436
2023-12-19 03:45:00+00:00,1033.0,1033.0,1029.6,1031.8,10370
2023-12-19 03:50:00+00:00,1031.8,1032.1,1029.2,1031.25,7293
2023-12-19 03:55:00+00:00,1031.25,1038.0,1031.25,1036.85,20566
2023-12-19 04:00:00+00:00,1036.95,1037.0,1035.2,1037.0,3826
2023-12-19 04:05:00+00:00,1036.95,1038.75,1036.3,1037.55,4874
2023-12-19 04:10:00+00:00,1037.55,1037.55,1031.5,1031.75,6581
2023-12-19 04:15:00+00:00,1031.75,1034.15,1031.75,1032.9,5910
2023-12-19 04:20:00+00:00,1032.9,1032.9,1030.4,1030.8,4055
2023-12-19 04:25:00+00:00,1030.8,1030.8,1027.3,1028.55,9161
2023-12-19 04:30:00+00:00,1028.6,1030.0,1027.6,1028.6,5655
2023-12-19 04:35:00+00:00,1028.95,1032.2,1027.8,1031.0,20021
2023-12-19 04:40:00+00:00,1031.0,1032.2,1030.3,1032.0,24260
2023-12-19 04:45:00+00:00,1032.0,1032.15,1031.0,1031.35,5116
2023-12-19 04:50:00+00:00,1031.35,1032.3,1031.0,1031.7,1546
2023-12-19 04:55:00+00:00,1031.7,1034.3,1031.7,1033.0,172914
2023-12-19 05:00:00+00:00,1033.0,1037.2,1033.0,1037.1,8043
2023-12-19 05:05:00+00:00,1037.1,1037.1,1035.6,1036.05,1385
2023-12-19 05:10:00+00:00,1036.05,1043.6,1036.05,1043.1,15489
2023-12-19 05:15:00+00:00,1043.1,1049.0,1041.45,1048.35,78307
2023-12-19 05:20:00+00:00,1048.35,1052.95,1046.65,1048.0,68632
2023-12-19 05:25:00+00:00,1048.0,1051.05,1048.0,1048.9,10056
2023-12-19 05:30:00+00:00,1048.9,1051.95,1047.3,1047.9,15637
2023-12-19 05:35:00+00:00,1047.85,1053.05,1046.2,1051.0,32780
2023-12-19 05:40:00+00:00,1051.7,1054.65,1050.0,1053.5,43042
2023-12-19 05:45:00+00:00,1053.95,1054.05,1050.5,1051.5,13791
2023-12-19 05:50:00+00:00,1051.5,1051.55,1049.15,1049.6,8019
2023-12-19 05:55:00+00:00,1049.6,1051.7,1049.45,1051.0,8006
2023-12-19 06:00:00+00:00,1051.0,1052.0,1049.6,1050.0,7214
2023-12-19 06:05:00+00:00,1050.0,1050.9,1050.0,1050.25,1968
2023-12-19 06:10:00+00:00,1050.25,1050.75,1048.05,1048.05,3776
2023-12-19 06:15:00+00:00,1048.05,1048.55,1042.65,1045.3,10776
2023-12-19 06:20:00+00:00,1045.3,1045.5,1043.0,1044.15,2465
2023-12-19 06:25:00+00:00,1044.15,1044.9,1043.9,1044.15,1619
2023-12-19 06:30:00+00:00,1044.65,1044.65,1042.25,1043.8,3476
2023-12-19 06:35:00+00:00,1043.8,1044.3,1042.95,1043.65,4935
2023-12-19 06:40:00+00:00,1043.65,1047.4,1043.65,1047.4,6007
2023-12-19 06:45:00+00:00,1047.4,1050.45,1047.0,1050.0,11615
2023-12-19 06:50:00+00:00,1050.0,1050.0,1049.15,1049.65,1808
2023-12-19 06:55:00+00:00,1049.65,1051.65,1049.5,1049.5,7920
2023-12-19 07:00:00+00:00,1049.5,1051.55,1049.5,1050.85,2551
2023-12-19 07:05:00+00:00,1050.85,1053.0,1050.75,1051.8,13320
2023-12-19 07:10:00+00:00,1051.8,1051.8,1050.75,1050.8,2841
2023-12-19 07:15:00+00:00,1050.8,1052.4,1050.8,1052.0,20861
2023-12-19 07:20:00+00:00,1052.0,1052.95,1051.8,1052.5,8970
2023-12-19 07:25:00+00:00,1052.5,1053.55,1052.0,1053.0,6966
2023-12-19 07:30:00+00:00,1053.0,1053.0,1051.8,1052.0,2900
2023-12-19 07:35:00+00:00,1052.0,1054.0,1052.0,1052.85,9177
2023-12-19 07:40:00+00:00,1052.85,1054.0,1052.35,1052.35,3628
2023-12-19 07:45:00+00:00,1052.25,1052.45,1052.0,1052.45,5752
2023-12-19 07:50:00+00:00,1052.05,1053.35,1052.0,1053.35,7228
2023-12-19 07:55:00+00:00,1053.35,1055.55,1052.7,1055.05,20724
2023-12-19 08:00:00+00:00,1054.95,1057.95,1054.95,1055.5,13120
2023-12-19 08:05:00+00:00,1055.5,1056.9,1055.5,1056.25,3983
2023-12-19 08:10:00+00:00,1056.25,1056.7,1054.1,1054.15,6443
2023-12-19 08:15:00+00:00,1054.15,1054.7,1054.0,1054.6,8620
2023-12-19 08:20:00+00:00,1054.6,1056.1,1054.1,1054.95,3596
2023-12-19 08:25:00+00:00,1054.95,1054.95,1053.5,1054.5,9990
2023-12-19 08:30:00+00:00,1054.5,1054.75,1051.35,1051.35,14082
2023-12-19 08:35:00+00:00,1051.35,1052.15,1049.25,1050.4,7531
2023-12-19 08:40:00+00:00,1050.4,1050.9,1048.15,1049.3,6940
