,open,high,low,close,volume
2023-12-18 03:45:00+00:00,899.2,902.95,889.1,890.3,6585
2023-12-18 03:50:00+00:00,890.0,899.0,886.8,899.0,3608
2023-12-18 03:55:00+00:00,899.0,902.45,897.6,899.85,5138
2023-12-18 04:00:00+00:00,899.85,904.1,899.1,901.6,3533
2023-12-18 04:05:00+00:00,901.9,904.4,901.35,902.75,3882
2023-12-18 04:10:00+00:00,902.75,903.85,900.55,901.85,752
2023-12-18 04:15:00+00:00,901.85,901.85,897.6,899.6,1745
2023-12-18 04:20:00+00:00,899.6,900.0,898.15,899.65,1218
2023-12-18 04:25:00+00:00,899.5,899.7,898.0,899.0,521
2023-12-18 04:30:00+00:00,899.65,909.8,899.15,909.5,7088
2023-12-18 04:35:00+00:00,909.5,912.75,907.65,912.75,5976
2023-12-18 04:40:00+00:00,912.75,914.0,910.4,913.7,6633
2023-12-18 04:45:00+00:00,913.7,914.0,912.1,913.7,3368
2023-12-18 04:50:00+00:00,913.7,915.65,912.95,915.0,4944
2023-12-18 04:55:00+00:00,915.0,915.5,912.65,914.5,1998
2023-12-18 05:00:00+00:00,914.5,914.75,911.0,912.35,2407
2023-12-18 05:05:00+00:00,912.35,912.35,909.2,911.45,1894
2023-12-18 05:10:00+00:00,911.5,912.0,909.55,910.4,1090
2023-12-18 05:15:00+00:00,910.4,910.75,906.5,907.35,1463
2023-12-18 05:20:00+00:00,907.35,909.35,907.0,909.0,777
2023-12-18 05:25:00+00:00,907.75,909.0,907.05,908.35,3449
2023-12-18 05:30:00+00:00,906.7,908.95,906.7,907.4,1779
2023-12-18 05:35:00+00:00,908.35,908.45,906.9,907.9,351
2023-12-18 05:40:00+00:00,907.95,908.35,907.0,908.15,337
2023-12-18 05:45:00+00:00,908.15,908.45,907.0,908.4,935
2023-12-18 05:50:00+00:00,908.4,908.55,907.75,908.2,838
2023-12-18 05:55:00+00:00,908.2,908.5,903.6,906.35,3135
2023-12-18 06:00:00+00:00,906.35,906.4,905.0,905.85,405
2023-12-18 06:05:00+00:00,905.85,905.95,904.65,904.9,567
2023-12-18 06:10:00+00:00,904.9,905.45,904.0,904.85,1420
2023-12-18 06:15:00+00:00,904.85,904.85,902.1,902.1,950
2023-12-18 06:20:00+00:00,902.1,903.95,902.1,903.4,182
2023-12-18 06:25:00+00:00,903.4,903.5,901.9,903.25,471
2023-12-18 06:30:00+00:00,903.25,905.35,902.2,904.45,3567
2023-12-18 06:35:00+00:00,904.45,905.15,903.7,904.05,15983
2023-12-18 06:40:00+00:00,904.05,905.5,904.05,905.5,347
