,open,high,low,close,volume
2023-12-18 03:45:00+00:00,171.0,172.0,170.25,170.25,17571
2023-12-18 03:50:00+00:00,170.65,171.3,170.15,171.05,5517
2023-12-18 03:55:00+00:00,171.2,171.95,171.2,171.55,4934
2023-12-18 04:00:00+00:00,171.55,172.0,171.45,171.45,3247
2023-12-18 04:05:00+00:00,171.45,172.25,171.4,172.25,7195
2023-12-18 04:10:00+00:00,172.25,172.25,171.45,171.8,3630
2023-12-18 04:15:00+00:00,171.85,171.85,171.35,171.35,5217
2023-12-18 04:20:00+00:00,171.75,172.1,171.5,171.9,4939
2023-12-18 04:25:00+00:00,171.9,172.5,171.8,172.5,4666
2023-12-18 04:30:00+00:00,172.5,172.5,172.15,172.15,1276
2023-12-18 04:35:00+00:00,172.15,173.0,172.15,173.0,4394
2023-12-18 04:40:00+00:00,173.0,176.0,173.0,175.45,48654
2023-12-18 04:45:00+00:00,175.45,176.4,174.0,174.2,28826
2023-12-18 04:50:00+00:00,174.2,175.45,174.15,174.7,6195
2023-12-18 04:55:00+00:00,174.9,175.45,174.35,174.6,9838
2023-12-18 05:00:00+00:00,174.6,174.85,174.5,174.65,2154
2023-12-18 05:05:00+00:00,174.65,174.65,173.55,173.6,4148
2023-12-18 05:10:00+00:00,173.6,174.1,173.6,174.1,2803
2023-12-18 05:15:00+00:00,174.1,175.0,174.0,175.0,9610
2023-12-18 05:20:00+00:00,175.0,175.0,173.8,174.9,4526
2023-12-18 05:25:00+00:00,174.9,174.9,173.95,173.95,7088
2023-12-18 05:30:00+00:00,173.95,174.45,173.95,174.45,3091
2023-12-18 05:35:00+00:00,174.45,174.6,173.85,174.3,3182
2023-12-18 05:40:00+00:00,174.0,174.3,174.0,174.0,1784
2023-12-18 05:45:00+00:00,174.0,174.25,174.0,174.2,183
2023-12-18 05:50:00+00:00,174.2,174.3,173.6,173.65,3674
2023-12-18 05:55:00+00:00,173.65,173.7,173.0,173.25,7647
2023-12-18 06:00:00+00:00,173.5,173.5,173.0,173.2,2210
2023-12-18 06:05:00+00:00,173.2,173.35,173.05,173.05,739
2023-12-18 06:10:00+00:00,173.05,173.5,173.0,173.3,2765
2023-12-18 06:15:00+00:00,173.3,174.4,173.0,174.1,5390
2023-12-18 06:20:00+00:00,174.1,175.0,174.1,174.2,8802
2023-12-18 06:25:00+00:00,174.2,174.5,174.1,174.4,943
2023-12-18 06:30:00+00:00,174.4,174.4,174.1,174.35,2138
2023-12-18 06:35:00+00:00,174.35,174.35,174.0,174.0,1299
2023-12-18 06:40:00+00:00,174.0,174.2,173.5,173.8,1988
2023-12-18 06:45:00+00:00,173.8,173.8,172.85,173.3,5611
2023-12-18 06:50:00+00:00,173.35,173.35,173.05,173.35,443
2023-12-18 06:55:00+00:00,173.35,173.35,173.1,173.1,2133
2023-12-18 07:00:00+00:00,173.1,173.35,173.1,173.2,837
2023-12-18 07:05:00+00:00,173.0,173.35,173.0,173.0,2219
2023-12-18 07:10:00+00:00,173.0,173.9,172.5,173.4,4210
2023-12-18 07:15:00+00:00,173.4,173.4,173.05,173.25,288
2023-12-18 07:20:00+00:00,173.25,173.4,172.95,173.1,1531
2023-12-18 07:25:00+00:00,173.35,173.8,172.7,172.75,2744
