,open,high,low,close,volume
2023-12-18 03:45:00+00:00,930.0,930.05,918.0,923.45,3595
2023-12-18 03:50:00+00:00,923.45,927.25,918.2,927.25,2577
2023-12-18 03:55:00+00:00,927.25,927.25,923.25,924.65,1146
2023-12-18 04:00:00+00:00,924.65,928.95,916.1,917.0,4314
2023-12-18 04:05:00+00:00,917.0,919.0,915.6,917.4,654
2023-12-18 04:10:00+00:00,917.4,920.1,916.85,917.1,3041
2023-12-18 04:15:00+00:00,919.35,919.35,916.1,916.4,2477
2023-12-18 04:20:00+00:00,916.4,917.1,910.45,913.95,3019
2023-12-18 04:25:00+00:00,913.95,916.7,912.55,916.2,1668
2023-12-18 04:30:00+00:00,915.2,918.0,915.2,916.85,908
2023-12-18 04:35:00+00:00,916.3,917.7,915.4,917.45,1147
2023-12-18 04:40:00+00:00,917.45,917.45,915.7,915.95,184
2023-12-18 04:45:00+00:00,915.95,918.9,915.95,917.6,1366
2023-12-18 04:50:00+00:00,917.6,918.0,916.55,917.6,220
2023-12-18 04:55:00+00:00,917.6,918.0,916.0,918.0,401
2023-12-18 05:00:00+00:00,918.0,921.5,917.05,919.35,1684
2023-12-18 05:05:00+00:00,919.35,919.5,915.55,917.45,392
2023-12-18 05:10:00+00:00,917.45,918.1,917.2,917.5,168
2023-12-18 05:15:00+00:00,917.5,920.75,917.45,918.0,821
2023-12-18 05:20:00+00:00,918.0,919.75,917.65,917.65,437
2023-12-18 05:25:00+00:00,917.65,919.15,917.55,918.4,835
2023-12-18 05:30:00+00:00,918.85,918.85,917.45,917.85,271
2023-12-18 05:35:00+00:00,917.85,917.85,915.15,916.8,1085
2023-12-18 05:40:00+00:00,916.8,918.4,915.65,917.75,407
2023-12-18 05:45:00+00:00,917.75,918.2,916.1,917.25,323
2023-12-18 05:50:00+00:00,917.25,917.8,916.1,917.05,420
2023-12-18 05:55:00+00:00,917.05,917.45,915.5,916.5,503
2023-12-18 06:00:00+00:00,916.5,916.6,915.3,915.5,284
2023-12-18 06:05:00+00:00,915.5,916.75,915.2,916.75,631
2023-12-18 06:10:00+00:00,916.7,916.7,915.55,915.8,54
2023-12-18 06:15:00+00:00,915.8,916.75,915.55,915.55,659
2023-12-18 06:20:00+00:00,915.55,916.45,915.55,916.45,42
2023-12-18 06:25:00+00:00,914.9,914.9,912.0,913.15,2838
2023-12-18 06:30:00+00:00,913.15,914.1,912.0,912.05,1243
2023-12-18 06:35:00+00:00,912.05,914.0,912.05,913.75,205
2023-12-18 06:40:00+00:00,913.75,913.75,912.0,913.15,313
2023-12-18 06:45:00+00:00,913.15,913.65,911.85,911.85,2178
2023-12-18 06:50:00+00:00,911.85,914.45,911.85,913.2,245
2023-12-18 06:55:00+00:00,913.2,914.85,913.2,914.85,136
2023-12-18 07:00:00+00:00,914.85,914.85,914.35,914.75,56
2023-12-18 07:05:00+00:00,914.75,916.2,914.75,916.2,79
2023-12-18 07:10:00+00:00,916.2,916.2,915.0,915.0,312
2023-12-18 07:15:00+00:00,915.0,915.0,913.55,914.5,526
2023-12-18 07:20:00+00:00,914.5,915.0,913.25,915.0,583
2023-12-18 07:25:00+00:00,915.0,916.5,915.0,916.3,449
2023-12-18 07:30:00+00:00,916.3,916.3,914.5,914.5,286
2023-12-18 07:35:00+00:00,914.5,916.0,914.5,916.0,193
2023-12-18 07:40:00+00:00,916.0,916.7,915.8,916.65,219
2023-12-18 07:45:00+00:00,916.65,916.65,915.65,916.4,11
2023-12-18 07:50:00+00:00,916.4,916.5,913.0,913.0,3178
2023-12-18 07:55:00+00:00,913.0,915.1,913.0,914.75,317
2023-12-18 08:00:00+00:00,914.75,914.75,913.05,913.8,150
2023-12-18 08:05:00+00:00,913.8,914.95,913.6,913.6,951
2023-12-18 08:10:00+00:00,913.6,914.75,913.25,913.75,175
2023-12-18 08:15:00+00:00,913.75,914.85,913.15,913.15,205
2023-12-18 08:20:00+00:00,913.15,914.8,913.05,913.05,399
2023-12-18 08:25:00+00:00,913.05,914.4,913.05,914.1,49
2023-12-18 08:30:00+00:00,914.1,914.15,913.1,914.15,88
2023-12-18 08:35:00+00:00,914.15,914.5,913.05,913.05,142
2023-12-18 08:40:00+00:00,913.05,913.9,913.05,913.9,82
2023-12-18 08:45:00+00:00,913.9,914.5,913.1,914.1,287
2023-12-18 08:50:00+00:00,914.1,915.1,912.8,915.1,1704
2023-12-18 08:55:00+00:00,915.1,917.0,915.0,916.15,1513
2023-12-18 09:00:00+00:00,916.15,916.15,915.05,915.05,118
2023-12-18 09:05:00+00:00,915.05,916.1,914.55,915.8,1418
2023-12-18 09:10:00+00:00,915.8,915.8,914.5,914.55,2257
2023-12-18 09:15:00+00:00,914.55,915.95,914.5,915.1,501
2023-12-18 09:20:00+00:00,915.1,916.25,914.5,915.25,141
2023-12-18 09:25:00+00:00,915.25,915.25,914.5,914.5,774
2023-12-18 09:30:00+00:00,914.5,914.5,913.1,913.1,279
2023-12-18 09:35:00+00:00,913.1,916.2,912.55,915.65,3295
2023-12-18 09:40:00+00:00,915.65,916.45,914.5,915.2,1598
2023-12-18 09:45:00+00:00,915.2,916.45,914.05,916.45,1672
2023-12-18 09:50:00+00:00,916.45,918.0,915.25,916.55,1712
2023-12-18 09:55:00+00:00,917.05,919.0,915.5,919.0,2710
2023-12-19 03:45:00+00:00,918.0,919.7,915.15,916.0,4097
2023-12-19 03:50:00+00:00,916.55,917.75,914.0,916.55,1367
2023-12-19 03:55:00+00:00,916.55,921.0,916.05,920.8,1598
2023-12-19 04:00:00+00:00,921.05,921.95,917.1,917.85,1792
2023-12-19 04:05:00+00:00,917.85,920.7,915.9,919.95,2158
2023-12-19 04:10:00+00:00,919.95,924.9,918.55,920.5,4030
2023-12-19 04:15:00+00:00,920.5,921.5,918.55,921.0,3799
2023-12-19 04:20:00+00:00,921.95,922.3,920.9,922.25,257
2023-12-19 04:25:00+00:00,922.25,922.25,920.0,922.15,113
2023-12-19 04:30:00+00:00,922.15,922.4,919.7,919.7,374
2023-12-19 04:35:00+00:00,918.7,919.1,918.0,918.0,2553
2023-12-19 04:40:00+00:00,918.0,922.1,918.0,921.15,2312
2023-12-19 04:45:00+00:00,921.15,925.45,921.15,925.0,1651
2023-12-19 04:50:00+00:00,925.0,927.0,923.85,924.65,2865
2023-12-19 04:55:00+00:00,924.65,926.35,924.65,925.05,262
2023-12-19 05:00:00+00:00,925.05,925.75,923.75,925.75,624
2023-12-19 05:05:00+00:00,925.75,927.4,925.75,927.1,1358
2023-12-19 05:10:00+00:00,927.1,927.1,925.45,925.7,421
2023-12-19 05:15:00+00:00,925.7,926.0,925.2,926.0,76
2023-12-19 05:20:00+00:00,926.0,926.0,924.0,924.05,295
2023-12-19 05:25:00+00:00,924.05,925.0,924.05,925.0,57
2023-12-19 05:30:00+00:00,925.0,926.0,924.25,926.0,335
2023-12-19 05:35:00+00:00,925.15,926.9,924.0,925.25,1462
2023-12-19 05:40:00+00:00,925.25,926.0,924.95,926.0,144
2023-12-19 05:45:00+00:00,926.0,926.0,924.1,925.0,294
2023-12-19 05:50:00+00:00,925.0,925.0,923.25,923.25,330
2023-12-19 05:55:00+00:00,923.25,925.0,923.25,925.0,126
2023-12-19 06:00:00+00:00,925.0,925.0,923.85,924.85,539
2023-12-19 06:05:00+00:00,924.85,926.0,923.75,925.5,506
2023-12-19 06:10:00+00:00,925.5,925.6,924.6,925.0,50
2023-12-19 06:15:00+00:00,925.0,925.0,924.8,924.8,23
2023-12-19 06:20:00+00:00,924.8,925.45,923.55,925.4,160
2023-12-19 06:25:00+00:00,925.4,925.4,923.45,923.45,150
2023-12-19 06:30:00+00:00,923.45,923.6,919.1,919.1,663
2023-12-19 06:35:00+00:00,919.1,920.35,916.35,918.25,650
2023-12-19 06:40:00+00:00,918.25,919.95,918.25,919.9,408
2023-12-19 06:45:00+00:00,919.9,921.9,919.4,921.45,477
2023-12-19 06:50:00+00:00,921.65,921.75,919.45,919.9,201
2023-12-19 06:55:00+00:00,921.05,922.4,918.15,921.6,1540
2023-12-19 07:00:00+00:00,921.6,922.2,921.15,921.15,34
2023-12-19 07:05:00+00:00,921.15,924.75,920.65,922.95,1103
2023-12-19 07:10:00+00:00,922.95,922.95,921.05,921.05,305
2023-12-19 07:15:00+00:00,921.05,922.8,921.05,922.8,112
2023-12-19 07:20:00+00:00,922.8,922.8,920.0,920.0,296
2023-12-19 07:25:00+00:00,920.0,922.6,920.0,921.4,95
2023-12-19 07:30:00+00:00,921.4,922.15,920.2,920.2,228
2023-12-19 07:35:00+00:00,920.2,921.8,919.05,921.8,3022
2023-12-19 07:40:00+00:00,921.8,922.1,920.7,922.0,87
2023-12-19 07:45:00+00:00,922.0,922.0,920.45,920.55,41
2023-12-19 07:50:00+00:00,920.55,921.6,920.55,921.5,433
2023-12-19 07:55:00+00:00,921.5,921.5,920.55,920.6,150
2023-12-19 08:00:00+00:00,920.6,921.4,920.1,920.25,218
2023-12-19 08:05:00+00:00,925.0,928.0,925.0,925.7,5867
2023-12-19 08:10:00+00:00,925.7,927.0,925.7,925.7,239
2023-12-19 08:15:00+00:00,925.7,926.2,924.85,925.85,91
2023-12-19 08:20:00+00:00,925.85,938.0,922.45,936.1,7163
2023-12-19 08:25:00+00:00,936.1,937.9,930.95,931.55,2510
2023-12-19 08:30:00+00:00,932.8,936.8,932.3,933.1,2228
2023-12-19 08:35:00+00:00,933.1,933.55,930.7,932.25,291
2023-12-19 08:40:00+00:00,932.25,932.25,927.3,927.3,500
2023-12-19 08:45:00+00:00,927.3,931.25,927.3,929.1,499
2023-12-19 08:50:00+00:00,929.1,929.1,925.6,927.15,1023
2023-12-19 08:55:00+00:00,927.15,927.15,921.55,924.8,1324
2023-12-19 09:00:00+00:00,924.8,925.25,924.2,924.4,216
2023-12-19 09:05:00+00:00,924.4,925.1,923.6,924.1,182
2023-12-19 09:10:00+00:00,925.95,927.0,925.0,925.0,626
2023-12-19 09:15:00+00:00,925.0,925.4,922.3,922.3,1208
2023-12-19 09:20:00+00:00,922.3,924.0,922.3,923.0,559
2023-12-19 09:25:00+00:00,923.0,924.0,921.4,921.4,634
2023-12-19 09:30:00+00:00,921.4,921.65,920.0,921.3,1815
2023-12-19 09:35:00+00:00,922.35,928.4,921.3,928.4,2379
2023-12-19 09:40:00+00:00,928.4,928.7,925.9,925.9,105
2023-12-19 09:45:00+00:00,925.9,928.55,925.9,926.7,2427
2023-12-19 09:50:00+00:00,926.7,928.0,925.55,927.3,2129
2023-12-19 09:55:00+00:00,927.3,929.0,924.8,925.0,2104
2023-12-20 03:45:00+00:00,929.9,934.9,929.65,931.8,1753
2023-12-20 03:50:00+00:00,931.8,933.95,929.2,932.3,1766
2023-12-20 03:55:00+00:00,932.3,945.0,932.3,943.2,8381
2023-12-20 04:00:00+00:00,943.2,944.8,934.0,934.0,3288
2023-12-20 04:05:00+00:00,934.0,939.9,933.85,939.05,3407
2023-12-20 04:10:00+00:00,939.05,939.05,932.85,932.95,1758
2023-12-20 04:15:00+00:00,932.95,938.4,931.3,936.8,4150
2023-12-20 04:20:00+00:00,936.8,943.0,935.05,941.1,4805
2023-12-20 04:25:00+00:00,941.4,941.4,939.7,940.25,702
2023-12-20 04:30:00+00:00,940.25,940.85,936.7,938.3,563
2023-12-20 04:35:00+00:00,938.3,938.3,936.05,938.0,696
2023-12-20 04:40:00+00:00,938.0,938.7,936.05,938.45,966
2023-12-20 04:45:00+00:00,938.45,941.55,937.05,941.55,1887
2023-12-20 04:50:00+00:00,941.55,942.2,940.0,941.0,250
2023-12-20 04:55:00+00:00,941.0,941.0,939.0,939.95,719
2023-12-20 05:00:00+00:00,939.95,939.95,938.3,939.5,294
2023-12-20 05:05:00+00:00,939.5,939.5,938.3,939.45,682
2023-12-20 05:10:00+00:00,939.45,939.5,937.15,938.5,1006
2023-12-20 05:15:00+00:00,938.5,938.5,937.25,937.75,49
2023-12-20 05:20:00+00:00,937.6,940.0,937.05,940.0,2485
2023-12-20 05:25:00+00:00,940.0,940.0,939.05,940.0,827
2023-12-20 05:30:00+00:00,940.0,940.0,939.15,939.35,127
2023-12-20 05:35:00+00:00,939.35,939.95,939.05,939.5,458
2023-12-20 05:40:00+00:00,939.5,940.0,939.0,939.0,4008
2023-12-20 05:45:00+00:00,939.2,939.95,939.0,939.8,245
2023-12-20 05:50:00+00:00,939.8,939.8,937.85,937.85,3355
2023-12-20 05:55:00+00:00,937.85,937.85,936.45,936.55,107
2023-12-20 06:00:00+00:00,936.55,937.0,932.5,932.5,692
2023-12-20 06:05:00+00:00,932.5,932.5,930.15,931.7,1565
2023-12-20 06:10:00+00:00,931.7,931.7,930.6,930.8,53
2023-12-20 06:15:00+00:00,930.8,933.95,930.3,930.3,2937
2023-12-20 06:20:00+00:00,930.3,931.65,929.0,931.65,700
2023-12-20 06:25:00+00:00,931.65,932.95,929.95,932.95,215
2023-12-20 06:30:00+00:00,932.95,933.9,931.55,932.0,139
2023-12-20 06:35:00+00:00,932.0,933.35,932.0,933.35,24
2023-12-20 06:40:00+00:00,933.35,934.3,932.95,933.95,71
2023-12-20 06:45:00+00:00,933.95,933.95,932.35,932.45,134
2023-12-20 06:50:00+00:00,932.45,933.0,932.0,932.05,25
2023-12-20 06:55:00+00:00,932.05,932.2,931.95,931.95,1075
2023-12-20 07:00:00+00:00,931.95,933.0,930.6,932.15,614
2023-12-20 07:05:00+00:00,932.15,932.45,931.1,931.1,135
2023-12-20 07:10:00+00:00,931.1,933.0,931.1,932.45,502
2023-12-20 07:15:00+00:00,932.45,932.5,930.05,932.3,1689
2023-12-20 07:20:00+00:00,932.3,936.95,931.1,935.4,2025
2023-12-20 07:25:00+00:00,935.4,935.4,934.1,934.1,14
2023-12-20 07:30:00+00:00,934.1,934.1,933.0,934.0,75
2023-12-20 07:35:00+00:00,934.0,936.4,932.95,932.95,584
2023-12-20 07:40:00+00:00,932.05,932.05,931.45,931.45,1130
2023-12-20 07:45:00+00:00,931.45,931.45,930.0,930.0,706
2023-12-20 07:50:00+00:00,930.0,931.4,930.0,930.0,2625
2023-12-20 07:55:00+00:00,930.0,931.2,930.0,930.0,2616
2023-12-20 08:00:00+00:00,930.0,931.45,926.0,926.0,4834
2023-12-20 08:05:00+00:00,926.0,926.15,914.55,918.65,6037
2023-12-20 08:10:00+00:00,920.4,923.6,917.55,923.2,3182
2023-12-20 08:15:00+00:00,920.0,924.25,914.95,921.4,3642
2023-12-20 08:20:00+00:00,921.4,921.4,918.15,919.65,2672
2023-12-20 08:25:00+00:00,919.65,921.35,915.85,917.15,2332
2023-12-20 08:30:00+00:00,917.15,919.0,915.85,916.4,1522
2023-12-20 08:35:00+00:00,916.4,916.4,910.0,914.8,2230
2023-12-20 08:40:00+00:00,914.7,920.75,912.1,912.7,1728
2023-12-20 08:45:00+00:00,912.7,921.9,912.0,921.45,848
2023-12-20 08:50:00+00:00,920.15,925.25,919.55,922.1,710
2023-12-20 08:55:00+00:00,921.85,921.85,916.2,919.75,792
2023-12-20 09:00:00+00:00,919.75,920.5,917.0,917.0,497
