,open,high,low,close,volume
2023-12-18 03:45:00+00:00,363.0,363.0,361.3,363.0,1684
2023-12-18 03:50:00+00:00,363.3,364.95,363.0,363.0,3689
2023-12-18 03:55:00+00:00,363.65,366.2,363.65,365.3,5339
2023-12-18 04:00:00+00:00,365.3,368.5,365.3,368.4,5331
2023-12-18 04:05:00+00:00,368.4,368.45,367.35,367.35,3801
2023-12-18 04:10:00+00:00,367.35,367.55,366.75,366.75,1375
2023-12-18 04:15:00+00:00,366.75,368.2,366.05,367.35,3941
2023-12-18 04:20:00+00:00,367.95,367.95,366.65,366.9,729
2023-12-18 04:25:00+00:00,366.9,366.95,365.95,366.55,540
2023-12-18 04:30:00+00:00,366.55,366.8,365.95,366.8,156
2023-12-18 04:35:00+00:00,366.8,366.8,365.55,366.0,439
2023-12-18 04:40:00+00:00,366.0,366.35,365.2,365.8,434
2023-12-18 04:45:00+00:00,365.8,365.85,365.2,365.2,239
2023-12-18 04:50:00+00:00,365.75,365.85,365.2,365.25,413
2023-12-18 04:55:00+00:00,365.25,365.65,365.25,365.65,39
2023-12-18 05:00:00+00:00,365.65,365.75,365.2,365.25,205
2023-12-18 05:05:00+00:00,365.25,365.25,364.2,364.85,1211
2023-12-18 05:10:00+00:00,364.0,364.0,363.75,364.0,863
2023-12-18 05:15:00+00:00,364.7,365.0,364.7,365.0,2511
2023-12-18 05:20:00+00:00,365.0,365.35,363.35,364.4,2250
2023-12-18 05:25:00+00:00,364.8,365.55,364.8,364.9,567
2023-12-18 05:30:00+00:00,364.9,365.5,364.8,365.3,635
2023-12-18 05:35:00+00:00,365.55,365.55,364.7,364.7,165
2023-12-18 05:40:00+00:00,364.7,365.65,364.7,365.15,279
2023-12-18 05:45:00+00:00,365.15,365.65,365.0,365.6,253
2023-12-18 05:50:00+00:00,365.6,365.65,365.6,365.65,124
2023-12-18 05:55:00+00:00,365.65,365.85,365.55,365.6,484
2023-12-18 06:00:00+00:00,365.6,365.75,365.1,365.75,162
2023-12-18 06:05:00+00:00,365.75,367.0,365.75,367.0,819
2023-12-18 06:10:00+00:00,367.0,367.0,366.15,366.15,28
2023-12-18 06:15:00+00:00,366.15,366.85,366.0,366.0,651
