,open,high,low,close,volume
2023-12-18 03:45:00+00:00,673.8,674.75,667.65,669.1,180982
2023-12-18 03:50:00+00:00,669.55,672.5,669.55,671.55,69144
2023-12-18 03:55:00+00:00,671.5,672.05,670.6,671.4,37732
2023-12-18 04:00:00+00:00,671.35,671.75,669.55,669.95,37669
2023-12-18 04:05:00+00:00,669.9,671.85,669.9,671.3,31427
2023-12-18 04:10:00+00:00,671.3,672.0,670.75,671.05,34235
2023-12-18 04:15:00+00:00,671.05,671.35,670.0,670.9,26254
2023-12-18 04:20:00+00:00,670.9,671.0,670.0,670.75,24074
2023-12-18 04:25:00+00:00,670.75,671.3,670.35,671.0,25480
2023-12-18 04:30:00+00:00,670.95,671.45,670.85,670.9,14485
2023-12-18 04:35:00+00:00,670.9,671.1,670.7,671.05,13883
2023-12-18 04:40:00+00:00,671.05,672.5,671.05,672.2,26098
2023-12-18 04:45:00+00:00,672.1,672.25,671.15,671.15,22538
2023-12-18 04:50:00+00:00,671.3,671.45,666.8,669.0,132421
2023-12-18 04:55:00+00:00,668.95,670.05,668.95,669.8,31267
2023-12-18 05:00:00+00:00,669.8,670.0,667.8,668.65,77668
2023-12-18 05:05:00+00:00,668.8,669.75,668.6,669.15,19848
2023-12-18 05:10:00+00:00,669.15,669.6,668.55,668.9,19615
2023-12-18 05:15:00+00:00,668.65,668.95,668.05,668.95,22911
2023-12-18 05:20:00+00:00,668.95,668.95,668.25,668.4,12766
2023-12-18 05:25:00+00:00,668.6,669.8,668.4,669.6,17127
2023-12-18 05:30:00+00:00,669.75,670.8,669.0,670.3,19313
2023-12-18 05:35:00+00:00,670.2,671.25,670.15,670.3,43165
2023-12-18 05:40:00+00:00,670.4,671.95,670.3,670.7,23889
2023-12-18 05:45:00+00:00,670.8,671.2,670.3,671.2,20377
2023-12-18 05:50:00+00:00,671.15,671.4,670.25,670.4,13857
2023-12-18 05:55:00+00:00,670.3,671.1,670.3,670.75,8773
2023-12-18 06:00:00+00:00,670.9,671.3,670.7,670.85,17961
2023-12-18 06:05:00+00:00,670.85,671.1,670.35,670.7,15110
2023-12-18 06:10:00+00:00,670.6,671.5,670.55,671.5,10608
2023-12-18 06:15:00+00:00,671.5,671.5,670.75,671.5,8742
