,open,high,low,close,volume
2023-12-18 03:45:00+00:00,237.25,239.7,236.6,239.35,21260
2023-12-18 03:50:00+00:00,239.35,244.0,238.8,241.35,54016
2023-12-18 03:55:00+00:00,241.35,242.5,241.25,241.9,37365
2023-12-18 04:00:00+00:00,241.9,243.0,240.8,242.0,36203
2023-12-18 04:05:00+00:00,242.0,242.15,241.0,241.2,3429
2023-12-18 04:10:00+00:00,241.2,241.5,240.05,240.4,8923
2023-12-18 04:15:00+00:00,240.4,240.6,239.65,239.85,5291
2023-12-18 04:20:00+00:00,239.85,240.05,239.15,239.15,2669
2023-12-18 04:25:00+00:00,239.15,239.4,238.65,238.65,5172
2023-12-18 04:30:00+00:00,238.65,239.4,238.65,239.1,2558
2023-12-18 04:35:00+00:00,239.1,239.55,238.95,239.3,1946
2023-12-18 04:40:00+00:00,239.3,240.6,239.3,240.0,5271
2023-12-18 04:45:00+00:00,240.0,240.85,239.2,239.55,6228
2023-12-18 04:50:00+00:00,239.55,240.3,239.3,240.0,3066
2023-12-18 04:55:00+00:00,240.0,240.0,239.65,239.65,1968
2023-12-18 05:00:00+00:00,239.65,240.9,239.65,240.45,3880
2023-12-18 05:05:00+00:00,240.45,240.55,240.1,240.3,1224
2023-12-18 05:10:00+00:00,240.3,240.75,240.15,240.25,2017
2023-12-18 05:15:00+00:00,240.25,241.7,240.2,241.7,6737
2023-12-18 05:20:00+00:00,241.55,242.4,240.65,241.8,30237
2023-12-18 05:25:00+00:00,241.8,242.25,241.55,241.55,3465
2023-12-18 05:30:00+00:00,241.55,242.1,241.5,241.95,1282
2023-12-18 05:35:00+00:00,241.95,242.0,241.0,241.0,5275
2023-12-18 05:40:00+00:00,241.25,242.25,241.0,241.05,2630
2023-12-18 05:45:00+00:00,241.05,241.35,240.8,240.8,2978
2023-12-18 05:50:00+00:00,240.8,241.2,240.8,241.1,453
2023-12-18 05:55:00+00:00,241.1,241.1,240.8,240.8,643
2023-12-18 06:00:00+00:00,241.05,241.15,240.75,240.8,724
2023-12-18 06:05:00+00:00,240.8,241.2,240.65,240.7,1389
2023-12-18 06:10:00+00:00,240.7,240.95,240.55,240.55,847
2023-12-18 06:15:00+00:00,240.55,240.95,240.45,240.45,1599
2023-12-18 06:20:00+00:00,240.45,241.0,240.4,240.6,3202
2023-12-18 06:25:00+00:00,240.6,240.85,240.45,240.45,631
2023-12-18 06:30:00+00:00,240.45,240.7,240.3,240.3,389
2023-12-18 06:35:00+00:00,240.7,240.85,240.35,240.8,1658
2023-12-18 06:40:00+00:00,240.8,241.9,240.8,241.0,3847
2023-12-18 06:45:00+00:00,241.0,241.2,240.9,240.9,1941
2023-12-18 06:50:00+00:00,240.9,241.2,240.65,240.7,1617
2023-12-18 06:55:00+00:00,240.7,240.95,240.6,240.7,2716
2023-12-18 07:00:00+00:00,240.7,241.5,240.2,241.3,3907
2023-12-18 07:05:00+00:00,241.25,241.4,240.8,240.95,1641
2023-12-18 07:10:00+00:00,240.95,241.25,240.85,241.15,967
2023-12-18 07:15:00+00:00,241.15,241.15,240.8,240.95,1421
2023-12-18 07:20:00+00:00,240.9,241.25,240.8,240.8,622
2023-12-18 07:25:00+00:00,240.8,241.3,240.8,240.85,725
2023-12-18 07:30:00+00:00,240.85,241.3,240.85,241.0,1453
2023-12-18 07:35:00+00:00,241.0,241.2,240.55,240.55,2763
2023-12-18 07:40:00+00:00,240.55,241.05,240.5,240.75,2165
2023-12-18 07:45:00+00:00,240.75,242.2,240.65,241.6,24152
2023-12-18 07:50:00+00:00,241.6,242.3,241.5,241.7,11245
2023-12-18 07:55:00+00:00,241.7,242.55,241.7,242.55,7694
2023-12-18 08:00:00+00:00,242.55,242.55,242.05,242.05,1028
2023-12-18 08:05:00+00:00,242.05,242.35,241.5,242.0,9005
2023-12-18 08:10:00+00:00,242.0,242.2,241.9,242.0,2915
2023-12-18 08:15:00+00:00,242.0,242.2,241.75,241.75,1179
2023-12-18 08:20:00+00:00,241.75,242.3,241.75,242.15,6981
2023-12-18 08:25:00+00:00,242.15,242.9,242.05,242.65,7302
2023-12-18 08:30:00+00:00,242.65,242.75,242.3,242.7,1599
2023-12-18 08:35:00+00:00,242.7,242.7,242.1,242.15,1783
2023-12-18 08:40:00+00:00,242.15,242.75,242.15,242.45,5669
2023-12-18 08:45:00+00:00,242.45,242.55,242.15,242.25,1385
2023-12-18 08:50:00+00:00,242.25,242.55,242.05,242.2,2514
2023-12-18 08:55:00+00:00,242.15,242.45,241.9,242.1,3289
2023-12-18 09:00:00+00:00,242.1,242.25,242.05,242.05,1701
2023-12-18 09:05:00+00:00,242.1,242.6,242.05,242.4,2713
2023-12-18 09:10:00+00:00,242.05,242.35,241.0,241.25,8745
2023-12-18 09:15:00+00:00,241.1,241.95,239.0,239.4,17859
2023-12-18 09:20:00+00:00,239.4,239.7,238.6,239.0,6494
2023-12-18 09:25:00+00:00,239.0,239.4,238.55,238.55,5299
2023-12-18 09:30:00+00:00,238.6,240.0,238.55,239.65,7112
2023-12-18 09:35:00+00:00,239.65,241.45,239.3,240.75,11792
2023-12-18 09:40:00+00:00,241.15,241.5,239.0,239.2,31212
2023-12-18 09:45:00+00:00,238.9,239.35,238.45,238.9,17560
2023-12-18 09:50:00+00:00,238.65,239.1,237.75,238.05,26303
2023-12-18 09:55:00+00:00,238.3,239.0,237.65,239.0,18552
2023-12-19 03:45:00+00:00,239.9,242.9,239.85,241.65,19423
2023-12-19 03:50:00+00:00,241.65,241.65,240.4,241.3,12276
2023-12-19 03:55:00+00:00,241.3,242.75,240.6,242.25,21778
2023-12-19 04:00:00+00:00,242.05,242.35,241.7,242.0,7945
2023-12-19 04:05:00+00:00,242.0,242.5,241.5,242.0,5448
2023-12-19 04:10:00+00:00,242.2,243.55,242.2,242.5,16508
2023-12-19 04:15:00+00:00,242.5,242.6,242.05,242.05,6499
2023-12-19 04:20:00+00:00,242.05,242.4,241.35,241.85,9902
