,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1443.05,1451.65,1432.85,1445.8,15953
2023-12-18 03:50:00+00:00,1445.7,1451.95,1444.15,1451.0,12716
2023-12-18 03:55:00+00:00,1451.0,1454.2,1444.55,1444.85,12635
2023-12-18 04:00:00+00:00,1444.5,1445.55,1440.05,1440.25,5850
2023-12-18 04:05:00+00:00,1441.45,1447.1,1440.85,1445.0,4967
2023-12-18 04:10:00+00:00,1445.0,1445.85,1444.9,1445.15,3405
2023-12-18 04:15:00+00:00,1445.85,1447.2,1445.15,1446.9,2627
2023-12-18 04:20:00+00:00,1446.9,1447.3,1446.0,1446.0,2821
2023-12-18 04:25:00+00:00,1446.15,1447.65,1445.0,1445.2,2107
2023-12-18 04:30:00+00:00,1445.2,1446.5,1445.15,1445.85,2107
2023-12-18 04:35:00+00:00,1445.85,1452.75,1445.85,1451.45,8738
2023-12-18 04:40:00+00:00,1451.45,1453.4,1450.4,1452.4,1761
2023-12-18 04:45:00+00:00,1452.4,1453.3,1450.85,1451.55,4674
2023-12-18 04:50:00+00:00,1451.6,1452.85,1447.95,1451.55,7153
2023-12-18 04:55:00+00:00,1451.55,1454.55,1450.35,1454.0,7372
2023-12-18 05:00:00+00:00,1454.0,1456.15,1453.05,1453.45,5517
2023-12-18 05:05:00+00:00,1453.45,1455.0,1451.65,1452.75,3076
2023-12-18 05:10:00+00:00,1454.0,1455.0,1453.3,1455.0,1882
2023-12-18 05:15:00+00:00,1455.0,1455.0,1453.55,1454.0,3089
2023-12-18 05:20:00+00:00,1454.0,1455.0,1453.75,1454.65,2593
2023-12-18 05:25:00+00:00,1454.65,1456.2,1454.25,1456.0,4310
2023-12-18 05:30:00+00:00,1456.0,1460.45,1455.45,1460.0,12894
2023-12-18 05:35:00+00:00,1460.0,1462.3,1459.45,1459.85,5977
2023-12-18 05:40:00+00:00,1460.4,1462.8,1459.85,1461.45,2783
2023-12-18 05:45:00+00:00,1461.45,1462.8,1460.0,1462.8,4999
2023-12-18 05:50:00+00:00,1462.8,1463.7,1461.25,1462.05,2644
