,open,high,low,close,volume
2023-12-18 03:45:00+00:00,510.0,510.0,502.0,504.65,20703
2023-12-18 03:50:00+00:00,504.75,511.35,503.6,510.1,11016
2023-12-18 03:55:00+00:00,510.55,512.0,507.4,508.15,7544
2023-12-18 04:00:00+00:00,508.15,509.55,506.15,506.5,4867
2023-12-18 04:05:00+00:00,506.5,508.9,506.05,508.45,3251
2023-12-18 04:10:00+00:00,508.45,512.35,508.45,509.15,11675
2023-12-18 04:15:00+00:00,509.15,511.95,509.15,511.8,6495
2023-12-18 04:20:00+00:00,511.8,511.8,509.45,510.35,1565
2023-12-18 04:25:00+00:00,510.7,510.95,509.0,509.7,1226
2023-12-18 04:30:00+00:00,509.7,511.8,509.7,511.0,992
2023-12-18 04:35:00+00:00,511.0,511.0,509.85,510.85,1268
2023-12-18 04:40:00+00:00,510.85,511.45,510.2,510.35,849
2023-12-18 04:45:00+00:00,510.35,511.2,510.0,510.0,7559
2023-12-18 04:50:00+00:00,510.0,511.05,510.0,510.8,769
2023-12-18 04:55:00+00:00,510.8,513.4,509.65,509.65,6345
2023-12-18 05:00:00+00:00,509.65,511.2,509.65,511.2,575
2023-12-18 05:05:00+00:00,511.2,511.65,510.4,510.4,481
2023-12-18 05:10:00+00:00,510.4,510.8,509.65,510.45,456
2023-12-18 05:15:00+00:00,510.15,510.75,509.5,509.95,811
2023-12-18 05:20:00+00:00,509.95,510.75,509.8,509.85,349
2023-12-18 05:25:00+00:00,509.85,510.55,508.7,508.7,1960
2023-12-18 05:30:00+00:00,508.7,509.2,508.3,508.75,434
2023-12-18 05:35:00+00:00,508.75,510.3,508.75,508.8,2155
2023-12-18 05:40:00+00:00,509.35,509.55,508.8,509.5,352
2023-12-18 05:45:00+00:00,509.5,509.55,508.75,509.0,1332
2023-12-18 05:50:00+00:00,509.0,509.55,508.65,509.5,444
2023-12-18 05:55:00+00:00,509.5,509.5,508.55,508.7,865
2023-12-18 06:00:00+00:00,508.7,509.35,508.2,508.2,723
2023-12-18 06:05:00+00:00,509.25,509.25,507.2,507.5,1348
2023-12-18 06:10:00+00:00,507.5,508.7,507.5,508.15,138
2023-12-18 06:15:00+00:00,508.15,508.9,508.15,508.75,188
2023-12-18 06:20:00+00:00,508.75,508.9,507.85,508.65,387
2023-12-18 06:25:00+00:00,508.65,508.75,507.5,507.5,456
2023-12-18 06:30:00+00:00,507.85,508.15,507.5,508.15,510
2023-12-18 06:35:00+00:00,508.15,509.15,508.15,509.15,668
2023-12-18 06:40:00+00:00,509.15,509.15,508.65,509.15,23
2023-12-18 06:45:00+00:00,509.15,509.5,508.75,509.5,274
2023-12-18 06:50:00+00:00,509.15,509.5,508.15,508.9,1097
2023-12-18 06:55:00+00:00,508.9,509.4,508.0,508.0,1106
2023-12-18 07:00:00+00:00,507.0,508.1,507.0,507.75,775
2023-12-18 07:05:00+00:00,507.75,508.35,507.5,508.05,292
2023-12-18 07:10:00+00:00,508.05,510.65,507.3,510.15,3170
2023-12-18 07:15:00+00:00,510.15,510.15,509.6,510.1,299
2023-12-18 07:20:00+00:00,510.1,510.95,509.05,510.2,1319
2023-12-18 07:25:00+00:00,510.2,511.0,510.0,511.0,1798
2023-12-18 07:30:00+00:00,511.0,511.0,510.2,510.35,293
2023-12-18 07:35:00+00:00,510.35,510.85,510.0,510.3,473
2023-12-18 07:40:00+00:00,510.3,511.45,510.3,511.0,2021
