,open,high,low,close,volume
2023-12-18 03:45:00+00:00,439.6,440.8,436.1,436.9,63911
2023-12-18 03:50:00+00:00,436.9,440.9,436.1,440.5,134286
2023-12-18 03:55:00+00:00,440.7,442.0,440.45,440.95,51990
2023-12-18 04:00:00+00:00,440.95,441.0,439.0,440.15,50663
2023-12-18 04:05:00+00:00,440.3,441.4,440.15,441.25,44867
2023-12-18 04:10:00+00:00,441.35,441.7,439.7,440.25,20599
2023-12-18 04:15:00+00:00,440.25,441.6,440.0,441.2,18233
2023-12-18 04:20:00+00:00,441.2,442.25,440.2,441.85,40584
2023-12-18 04:25:00+00:00,441.85,443.45,441.6,442.65,31949
2023-12-18 04:30:00+00:00,442.65,443.35,442.6,443.25,27497
2023-12-18 04:35:00+00:00,443.25,443.4,442.55,443.1,13784
2023-12-18 04:40:00+00:00,443.1,443.35,442.9,443.0,7799
2023-12-18 04:45:00+00:00,443.0,443.1,442.2,442.25,8846
2023-12-18 04:50:00+00:00,442.25,442.35,442.05,442.35,6333
2023-12-18 04:55:00+00:00,442.35,442.6,442.05,442.4,8813
2023-12-18 05:00:00+00:00,442.4,443.0,442.25,442.95,24417
2023-12-18 05:05:00+00:00,442.95,443.8,442.85,443.8,29371
2023-12-18 05:10:00+00:00,443.7,444.0,443.65,443.8,11994
2023-12-18 05:15:00+00:00,443.8,443.95,443.5,443.7,9629
2023-12-18 05:20:00+00:00,443.7,443.7,443.4,443.7,7052
2023-12-18 05:25:00+00:00,443.7,443.95,443.55,443.6,7681
2023-12-18 05:30:00+00:00,443.6,444.5,443.45,444.45,21853
2023-12-18 05:35:00+00:00,444.45,444.5,444.1,444.3,12704
2023-12-18 05:40:00+00:00,444.3,444.9,444.25,444.65,18215
2023-12-18 05:45:00+00:00,444.65,445.1,443.6,443.85,68653
2023-12-18 05:50:00+00:00,443.85,444.8,443.25,444.65,22457
2023-12-18 05:55:00+00:00,444.65,445.0,444.45,444.75,18738
2023-12-18 06:00:00+00:00,444.75,447.5,444.7,447.5,96364
2023-12-18 06:05:00+00:00,447.5,449.0,447.05,447.6,156329
2023-12-18 06:10:00+00:00,447.6,447.9,447.25,447.8,25545
2023-12-18 06:15:00+00:00,447.8,448.05,447.0,447.4,67738
2023-12-18 06:20:00+00:00,447.25,447.9,447.0,447.55,36776
2023-12-18 06:25:00+00:00,447.7,448.0,447.0,447.05,70543
2023-12-18 06:30:00+00:00,447.05,447.8,447.0,447.4,35099
2023-12-18 06:35:00+00:00,447.45,447.85,447.25,447.55,34639
2023-12-18 06:40:00+00:00,447.55,448.2,447.25,447.65,32947
2023-12-18 06:45:00+00:00,447.85,448.8,447.6,447.7,60476
2023-12-18 06:50:00+00:00,447.7,448.5,447.6,447.85,39614
2023-12-18 06:55:00+00:00,448.0,449.5,447.55,448.0,166726
2023-12-18 07:00:00+00:00,448.0,448.3,447.25,447.35,64582
2023-12-18 07:05:00+00:00,447.4,448.8,447.3,448.1,73906
2023-12-18 07:10:00+00:00,448.4,449.35,448.1,449.35,63789
2023-12-18 07:15:00+00:00,449.35,449.8,448.55,449.8,69236
2023-12-18 07:20:00+00:00,449.8,450.0,449.15,449.5,144154
2023-12-18 07:25:00+00:00,449.45,449.5,447.6,448.05,136269
2023-12-18 07:30:00+00:00,448.05,448.05,446.3,446.8,56025
2023-12-18 07:35:00+00:00,446.8,448.15,446.75,447.2,55149
2023-12-18 07:40:00+00:00,447.4,447.9,447.2,447.6,41308
2023-12-18 07:45:00+00:00,447.6,447.95,447.25,447.9,28899
2023-12-18 07:50:00+00:00,447.9,448.15,447.5,447.75,29578
2023-12-18 07:55:00+00:00,447.85,448.25,447.5,447.9,24421
2023-12-18 08:00:00+00:00,448.0,448.25,447.45,447.55,27344
2023-12-18 08:05:00+00:00,447.55,447.8,447.45,447.45,21814
2023-12-18 08:10:00+00:00,447.4,447.95,447.4,447.55,32689
2023-12-18 08:15:00+00:00,447.55,448.45,447.35,448.05,41133
2023-12-18 08:20:00+00:00,448.05,448.55,447.95,448.15,26955
2023-12-18 08:25:00+00:00,448.15,448.85,448.1,448.7,30508
2023-12-18 08:30:00+00:00,448.65,449.5,448.4,449.05,62010
2023-12-18 08:35:00+00:00,448.95,449.4,448.0,448.3,56677
2023-12-18 08:40:00+00:00,448.05,448.3,447.6,447.8,30138
2023-12-18 08:45:00+00:00,447.85,448.4,447.8,448.0,24122
2023-12-18 08:50:00+00:00,447.95,448.45,447.8,448.15,24926
2023-12-18 08:55:00+00:00,448.2,448.5,447.85,448.2,35631
2023-12-18 09:00:00+00:00,448.05,449.0,448.05,448.6,38838
2023-12-18 09:05:00+00:00,448.65,448.65,447.8,447.95,34457
2023-12-18 09:10:00+00:00,447.85,448.4,447.2,447.3,85081
2023-12-18 09:15:00+00:00,447.35,448.05,447.15,448.0,46483
2023-12-18 09:20:00+00:00,448.0,448.6,447.95,448.2,45500
2023-12-18 09:25:00+00:00,448.2,448.75,447.85,448.55,67097
2023-12-18 09:30:00+00:00,448.55,448.95,448.15,448.9,163587
2023-12-18 09:35:00+00:00,448.85,449.4,448.3,448.3,95662
2023-12-18 09:40:00+00:00,448.35,448.6,447.85,448.1,119201
2023-12-18 09:45:00+00:00,448.2,449.0,448.15,448.95,138423
2023-12-18 09:50:00+00:00,448.95,450.0,448.85,448.95,371739
2023-12-18 09:55:00+00:00,448.95,449.0,445.65,449.0,283927
2023-12-19 03:45:00+00:00,449.95,449.95,447.85,449.3,106926
2023-12-19 03:50:00+00:00,449.4,449.65,448.25,448.55,25462
2023-12-19 03:55:00+00:00,448.55,448.7,448.0,448.1,17378
2023-12-19 04:00:00+00:00,448.25,449.0,447.3,447.9,64911
2023-12-19 04:05:00+00:00,447.8,447.9,446.05,446.65,16140
2023-12-19 04:10:00+00:00,446.65,446.85,445.85,446.05,21267
2023-12-19 04:15:00+00:00,445.9,447.65,445.3,447.2,41371
2023-12-19 04:20:00+00:00,447.0,447.25,446.2,446.6,59378
2023-12-19 04:25:00+00:00,446.65,446.65,445.05,445.5,54127
2023-12-19 04:30:00+00:00,445.5,446.2,445.0,445.2,12740
2023-12-19 04:35:00+00:00,445.05,445.15,443.5,443.5,30824
2023-12-19 04:40:00+00:00,443.45,443.65,442.6,442.65,21143
2023-12-19 04:45:00+00:00,442.9,443.95,442.5,443.5,51247
2023-12-19 04:50:00+00:00,443.4,443.65,442.75,442.8,32365
2023-12-19 04:55:00+00:00,443.0,444.5,442.9,443.9,21577
2023-12-19 05:00:00+00:00,443.9,444.3,443.1,444.05,13415
