,open,high,low,close,volume
2023-12-18 03:45:00+00:00,703.35,715.0,703.35,710.65,11142
2023-12-18 03:50:00+00:00,710.65,710.65,706.5,707.0,4466
2023-12-18 03:55:00+00:00,707.0,709.55,706.5,706.95,2921
2023-12-18 04:00:00+00:00,706.95,707.55,706.05,706.05,1578
2023-12-18 04:05:00+00:00,706.15,707.7,706.05,706.35,1846
2023-12-18 04:10:00+00:00,706.35,707.2,704.55,705.1,6181
2023-12-18 04:15:00+00:00,705.1,706.0,704.6,704.95,782
2023-12-18 04:20:00+00:00,704.95,705.2,703.35,704.05,1034
2023-12-18 04:25:00+00:00,704.05,704.6,701.75,704.0,2456
2023-12-18 04:30:00+00:00,704.0,704.0,701.75,701.75,2584
2023-12-18 04:35:00+00:00,701.75,702.65,701.2,701.2,600
2023-12-18 04:40:00+00:00,701.2,701.45,700.5,700.5,1986
2023-12-18 04:45:00+00:00,700.5,701.45,700.5,701.4,1075
2023-12-18 04:50:00+00:00,701.4,701.45,701.0,701.0,581
2023-12-18 04:55:00+00:00,700.8,701.15,700.15,700.15,460
2023-12-18 05:00:00+00:00,700.15,701.15,700.15,701.0,1053
2023-12-18 05:05:00+00:00,701.1,702.4,701.1,702.4,8819
2023-12-18 05:10:00+00:00,702.4,702.6,702.0,702.3,116
2023-12-18 05:15:00+00:00,702.3,703.4,702.3,702.8,243
2023-12-18 05:20:00+00:00,702.8,703.4,702.6,703.25,361
2023-12-18 05:25:00+00:00,703.25,703.25,702.0,702.1,1003
2023-12-18 05:30:00+00:00,702.1,703.25,702.1,703.25,164
2023-12-18 05:35:00+00:00,703.25,703.25,702.3,702.3,149
2023-12-18 05:40:00+00:00,702.3,703.8,702.2,702.7,874
2023-12-18 05:45:00+00:00,702.7,703.5,702.15,703.5,219
2023-12-18 05:50:00+00:00,703.5,703.95,702.8,703.1,177
2023-12-18 05:55:00+00:00,703.1,703.95,702.1,703.0,739
2023-12-18 06:00:00+00:00,703.0,704.0,702.7,702.8,340
2023-12-18 06:05:00+00:00,702.8,703.9,702.8,702.9,195
2023-12-18 06:10:00+00:00,702.9,703.75,698.8,702.15,7368
2023-12-18 06:15:00+00:00,702.15,702.15,701.5,701.7,195
2023-12-18 06:20:00+00:00,701.7,701.7,700.05,700.95,288
2023-12-18 06:25:00+00:00,700.95,701.55,698.5,700.9,1442
2023-12-18 06:30:00+00:00,700.9,701.0,700.0,700.0,142
2023-12-18 06:35:00+00:00,700.0,700.0,699.0,699.8,210
2023-12-18 06:40:00+00:00,699.8,700.4,699.65,700.3,278
2023-12-18 06:45:00+00:00,700.3,700.65,698.6,699.65,402
2023-12-18 06:50:00+00:00,699.65,701.45,698.95,701.0,737
2023-12-18 06:55:00+00:00,701.0,701.5,701.0,701.5,151
2023-12-18 07:00:00+00:00,701.5,701.5,701.0,701.5,9
2023-12-18 07:05:00+00:00,701.5,701.75,701.5,701.75,315
2023-12-18 07:10:00+00:00,702.55,704.9,702.1,704.9,2080
2023-12-18 07:15:00+00:00,704.9,705.85,704.0,705.0,312
2023-12-18 07:20:00+00:00,705.0,706.5,705.0,705.2,3454
2023-12-18 07:25:00+00:00,705.2,706.45,705.0,706.25,452
2023-12-18 07:30:00+00:00,706.25,706.25,704.55,704.55,156
2023-12-18 07:35:00+00:00,704.55,705.65,704.55,704.8,161
2023-12-18 07:40:00+00:00,704.8,706.45,704.5,705.95,1360
2023-12-18 07:45:00+00:00,705.5,705.95,705.05,705.35,1078
2023-12-18 07:50:00+00:00,705.0,705.0,704.8,704.8,234
2023-12-18 07:55:00+00:00,704.8,705.65,704.8,705.65,483
2023-12-18 08:00:00+00:00,705.65,705.75,704.8,704.8,127
2023-12-18 08:05:00+00:00,704.8,705.1,703.8,705.1,774
2023-12-18 08:10:00+00:00,705.1,705.9,704.05,704.4,648
2023-12-18 08:15:00+00:00,704.4,704.45,703.65,704.3,249
2023-12-18 08:20:00+00:00,704.3,704.45,703.55,703.55,116
2023-12-18 08:25:00+00:00,703.55,705.45,703.4,705.0,396
2023-12-18 08:30:00+00:00,705.0,705.0,703.8,704.0,252
2023-12-18 08:35:00+00:00,704.0,705.05,704.0,704.2,505
2023-12-18 08:40:00+00:00,704.2,704.5,703.0,703.0,433
2023-12-18 08:45:00+00:00,703.0,703.0,702.0,702.15,140
2023-12-18 08:50:00+00:00,702.15,703.0,702.0,702.0,102
2023-12-18 08:55:00+00:00,702.0,703.95,699.45,703.9,6287
2023-12-18 09:00:00+00:00,703.95,705.05,702.8,703.4,4853
2023-12-18 09:05:00+00:00,703.4,703.7,701.8,701.8,1041
2023-12-18 09:10:00+00:00,701.8,702.95,701.8,702.95,20
2023-12-18 09:15:00+00:00,702.95,703.45,702.0,702.0,1313
2023-12-18 09:20:00+00:00,702.0,702.35,701.15,701.5,429
2023-12-18 09:25:00+00:00,701.5,702.4,700.6,701.0,714
2023-12-18 09:30:00+00:00,701.0,701.95,700.6,701.6,399
2023-12-18 09:35:00+00:00,701.6,701.6,700.6,700.6,200
2023-12-18 09:40:00+00:00,701.1,701.45,700.6,701.1,777
2023-12-18 09:45:00+00:00,701.1,703.45,700.45,701.5,6365
2023-12-18 09:50:00+00:00,701.5,704.0,700.65,703.7,3032
2023-12-18 09:55:00+00:00,703.7,705.0,703.65,705.0,2081
2023-12-19 03:45:00+00:00,780.0,794.0,758.0,765.65,420986
2023-12-19 03:50:00+00:00,765.0,771.2,762.3,769.3,175720
2023-12-19 03:55:00+00:00,769.4,769.45,762.95,763.45,64698
2023-12-19 04:00:00+00:00,763.55,769.4,762.6,767.1,78016
2023-12-19 04:05:00+00:00,767.1,767.9,764.6,766.0,34525
2023-12-19 04:10:00+00:00,766.0,766.95,760.65,761.95,79452
2023-12-19 04:15:00+00:00,761.5,766.0,761.1,761.75,40964
2023-12-19 04:20:00+00:00,762.8,764.85,761.7,764.25,20996
2023-12-19 04:25:00+00:00,764.0,764.9,761.7,762.0,24293
