,open,high,low,close,volume
2023-12-18 03:45:00+00:00,2792.0,2795.05,2741.0,2781.5,17134
2023-12-18 03:50:00+00:00,2779.15,2796.9,2774.1,2796.65,7727
2023-12-18 03:55:00+00:00,2796.65,2824.45,2795.85,2816.05,12350
2023-12-18 04:00:00+00:00,2818.0,2821.25,2800.05,2804.75,4033
2023-12-18 04:05:00+00:00,2804.75,2813.5,2802.8,2808.0,2657
2023-12-18 04:10:00+00:00,2808.0,2809.85,2800.55,2803.45,1382
2023-12-18 04:15:00+00:00,2803.45,2803.5,2792.0,2799.0,3260
2023-12-18 04:20:00+00:00,2799.0,2822.4,2798.05,2821.7,4272
2023-12-18 04:25:00+00:00,2821.9,2825.0,2812.05,2819.15,4522
2023-12-18 04:30:00+00:00,2819.15,2823.9,2814.45,2823.2,2194
2023-12-18 04:35:00+00:00,2823.2,2824.5,2818.65,2824.05,2513
2023-12-18 04:40:00+00:00,2824.05,2825.0,2815.0,2815.05,1555
2023-12-18 04:45:00+00:00,2815.05,2817.95,2807.0,2808.75,2374
2023-12-18 04:50:00+00:00,2808.75,2811.1,2801.7,2802.9,1999
2023-12-18 04:55:00+00:00,2802.9,2815.0,2801.95,2812.9,5605
2023-12-18 05:00:00+00:00,2812.95,2813.0,2806.9,2807.6,506
2023-12-18 05:05:00+00:00,2807.6,2810.75,2805.1,2806.0,1403
2023-12-18 05:10:00+00:00,2806.0,2827.0,2805.0,2825.05,4607
2023-12-18 05:15:00+00:00,2826.65,2838.95,2824.0,2831.95,14211
2023-12-18 05:20:00+00:00,2831.95,2844.0,2830.0,2843.2,14690
2023-12-18 05:25:00+00:00,2844.0,2846.95,2835.7,2836.6,9763
2023-12-18 05:30:00+00:00,2836.6,2849.0,2835.0,2836.65,14453
2023-12-18 05:35:00+00:00,2835.55,2842.35,2835.45,2840.05,3424
2023-12-18 05:40:00+00:00,2840.05,2844.95,2836.5,2843.0,4058
2023-12-18 05:45:00+00:00,2843.0,2844.0,2839.0,2840.9,1834
2023-12-18 05:50:00+00:00,2840.9,2860.0,2839.35,2854.0,23191
2023-12-18 05:55:00+00:00,2853.0,2854.0,2843.5,2847.9,15051
2023-12-18 06:00:00+00:00,2847.95,2855.0,2847.05,2852.65,3601
2023-12-18 06:05:00+00:00,2852.65,2852.7,2848.05,2849.45,3040
2023-12-18 06:10:00+00:00,2848.15,2853.8,2847.4,2850.85,2326
2023-12-18 06:15:00+00:00,2850.85,2850.85,2845.1,2847.7,2662
2023-12-18 06:20:00+00:00,2847.7,2847.7,2841.0,2841.0,3819
2023-12-18 06:25:00+00:00,2842.6,2842.65,2837.25,2838.0,2815
2023-12-18 06:30:00+00:00,2837.35,2841.1,2834.0,2841.1,5517
2023-12-18 06:35:00+00:00,2841.1,2848.8,2841.1,2847.45,2733
2023-12-18 06:40:00+00:00,2847.45,2847.45,2844.0,2845.45,1397
2023-12-18 06:45:00+00:00,2845.45,2847.2,2843.0,2847.2,1449
2023-12-18 06:50:00+00:00,2847.45,2854.0,2845.2,2847.0,2718
2023-12-18 06:55:00+00:00,2847.4,2847.4,2843.35,2844.05,1369
2023-12-18 07:00:00+00:00,2844.05,2845.85,2842.55,2843.7,1757
2023-12-18 07:05:00+00:00,2843.7,2848.75,2842.55,2845.7,1986
2023-12-18 07:10:00+00:00,2845.7,2848.5,2845.05,2847.0,1534
2023-12-18 07:15:00+00:00,2847.0,2849.0,2844.05,2847.65,3788
2023-12-18 07:20:00+00:00,2847.65,2848.5,2843.1,2844.95,4236
2023-12-18 07:25:00+00:00,2843.35,2849.1,2843.35,2846.25,4211
2023-12-18 07:30:00+00:00,2846.25,2847.5,2841.65,2844.95,2061
2023-12-18 07:35:00+00:00,2844.95,2845.0,2840.05,2843.75,2276
2023-12-18 07:40:00+00:00,2843.75,2845.0,2841.25,2843.2,2488
2023-12-18 07:45:00+00:00,2843.2,2845.0,2841.25,2844.15,1963
2023-12-18 07:50:00+00:00,2844.15,2844.15,2836.25,2839.5,3745
2023-12-18 07:55:00+00:00,2841.0,2844.7,2838.95,2844.35,1305
2023-12-18 08:00:00+00:00,2844.35,2845.05,2841.8,2843.05,3493
2023-12-18 08:05:00+00:00,2844.5,2844.5,2840.5,2840.7,2258
2023-12-18 08:10:00+00:00,2840.7,2845.0,2839.0,2840.0,4508
2023-12-18 08:15:00+00:00,2840.0,2844.0,2838.35,2839.85,1772
2023-12-18 08:20:00+00:00,2839.85,2843.5,2836.0,2836.0,3882
2023-12-18 08:25:00+00:00,2836.0,2837.8,2834.0,2834.7,2698
2023-12-18 08:30:00+00:00,2834.7,2840.05,2834.7,2836.25,2042
2023-12-18 08:35:00+00:00,2836.15,2840.0,2835.0,2838.75,2021
2023-12-18 08:40:00+00:00,2838.75,2839.95,2836.0,2837.05,1892
2023-12-18 08:45:00+00:00,2837.05,2838.2,2834.2,2836.0,1439
2023-12-18 08:50:00+00:00,2836.0,2838.0,2833.6,2838.0,1975
2023-12-18 08:55:00+00:00,2837.0,2839.85,2835.2,2838.95,616
2023-12-18 09:00:00+00:00,2838.95,2840.05,2836.95,2839.2,2001
2023-12-18 09:05:00+00:00,2839.2,2848.0,2838.45,2842.1,5854
2023-12-18 09:10:00+00:00,2842.1,2844.75,2837.15,2838.95,3153
2023-12-18 09:15:00+00:00,2838.95,2843.85,2837.2,2841.75,2224
2023-12-18 09:20:00+00:00,2841.75,2842.9,2838.05,2839.3,2417
2023-12-18 09:25:00+00:00,2839.3,2840.9,2837.15,2839.85,20033
2023-12-18 09:30:00+00:00,2839.85,2840.55,2837.1,2839.0,1784
2023-12-18 09:35:00+00:00,2839.0,2839.05,2837.0,2839.0,2517
2023-12-18 09:40:00+00:00,2839.0,2840.0,2838.0,2839.0,11284
2023-12-18 09:45:00+00:00,2839.0,2839.0,2831.0,2834.8,8481
2023-12-18 09:50:00+00:00,2833.45,2834.8,2828.0,2828.95,6560
2023-12-18 09:55:00+00:00,2828.95,2832.0,2827.05,2828.0,5184
2023-12-19 03:45:00+00:00,2851.0,2873.55,2835.0,2860.0,28801
2023-12-19 03:50:00+00:00,2861.0,2884.55,2860.1,2882.7,26608
2023-12-19 03:55:00+00:00,2882.7,2883.75,2864.35,2875.7,32773
2023-12-19 04:00:00+00:00,2875.7,2878.85,2871.0,2871.95,10801
2023-12-19 04:05:00+00:00,2872.9,2873.0,2864.0,2864.15,6569
2023-12-19 04:10:00+00:00,2864.15,2869.55,2861.0,2863.0,8380
2023-12-19 04:15:00+00:00,2863.0,2880.0,2858.3,2880.0,12988
2023-12-19 04:20:00+00:00,2878.1,2912.0,2878.0,2891.55,72796
2023-12-19 04:25:00+00:00,2891.55,2903.25,2885.7,2900.0,24986
2023-12-19 04:30:00+00:00,2900.0,2904.95,2890.1,2891.45,17022
2023-12-19 04:35:00+00:00,2890.75,2894.45,2871.0,2873.0,24252
2023-12-19 04:40:00+00:00,2873.0,2883.85,2859.2,2860.2,38134
2023-12-19 04:45:00+00:00,2860.0,2861.25,2847.85,2853.95,20891
2023-12-19 04:50:00+00:00,2853.7,2857.85,2848.6,2853.55,6662
2023-12-19 04:55:00+00:00,2853.55,2858.75,2853.55,2858.75,6841
2023-12-19 05:00:00+00:00,2857.1,2865.55,2856.05,2861.65,13775
2023-12-19 05:05:00+00:00,2862.25,2865.05,2855.0,2857.5,3760
2023-12-19 05:10:00+00:00,2857.5,2860.6,2856.5,2858.05,3386
2023-12-19 05:15:00+00:00,2858.05,2859.7,2851.05,2854.9,3281
2023-12-19 05:20:00+00:00,2854.8,2862.0,2850.5,2862.0,5959
2023-12-19 05:25:00+00:00,2860.4,2861.95,2846.0,2850.0,10257
2023-12-19 05:30:00+00:00,2849.15,2857.3,2848.3,2855.85,2039
2023-12-19 05:35:00+00:00,2855.85,2859.25,2851.9,2852.65,1634
2023-12-19 05:40:00+00:00,2853.55,2854.65,2850.0,2850.55,1068
2023-12-19 05:45:00+00:00,2850.55,2852.45,2848.85,2848.85,6874
2023-12-19 05:50:00+00:00,2848.85,2854.15,2848.05,2851.35,1255
2023-12-19 05:55:00+00:00,2851.35,2855.0,2851.0,2854.1,1121
2023-12-19 06:00:00+00:00,2854.55,2855.0,2850.0,2850.9,1097
2023-12-19 06:05:00+00:00,2850.9,2855.0,2850.65,2855.0,564
2023-12-19 06:10:00+00:00,2854.95,2857.15,2852.0,2853.3,647
2023-12-19 06:15:00+00:00,2853.3,2854.0,2850.1,2851.95,381
2023-12-19 06:20:00+00:00,2851.95,2852.85,2850.0,2852.85,1154
2023-12-19 06:25:00+00:00,2852.85,2853.0,2849.0,2850.05,2878
2023-12-19 06:30:00+00:00,2850.05,2852.85,2848.3,2850.05,1439
2023-12-19 06:35:00+00:00,2850.05,2855.0,2849.2,2853.4,1102
2023-12-19 06:40:00+00:00,2854.95,2857.95,2852.75,2855.45,789
2023-12-19 06:45:00+00:00,2855.45,2856.2,2853.0,2853.5,720
2023-12-19 06:50:00+00:00,2853.5,2855.8,2852.1,2852.35,990
2023-12-19 06:55:00+00:00,2852.35,2853.3,2846.85,2847.15,1060
2023-12-19 07:00:00+00:00,2847.15,2848.0,2836.05,2838.0,7367
2023-12-19 07:05:00+00:00,2838.0,2844.9,2838.0,2844.5,1247
2023-12-19 07:10:00+00:00,2842.75,2850.0,2842.55,2844.95,3278
2023-12-19 07:15:00+00:00,2844.95,2852.55,2843.0,2851.4,6931
2023-12-19 07:20:00+00:00,2851.0,2853.0,2846.85,2847.15,1607
2023-12-19 07:25:00+00:00,2847.15,2849.0,2842.0,2843.05,1424
2023-12-19 07:30:00+00:00,2843.05,2847.9,2842.0,2846.1,518
2023-12-19 07:35:00+00:00,2847.1,2848.55,2842.1,2844.7,275
2023-12-19 07:40:00+00:00,2843.6,2845.9,2842.15,2845.9,498
2023-12-19 07:45:00+00:00,2844.05,2846.05,2844.05,2845.65,280
2023-12-19 07:50:00+00:00,2845.65,2849.0,2845.15,2846.5,696
2023-12-19 07:55:00+00:00,2846.5,2846.5,2842.0,2843.05,519
2023-12-19 08:00:00+00:00,2843.05,2846.35,2842.0,2845.05,746
2023-12-19 08:05:00+00:00,2845.05,2847.75,2842.65,2844.35,289
2023-12-19 08:10:00+00:00,2844.35,2846.0,2842.65,2843.5,326
2023-12-19 08:15:00+00:00,2843.5,2847.8,2843.45,2846.6,545
2023-12-19 08:20:00+00:00,2846.6,2851.1,2845.35,2847.0,1726
2023-12-19 08:25:00+00:00,2847.0,2847.45,2842.25,2843.1,2710
2023-12-19 08:30:00+00:00,2843.1,2844.95,2842.85,2844.6,523
2023-12-19 08:35:00+00:00,2844.6,2846.2,2843.55,2844.65,366
2023-12-19 08:40:00+00:00,2844.65,2847.6,2844.2,2845.45,433
2023-12-19 08:45:00+00:00,2845.45,2850.0,2845.15,2849.45,819
2023-12-19 08:50:00+00:00,2848.0,2849.9,2846.0,2846.85,396
2023-12-19 08:55:00+00:00,2846.85,2848.55,2846.0,2846.1,595
2023-12-19 09:00:00+00:00,2846.1,2848.0,2844.75,2846.25,789
2023-12-19 09:05:00+00:00,2846.25,2847.6,2845.4,2845.5,413
2023-12-19 09:10:00+00:00,2845.85,2847.2,2838.0,2838.7,3051
2023-12-19 09:15:00+00:00,2839.1,2841.85,2836.8,2836.8,1116
2023-12-19 09:20:00+00:00,2831.3,2835.5,2821.35,2823.6,10070
2023-12-19 09:25:00+00:00,2823.6,2829.85,2815.65,2817.9,7649
2023-12-19 09:30:00+00:00,2817.9,2824.3,2813.3,2813.3,9288
2023-12-19 09:35:00+00:00,2813.95,2816.5,2811.0,2812.75,5868
2023-12-19 09:40:00+00:00,2813.95,2813.95,2800.0,2801.45,7437
2023-12-19 09:45:00+00:00,2800.5,2810.0,2800.0,2810.0,10631
2023-12-19 09:50:00+00:00,2807.7,2809.7,2805.55,2807.0,6708
2023-12-19 09:55:00+00:00,2807.9,2809.05,2805.45,2806.0,4431
2023-12-20 03:45:00+00:00,2813.0,2826.4,2801.05,2812.6,18958
