,open,high,low,close,volume
2023-12-20 03:45:00+00:00,498.0,498.0,498.0,498.0,0
2023-12-20 04:10:00+00:00,620.0,620.0,620.0,620.0,2301937
2023-12-20 04:15:00+00:00,620.0,620.0,620.0,620.0,0
2023-12-20 04:20:00+00:00,620.0,620.0,620.0,620.0,0
2023-12-20 04:25:00+00:00,620.0,620.0,620.0,620.0,0
2023-12-20 04:30:00+00:00,620.0,630.0,568.2,572.8,6034078
2023-12-20 04:35:00+00:00,572.5,576.0,566.65,573.5,1359807
2023-12-20 04:40:00+00:00,574.4,579.4,572.5,573.8,640379
2023-12-20 04:45:00+00:00,574.2,574.45,560.0,560.5,993117
2023-12-20 04:50:00+00:00,560.4,562.9,553.0,559.95,887755
2023-12-20 04:55:00+00:00,560.0,560.0,551.0,557.1,460820
2023-12-20 05:00:00+00:00,557.1,563.0,552.45,562.0,492398
2023-12-20 05:05:00+00:00,562.4,569.85,562.0,569.75,479364
2023-12-20 05:10:00+00:00,569.8,572.8,567.3,571.7,364816
2023-12-20 05:15:00+00:00,571.7,582.8,571.5,579.3,796117
2023-12-20 05:20:00+00:00,579.35,584.4,577.0,580.25,404417
2023-12-20 05:25:00+00:00,580.95,584.0,578.4,580.15,202015
2023-12-20 05:30:00+00:00,580.15,581.85,577.85,579.95,164097
2023-12-20 05:35:00+00:00,579.95,581.0,577.05,578.95,134033
2023-12-20 05:40:00+00:00,579.0,580.0,578.4,579.4,88143
2023-12-20 05:45:00+00:00,579.35,580.0,577.0,577.15,105822
2023-12-20 05:50:00+00:00,577.0,577.9,574.2,576.5,114807
2023-12-20 05:55:00+00:00,576.65,579.6,574.2,574.85,81312
2023-12-20 06:00:00+00:00,574.7,576.0,572.75,573.65,70160
2023-12-20 06:05:00+00:00,573.9,573.95,570.0,572.8,102102
2023-12-20 06:10:00+00:00,572.95,573.95,570.2,570.25,47701
2023-12-20 06:15:00+00:00,570.2,570.35,562.8,562.8,146514
2023-12-20 06:20:00+00:00,562.95,566.9,562.85,566.05,70634
2023-12-20 06:25:00+00:00,566.0,566.05,564.0,565.55,49769
2023-12-20 06:30:00+00:00,565.55,568.8,565.15,565.65,59077
2023-12-20 06:35:00+00:00,565.65,566.0,564.2,564.45,30457
2023-12-20 06:40:00+00:00,564.45,564.45,560.1,560.5,84902
2023-12-20 06:45:00+00:00,560.5,561.7,558.5,560.3,96968
2023-12-20 06:50:00+00:00,560.9,561.0,557.2,559.5,72251
2023-12-20 06:55:00+00:00,559.8,563.45,559.5,560.0,60788
2023-12-20 07:00:00+00:00,560.0,560.0,557.1,558.7,39583
2023-12-20 07:05:00+00:00,558.95,559.35,556.5,558.0,47852
2023-12-20 07:10:00+00:00,557.65,560.7,557.5,559.75,47999
2023-12-20 07:15:00+00:00,559.65,560.1,558.3,558.6,34675
2023-12-20 07:20:00+00:00,558.45,559.0,558.0,559.0,36931
2023-12-20 07:25:00+00:00,558.5,559.35,557.5,557.7,35582
2023-12-20 07:30:00+00:00,557.6,558.3,555.3,556.85,58943
2023-12-20 07:35:00+00:00,556.85,557.9,555.05,556.9,67328
2023-12-20 07:40:00+00:00,557.0,558.9,556.9,558.8,50036
2023-12-20 07:45:00+00:00,558.9,558.95,557.0,558.0,51495
2023-12-20 07:50:00+00:00,557.65,558.0,555.5,555.65,57473
2023-12-20 07:55:00+00:00,555.65,556.8,551.95,552.6,169497
2023-12-20 08:00:00+00:00,552.9,554.75,550.0,554.4,212902
2023-12-20 08:05:00+00:00,554.4,554.95,550.65,552.65,117894
2023-12-20 08:10:00+00:00,552.9,553.0,550.0,550.75,92860
2023-12-20 08:15:00+00:00,550.75,550.95,537.0,542.05,253327
2023-12-20 08:20:00+00:00,542.65,546.2,539.6,542.6,133461
2023-12-20 08:25:00+00:00,542.95,553.0,541.3,551.3,159823
2023-12-20 08:30:00+00:00,551.45,553.0,549.6,550.0,98530
2023-12-20 08:35:00+00:00,550.05,550.5,547.25,548.5,95856
2023-12-20 08:40:00+00:00,548.25,552.8,548.0,552.5,98977
2023-12-20 08:45:00+00:00,552.35,553.65,551.5,553.4,82096
2023-12-20 08:50:00+00:00,553.0,558.0,552.2,555.25,124885
2023-12-20 08:55:00+00:00,555.0,559.0,555.0,558.3,88763
2023-12-20 09:00:00+00:00,558.05,558.5,555.2,556.2,62507
2023-12-20 09:05:00+00:00,555.5,556.85,551.05,551.05,46296
2023-12-20 09:10:00+00:00,551.05,551.3,547.7,548.4,48258
2023-12-20 09:15:00+00:00,548.4,549.0,542.1,542.65,166645
2023-12-20 09:20:00+00:00,542.4,545.0,542.2,544.5,67945
