,open,high,low,close,volume
2023-12-18 03:45:00+00:00,189.0,189.0,187.1,187.15,1296
2023-12-18 03:50:00+00:00,187.15,188.9,187.0,188.8,1159
2023-12-18 03:55:00+00:00,187.5,188.8,187.0,188.8,6534
2023-12-18 04:00:00+00:00,188.8,188.8,186.65,186.75,1495
2023-12-18 04:05:00+00:00,186.75,188.5,186.5,188.5,1316
2023-12-18 04:10:00+00:00,188.5,188.5,186.2,186.25,1202
2023-12-18 04:15:00+00:00,186.25,188.95,186.25,187.0,4363
2023-12-18 04:20:00+00:00,188.85,188.85,186.6,186.6,920
2023-12-18 04:25:00+00:00,186.6,188.0,186.6,188.0,618
2023-12-18 04:30:00+00:00,188.0,188.8,187.05,188.75,548
2023-12-18 04:35:00+00:00,188.75,188.75,187.05,188.75,1889
2023-12-18 04:40:00+00:00,188.5,188.75,187.05,187.05,1070
2023-12-18 04:45:00+00:00,187.05,188.45,187.0,187.0,362
2023-12-18 04:50:00+00:00,187.0,188.45,187.0,188.45,735
2023-12-18 04:55:00+00:00,188.45,188.45,187.0,187.0,1
2023-12-18 05:00:00+00:00,187.0,187.85,187.0,187.1,128
2023-12-18 05:05:00+00:00,187.1,187.1,187.0,187.0,390
2023-12-18 05:10:00+00:00,187.0,187.0,186.65,187.0,632
2023-12-18 05:15:00+00:00,187.0,187.0,186.6,187.0,818
2023-12-18 05:20:00+00:00,187.0,187.75,187.0,187.0,529
2023-12-18 05:25:00+00:00,187.0,187.9,187.0,187.9,1054
2023-12-18 05:30:00+00:00,187.9,187.9,186.5,186.65,1509
2023-12-18 05:35:00+00:00,186.65,186.65,186.55,186.55,44
2023-12-18 05:40:00+00:00,186.55,186.65,186.5,186.65,158
2023-12-18 05:45:00+00:00,186.65,187.75,186.2,186.6,641
2023-12-18 05:50:00+00:00,186.55,186.55,186.55,186.55,60
2023-12-18 05:55:00+00:00,186.55,187.75,186.55,186.6,1457
2023-12-18 06:00:00+00:00,186.6,187.0,186.45,186.8,390
2023-12-18 06:05:00+00:00,186.8,187.0,186.8,187.0,436
2023-12-18 06:10:00+00:00,187.0,187.0,187.0,187.0,53
2023-12-18 06:15:00+00:00,187.0,187.0,186.9,187.0,1020
2023-12-18 06:20:00+00:00,187.0,187.0,186.9,187.0,333
2023-12-18 06:25:00+00:00,187.0,187.0,186.9,187.0,229
2023-12-18 06:30:00+00:00,187.0,187.0,186.2,186.25,1802
2023-12-18 06:35:00+00:00,186.25,186.4,186.25,186.25,205
2023-12-18 06:40:00+00:00,186.4,187.0,186.0,186.05,3400
2023-12-18 06:45:00+00:00,187.0,187.0,187.0,187.0,268
2023-12-18 06:50:00+00:00,186.5,187.0,186.0,187.0,821
2023-12-18 06:55:00+00:00,187.0,187.0,186.0,186.0,454
2023-12-18 07:00:00+00:00,186.0,187.0,186.0,187.0,604
2023-12-18 07:05:00+00:00,187.0,187.45,185.0,185.5,1805
2023-12-18 07:10:00+00:00,185.5,187.0,185.15,185.15,365
2023-12-18 07:15:00+00:00,185.15,187.0,185.15,187.0,140
2023-12-18 07:20:00+00:00,187.0,187.0,186.95,186.95,0
2023-12-18 07:25:00+00:00,186.95,187.0,185.55,187.0,501
2023-12-18 07:30:00+00:00,187.0,187.0,187.0,187.0,41
2023-12-18 07:35:00+00:00,187.0,187.0,187.0,187.0,50
2023-12-18 07:40:00+00:00,187.0,187.0,185.55,185.55,1000
2023-12-18 07:45:00+00:00,185.55,186.95,185.55,186.1,70
