,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1570.0,1570.0,1557.0,1559.1,41181
2023-12-18 03:50:00+00:00,1559.1,1561.95,1558.05,1559.2,26876
2023-12-18 03:55:00+00:00,1559.75,1564.0,1558.6,1564.0,39759
2023-12-18 04:00:00+00:00,1564.0,1564.0,1557.0,1557.95,32819
2023-12-18 04:05:00+00:00,1557.95,1559.0,1555.65,1556.1,26092
2023-12-18 04:10:00+00:00,1556.4,1559.1,1555.65,1558.65,15368
2023-12-18 04:15:00+00:00,1558.65,1559.3,1557.15,1557.6,18290
2023-12-18 04:20:00+00:00,1557.6,1557.95,1555.0,1555.6,18273
2023-12-18 04:25:00+00:00,1555.9,1556.2,1553.75,1554.35,14559
2023-12-18 04:30:00+00:00,1554.25,1556.85,1554.2,1556.05,14052
2023-12-18 04:35:00+00:00,1555.6,1556.6,1553.3,1553.75,25324
2023-12-18 04:40:00+00:00,1553.75,1556.35,1552.9,1555.0,15142
2023-12-18 04:45:00+00:00,1555.0,1556.05,1554.0,1555.95,21421
2023-12-18 04:50:00+00:00,1555.6,1557.95,1555.2,1556.6,11665
2023-12-18 04:55:00+00:00,1556.85,1559.65,1556.7,1559.3,17693
2023-12-18 05:00:00+00:00,1559.3,1561.05,1559.1,1560.1,22276
2023-12-18 05:05:00+00:00,1559.8,1560.15,1556.1,1556.55,11700
2023-12-18 05:10:00+00:00,1556.5,1557.25,1555.0,1556.2,13381
2023-12-18 05:15:00+00:00,1556.2,1557.45,1555.2,1556.75,17031
2023-12-18 05:20:00+00:00,1556.75,1558.05,1556.4,1558.0,5081
2023-12-18 05:25:00+00:00,1558.4,1559.1,1557.9,1558.65,6496
2023-12-18 05:30:00+00:00,1558.7,1559.95,1558.1,1559.8,13625
2023-12-18 05:35:00+00:00,1559.8,1560.55,1558.5,1558.85,16882
2023-12-18 05:40:00+00:00,1558.85,1560.6,1558.6,1559.15,4886
2023-12-18 05:45:00+00:00,1559.15,1560.8,1559.15,1560.45,2946
2023-12-18 05:50:00+00:00,1560.45,1560.5,1558.85,1559.45,12211
2023-12-18 05:55:00+00:00,1560.0,1562.0,1560.0,1561.7,9856
2023-12-18 06:00:00+00:00,1561.7,1562.25,1560.25,1561.65,10046
2023-12-18 06:05:00+00:00,1561.35,1562.0,1560.15,1560.2,9066
2023-12-18 06:10:00+00:00,1560.2,1561.0,1559.25,1559.75,7216
2023-12-18 06:15:00+00:00,1559.75,1560.5,1559.05,1560.0,8931
2023-12-18 06:20:00+00:00,1560.0,1562.0,1559.8,1561.15,11804
2023-12-18 06:25:00+00:00,1561.15,1561.85,1560.6,1560.6,6090
2023-12-18 06:30:00+00:00,1560.85,1561.3,1559.25,1561.2,6520
2023-12-18 06:35:00+00:00,1561.25,1561.95,1560.5,1561.15,7028
2023-12-18 06:40:00+00:00,1561.15,1563.7,1561.15,1563.1,10949
2023-12-18 06:45:00+00:00,1563.0,1564.7,1561.55,1562.5,13681
2023-12-18 06:50:00+00:00,1562.6,1563.0,1561.25,1561.85,4778
2023-12-18 06:55:00+00:00,1561.9,1562.05,1560.65,1561.75,4896
2023-12-18 07:00:00+00:00,1561.75,1562.0,1560.2,1560.55,8669
2023-12-18 07:05:00+00:00,1561.15,1561.95,1560.0,1560.0,4736
2023-12-18 07:10:00+00:00,1560.2,1560.7,1558.1,1559.65,6451
2023-12-18 07:15:00+00:00,1559.5,1560.75,1559.0,1560.1,6870
2023-12-18 07:20:00+00:00,1560.1,1561.8,1559.5,1560.55,7766
2023-12-18 07:25:00+00:00,1560.55,1560.85,1558.25,1559.0,10860
2023-12-18 07:30:00+00:00,1558.95,1559.0,1556.1,1556.15,18040
2023-12-18 07:35:00+00:00,1556.1,1556.75,1555.0,1556.05,12511
2023-12-18 07:40:00+00:00,1556.05,1557.9,1555.5,1557.1,43830
2023-12-18 07:45:00+00:00,1557.1,1557.95,1555.05,1555.65,11944
2023-12-18 07:50:00+00:00,1555.65,1556.8,1555.25,1556.5,9336
2023-12-18 07:55:00+00:00,1556.5,1559.1,1555.85,1559.0,12302
2023-12-18 08:00:00+00:00,1559.0,1559.05,1555.5,1556.0,6268
2023-12-18 08:05:00+00:00,1556.05,1557.55,1555.7,1556.7,6656
