,open,high,low,close,volume
2023-12-18 03:45:00+00:00,450.15,462.75,450.15,461.5,62278
2023-12-18 03:50:00+00:00,461.55,462.0,457.8,459.0,63306
2023-12-18 03:55:00+00:00,459.35,459.35,457.0,458.05,14127
2023-12-18 04:00:00+00:00,457.75,460.8,457.1,459.9,21016
2023-12-18 04:05:00+00:00,460.25,462.0,459.3,460.75,25442
2023-12-18 04:10:00+00:00,460.75,468.0,460.0,466.6,100013
2023-12-18 04:15:00+00:00,466.6,467.0,462.55,464.6,49143
2023-12-18 04:20:00+00:00,464.35,469.6,464.1,468.0,53388
2023-12-18 04:25:00+00:00,468.05,469.45,466.5,467.4,36177
2023-12-18 04:30:00+00:00,467.4,469.4,466.9,467.5,44403
2023-12-18 04:35:00+00:00,467.5,469.45,466.8,469.0,41869
2023-12-18 04:40:00+00:00,469.0,469.75,466.9,469.45,59527
2023-12-18 04:45:00+00:00,469.75,470.85,468.05,468.65,67104
2023-12-18 04:50:00+00:00,468.25,469.3,467.1,469.3,29944
2023-12-18 04:55:00+00:00,469.3,469.95,468.3,468.6,44146
2023-12-18 05:00:00+00:00,468.3,469.7,468.2,469.15,12998
2023-12-18 05:05:00+00:00,469.15,469.55,467.7,467.75,8862
2023-12-18 05:10:00+00:00,468.15,468.15,466.7,466.85,12065
2023-12-18 05:15:00+00:00,467.0,468.6,466.4,468.2,15005
2023-12-18 05:20:00+00:00,468.2,468.55,467.45,468.05,8442
2023-12-18 05:25:00+00:00,468.05,468.05,466.0,466.45,6498
2023-12-18 05:30:00+00:00,466.1,466.7,465.1,465.15,5595
2023-12-18 05:35:00+00:00,465.1,465.55,463.3,464.0,24988
2023-12-18 05:40:00+00:00,463.6,466.1,463.6,464.95,11298
2023-12-18 05:45:00+00:00,465.0,467.0,464.5,465.5,12099
2023-12-18 05:50:00+00:00,465.1,465.95,464.8,465.35,6369
2023-12-18 05:55:00+00:00,465.35,465.7,463.75,464.05,6992
2023-12-18 06:00:00+00:00,464.4,464.75,463.75,463.9,6519
2023-12-18 06:05:00+00:00,463.9,465.0,463.55,463.9,6040
2023-12-18 06:10:00+00:00,463.9,464.2,462.35,462.9,10183
2023-12-18 06:15:00+00:00,462.65,462.85,462.0,462.4,7324
2023-12-18 06:20:00+00:00,462.1,462.85,462.1,462.2,8083
2023-12-18 06:25:00+00:00,462.5,462.75,462.0,462.1,5186
2023-12-18 06:30:00+00:00,462.1,462.9,461.6,462.6,11542
2023-12-18 06:35:00+00:00,462.6,463.9,462.4,462.5,7032
2023-12-18 06:40:00+00:00,462.35,463.6,462.25,463.0,4487
2023-12-18 06:45:00+00:00,463.0,464.05,463.0,463.6,8755
2023-12-18 06:50:00+00:00,463.6,465.0,463.35,464.0,7239
2023-12-18 06:55:00+00:00,463.85,464.5,463.7,463.7,10593
2023-12-18 07:00:00+00:00,463.7,463.7,462.0,462.05,5181
