,open,high,low,close,volume
2023-12-18 03:45:00+00:00,937.4,950.4,937.4,946.05,6934
2023-12-18 03:50:00+00:00,946.05,946.05,936.0,937.55,4564
2023-12-18 03:55:00+00:00,937.55,945.0,937.4,944.2,4518
2023-12-18 04:00:00+00:00,944.65,945.0,942.05,942.85,934
2023-12-18 04:05:00+00:00,942.85,944.4,937.5,938.0,2632
2023-12-18 04:10:00+00:00,938.0,938.0,934.65,935.85,827
2023-12-18 04:15:00+00:00,935.85,937.0,934.05,934.5,4083
2023-12-18 04:20:00+00:00,934.5,935.3,933.0,934.3,640
2023-12-18 04:25:00+00:00,934.3,935.35,933.0,933.35,848
2023-12-18 04:30:00+00:00,933.45,934.7,933.05,934.0,629
2023-12-18 04:35:00+00:00,934.2,935.15,934.0,934.2,421
2023-12-18 04:40:00+00:00,934.2,938.6,934.2,938.6,3404
2023-12-18 04:45:00+00:00,938.6,939.65,937.95,939.65,140
2023-12-18 04:50:00+00:00,939.65,939.9,938.55,938.55,220
2023-12-18 04:55:00+00:00,938.55,938.55,937.05,938.35,152
2023-12-18 05:00:00+00:00,938.35,938.5,937.0,938.5,213
2023-12-18 05:05:00+00:00,938.5,938.5,936.2,936.9,391
2023-12-18 05:10:00+00:00,936.9,936.9,934.05,934.05,3193
2023-12-18 05:15:00+00:00,934.05,945.0,934.05,938.05,5114
2023-12-18 05:20:00+00:00,938.05,940.45,938.05,940.0,174
2023-12-18 05:25:00+00:00,940.0,941.0,939.45,940.45,202
2023-12-18 05:30:00+00:00,940.45,941.6,938.65,941.6,350
2023-12-18 05:35:00+00:00,941.6,941.7,941.35,941.35,99
2023-12-18 05:40:00+00:00,941.35,941.35,939.05,939.45,327
2023-12-18 05:45:00+00:00,939.45,940.4,939.0,939.3,697
2023-12-18 05:50:00+00:00,939.3,940.2,938.3,938.5,417
2023-12-18 05:55:00+00:00,938.5,938.5,936.75,938.0,3320
2023-12-18 06:00:00+00:00,938.0,941.95,936.65,941.1,4031
2023-12-18 06:05:00+00:00,940.7,942.5,939.1,941.95,3271
2023-12-18 06:10:00+00:00,941.95,944.6,940.7,943.8,1888
2023-12-18 06:15:00+00:00,943.8,943.8,941.0,942.4,728
2023-12-18 06:20:00+00:00,942.4,942.4,940.55,941.3,114
2023-12-18 06:25:00+00:00,941.3,945.0,941.3,943.4,1061
2023-12-18 06:30:00+00:00,943.4,943.85,943.0,943.2,416
2023-12-18 06:35:00+00:00,943.2,943.85,940.15,942.3,1733
2023-12-18 06:40:00+00:00,942.3,943.55,941.6,941.95,1307
2023-12-18 06:45:00+00:00,941.95,942.95,941.9,942.95,105
2023-12-18 06:50:00+00:00,942.0,942.65,941.0,941.75,412
2023-12-18 06:55:00+00:00,941.75,946.4,941.75,944.55,1674
2023-12-18 07:00:00+00:00,944.55,944.55,940.85,942.0,296
2023-12-18 07:05:00+00:00,942.0,943.9,942.0,942.95,214
2023-12-18 07:10:00+00:00,942.95,943.5,942.95,943.5,63
2023-12-18 07:15:00+00:00,943.5,943.9,942.45,942.45,112
2023-12-18 07:20:00+00:00,942.45,942.45,942.0,942.0,87
2023-12-18 07:25:00+00:00,940.95,942.1,940.95,942.0,205
2023-12-18 07:30:00+00:00,942.0,946.0,941.45,942.2,2560
2023-12-18 07:35:00+00:00,942.2,943.8,941.7,943.8,192
2023-12-18 07:40:00+00:00,943.8,943.8,942.2,942.2,80
2023-12-18 07:45:00+00:00,942.2,943.45,938.95,941.95,6040
2023-12-18 07:50:00+00:00,942.7,943.1,936.95,942.05,12204
2023-12-18 07:55:00+00:00,942.05,942.55,942.05,942.55,43
2023-12-18 08:00:00+00:00,942.55,943.0,940.85,942.0,1496
2023-12-18 08:05:00+00:00,942.0,942.45,941.25,942.45,566
2023-12-18 08:10:00+00:00,942.45,942.7,941.65,942.7,289
2023-12-18 08:15:00+00:00,942.7,942.7,941.0,942.4,329
2023-12-18 08:20:00+00:00,942.4,942.75,941.1,942.2,141
2023-12-18 08:25:00+00:00,942.2,947.0,942.05,945.95,4558
2023-12-18 08:30:00+00:00,945.95,945.95,944.7,945.0,1357
2023-12-18 08:35:00+00:00,945.0,946.3,944.0,944.0,481
2023-12-18 08:40:00+00:00,944.85,946.1,944.0,945.35,626
2023-12-18 08:45:00+00:00,945.35,946.0,944.6,945.9,180
2023-12-18 08:50:00+00:00,945.9,945.9,944.55,945.05,74
2023-12-18 08:55:00+00:00,945.05,945.8,943.95,945.05,287
2023-12-18 09:00:00+00:00,945.05,945.7,943.2,943.75,2578
2023-12-18 09:05:00+00:00,943.75,945.7,943.75,945.7,465
2023-12-18 09:10:00+00:00,945.7,945.75,943.75,944.45,462
2023-12-18 09:15:00+00:00,944.45,945.35,944.2,945.0,239
2023-12-18 09:20:00+00:00,945.0,945.8,944.0,945.0,523
2023-12-18 09:25:00+00:00,945.0,945.75,943.65,945.0,7915
2023-12-18 09:30:00+00:00,945.0,945.75,944.4,945.0,800
2023-12-18 09:35:00+00:00,945.0,945.75,939.9,945.75,4071
2023-12-18 09:40:00+00:00,945.75,945.75,943.9,945.0,2848
2023-12-18 09:45:00+00:00,945.0,945.75,943.95,945.15,4156
2023-12-18 09:50:00+00:00,945.0,945.75,944.8,945.7,2181
2023-12-18 09:55:00+00:00,945.7,948.0,944.3,947.9,3588
2023-12-19 03:45:00+00:00,944.25,949.5,933.0,945.0,4647
2023-12-19 03:50:00+00:00,945.1,945.1,941.1,941.9,1291
2023-12-19 03:55:00+00:00,944.05,944.25,942.45,944.15,943
2023-12-19 04:00:00+00:00,944.15,944.15,941.4,942.65,385
2023-12-19 04:05:00+00:00,942.65,942.65,940.55,941.55,802
2023-12-19 04:10:00+00:00,941.55,941.55,933.05,934.2,4471
2023-12-19 04:15:00+00:00,934.2,935.35,929.55,935.35,5228
2023-12-19 04:20:00+00:00,935.35,936.2,933.1,934.4,574
2023-12-19 04:25:00+00:00,934.4,934.4,931.0,933.55,1429
2023-12-19 04:30:00+00:00,933.55,934.55,931.65,932.15,334
2023-12-19 04:35:00+00:00,932.15,932.6,930.0,930.7,832
2023-12-19 04:40:00+00:00,930.7,932.5,930.1,930.8,624
2023-12-19 04:45:00+00:00,930.8,934.0,930.25,934.0,436
2023-12-19 04:50:00+00:00,934.0,935.35,933.0,934.05,292
2023-12-19 04:55:00+00:00,934.05,935.0,933.95,934.15,537
2023-12-19 05:00:00+00:00,934.15,935.2,934.05,935.2,116
2023-12-19 05:05:00+00:00,935.2,937.05,935.2,936.95,456
2023-12-19 05:10:00+00:00,936.95,936.95,934.65,936.05,508
2023-12-19 05:15:00+00:00,936.05,939.35,933.9,939.35,574
2023-12-19 05:20:00+00:00,940.0,943.05,938.95,942.7,2223
2023-12-19 05:25:00+00:00,942.7,942.7,940.0,940.15,107
2023-12-19 05:30:00+00:00,940.15,940.75,939.6,939.6,901
2023-12-19 05:35:00+00:00,939.6,940.8,939.6,940.8,669
2023-12-19 05:40:00+00:00,940.8,940.8,940.4,940.4,37
2023-12-19 05:45:00+00:00,939.55,941.25,939.55,940.65,230
