,open,high,low,close,volume
2023-12-18 03:45:00+00:00,455.0,456.0,453.0,453.25,527886
2023-12-18 03:50:00+00:00,453.25,453.7,451.6,453.25,345368
2023-12-18 03:55:00+00:00,453.25,453.35,452.35,453.35,364251
2023-12-18 04:00:00+00:00,453.35,454.5,453.35,453.8,192167
2023-12-18 04:05:00+00:00,453.85,454.4,453.15,453.4,150539
2023-12-18 04:10:00+00:00,453.35,453.75,452.35,452.85,272722
2023-12-18 04:15:00+00:00,452.85,452.85,452.0,452.6,248393
2023-12-18 04:20:00+00:00,452.65,453.55,451.85,453.4,370939
2023-12-18 04:25:00+00:00,453.5,453.5,453.0,453.05,124103
2023-12-18 04:30:00+00:00,453.15,453.3,453.0,453.3,140308
2023-12-18 04:35:00+00:00,453.15,453.25,452.25,452.9,211006
2023-12-18 04:40:00+00:00,452.9,452.95,452.0,452.15,210513
2023-12-18 04:45:00+00:00,452.15,452.15,451.25,451.3,284737
2023-12-18 04:50:00+00:00,451.35,451.5,450.35,451.0,436720
2023-12-18 04:55:00+00:00,451.0,451.4,450.6,450.95,364289
2023-12-18 05:00:00+00:00,450.95,451.5,450.85,451.15,162956
2023-12-18 05:05:00+00:00,451.15,451.35,450.65,450.75,223580
2023-12-18 05:10:00+00:00,450.85,450.95,450.5,450.55,136341
2023-12-18 05:15:00+00:00,450.65,450.85,450.5,450.7,134473
2023-12-18 05:20:00+00:00,450.7,450.85,450.55,450.75,109122
2023-12-18 05:25:00+00:00,450.8,451.1,450.5,450.65,264322
2023-12-18 05:30:00+00:00,450.65,451.9,450.5,451.8,123853
2023-12-18 05:35:00+00:00,451.85,451.85,451.1,451.15,108420
2023-12-18 05:40:00+00:00,451.2,451.45,451.1,451.25,69095
2023-12-18 05:45:00+00:00,451.25,451.6,451.2,451.6,79027
2023-12-18 05:50:00+00:00,451.55,451.7,451.5,451.55,94096
2023-12-18 05:55:00+00:00,451.5,452.7,451.3,452.55,187866
2023-12-18 06:00:00+00:00,452.6,452.6,451.8,452.1,100965
2023-12-18 06:05:00+00:00,452.05,452.35,451.95,452.15,114207
2023-12-18 06:10:00+00:00,452.05,452.1,451.8,452.0,86365
2023-12-18 06:15:00+00:00,452.0,452.1,451.8,451.85,133625
2023-12-18 06:20:00+00:00,451.8,451.9,451.8,451.85,83565
2023-12-18 06:25:00+00:00,451.8,451.9,451.5,451.5,230147
2023-12-18 06:30:00+00:00,451.55,451.9,451.5,451.65,140968
2023-12-18 06:35:00+00:00,451.6,452.0,451.4,451.45,166353
2023-12-18 06:40:00+00:00,451.45,451.8,451.25,451.7,103117
2023-12-18 06:45:00+00:00,451.65,451.65,451.25,451.55,88208
2023-12-18 06:50:00+00:00,451.55,451.65,451.5,451.55,95466
2023-12-18 06:55:00+00:00,451.55,451.6,451.4,451.4,173755
2023-12-18 07:00:00+00:00,451.4,451.55,451.2,451.5,88262
2023-12-18 07:05:00+00:00,451.45,451.65,451.2,451.65,107299
2023-12-18 07:10:00+00:00,451.65,451.9,451.5,451.55,77219
2023-12-18 07:15:00+00:00,451.55,451.65,451.5,451.6,72646
2023-12-18 07:20:00+00:00,451.6,451.7,451.5,451.55,83881
2023-12-18 07:25:00+00:00,451.6,451.8,451.5,451.55,86479
2023-12-18 07:30:00+00:00,451.55,451.75,451.5,451.55,63906
2023-12-18 07:35:00+00:00,451.55,451.8,451.5,451.75,104644
2023-12-18 07:40:00+00:00,451.75,451.9,451.5,451.55,86222
2023-12-18 07:45:00+00:00,451.55,452.05,451.55,451.8,161198
2023-12-18 07:50:00+00:00,451.8,452.1,451.65,451.95,107647
2023-12-18 07:55:00+00:00,451.95,452.05,451.5,451.9,97371
2023-12-18 08:00:00+00:00,451.9,451.9,451.5,451.7,121671
2023-12-18 08:05:00+00:00,451.55,451.85,451.5,451.8,92644
2023-12-18 08:10:00+00:00,451.6,451.95,451.5,451.85,99853
2023-12-18 08:15:00+00:00,451.85,451.95,451.5,451.8,116039
2023-12-18 08:20:00+00:00,451.8,451.9,451.45,451.55,93694
2023-12-18 08:25:00+00:00,451.55,451.8,451.3,451.35,62758
2023-12-18 08:30:00+00:00,451.3,451.5,451.1,451.5,116298
2023-12-18 08:35:00+00:00,451.5,451.7,451.3,451.55,78514
2023-12-18 08:40:00+00:00,451.55,451.8,451.2,451.5,98527
2023-12-18 08:45:00+00:00,451.6,451.8,451.25,451.5,101464
2023-12-18 08:50:00+00:00,451.4,451.6,451.1,451.35,90053
2023-12-18 08:55:00+00:00,451.35,451.7,451.3,451.45,122302
2023-12-18 09:00:00+00:00,451.45,451.7,451.25,451.6,108124
2023-12-18 09:05:00+00:00,451.6,451.6,451.25,451.35,116960
2023-12-18 09:10:00+00:00,451.35,451.5,451.1,451.2,118641
2023-12-18 09:15:00+00:00,451.15,451.3,451.0,451.05,142292
2023-12-18 09:20:00+00:00,451.05,451.5,451.05,451.45,131761
2023-12-18 09:25:00+00:00,451.45,451.75,451.4,451.65,246163
2023-12-18 09:30:00+00:00,451.65,451.7,451.3,451.45,130667
2023-12-18 09:35:00+00:00,451.45,451.65,451.4,451.65,158196
2023-12-18 09:40:00+00:00,451.6,451.7,451.4,451.5,160629
2023-12-18 09:45:00+00:00,451.45,451.65,451.35,451.65,222949
2023-12-18 09:50:00+00:00,451.65,451.9,451.5,451.85,252118
2023-12-18 09:55:00+00:00,451.85,452.0,451.5,451.95,263167
2023-12-19 03:45:00+00:00,453.35,453.5,452.05,453.2,253183
2023-12-19 03:50:00+00:00,453.2,454.2,453.2,453.95,346346
2023-12-19 03:55:00+00:00,453.95,454.95,453.95,454.5,221336
2023-12-19 04:00:00+00:00,454.5,454.95,454.35,454.7,93120
2023-12-19 04:05:00+00:00,454.7,454.7,453.65,453.95,120461
2023-12-19 04:10:00+00:00,454.0,454.3,453.7,454.15,133886
2023-12-19 04:15:00+00:00,454.05,454.5,454.0,454.15,59282
2023-12-19 04:20:00+00:00,454.25,454.25,453.85,454.2,106026
2023-12-19 04:25:00+00:00,454.2,454.25,453.65,454.2,57314
2023-12-19 04:30:00+00:00,454.2,454.85,454.05,454.2,81694
2023-12-19 04:35:00+00:00,454.25,454.4,453.35,453.35,68440
2023-12-19 04:40:00+00:00,453.55,454.65,453.45,454.25,163018
2023-12-19 04:45:00+00:00,454.4,454.8,454.05,454.75,73635
2023-12-19 04:50:00+00:00,454.65,456.25,454.3,455.75,521949
2023-12-19 04:55:00+00:00,455.55,456.8,455.55,455.95,556681
2023-12-19 05:00:00+00:00,455.95,456.8,455.65,456.6,158842
2023-12-19 05:05:00+00:00,456.75,456.8,456.1,456.1,86493
2023-12-19 05:10:00+00:00,456.3,456.7,456.05,456.7,106551
2023-12-19 05:15:00+00:00,456.7,458.0,456.45,456.95,280583
2023-12-19 05:20:00+00:00,457.25,457.35,456.55,456.8,144347
2023-12-19 05:25:00+00:00,456.95,456.95,456.0,456.25,95325
2023-12-19 05:30:00+00:00,456.15,456.95,456.1,456.95,92708
2023-12-19 05:35:00+00:00,456.75,457.2,456.65,457.0,78232
2023-12-19 05:40:00+00:00,457.0,457.0,456.05,456.05,77353
2023-12-19 05:45:00+00:00,456.1,456.25,456.0,456.25,130856
2023-12-19 05:50:00+00:00,456.0,456.45,455.1,455.3,84487
2023-12-19 05:55:00+00:00,455.3,455.55,454.3,454.65,252966
2023-12-19 06:00:00+00:00,454.7,455.2,454.6,454.85,91987
2023-12-19 06:05:00+00:00,454.7,455.4,454.7,455.05,58019
2023-12-19 06:10:00+00:00,455.05,455.55,454.75,455.15,66199
2023-12-19 06:15:00+00:00,455.05,455.7,455.0,455.5,60648
2023-12-19 06:20:00+00:00,455.45,456.3,455.4,455.8,115287
2023-12-19 06:25:00+00:00,455.8,456.25,455.7,455.95,55188
2023-12-19 06:30:00+00:00,455.95,456.2,455.5,455.85,76601
2023-12-19 06:35:00+00:00,455.9,456.45,455.5,456.35,99840
2023-12-19 06:40:00+00:00,456.35,456.5,456.15,456.2,97483
2023-12-19 06:45:00+00:00,456.2,456.5,456.1,456.35,75546
2023-12-19 06:50:00+00:00,456.25,456.4,455.55,456.0,106491
2023-12-19 06:55:00+00:00,456.0,456.3,455.8,456.0,50994
2023-12-19 07:00:00+00:00,456.0,456.4,455.9,456.35,59845
2023-12-19 07:05:00+00:00,456.3,456.8,456.2,456.75,84001
2023-12-19 07:10:00+00:00,456.75,457.25,456.5,456.55,125881
2023-12-19 07:15:00+00:00,456.55,457.15,456.5,456.9,134362
2023-12-19 07:20:00+00:00,456.75,457.0,456.35,456.5,56891
2023-12-19 07:25:00+00:00,456.35,456.75,456.2,456.7,71656
2023-12-19 07:30:00+00:00,456.7,457.2,456.5,457.2,121575
2023-12-19 07:35:00+00:00,457.15,457.2,456.3,456.5,100108
2023-12-19 07:40:00+00:00,456.45,456.8,456.25,456.5,58559
2023-12-19 07:45:00+00:00,456.45,456.65,456.15,456.4,49649
2023-12-19 07:50:00+00:00,456.35,456.75,456.25,456.55,47577
2023-12-19 07:55:00+00:00,456.5,456.7,456.4,456.6,47673
2023-12-19 08:00:00+00:00,456.55,456.65,456.2,456.25,67400
2023-12-19 08:05:00+00:00,456.25,456.25,455.8,455.95,94563
2023-12-19 08:10:00+00:00,455.95,456.0,455.75,455.9,60609
2023-12-19 08:15:00+00:00,455.85,455.85,455.15,455.6,106215
2023-12-19 08:20:00+00:00,455.45,456.15,455.35,455.8,63628
2023-12-19 08:25:00+00:00,455.8,456.1,455.6,455.75,98826
2023-12-19 08:30:00+00:00,455.9,456.1,455.55,455.8,82246
2023-12-19 08:35:00+00:00,455.8,456.25,455.7,456.15,56313
2023-12-19 08:40:00+00:00,456.1,456.35,456.0,456.25,69520
2023-12-19 08:45:00+00:00,456.2,457.15,456.0,457.0,156807
2023-12-19 08:50:00+00:00,457.05,457.15,456.4,456.7,112893
2023-12-19 08:55:00+00:00,456.7,456.95,456.35,456.35,111954
2023-12-19 09:00:00+00:00,456.45,457.0,456.35,456.85,126584
2023-12-19 09:05:00+00:00,456.95,457.0,456.65,456.95,99802
2023-12-19 09:10:00+00:00,456.85,456.95,456.35,456.6,110556
2023-12-19 09:15:00+00:00,456.55,456.8,456.05,456.4,128872
2023-12-19 09:20:00+00:00,456.4,456.5,455.65,456.15,119531
2023-12-19 09:25:00+00:00,455.95,456.1,455.0,455.15,196012
2023-12-19 09:30:00+00:00,455.1,456.5,455.05,456.45,313781
2023-12-19 09:35:00+00:00,456.4,456.95,456.4,456.8,291309
2023-12-19 09:40:00+00:00,456.8,456.9,456.25,456.5,200518
2023-12-19 09:45:00+00:00,456.55,456.7,456.3,456.6,220271
2023-12-19 09:50:00+00:00,456.6,456.6,455.05,455.5,359608
2023-12-19 09:55:00+00:00,455.55,456.5,454.8,456.45,475914
2023-12-20 03:45:00+00:00,459.0,459.0,457.05,457.7,292518
2023-12-20 03:50:00+00:00,457.75,458.35,457.25,458.35,240911
2023-12-20 03:55:00+00:00,458.4,458.8,457.7,457.9,97240
2023-12-20 04:00:00+00:00,457.9,458.45,457.7,458.0,125229
2023-12-20 04:05:00+00:00,458.0,458.25,457.55,457.65,96183
2023-12-20 04:10:00+00:00,457.8,458.45,457.6,458.25,124307
2023-12-20 04:15:00+00:00,458.25,458.35,458.0,458.1,56782
2023-12-20 04:20:00+00:00,458.1,458.8,458.05,458.35,107916
2023-12-20 04:25:00+00:00,458.35,459.2,458.35,459.05,156192
2023-12-20 04:30:00+00:00,459.2,459.2,458.05,458.3,144545
2023-12-20 04:35:00+00:00,458.45,458.55,458.0,458.25,72737
2023-12-20 04:40:00+00:00,458.35,458.7,458.25,458.7,72401
2023-12-20 04:45:00+00:00,458.7,459.25,458.7,458.75,167209
2023-12-20 04:50:00+00:00,458.85,458.9,458.45,458.5,94972
2023-12-20 04:55:00+00:00,458.7,458.8,458.1,458.25,175413
2023-12-20 05:00:00+00:00,458.15,458.4,458.0,458.0,135280
2023-12-20 05:05:00+00:00,458.0,458.4,458.0,458.1,139962
2023-12-20 05:10:00+00:00,458.1,458.25,458.0,458.2,96330
2023-12-20 05:15:00+00:00,458.2,458.45,458.0,458.25,113019
2023-12-20 05:20:00+00:00,458.25,458.35,458.0,458.2,120485
2023-12-20 05:25:00+00:00,458.15,458.25,458.0,458.2,89375
2023-12-20 05:30:00+00:00,458.2,458.3,458.0,458.0,85939
2023-12-20 05:35:00+00:00,458.0,458.15,458.0,458.0,164102
2023-12-20 05:40:00+00:00,458.0,458.4,457.8,458.05,217725
2023-12-20 05:45:00+00:00,458.05,458.5,458.05,458.3,110970
2023-12-20 05:50:00+00:00,458.25,458.5,458.0,458.0,84275
2023-12-20 05:55:00+00:00,458.0,458.25,457.95,458.1,75576
2023-12-20 06:00:00+00:00,458.05,458.2,457.8,458.0,82289
2023-12-20 06:05:00+00:00,458.0,458.0,457.5,457.5,75857
2023-12-20 06:10:00+00:00,457.5,457.65,456.65,457.0,152898
