,open,high,low,close,volume
2023-12-18 03:45:00+00:00,293.85,296.2,290.6,290.75,53009
2023-12-18 03:50:00+00:00,291.05,292.1,290.05,292.0,22247
2023-12-18 03:55:00+00:00,292.45,293.75,292.45,293.5,14318
2023-12-18 04:00:00+00:00,293.5,294.0,293.1,293.45,13558
2023-12-18 04:05:00+00:00,293.45,295.0,293.35,294.7,14825
2023-12-18 04:10:00+00:00,294.7,295.9,294.45,295.6,6568
2023-12-18 04:15:00+00:00,295.6,296.4,295.35,296.2,5461
2023-12-18 04:20:00+00:00,296.5,297.0,295.0,295.6,40935
2023-12-18 04:25:00+00:00,295.6,296.6,295.0,296.4,13410
2023-12-18 04:30:00+00:00,296.9,297.0,296.1,296.65,5119
2023-12-18 04:35:00+00:00,296.65,296.65,296.0,296.1,1969
2023-12-18 04:40:00+00:00,296.1,296.3,295.95,296.15,4104
2023-12-18 04:45:00+00:00,296.15,296.2,295.55,295.75,3035
2023-12-18 04:50:00+00:00,295.05,296.05,295.05,295.85,4454
2023-12-18 04:55:00+00:00,295.85,296.0,295.25,296.0,3610
2023-12-18 05:00:00+00:00,296.0,296.0,295.5,295.65,2024
2023-12-18 05:05:00+00:00,295.65,295.8,295.05,295.4,3906
2023-12-18 05:10:00+00:00,295.4,296.0,295.25,295.95,2998
2023-12-18 05:15:00+00:00,295.95,296.3,295.7,296.3,1549
2023-12-18 05:20:00+00:00,296.3,296.7,296.2,296.6,2951
2023-12-18 05:25:00+00:00,296.6,296.7,295.7,295.85,4403
2023-12-18 05:30:00+00:00,295.85,296.2,295.45,295.85,3836
2023-12-18 05:35:00+00:00,295.85,296.15,295.7,296.15,1299
2023-12-18 05:40:00+00:00,296.15,296.15,295.35,295.4,2454
2023-12-18 05:45:00+00:00,295.4,295.8,295.2,295.8,929
2023-12-18 05:50:00+00:00,295.8,295.95,295.2,295.5,4005
2023-12-18 05:55:00+00:00,295.5,295.95,295.25,295.95,2067
2023-12-18 06:00:00+00:00,295.95,295.95,295.3,295.7,2290
2023-12-18 06:05:00+00:00,295.7,295.85,295.0,295.1,3350
2023-12-18 06:10:00+00:00,295.1,295.25,295.0,295.25,1663
2023-12-18 06:15:00+00:00,295.25,295.3,294.6,295.3,3203
2023-12-18 06:20:00+00:00,295.3,295.55,295.0,295.55,4122
2023-12-18 06:25:00+00:00,295.55,295.65,295.05,295.15,1477
2023-12-18 06:30:00+00:00,295.15,295.7,295.05,295.25,2774
2023-12-18 06:35:00+00:00,295.25,295.95,295.25,295.95,787
2023-12-18 06:40:00+00:00,295.95,295.95,295.5,295.5,2637
2023-12-18 06:45:00+00:00,295.5,296.4,295.5,296.05,5737
2023-12-18 06:50:00+00:00,296.05,296.5,296.0,296.3,5244
2023-12-18 06:55:00+00:00,296.3,296.3,295.5,295.6,3043
2023-12-18 07:00:00+00:00,295.6,295.6,294.8,295.5,6022
2023-12-18 07:05:00+00:00,295.5,295.55,295.3,295.3,861
2023-12-18 07:10:00+00:00,295.3,295.6,295.3,295.45,536
2023-12-18 07:15:00+00:00,295.45,295.75,295.3,295.75,1336
2023-12-18 07:20:00+00:00,295.75,295.95,295.3,295.95,767
2023-12-18 07:25:00+00:00,295.95,295.95,295.3,295.55,1081
2023-12-18 07:30:00+00:00,295.5,295.5,294.7,295.0,7191
2023-12-18 07:35:00+00:00,295.0,295.0,292.7,292.7,16575
2023-12-18 07:40:00+00:00,292.0,292.9,291.95,292.45,23934
2023-12-18 07:45:00+00:00,292.85,293.85,292.8,293.85,11591
2023-12-18 07:50:00+00:00,293.85,294.5,292.85,292.9,11866
2023-12-18 07:55:00+00:00,292.9,293.85,292.9,293.85,6121
2023-12-18 08:00:00+00:00,293.85,293.95,293.25,293.4,3209
2023-12-18 08:05:00+00:00,293.4,293.5,293.0,293.5,837
2023-12-18 08:10:00+00:00,293.55,293.55,292.85,293.0,2885
2023-12-18 08:15:00+00:00,293.0,293.0,292.7,292.75,996
2023-12-18 08:20:00+00:00,292.75,293.5,292.75,293.45,3827
2023-12-18 08:25:00+00:00,293.45,293.5,293.15,293.5,611
2023-12-18 08:30:00+00:00,293.5,293.8,292.3,292.3,16440
2023-12-18 08:35:00+00:00,292.65,292.75,292.3,292.6,885
2023-12-18 08:40:00+00:00,292.6,292.65,292.2,292.3,1795
2023-12-18 08:45:00+00:00,292.3,292.65,292.0,292.65,2322
2023-12-18 08:50:00+00:00,292.65,292.65,291.8,292.15,1944
2023-12-18 08:55:00+00:00,292.15,292.35,291.45,291.55,7305
2023-12-18 09:00:00+00:00,291.55,291.65,291.1,291.15,4946
2023-12-18 09:05:00+00:00,291.15,291.15,288.8,289.2,22732
2023-12-18 09:10:00+00:00,289.45,289.55,288.6,289.2,13325
2023-12-18 09:15:00+00:00,289.0,289.55,288.75,289.3,10657
2023-12-18 09:20:00+00:00,289.3,289.3,288.55,288.65,7483
2023-12-18 09:25:00+00:00,288.65,288.7,287.85,288.2,14172
2023-12-18 09:30:00+00:00,288.2,289.9,288.1,289.65,13949
2023-12-18 09:35:00+00:00,289.65,290.15,289.3,289.75,12743
2023-12-18 09:40:00+00:00,289.75,290.15,287.25,288.1,35282
2023-12-18 09:45:00+00:00,288.1,289.15,287.55,288.55,27112
2023-12-18 09:50:00+00:00,288.55,288.7,288.0,288.25,31555
2023-12-18 09:55:00+00:00,288.25,289.4,285.4,289.4,36335
2023-12-19 03:45:00+00:00,288.7,290.9,288.0,290.6,21531
2023-12-19 03:50:00+00:00,290.6,292.8,290.6,292.05,20747
2023-12-19 03:55:00+00:00,292.05,293.5,292.05,293.2,8862
2023-12-19 04:00:00+00:00,292.9,293.5,292.5,293.5,6297
2023-12-19 04:05:00+00:00,293.5,293.5,291.55,292.7,10791
2023-12-19 04:10:00+00:00,292.55,292.55,290.55,290.55,16583
2023-12-19 04:15:00+00:00,290.65,294.15,290.65,293.95,21954
2023-12-19 04:20:00+00:00,293.95,294.3,292.55,293.85,21266
2023-12-19 04:25:00+00:00,293.85,296.0,293.75,295.5,46147
2023-12-19 04:30:00+00:00,295.45,296.3,295.15,295.95,18544
2023-12-19 04:35:00+00:00,295.7,296.0,293.25,293.25,42104
2023-12-19 04:40:00+00:00,292.55,295.0,292.55,294.7,15012
2023-12-19 04:45:00+00:00,294.7,296.85,294.25,296.5,39112
2023-12-19 04:50:00+00:00,296.7,297.65,295.8,297.0,33245
2023-12-19 04:55:00+00:00,297.3,298.5,297.0,297.6,33872
2023-12-19 05:00:00+00:00,297.6,299.2,297.55,298.55,73349
2023-12-19 05:05:00+00:00,298.5,298.95,298.15,298.5,27801
2023-12-19 05:10:00+00:00,298.35,300.3,295.6,296.0,114442
2023-12-19 05:15:00+00:00,296.0,296.9,295.6,296.9,20276
2023-12-19 05:20:00+00:00,296.9,297.0,296.3,296.3,6706
2023-12-19 05:25:00+00:00,296.3,296.3,295.1,295.8,25012
2023-12-19 05:30:00+00:00,295.8,295.8,295.4,295.65,5787
2023-12-19 05:35:00+00:00,295.65,295.7,295.3,295.65,5795
2023-12-19 05:40:00+00:00,295.65,295.65,293.8,294.35,22293
2023-12-19 05:45:00+00:00,294.35,295.1,294.35,294.6,3832
2023-12-19 05:50:00+00:00,294.6,294.7,294.1,294.35,4077
2023-12-19 05:55:00+00:00,294.35,294.7,294.35,294.45,2378
2023-12-19 06:00:00+00:00,294.45,294.9,294.1,294.25,9617
2023-12-19 06:05:00+00:00,294.25,294.7,294.0,294.45,6762
2023-12-19 06:10:00+00:00,294.45,295.4,294.4,295.35,5388
2023-12-19 06:15:00+00:00,295.3,295.35,294.55,294.55,5009
2023-12-19 06:20:00+00:00,294.55,295.05,294.55,294.8,1342
2023-12-19 06:25:00+00:00,294.8,295.0,294.8,294.8,1793
2023-12-19 06:30:00+00:00,294.8,295.0,294.45,294.45,3958
2023-12-19 06:35:00+00:00,294.45,294.65,294.35,294.65,3195
2023-12-19 06:40:00+00:00,294.4,294.65,294.4,294.45,998
2023-12-19 06:45:00+00:00,294.45,295.0,294.4,295.0,4971
2023-12-19 06:50:00+00:00,295.0,295.55,295.0,295.2,3401
2023-12-19 06:55:00+00:00,295.2,295.4,294.7,294.8,1769
2023-12-19 07:00:00+00:00,295.0,295.2,294.8,294.85,2645
2023-12-19 07:05:00+00:00,294.85,295.3,294.85,295.0,1512
2023-12-19 07:10:00+00:00,294.95,295.2,294.7,294.7,4640
2023-12-19 07:15:00+00:00,294.7,295.0,294.55,294.55,4321
2023-12-19 07:20:00+00:00,294.55,294.9,294.55,294.9,1828
2023-12-19 07:25:00+00:00,294.9,295.2,294.9,295.0,1538
2023-12-19 07:30:00+00:00,295.0,295.25,294.95,295.25,1209
2023-12-19 07:35:00+00:00,295.25,295.25,294.9,295.0,3485
2023-12-19 07:40:00+00:00,295.0,295.2,294.85,295.0,2336
2023-12-19 07:45:00+00:00,295.0,295.3,295.0,295.1,2858
2023-12-19 07:50:00+00:00,295.1,295.25,295.0,295.2,3684
2023-12-19 07:55:00+00:00,295.2,295.2,294.95,295.0,4157
2023-12-19 08:00:00+00:00,295.0,295.2,295.0,295.1,792
2023-12-19 08:05:00+00:00,295.1,295.25,294.75,294.95,4438
2023-12-19 08:10:00+00:00,294.95,295.0,294.85,295.0,2200
