,open,high,low,close,volume
2023-12-18 03:45:00+00:00,217.0,217.3,211.2,212.8,202522
2023-12-18 03:50:00+00:00,212.8,213.35,211.6,213.2,88782
2023-12-18 03:55:00+00:00,213.0,213.85,213.0,213.85,81162
2023-12-18 04:00:00+00:00,213.85,214.2,213.2,213.95,38320
2023-12-18 04:05:00+00:00,213.95,213.95,213.1,213.35,52104
2023-12-18 04:10:00+00:00,213.4,213.5,213.1,213.3,24520
2023-12-18 04:15:00+00:00,213.3,213.7,212.55,212.9,68178
2023-12-18 04:20:00+00:00,212.8,213.95,212.75,213.9,29016
2023-12-18 04:25:00+00:00,213.9,215.5,213.4,215.0,136732
2023-12-18 04:30:00+00:00,215.2,218.6,215.0,217.5,94578
2023-12-18 04:35:00+00:00,217.5,218.25,216.6,217.8,43844
2023-12-18 04:40:00+00:00,217.8,219.0,217.5,218.4,60548
2023-12-18 04:45:00+00:00,218.4,218.4,215.6,216.1,70766
2023-12-18 04:50:00+00:00,216.3,216.85,216.0,216.1,7396
2023-12-18 04:55:00+00:00,216.1,216.25,215.55,216.2,7498
2023-12-18 05:00:00+00:00,216.2,216.25,215.0,215.4,20728
2023-12-18 05:05:00+00:00,215.4,215.5,214.4,214.6,15202
2023-12-18 05:10:00+00:00,214.5,215.0,214.4,214.8,13580
2023-12-18 05:15:00+00:00,214.8,215.5,214.6,215.5,9474
2023-12-18 05:20:00+00:00,215.4,215.7,215.3,215.3,3798
2023-12-18 05:25:00+00:00,215.3,215.6,215.0,215.05,12394
2023-12-18 05:30:00+00:00,215.05,215.1,214.5,214.65,8656
2023-12-18 05:35:00+00:00,214.65,214.85,214.15,214.5,13602
2023-12-18 05:40:00+00:00,214.5,214.5,214.1,214.4,9794
2023-12-18 05:45:00+00:00,214.35,215.0,214.05,214.9,34146
2023-12-18 05:50:00+00:00,214.9,214.9,214.5,214.85,7222
2023-12-18 05:55:00+00:00,214.85,215.1,214.3,214.9,9810
2023-12-18 06:00:00+00:00,214.9,215.0,214.3,214.65,10668
2023-12-18 06:05:00+00:00,214.5,214.9,214.4,214.7,4538
2023-12-18 06:10:00+00:00,214.9,214.9,214.7,214.8,4590
2023-12-18 06:15:00+00:00,214.8,215.0,214.8,215.0,11668
2023-12-18 06:20:00+00:00,215.0,215.0,214.85,214.95,7746
2023-12-18 06:25:00+00:00,214.95,215.0,214.8,214.8,40624
2023-12-18 06:30:00+00:00,214.8,215.15,214.75,215.0,21444
2023-12-18 06:35:00+00:00,215.0,215.1,214.9,215.0,52962
2023-12-18 06:40:00+00:00,215.0,215.05,214.75,215.0,6896
2023-12-18 06:45:00+00:00,215.0,215.05,214.75,214.75,7658
2023-12-18 06:50:00+00:00,214.75,214.75,214.3,214.6,17858
2023-12-18 06:55:00+00:00,214.6,215.0,214.6,215.0,30952
2023-12-18 07:00:00+00:00,215.0,215.0,214.5,214.75,30950
2023-12-18 07:05:00+00:00,214.75,215.0,213.75,214.0,45664
2023-12-18 07:10:00+00:00,214.0,215.1,213.5,214.5,65868
2023-12-18 07:15:00+00:00,214.5,214.9,214.5,214.9,3624
2023-12-18 07:20:00+00:00,214.9,215.25,214.65,215.05,43300
2023-12-18 07:25:00+00:00,215.05,215.25,215.0,215.15,6362
2023-12-18 07:30:00+00:00,215.3,215.3,215.0,215.3,2928
2023-12-18 07:35:00+00:00,215.3,216.3,215.15,216.3,31834
2023-12-18 07:40:00+00:00,216.45,216.75,216.0,216.25,28458
2023-12-18 07:45:00+00:00,216.25,216.3,215.3,215.35,36342
2023-12-18 07:50:00+00:00,215.35,216.7,215.3,216.5,21296
2023-12-18 07:55:00+00:00,216.5,216.8,216.25,216.6,48016
2023-12-18 08:00:00+00:00,216.6,217.15,216.5,216.5,22054
2023-12-18 08:05:00+00:00,216.5,217.95,216.5,217.6,44148
2023-12-18 08:10:00+00:00,217.6,217.6,217.0,217.15,17206
2023-12-18 08:15:00+00:00,217.15,217.25,217.0,217.25,18262
2023-12-18 08:20:00+00:00,217.25,218.2,217.0,218.1,40236
2023-12-18 08:25:00+00:00,218.15,218.6,218.0,218.4,58356
2023-12-18 08:30:00+00:00,218.4,218.55,218.0,218.0,21092
2023-12-18 08:35:00+00:00,218.0,218.0,217.0,217.1,27616
2023-12-18 08:40:00+00:00,217.1,217.75,217.0,217.75,27522
2023-12-18 08:45:00+00:00,217.75,217.85,217.3,217.3,26858
2023-12-18 08:50:00+00:00,217.3,219.05,217.3,218.75,69704
2023-12-18 08:55:00+00:00,218.75,222.0,218.75,221.4,197820
2023-12-18 09:00:00+00:00,221.2,221.45,220.0,220.4,71238
2023-12-18 09:05:00+00:00,220.4,220.5,220.0,220.0,38104
2023-12-18 09:10:00+00:00,220.0,220.2,218.65,219.05,67958
2023-12-18 09:15:00+00:00,219.0,219.05,217.75,217.9,43134
2023-12-18 09:20:00+00:00,217.9,217.9,217.3,217.5,39098
2023-12-18 09:25:00+00:00,217.5,217.55,216.2,216.25,36078
