,open,high,low,close,volume
2023-12-18 03:45:00+00:00,540.0,546.5,533.9,546.5,83338
2023-12-18 03:50:00+00:00,546.5,553.5,544.45,552.5,59585
2023-12-18 03:55:00+00:00,552.9,559.6,552.9,559.0,62159
2023-12-18 04:00:00+00:00,558.9,562.5,558.35,559.5,58133
2023-12-18 04:05:00+00:00,560.0,563.9,558.0,558.2,87286
2023-12-18 04:10:00+00:00,558.2,558.95,555.0,556.6,69573
2023-12-18 04:15:00+00:00,556.7,560.45,555.95,560.3,46729
2023-12-18 04:20:00+00:00,560.3,563.8,559.95,563.45,45363
2023-12-18 04:25:00+00:00,563.9,564.8,560.05,560.25,46807
2023-12-18 04:30:00+00:00,560.05,560.4,556.7,558.55,57981
2023-12-18 04:35:00+00:00,558.55,559.0,557.5,558.0,39851
2023-12-18 04:40:00+00:00,557.95,558.0,556.75,557.15,29807
2023-12-18 04:45:00+00:00,557.25,557.6,555.35,557.0,32594
2023-12-18 04:50:00+00:00,557.05,561.25,557.05,560.65,33568
2023-12-18 04:55:00+00:00,560.65,562.5,560.2,561.55,31463
2023-12-18 05:00:00+00:00,561.55,563.65,560.4,561.0,31949
2023-12-18 05:05:00+00:00,560.8,561.65,558.5,559.0,31049
2023-12-18 05:10:00+00:00,559.0,559.4,558.6,559.0,29334
2023-12-18 05:15:00+00:00,559.0,559.55,557.1,559.0,23377
2023-12-18 05:20:00+00:00,559.0,560.2,558.0,558.9,27100
2023-12-18 05:25:00+00:00,558.85,559.25,557.6,558.0,21624
2023-12-18 05:30:00+00:00,558.0,558.15,557.8,558.15,12146
2023-12-18 05:35:00+00:00,558.1,560.9,557.95,560.4,11969
2023-12-18 05:40:00+00:00,560.45,560.7,558.7,558.8,16274
2023-12-18 05:45:00+00:00,558.8,559.0,557.4,557.95,18043
2023-12-18 05:50:00+00:00,557.95,558.45,557.2,557.85,13050
2023-12-18 05:55:00+00:00,558.0,558.15,557.25,558.15,11464
2023-12-18 06:00:00+00:00,558.15,558.3,557.8,557.95,13828
2023-12-18 06:05:00+00:00,558.0,558.3,554.8,555.0,38829
2023-12-18 06:10:00+00:00,555.35,558.0,555.25,558.0,13299
2023-12-18 06:15:00+00:00,557.9,558.0,555.95,556.0,24370
2023-12-18 06:20:00+00:00,556.0,557.55,555.95,556.9,15481
2023-12-18 06:25:00+00:00,556.9,556.9,555.8,556.5,14317
2023-12-18 06:30:00+00:00,556.35,556.75,555.8,555.9,16020
2023-12-18 06:35:00+00:00,556.0,556.7,555.3,555.8,16383
2023-12-18 06:40:00+00:00,555.85,555.9,554.7,555.35,17040
2023-12-18 06:45:00+00:00,555.3,555.9,555.0,555.7,11442
2023-12-18 06:50:00+00:00,555.7,555.9,554.85,555.0,16390
2023-12-18 06:55:00+00:00,555.0,555.0,553.75,554.0,14925
2023-12-18 07:00:00+00:00,553.9,554.15,552.55,553.9,27409
2023-12-18 07:05:00+00:00,553.8,554.0,553.25,553.8,15599
2023-12-18 07:10:00+00:00,553.85,554.25,553.2,554.25,18949
2023-12-18 07:15:00+00:00,554.25,554.3,551.8,552.0,22138
2023-12-18 07:20:00+00:00,552.0,552.9,551.6,552.0,17466
2023-12-18 07:25:00+00:00,552.0,552.35,551.8,552.05,12049
2023-12-18 07:30:00+00:00,552.05,552.25,551.25,551.65,12432
2023-12-18 07:35:00+00:00,551.9,552.15,551.15,552.0,13569
2023-12-18 07:40:00+00:00,552.0,552.25,551.2,551.45,13670
2023-12-18 07:45:00+00:00,551.4,552.05,551.4,551.75,16270
2023-12-18 07:50:00+00:00,551.75,552.0,551.25,551.95,10934
2023-12-18 07:55:00+00:00,552.0,552.05,551.75,552.0,12340
2023-12-18 08:00:00+00:00,552.0,552.45,551.6,552.0,17197
2023-12-18 08:05:00+00:00,552.0,553.45,551.9,553.2,9321
2023-12-18 08:10:00+00:00,553.2,554.75,552.7,554.35,10610
2023-12-18 08:15:00+00:00,554.35,556.55,553.9,556.5,33944
2023-12-18 08:20:00+00:00,556.5,558.3,556.5,557.85,31005
2023-12-18 08:25:00+00:00,557.85,558.5,557.0,557.65,32637
2023-12-18 08:30:00+00:00,557.65,558.8,557.5,558.0,32020
2023-12-18 08:35:00+00:00,558.0,559.0,558.0,558.75,24626
2023-12-18 08:40:00+00:00,558.85,558.9,558.6,558.85,17169
2023-12-18 08:45:00+00:00,558.85,560.4,558.85,559.75,19731
2023-12-18 08:50:00+00:00,559.85,560.4,559.5,560.0,28703
2023-12-18 08:55:00+00:00,560.0,560.5,559.8,559.8,37180
2023-12-18 09:00:00+00:00,559.9,560.7,559.9,560.7,34124
2023-12-18 09:05:00+00:00,560.7,561.7,559.6,560.9,40695
2023-12-18 09:10:00+00:00,560.95,561.45,559.8,560.2,29277
2023-12-18 09:15:00+00:00,560.25,562.0,560.05,561.2,27982
2023-12-18 09:20:00+00:00,561.15,561.7,560.6,561.45,17739
2023-12-18 09:25:00+00:00,561.45,562.0,560.35,561.1,23782
2023-12-18 09:30:00+00:00,561.3,561.8,559.7,560.0,150908
2023-12-18 09:35:00+00:00,560.0,562.0,560.0,562.0,48397
2023-12-18 09:40:00+00:00,562.0,562.0,560.85,561.75,24791
2023-12-18 09:45:00+00:00,561.75,563.05,561.1,563.05,69600
2023-12-18 09:50:00+00:00,563.05,563.5,559.95,559.95,35911
2023-12-18 09:55:00+00:00,559.95,559.95,554.7,556.4,76626
2023-12-19 03:45:00+00:00,557.95,559.35,553.95,556.3,49591
2023-12-19 03:50:00+00:00,556.0,556.1,552.25,552.95,26437
2023-12-19 03:55:00+00:00,552.9,554.05,552.35,553.2,22082
2023-12-19 04:00:00+00:00,553.1,553.85,550.55,551.75,22629
2023-12-19 04:05:00+00:00,551.75,551.85,548.0,548.85,56508
2023-12-19 04:10:00+00:00,549.0,549.0,546.2,546.75,18684
2023-12-19 04:15:00+00:00,546.6,547.9,545.25,547.6,19025
2023-12-19 04:20:00+00:00,547.85,548.8,544.1,548.1,109535
2023-12-19 04:25:00+00:00,547.75,548.15,546.5,548.15,12893
2023-12-19 04:30:00+00:00,548.15,548.2,546.1,546.1,11350
2023-12-19 04:35:00+00:00,546.1,547.0,541.65,543.35,43819
2023-12-19 04:40:00+00:00,543.55,544.05,543.25,543.55,11802
2023-12-19 04:45:00+00:00,543.55,545.0,543.1,544.9,12006
2023-12-19 04:50:00+00:00,544.9,544.95,543.5,543.5,10361
2023-12-19 04:55:00+00:00,543.5,545.0,542.1,543.1,31371
2023-12-19 05:00:00+00:00,543.1,544.5,542.9,544.45,12511
2023-12-19 05:05:00+00:00,544.45,544.7,543.8,543.95,17864
2023-12-19 05:10:00+00:00,543.8,545.0,543.65,544.9,10922
2023-12-19 05:15:00+00:00,544.9,544.95,543.9,544.65,9717
2023-12-19 05:20:00+00:00,544.65,544.95,544.1,544.15,10570
2023-12-19 05:25:00+00:00,544.15,544.6,543.5,543.95,11064
2023-12-19 05:30:00+00:00,543.7,544.45,543.25,543.7,9780
