,open,high,low,close,volume
2023-12-18 03:45:00+00:00,220.0,227.95,220.0,225.95,1369894
2023-12-18 03:50:00+00:00,226.0,227.65,225.25,227.4,534608
2023-12-18 03:55:00+00:00,227.25,227.9,226.5,226.9,332673
2023-12-18 04:00:00+00:00,226.9,228.4,226.75,228.15,295410
2023-12-18 04:05:00+00:00,228.15,228.7,226.6,226.95,144916
2023-12-18 04:10:00+00:00,226.9,228.5,226.15,228.2,138316
2023-12-18 04:15:00+00:00,228.4,229.0,227.35,227.75,191060
2023-12-18 04:20:00+00:00,227.7,228.25,227.0,228.1,133295
2023-12-18 04:25:00+00:00,228.1,228.8,227.6,228.05,124205
2023-12-18 04:30:00+00:00,228.15,229.0,228.0,228.6,84557
2023-12-18 04:35:00+00:00,228.7,229.7,228.4,229.0,175961
2023-12-18 04:40:00+00:00,229.0,230.8,228.7,230.25,205668
2023-12-18 04:45:00+00:00,230.15,231.45,229.65,230.3,176164
2023-12-18 04:50:00+00:00,230.45,231.8,230.3,231.75,113339
2023-12-18 04:55:00+00:00,231.6,232.0,230.75,231.45,136078
2023-12-18 05:00:00+00:00,231.4,231.7,230.55,230.7,81550
2023-12-18 05:05:00+00:00,230.75,232.75,230.45,232.6,153537
2023-12-18 05:10:00+00:00,232.5,233.4,232.4,232.95,169649
2023-12-18 05:15:00+00:00,233.0,234.0,233.0,233.4,119135
2023-12-18 05:20:00+00:00,233.5,234.0,233.05,233.4,67628
2023-12-18 05:25:00+00:00,233.4,233.8,232.3,233.25,88749
2023-12-18 05:30:00+00:00,233.45,233.9,233.1,233.4,47203
2023-12-18 05:35:00+00:00,233.4,233.5,233.0,233.5,39092
2023-12-18 05:40:00+00:00,233.3,234.55,233.05,234.55,130183
2023-12-18 05:45:00+00:00,234.45,235.8,234.45,235.75,143357
2023-12-18 05:50:00+00:00,235.8,235.85,234.6,234.7,66372
2023-12-18 05:55:00+00:00,234.7,234.9,234.0,234.05,51398
2023-12-18 06:00:00+00:00,234.05,234.25,233.3,234.1,30651
2023-12-18 06:05:00+00:00,234.1,234.4,233.45,233.55,28143
2023-12-18 06:10:00+00:00,233.55,234.1,233.1,233.55,54093
2023-12-18 06:15:00+00:00,233.55,233.65,233.0,233.4,32986
2023-12-18 06:20:00+00:00,233.35,233.8,232.45,233.8,41823
2023-12-18 06:25:00+00:00,233.6,233.8,232.1,232.9,56925
2023-12-18 06:30:00+00:00,232.9,233.4,232.4,233.0,28527
2023-12-18 06:35:00+00:00,233.25,233.75,233.0,233.4,34787
2023-12-18 06:40:00+00:00,233.1,233.4,232.5,232.7,35085
2023-12-18 06:45:00+00:00,232.7,233.2,232.35,232.9,18848
2023-12-18 06:50:00+00:00,232.9,233.1,232.1,232.85,19240
2023-12-18 06:55:00+00:00,232.65,232.9,231.35,231.35,50517
2023-12-18 07:00:00+00:00,231.55,231.9,231.0,231.2,50531
2023-12-18 07:05:00+00:00,231.25,232.0,231.1,231.65,35871
2023-12-18 07:10:00+00:00,231.45,231.95,231.0,231.45,30199
2023-12-18 07:15:00+00:00,231.45,231.95,231.15,231.85,28061
2023-12-18 07:20:00+00:00,231.85,232.0,231.25,231.65,27829
2023-12-18 07:25:00+00:00,231.6,231.85,231.35,231.5,17395
2023-12-18 07:30:00+00:00,231.7,231.75,231.3,231.4,24494
2023-12-18 07:35:00+00:00,231.4,231.5,230.55,230.6,44264
2023-12-18 07:40:00+00:00,230.85,231.05,230.4,230.6,74379
2023-12-18 07:45:00+00:00,230.6,231.6,230.1,231.25,21737
2023-12-18 07:50:00+00:00,231.25,231.7,231.15,231.15,16756
2023-12-18 07:55:00+00:00,231.1,231.45,231.0,231.45,15895
2023-12-18 08:00:00+00:00,231.35,231.4,230.3,230.35,36071
2023-12-18 08:05:00+00:00,230.35,231.8,230.25,231.8,33465
2023-12-18 08:10:00+00:00,231.8,231.9,231.55,231.7,14465
2023-12-18 08:15:00+00:00,231.75,232.85,231.75,232.7,41869
2023-12-18 08:20:00+00:00,232.7,233.4,232.65,233.35,42447
2023-12-18 08:25:00+00:00,233.35,233.5,232.2,233.2,46976
2023-12-18 08:30:00+00:00,233.2,233.5,232.95,233.25,17291
2023-12-18 08:35:00+00:00,233.25,234.6,233.15,234.6,55227
2023-12-18 08:40:00+00:00,234.6,234.6,233.35,233.65,31308
2023-12-18 08:45:00+00:00,233.65,233.75,233.0,233.5,29531
2023-12-18 08:50:00+00:00,233.5,233.65,231.4,232.6,54730
2023-12-18 08:55:00+00:00,232.6,233.1,232.2,233.1,20919
2023-12-18 09:00:00+00:00,233.0,233.15,232.5,232.95,19344
2023-12-18 09:05:00+00:00,232.95,233.0,232.5,232.55,11622
2023-12-18 09:10:00+00:00,232.55,232.8,232.05,232.8,35754
2023-12-18 09:15:00+00:00,232.8,232.85,231.0,231.4,65033
2023-12-18 09:20:00+00:00,231.4,231.9,231.0,231.45,29166
2023-12-18 09:25:00+00:00,231.45,232.0,231.35,231.7,37362
2023-12-18 09:30:00+00:00,231.5,231.75,231.1,231.45,32155
2023-12-18 09:35:00+00:00,231.45,232.0,231.3,231.75,89920
2023-12-18 09:40:00+00:00,231.9,232.0,231.55,231.7,53488
2023-12-18 09:45:00+00:00,231.7,232.9,231.3,232.0,168612
2023-12-18 09:50:00+00:00,232.2,233.0,232.0,232.35,88871
2023-12-18 09:55:00+00:00,232.35,232.8,231.75,232.1,119810
2023-12-19 03:45:00+00:00,232.9,233.0,230.05,230.9,186417
2023-12-19 03:50:00+00:00,231.1,231.7,230.15,231.35,125519
2023-12-19 03:55:00+00:00,231.1,232.0,230.55,231.95,64716
2023-12-19 04:00:00+00:00,231.8,233.5,231.4,233.3,126101
2023-12-19 04:05:00+00:00,233.25,233.4,232.0,232.95,94094
2023-12-19 04:10:00+00:00,232.95,233.3,232.1,233.0,50052
2023-12-19 04:15:00+00:00,233.0,233.3,231.2,231.65,71343
2023-12-19 04:20:00+00:00,231.65,231.65,230.7,230.8,45337
2023-12-19 04:25:00+00:00,230.8,231.55,230.4,231.15,54276
2023-12-19 04:30:00+00:00,231.15,231.55,230.0,230.25,63428
2023-12-19 04:35:00+00:00,230.25,230.25,228.5,228.8,107619
2023-12-19 04:40:00+00:00,228.8,230.0,228.5,229.5,49532
2023-12-19 04:45:00+00:00,229.5,230.0,229.0,229.8,54449
2023-12-19 04:50:00+00:00,229.8,229.95,229.3,229.4,35201
2023-12-19 04:55:00+00:00,229.5,229.9,228.7,228.95,46780
2023-12-19 05:00:00+00:00,229.1,230.0,228.75,230.0,30405
2023-12-19 05:05:00+00:00,230.0,230.0,229.45,229.95,25217
2023-12-19 05:10:00+00:00,229.8,230.0,229.2,229.6,47939
2023-12-19 05:15:00+00:00,229.6,229.9,229.1,229.65,30950
2023-12-19 05:20:00+00:00,229.9,230.0,229.6,229.8,14643
2023-12-19 05:25:00+00:00,229.8,229.8,228.8,228.95,36565
2023-12-19 05:30:00+00:00,228.95,229.1,228.55,228.7,22827
2023-12-19 05:35:00+00:00,228.55,228.7,228.1,228.35,32358
2023-12-19 05:40:00+00:00,228.35,228.5,228.05,228.35,30467
2023-12-19 05:45:00+00:00,228.35,228.5,228.1,228.3,16988
2023-12-19 05:50:00+00:00,228.35,228.5,228.1,228.5,31874
2023-12-19 05:55:00+00:00,228.5,228.5,228.15,228.45,18883
2023-12-19 06:00:00+00:00,228.45,228.5,228.15,228.15,26590
2023-12-19 06:05:00+00:00,228.15,228.3,227.7,228.0,67637
2023-12-19 06:10:00+00:00,228.0,228.15,227.75,227.9,38094
2023-12-19 06:15:00+00:00,227.9,228.4,227.7,228.4,41451
2023-12-19 06:20:00+00:00,228.4,228.65,227.9,228.1,37496
2023-12-19 06:25:00+00:00,228.1,228.3,227.7,227.85,23888
2023-12-19 06:30:00+00:00,227.85,228.0,227.25,227.4,36745
2023-12-19 06:35:00+00:00,227.4,227.4,226.65,226.65,78719
