,open,high,low,close,volume
2024-02-28 03:45:00+00:00,270.0,270.0,270.0,270.0,0
2024-02-28 04:10:00+00:00,365.0,365.0,365.0,365.0,0
2024-02-28 04:15:00+00:00,365.0,365.0,365.0,365.0,0
2024-02-28 04:20:00+00:00,365.0,365.0,365.0,365.0,0
2024-02-28 04:25:00+00:00,365.0,365.0,365.0,365.0,0
2024-02-28 04:30:00+00:00,369.0,394.7,366.4,392.05,5020590
2024-02-28 04:35:00+00:00,391.7,397.8,386.3,395.8,2580579
2024-02-28 04:40:00+00:00,396.1,401.5,395.9,401.5,3876669
2024-02-28 04:45:00+00:00,401.5,401.5,401.5,401.5,263578
2024-02-28 04:50:00+00:00,401.5,401.5,401.5,401.5,67661
2024-02-28 04:55:00+00:00,401.5,401.5,401.5,401.5,290701
2024-02-28 05:00:00+00:00,401.5,401.5,401.5,401.5,52595
2024-02-28 05:05:00+00:00,401.5,401.5,401.5,401.5,59190
2024-02-28 05:10:00+00:00,401.5,401.5,401.5,401.5,34469
2024-02-28 05:15:00+00:00,401.5,401.5,401.5,401.5,26938
2024-02-28 05:20:00+00:00,401.5,401.5,401.5,401.5,233913
2024-02-28 05:25:00+00:00,401.5,401.5,401.5,401.5,35182
2024-02-28 05:30:00+00:00,401.5,401.5,401.5,401.5,697907
2024-02-28 05:35:00+00:00,401.5,401.5,395.2,399.05,2729986
2024-02-28 05:40:00+00:00,399.05,399.5,395.1,398.4,896411
2024-02-28 05:45:00+00:00,398.4,399.0,397.4,398.6,247019
2024-02-28 05:50:00+00:00,398.3,399.0,398.0,398.4,113849
2024-02-28 05:55:00+00:00,398.15,399.25,395.0,396.2,307199
2024-02-28 06:00:00+00:00,395.65,399.9,395.0,398.4,257823
2024-02-28 06:05:00+00:00,398.4,398.45,395.6,396.5,61841
2024-02-28 06:10:00+00:00,396.35,397.4,392.1,393.6,326966
2024-02-28 06:15:00+00:00,393.6,395.95,388.55,395.95,373560
2024-02-28 06:20:00+00:00,396.0,396.35,392.15,394.55,89969
2024-02-28 06:25:00+00:00,394.55,395.75,393.25,393.85,66162
2024-02-28 06:30:00+00:00,393.7,394.0,392.55,392.75,38151
2024-02-28 06:35:00+00:00,392.75,394.45,392.05,392.05,55319
2024-02-28 06:40:00+00:00,392.05,393.9,391.75,392.55,37233
2024-02-28 06:45:00+00:00,392.8,396.0,392.55,395.65,62939
2024-02-28 06:50:00+00:00,395.65,401.5,395.65,401.5,731978
2024-02-28 06:55:00+00:00,401.5,401.5,401.5,401.5,28650
2024-02-28 07:00:00+00:00,401.5,401.5,401.5,401.5,81852
2024-02-28 07:05:00+00:00,401.5,401.5,401.5,401.5,13261
2024-02-28 07:10:00+00:00,401.5,401.5,401.5,401.5,12259
2024-02-28 07:15:00+00:00,401.5,401.5,401.5,401.5,11287
2024-02-28 07:20:00+00:00,401.5,401.5,401.5,401.5,10125
2024-02-28 07:25:00+00:00,401.5,401.5,401.5,401.5,6656
2024-02-28 07:30:00+00:00,401.5,401.5,401.5,401.5,11242
2024-02-28 07:35:00+00:00,401.5,401.5,401.5,401.5,8283
2024-02-28 07:40:00+00:00,401.5,401.5,401.5,401.5,16696
2024-02-28 07:45:00+00:00,401.5,401.5,401.5,401.5,7772
2024-02-28 07:50:00+00:00,401.5,401.5,401.5,401.5,8418
2024-02-28 07:55:00+00:00,401.5,401.5,401.5,401.5,9319
2024-02-28 08:00:00+00:00,401.5,401.5,401.5,401.5,5240
2024-02-28 08:05:00+00:00,401.5,401.5,401.5,401.5,5591
2024-02-28 08:10:00+00:00,401.5,401.5,401.5,401.5,6538
2024-02-28 08:15:00+00:00,401.5,401.5,401.5,401.5,4962
2024-02-28 08:20:00+00:00,401.5,401.5,401.5,401.5,4176
2024-02-28 08:25:00+00:00,401.5,401.5,401.5,401.5,4149
2024-02-28 08:30:00+00:00,401.5,401.5,401.5,401.5,4741
2024-02-28 08:35:00+00:00,401.5,401.5,401.5,401.5,4207
2024-02-28 08:40:00+00:00,401.5,401.5,401.5,401.5,3975
