,open,high,low,close,volume
2024-01-16 03:45:00+00:00,359.0,359.0,359.0,359.0,0
2024-01-16 04:10:00+00:00,370.0,370.0,370.0,370.0,1303869
2024-01-16 04:15:00+00:00,370.0,370.0,370.0,370.0,0
2024-01-16 04:20:00+00:00,370.0,370.0,370.0,370.0,0
2024-01-16 04:25:00+00:00,370.0,370.0,370.0,370.0,0
2024-01-16 04:30:00+00:00,371.6,405.0,368.0,401.4,6500215
2024-01-16 04:35:00+00:00,402.0,403.65,393.1,401.05,1847570
2024-01-16 04:40:00+00:00,401.05,411.0,397.75,410.95,1426091
2024-01-16 04:45:00+00:00,410.5,421.6,410.0,420.3,1416900
2024-01-16 04:50:00+00:00,420.6,422.7,413.7,421.5,857572
2024-01-16 04:55:00+00:00,421.7,424.9,420.0,423.55,576491
2024-01-16 05:00:00+00:00,423.55,426.4,421.0,422.35,535793
2024-01-16 05:05:00+00:00,422.05,423.4,417.55,420.0,400525
2024-01-16 05:10:00+00:00,419.5,421.95,419.1,421.0,179813
2024-01-16 05:15:00+00:00,421.25,421.65,411.9,417.95,470234
2024-01-16 05:20:00+00:00,417.9,418.0,412.0,412.9,278934
2024-01-16 05:25:00+00:00,412.85,414.0,412.1,413.15,188765
2024-01-16 05:30:00+00:00,413.2,416.35,410.0,415.5,268713
2024-01-16 05:35:00+00:00,415.45,415.95,414.1,414.95,96213
2024-01-16 05:40:00+00:00,414.9,415.0,413.5,414.0,99203
2024-01-16 05:45:00+00:00,414.0,414.0,410.25,411.9,216224
2024-01-16 05:50:00+00:00,411.9,412.4,410.0,410.7,138229
2024-01-16 05:55:00+00:00,410.7,411.5,408.7,410.9,228754
2024-01-16 06:00:00+00:00,410.85,411.5,410.0,411.5,94805
2024-01-16 06:05:00+00:00,411.45,413.8,411.4,413.35,122160
2024-01-16 06:10:00+00:00,413.5,418.9,413.15,416.95,212538
2024-01-16 06:15:00+00:00,416.95,417.9,414.2,417.35,86512
2024-01-16 06:20:00+00:00,417.55,419.65,416.65,418.7,100271
2024-01-16 06:25:00+00:00,418.7,420.9,417.25,419.95,152950
2024-01-16 06:30:00+00:00,419.75,420.6,418.25,420.6,90963
2024-01-16 06:35:00+00:00,420.65,421.0,419.05,421.0,76104
2024-01-16 06:40:00+00:00,421.0,421.0,418.0,418.8,99783
2024-01-16 06:45:00+00:00,419.0,419.7,415.15,416.45,108376
2024-01-16 06:50:00+00:00,416.45,419.7,416.2,418.95,58226
2024-01-16 06:55:00+00:00,418.95,418.95,416.0,417.7,70650
2024-01-16 07:00:00+00:00,417.85,419.4,416.65,418.8,63845
2024-01-16 07:05:00+00:00,418.8,419.25,418.3,418.85,53891
2024-01-16 07:10:00+00:00,418.8,418.85,414.4,416.95,127523
2024-01-16 07:15:00+00:00,417.0,419.0,416.8,418.95,60049
2024-01-16 07:20:00+00:00,418.95,421.0,417.15,420.45,159070
2024-01-16 07:25:00+00:00,420.45,421.95,419.25,421.7,126356
2024-01-16 07:30:00+00:00,421.6,422.75,419.5,420.95,123971
2024-01-16 07:35:00+00:00,420.9,421.0,416.4,416.85,155711
2024-01-16 07:40:00+00:00,416.85,416.9,409.0,414.0,252849
2024-01-16 07:45:00+00:00,414.0,418.65,413.75,418.45,98371
2024-01-16 07:50:00+00:00,418.45,418.55,416.9,418.3,81903
2024-01-16 07:55:00+00:00,418.15,418.65,417.0,418.45,75563
2024-01-16 08:00:00+00:00,418.15,419.0,414.2,417.95,86265
2024-01-16 08:05:00+00:00,417.85,419.5,416.35,417.45,85015
2024-01-16 08:10:00+00:00,417.5,419.45,417.45,418.95,89567
2024-01-16 08:15:00+00:00,418.95,422.9,418.95,422.65,238519
2024-01-16 08:20:00+00:00,422.5,422.95,419.95,421.9,149063
2024-01-16 08:25:00+00:00,421.9,428.55,421.4,427.7,524679
2024-01-16 08:30:00+00:00,427.4,437.2,426.4,437.2,836972
2024-01-16 08:35:00+00:00,437.3,444.0,433.15,438.5,1338219
2024-01-16 08:40:00+00:00,438.8,441.8,430.9,434.45,501551
2024-01-16 08:45:00+00:00,434.35,435.15,428.0,433.3,239409
2024-01-16 08:50:00+00:00,433.3,436.2,433.0,433.85,165354
2024-01-16 08:55:00+00:00,433.85,438.5,433.6,436.0,179473
2024-01-16 09:00:00+00:00,436.05,436.35,428.3,435.0,208291
2024-01-16 09:05:00+00:00,434.95,439.8,434.95,438.05,326993
2024-01-16 09:10:00+00:00,437.95,443.0,436.8,437.9,814933
2024-01-16 09:15:00+00:00,437.9,439.9,433.75,439.7,235471
2024-01-16 09:20:00+00:00,439.7,441.8,436.2,441.1,270146
2024-01-16 09:25:00+00:00,441.3,441.3,436.6,439.1,141875
2024-01-16 09:30:00+00:00,439.25,443.4,436.05,437.25,444081
2024-01-16 09:35:00+00:00,437.25,439.8,436.5,437.0,204375
2024-01-16 09:40:00+00:00,437.0,438.8,435.2,437.65,198144
2024-01-16 09:45:00+00:00,437.55,437.65,424.05,427.35,583695
