,open,high,low,close,volume
2023-12-18 03:45:00+00:00,325.45,325.45,324.55,324.55,202
2023-12-18 03:50:00+00:00,324.55,324.7,321.25,321.3,397
2023-12-18 03:55:00+00:00,321.3,321.3,321.3,321.3,0
2023-12-18 04:00:00+00:00,324.7,324.7,322.6,324.7,315
2023-12-18 04:05:00+00:00,324.7,324.7,323.45,323.55,35
2023-12-18 04:10:00+00:00,323.55,323.95,322.2,323.95,155
2023-12-18 04:15:00+00:00,323.95,324.0,323.95,324.0,153
2023-12-18 04:20:00+00:00,324.0,324.0,320.9,320.9,200
2023-12-18 04:25:00+00:00,320.9,322.65,320.0,321.1,727
2023-12-18 04:30:00+00:00,321.1,325.0,321.1,325.0,930
2023-12-18 04:35:00+00:00,325.0,325.0,322.0,323.05,114
2023-12-18 04:45:00+00:00,323.05,323.05,321.45,321.45,96
2023-12-18 04:50:00+00:00,321.45,321.45,320.75,320.8,144
2023-12-18 04:55:00+00:00,320.0,320.0,318.05,319.45,334
2023-12-18 05:00:00+00:00,319.45,320.9,319.45,320.75,148
2023-12-18 05:05:00+00:00,320.75,322.8,320.75,322.35,557
2023-12-18 05:10:00+00:00,322.35,325.15,322.35,325.05,1558
2023-12-18 05:15:00+00:00,325.05,325.05,325.0,325.0,102
2023-12-18 05:20:00+00:00,325.0,325.0,325.0,325.0,66
2023-12-18 05:25:00+00:00,325.0,325.0,325.0,325.0,0
2023-12-18 05:30:00+00:00,325.0,325.0,324.5,325.0,406
2023-12-18 05:35:00+00:00,325.0,325.2,325.0,325.2,1000
2023-12-18 05:40:00+00:00,325.2,325.2,325.2,325.2,0
2023-12-18 05:45:00+00:00,325.2,326.0,324.75,326.0,252
2023-12-18 05:50:00+00:00,326.0,328.0,326.0,327.1,1030
2023-12-18 05:55:00+00:00,327.1,327.1,325.7,325.7,200
2023-12-18 06:00:00+00:00,325.7,326.7,325.7,326.45,88
2023-12-18 06:05:00+00:00,326.45,326.45,326.45,326.45,0
2023-12-18 06:10:00+00:00,326.45,326.45,326.45,326.45,0
2023-12-18 06:15:00+00:00,326.45,326.45,326.0,326.45,33
2023-12-18 06:20:00+00:00,326.45,327.0,326.45,327.0,583
2023-12-18 06:25:00+00:00,327.0,327.0,327.0,327.0,0
2023-12-18 06:30:00+00:00,327.0,327.0,327.0,327.0,0
2023-12-18 06:35:00+00:00,327.0,327.0,326.1,326.1,116
2023-12-18 06:40:00+00:00,326.1,326.1,325.9,325.95,100
2023-12-18 06:45:00+00:00,325.95,325.95,325.95,325.95,0
2023-12-18 06:50:00+00:00,325.95,325.95,323.3,323.3,1572
2023-12-18 06:55:00+00:00,323.3,323.3,323.05,323.05,22
2023-12-18 07:00:00+00:00,323.05,324.9,323.05,324.9,50
2023-12-18 07:05:00+00:00,324.9,324.9,324.9,324.9,345
2023-12-18 07:10:00+00:00,324.9,324.9,324.9,324.9,0
2023-12-18 07:15:00+00:00,324.9,324.9,324.9,324.9,0
2023-12-18 07:20:00+00:00,324.9,324.9,324.9,324.9,0
2023-12-18 07:25:00+00:00,324.9,324.9,324.9,324.9,0
2023-12-18 07:30:00+00:00,324.9,324.9,324.1,324.1,1
2023-12-18 07:35:00+00:00,324.1,324.9,324.1,324.8,190
2023-12-18 07:40:00+00:00,324.8,324.8,324.8,324.8,0
2023-12-18 07:45:00+00:00,324.8,325.0,324.8,325.0,234
2023-12-18 07:50:00+00:00,325.0,325.0,325.0,325.0,0
2023-12-18 07:55:00+00:00,325.0,325.2,325.0,325.2,14
2023-12-18 08:00:00+00:00,325.2,325.2,325.15,325.15,597
2023-12-18 08:05:00+00:00,325.15,325.15,325.15,325.15,0
2023-12-18 08:10:00+00:00,325.15,325.15,325.15,325.15,0
2023-12-18 08:15:00+00:00,325.15,325.15,325.15,325.15,0
2023-12-18 08:20:00+00:00,325.15,325.15,325.15,325.15,0
2023-12-18 08:25:00+00:00,325.15,325.5,325.15,325.5,1
2023-12-18 08:30:00+00:00,325.5,325.5,325.5,325.5,0
2023-12-18 08:35:00+00:00,325.5,325.5,325.05,325.05,1
2023-12-18 08:40:00+00:00,325.75,325.75,325.75,325.75,1
2023-12-18 08:45:00+00:00,325.75,325.75,325.2,325.2,60
