,open,high,low,close,volume
2023-12-18 03:45:00+00:00,618.0,618.0,613.3,616.3,7125
2023-12-18 03:50:00+00:00,616.3,621.65,616.0,621.0,11737
2023-12-18 03:55:00+00:00,621.0,621.7,618.25,618.25,4318
2023-12-18 04:00:00+00:00,618.25,618.3,615.2,615.45,4970
2023-12-18 04:05:00+00:00,615.45,617.55,615.4,617.0,1120
2023-12-18 04:10:00+00:00,617.0,617.0,614.6,615.1,5598
2023-12-18 04:15:00+00:00,615.1,616.7,615.0,616.0,1065
2023-12-18 04:20:00+00:00,616.1,616.45,615.0,615.2,5385
2023-12-18 04:25:00+00:00,615.2,616.3,615.15,616.0,753
2023-12-18 04:30:00+00:00,616.0,617.15,616.0,616.5,1258
2023-12-18 04:35:00+00:00,616.5,617.0,615.4,616.1,1374
2023-12-18 04:40:00+00:00,616.1,617.0,615.75,615.95,1949
2023-12-18 04:45:00+00:00,615.85,616.65,615.55,615.85,2542
2023-12-18 04:50:00+00:00,615.85,616.4,615.8,615.8,835
2023-12-18 04:55:00+00:00,615.8,616.45,615.5,615.75,1493
2023-12-18 05:00:00+00:00,615.75,616.85,615.75,616.1,1212
2023-12-18 05:05:00+00:00,616.1,617.0,614.75,614.75,2630
2023-12-18 05:10:00+00:00,614.7,615.3,614.1,615.0,5801
2023-12-18 05:15:00+00:00,615.0,615.45,614.55,614.75,2529
2023-12-18 05:20:00+00:00,614.75,615.3,614.75,614.95,657
2023-12-18 05:25:00+00:00,614.95,615.2,614.75,614.8,1889
2023-12-18 05:30:00+00:00,615.3,615.3,614.8,615.15,723
2023-12-18 05:35:00+00:00,615.15,615.35,614.9,615.0,878
2023-12-18 05:40:00+00:00,615.0,615.3,614.9,615.0,320
2023-12-18 05:45:00+00:00,615.0,615.55,614.95,615.0,3488
2023-12-18 05:50:00+00:00,615.0,615.3,614.95,614.95,2753
2023-12-18 05:55:00+00:00,614.95,615.3,614.8,614.8,1346
2023-12-18 06:00:00+00:00,615.3,615.3,614.8,615.0,2511
2023-12-18 06:05:00+00:00,615.0,615.0,614.75,615.0,768
2023-12-18 06:10:00+00:00,615.0,615.35,614.75,615.0,1145
2023-12-18 06:15:00+00:00,615.0,615.3,614.85,615.25,1729
2023-12-18 06:20:00+00:00,615.25,615.25,614.8,614.8,1635
2023-12-18 06:25:00+00:00,614.8,615.25,614.8,615.0,3075
2023-12-18 06:30:00+00:00,615.0,615.45,614.8,615.0,4208
2023-12-18 06:35:00+00:00,615.0,615.4,614.8,615.35,2730
2023-12-18 06:40:00+00:00,615.35,615.35,614.9,615.3,1146
2023-12-18 06:45:00+00:00,615.3,616.55,614.9,615.0,9696
2023-12-18 06:50:00+00:00,615.0,615.3,611.95,612.4,16725
2023-12-18 06:55:00+00:00,612.4,613.1,612.4,613.0,1602
2023-12-18 07:00:00+00:00,613.0,613.4,612.9,613.2,938
2023-12-18 07:05:00+00:00,613.2,613.3,612.9,612.9,577
2023-12-18 07:10:00+00:00,612.9,613.3,612.8,612.95,945
2023-12-18 07:15:00+00:00,612.95,613.35,612.9,613.3,1028
2023-12-18 07:20:00+00:00,613.3,613.65,612.95,613.35,2473
2023-12-18 07:25:00+00:00,613.35,613.4,612.8,613.35,2323
2023-12-18 07:30:00+00:00,612.95,613.45,612.8,613.45,1068
2023-12-18 07:35:00+00:00,613.45,613.5,612.9,613.35,811
2023-12-18 07:40:00+00:00,613.35,613.35,612.8,613.3,487
2023-12-18 07:45:00+00:00,613.3,613.4,612.55,613.0,883
2023-12-18 07:50:00+00:00,613.0,613.15,612.65,613.15,587
2023-12-18 07:55:00+00:00,613.15,613.25,612.55,613.25,709
2023-12-18 08:00:00+00:00,613.25,613.35,612.6,613.35,554
2023-12-18 08:05:00+00:00,613.35,613.35,612.65,613.0,433
2023-12-18 08:10:00+00:00,613.0,613.35,612.9,612.9,338
2023-12-18 08:15:00+00:00,612.9,613.35,612.9,613.1,1254
2023-12-18 08:20:00+00:00,613.1,613.35,612.9,613.0,1567
2023-12-18 08:25:00+00:00,613.35,613.35,612.9,613.0,3140
2023-12-18 08:30:00+00:00,613.3,613.4,612.9,613.3,826
2023-12-18 08:35:00+00:00,612.9,613.5,612.9,613.0,2581
2023-12-18 08:40:00+00:00,613.0,613.45,612.85,612.85,2036
2023-12-18 08:45:00+00:00,613.25,613.35,612.1,612.8,1318
2023-12-18 08:50:00+00:00,612.8,613.35,612.3,613.25,995
2023-12-18 08:55:00+00:00,613.25,613.95,612.7,612.75,1687
2023-12-18 09:00:00+00:00,612.75,613.4,612.75,613.0,990
2023-12-18 09:05:00+00:00,613.0,613.35,612.65,613.0,465
2023-12-18 09:10:00+00:00,613.0,613.25,612.85,613.2,164
2023-12-18 09:15:00+00:00,613.2,613.3,612.9,613.3,551
2023-12-18 09:20:00+00:00,613.3,613.3,611.55,612.0,5374
2023-12-18 09:25:00+00:00,612.0,612.35,611.6,612.35,478
2023-12-18 09:30:00+00:00,612.35,612.45,611.15,612.0,2377
2023-12-18 09:35:00+00:00,612.3,614.95,611.3,613.55,5380
2023-12-18 09:40:00+00:00,613.8,614.95,611.1,611.5,10513
2023-12-18 09:45:00+00:00,611.8,611.8,609.0,610.2,13589
2023-12-18 09:50:00+00:00,610.2,611.05,609.55,610.0,11779
2023-12-18 09:55:00+00:00,610.0,610.45,609.2,610.0,5316
2023-12-19 03:45:00+00:00,613.95,614.05,610.2,611.55,6978
2023-12-19 03:50:00+00:00,611.9,614.0,611.55,611.9,3532
2023-12-19 03:55:00+00:00,611.9,614.0,611.9,613.25,1135
2023-12-19 04:00:00+00:00,613.2,613.5,612.8,613.35,911
2023-12-19 04:05:00+00:00,613.2,613.55,612.5,613.2,2627
2023-12-19 04:10:00+00:00,613.2,613.85,612.7,613.85,77076
2023-12-19 04:15:00+00:00,613.85,614.6,613.0,614.6,2050
2023-12-19 04:20:00+00:00,614.4,615.15,613.85,613.85,2893
2023-12-19 04:25:00+00:00,613.35,613.35,610.7,610.85,7257
2023-12-19 04:30:00+00:00,611.4,613.0,610.5,612.5,1990
2023-12-19 04:35:00+00:00,612.5,612.5,611.65,611.8,512
2023-12-19 04:40:00+00:00,612.3,612.3,611.75,611.75,516
2023-12-19 04:45:00+00:00,611.75,612.95,611.75,612.55,863
2023-12-19 04:50:00+00:00,612.55,613.15,612.15,612.15,710
2023-12-19 04:55:00+00:00,612.15,613.05,612.0,612.0,688
2023-12-19 05:00:00+00:00,612.45,612.6,612.0,612.0,693
