,open,high,low,close,volume
2023-12-18 03:45:00+00:00,947.3,958.4,947.3,948.0,601
2023-12-18 03:50:00+00:00,948.0,951.85,945.0,951.85,954
2023-12-18 03:55:00+00:00,951.85,954.15,947.95,949.8,871
2023-12-18 04:00:00+00:00,949.8,949.9,945.35,946.75,269
2023-12-18 04:05:00+00:00,946.75,948.45,946.45,946.55,478
2023-12-18 04:10:00+00:00,946.55,948.1,946.05,947.6,193
2023-12-18 04:15:00+00:00,947.6,947.6,946.0,946.1,173
2023-12-18 04:20:00+00:00,946.1,947.75,946.1,946.15,251
2023-12-18 04:25:00+00:00,946.15,948.3,946.0,947.55,784
2023-12-18 04:30:00+00:00,947.55,947.75,946.4,947.4,80
2023-12-18 04:35:00+00:00,947.5,947.65,946.4,947.6,60
2023-12-18 04:40:00+00:00,947.6,947.6,946.55,947.55,42
2023-12-18 04:45:00+00:00,947.55,953.15,946.2,952.0,608
2023-12-18 04:50:00+00:00,951.75,953.35,951.05,952.45,87
2023-12-18 04:55:00+00:00,952.45,953.8,951.05,953.05,63
2023-12-18 05:00:00+00:00,952.55,954.3,949.55,951.75,766
2023-12-18 05:05:00+00:00,949.35,951.3,949.35,951.25,241
2023-12-18 05:10:00+00:00,951.25,951.25,949.3,950.85,37
2023-12-18 05:15:00+00:00,950.85,950.85,948.65,949.9,69
2023-12-18 05:20:00+00:00,949.9,950.25,948.6,948.6,29
2023-12-18 05:25:00+00:00,948.6,951.7,948.4,950.1,483
2023-12-18 05:30:00+00:00,950.1,957.0,949.25,954.7,811
2023-12-18 05:35:00+00:00,954.7,955.95,953.6,955.15,122
2023-12-18 05:40:00+00:00,956.0,957.75,954.4,956.05,113
2023-12-18 05:45:00+00:00,954.6,956.95,954.1,955.25,177
2023-12-18 05:50:00+00:00,955.25,956.8,955.0,955.0,250
2023-12-18 05:55:00+00:00,955.0,956.95,953.0,954.25,259
2023-12-18 06:00:00+00:00,954.25,956.4,953.2,956.4,272
2023-12-18 06:05:00+00:00,955.0,956.9,954.7,954.7,1200
2023-12-18 06:10:00+00:00,954.7,956.55,954.5,956.25,207
2023-12-18 06:15:00+00:00,956.25,956.25,953.7,955.45,578
2023-12-18 06:20:00+00:00,955.0,957.8,952.0,957.8,532
2023-12-18 06:25:00+00:00,957.8,958.0,955.55,957.1,89
2023-12-18 06:30:00+00:00,957.1,957.8,955.55,957.15,35
2023-12-18 06:35:00+00:00,957.15,957.15,955.0,955.1,203
2023-12-18 06:40:00+00:00,955.9,957.15,955.2,956.65,300
2023-12-18 06:45:00+00:00,956.65,956.95,955.5,956.95,146
2023-12-18 06:50:00+00:00,957.0,957.0,955.05,956.2,286
2023-12-18 06:55:00+00:00,956.2,956.2,955.25,955.95,50
2023-12-18 07:00:00+00:00,955.95,956.1,955.25,955.95,37
2023-12-18 07:05:00+00:00,955.95,957.15,953.05,953.05,1312
2023-12-18 07:10:00+00:00,953.05,957.0,952.0,955.0,472
2023-12-18 07:15:00+00:00,955.0,955.8,954.85,955.8,13
2023-12-18 07:20:00+00:00,955.8,955.8,955.0,955.7,26
2023-12-18 07:25:00+00:00,955.7,955.95,955.0,955.45,656
2023-12-18 07:30:00+00:00,955.05,955.95,952.0,955.95,863
2023-12-18 07:35:00+00:00,955.95,956.0,955.05,955.95,55
2023-12-18 07:40:00+00:00,955.95,957.0,955.55,957.0,43
2023-12-18 07:45:00+00:00,957.0,958.0,957.0,957.95,29
2023-12-18 07:50:00+00:00,957.95,958.0,956.8,956.8,21
2023-12-18 07:55:00+00:00,956.8,958.0,956.8,957.9,31
2023-12-18 08:00:00+00:00,957.9,958.0,957.0,957.05,443
2023-12-18 08:05:00+00:00,957.05,958.0,956.05,956.6,128
2023-12-18 08:10:00+00:00,957.4,957.85,955.0,957.5,704
2023-12-18 08:15:00+00:00,957.5,957.95,956.7,957.6,23
2023-12-18 08:20:00+00:00,957.6,957.6,955.05,956.5,109
2023-12-18 08:25:00+00:00,956.5,956.5,952.05,952.3,189
2023-12-18 08:30:00+00:00,952.3,952.95,948.85,948.85,312
2023-12-18 08:35:00+00:00,948.85,950.15,948.85,950.1,133
2023-12-18 08:40:00+00:00,950.1,950.1,948.2,949.45,182
2023-12-18 08:45:00+00:00,949.45,950.0,948.2,950.0,254
2023-12-18 08:50:00+00:00,949.95,950.0,945.5,945.5,298
2023-12-18 08:55:00+00:00,945.35,945.55,942.6,942.6,434
2023-12-18 09:00:00+00:00,943.0,944.5,942.25,943.25,602
2023-12-18 09:05:00+00:00,943.25,943.25,939.0,940.25,940
2023-12-18 09:10:00+00:00,940.25,940.25,937.0,938.5,750
2023-12-18 09:15:00+00:00,938.4,939.45,935.2,936.45,820
2023-12-18 09:20:00+00:00,936.45,936.9,935.0,936.9,1073
2023-12-18 09:25:00+00:00,936.9,936.9,935.0,935.45,517
2023-12-18 09:30:00+00:00,935.45,936.0,932.25,932.95,1184
2023-12-18 09:35:00+00:00,933.0,935.45,932.25,935.15,1281
2023-12-18 09:40:00+00:00,935.15,935.35,934.85,935.05,623
