,open,high,low,close,volume
2023-12-18 03:45:00+00:00,781.75,782.85,770.7,770.7,275
2023-12-18 03:50:00+00:00,770.7,770.7,766.7,769.45,177
2023-12-18 03:55:00+00:00,769.25,772.0,768.95,772.0,197
2023-12-18 04:00:00+00:00,772.0,817.95,769.3,789.9,75855
2023-12-18 04:05:00+00:00,789.9,790.0,780.35,782.0,13019
2023-12-18 04:10:00+00:00,782.0,786.65,781.65,786.65,2537
2023-12-18 04:15:00+00:00,786.5,786.5,782.0,782.55,4136
2023-12-18 04:20:00+00:00,782.55,785.05,782.55,785.0,727
2023-12-18 04:25:00+00:00,786.05,787.85,783.9,783.9,2474
2023-12-18 04:30:00+00:00,783.9,784.45,782.05,784.45,1260
2023-12-18 04:35:00+00:00,784.45,784.8,784.0,784.05,201
2023-12-18 04:40:00+00:00,784.05,785.0,782.05,782.05,989
2023-12-18 04:45:00+00:00,782.05,782.75,781.55,782.6,1372
2023-12-18 04:50:00+00:00,782.6,783.15,781.35,783.15,634
2023-12-18 04:55:00+00:00,781.85,782.75,781.15,782.35,395
2023-12-18 05:00:00+00:00,782.35,782.95,781.15,782.95,891
2023-12-18 05:05:00+00:00,783.75,783.8,782.5,782.5,536
2023-12-18 05:10:00+00:00,782.5,782.5,781.25,782.0,426
2023-12-18 05:15:00+00:00,784.2,786.9,784.0,785.55,1182
2023-12-18 05:20:00+00:00,785.55,785.55,783.5,784.9,86
2023-12-18 05:25:00+00:00,784.9,786.45,784.15,786.0,171
2023-12-18 05:30:00+00:00,786.0,786.0,784.2,785.6,808
2023-12-18 05:35:00+00:00,785.6,786.2,784.0,784.0,739
2023-12-18 05:40:00+00:00,784.0,784.85,783.8,784.75,63
2023-12-18 05:45:00+00:00,784.75,785.45,784.45,785.45,120
2023-12-18 05:50:00+00:00,785.45,786.1,783.75,784.7,540
2023-12-18 05:55:00+00:00,784.7,787.55,784.7,787.0,976
2023-12-18 06:00:00+00:00,787.0,791.7,787.0,790.5,2960
2023-12-18 06:05:00+00:00,790.55,790.55,787.5,789.0,302
2023-12-18 06:10:00+00:00,789.0,790.8,788.95,789.95,1268
2023-12-18 06:15:00+00:00,789.1,789.1,788.15,788.35,31
2023-12-18 06:20:00+00:00,789.0,789.0,788.0,788.95,103
2023-12-18 06:25:00+00:00,788.95,788.95,787.9,788.85,23
2023-12-18 06:30:00+00:00,788.85,788.85,786.8,788.75,524
2023-12-18 06:35:00+00:00,788.75,788.75,786.75,787.0,214
2023-12-18 06:40:00+00:00,787.0,787.7,786.95,786.95,77
2023-12-18 06:45:00+00:00,786.95,786.95,786.9,786.95,42
2023-12-18 06:50:00+00:00,786.95,788.35,786.95,787.45,154
2023-12-18 06:55:00+00:00,787.45,788.5,787.45,787.45,89
2023-12-18 07:00:00+00:00,787.45,788.3,787.45,788.25,164
2023-12-18 07:05:00+00:00,788.25,788.8,788.25,788.8,23
2023-12-18 07:10:00+00:00,788.8,788.8,787.6,788.65,80
2023-12-18 07:15:00+00:00,788.65,789.5,787.5,789.5,200
2023-12-18 07:20:00+00:00,789.5,791.5,788.3,790.3,622
2023-12-18 07:25:00+00:00,790.3,791.1,790.0,790.0,123
2023-12-18 07:30:00+00:00,790.0,790.0,787.65,788.9,50
2023-12-18 07:35:00+00:00,788.9,792.0,788.9,790.85,1863
2023-12-18 07:40:00+00:00,790.85,791.85,788.9,789.3,182
2023-12-18 07:45:00+00:00,789.3,789.3,789.1,789.1,10
2023-12-18 07:50:00+00:00,789.1,790.3,789.1,790.05,56
2023-12-18 07:55:00+00:00,788.9,789.85,788.9,789.4,171
2023-12-18 08:00:00+00:00,789.4,790.0,788.05,790.0,1394
2023-12-18 08:05:00+00:00,790.0,790.0,788.25,789.35,115
2023-12-18 08:10:00+00:00,788.7,789.35,788.4,789.25,145
2023-12-18 08:15:00+00:00,789.25,789.25,788.2,788.25,174
2023-12-18 08:20:00+00:00,788.25,789.25,788.25,788.6,563
2023-12-18 08:25:00+00:00,788.6,788.6,788.25,788.25,110
2023-12-18 08:30:00+00:00,788.25,789.75,788.25,789.75,142
2023-12-18 08:35:00+00:00,789.75,789.75,789.75,789.75,33
2023-12-18 08:40:00+00:00,789.75,789.75,789.05,789.05,41
2023-12-18 08:45:00+00:00,789.05,789.8,789.05,789.2,18
2023-12-18 08:50:00+00:00,789.75,789.75,789.1,789.7,117
2023-12-18 08:55:00+00:00,789.7,791.0,789.0,791.0,3176
2023-12-18 09:00:00+00:00,791.0,791.0,789.0,789.0,343
2023-12-18 09:05:00+00:00,789.0,794.0,788.6,792.95,1321
2023-12-18 09:10:00+00:00,792.95,792.95,791.15,792.0,117
2023-12-18 09:15:00+00:00,792.0,792.0,790.1,790.1,517
2023-12-18 09:20:00+00:00,790.1,791.7,790.0,790.0,430
2023-12-18 09:25:00+00:00,790.0,793.3,790.0,792.95,783
2023-12-18 09:30:00+00:00,792.95,794.5,792.0,793.95,695
2023-12-18 09:35:00+00:00,793.95,795.0,792.0,794.1,2247
2023-12-18 09:40:00+00:00,794.1,795.0,792.0,793.55,1379
2023-12-18 09:45:00+00:00,793.55,804.0,792.3,802.25,9436
2023-12-18 09:50:00+00:00,803.05,803.05,796.05,800.05,3107
