,open,high,low,close,volume
2023-12-18 03:45:00+00:00,502.95,502.95,497.2,498.6,3218
2023-12-18 03:50:00+00:00,498.6,501.2,498.05,501.05,1359
2023-12-18 03:55:00+00:00,501.05,501.75,499.1,499.2,1421
2023-12-18 04:00:00+00:00,499.2,500.35,498.5,498.5,1692
2023-12-18 04:05:00+00:00,499.05,500.55,498.5,498.65,719
2023-12-18 04:10:00+00:00,498.65,501.0,498.15,500.0,2151
2023-12-18 04:15:00+00:00,500.0,500.7,499.1,500.7,219
2023-12-18 04:20:00+00:00,500.7,500.75,497.65,498.75,4106
2023-12-18 04:25:00+00:00,498.75,499.8,498.6,499.0,774
2023-12-18 04:30:00+00:00,499.0,501.4,499.0,500.85,4945
2023-12-18 04:35:00+00:00,500.85,500.85,499.45,499.7,1525
2023-12-18 04:40:00+00:00,499.7,501.0,499.15,500.4,1338
2023-12-18 04:45:00+00:00,500.4,500.85,500.15,500.85,94
2023-12-18 04:50:00+00:00,500.85,501.0,500.3,501.0,77
2023-12-18 04:55:00+00:00,501.0,503.8,501.0,503.45,1588
2023-12-18 05:00:00+00:00,503.45,504.15,503.25,503.75,412
2023-12-18 05:05:00+00:00,503.75,503.75,501.05,501.05,1649
2023-12-18 05:10:00+00:00,500.55,501.0,500.0,501.0,1238
2023-12-18 05:15:00+00:00,501.0,502.4,501.0,502.15,645
2023-12-18 05:20:00+00:00,502.15,502.15,501.0,501.1,469
2023-12-18 05:25:00+00:00,501.1,501.55,501.0,501.0,1104
2023-12-18 05:30:00+00:00,501.0,504.05,501.0,504.05,1370
2023-12-18 05:35:00+00:00,504.05,504.75,501.95,501.95,1292
2023-12-18 05:40:00+00:00,501.95,503.7,501.8,503.7,291
2023-12-18 05:45:00+00:00,503.7,503.7,502.35,503.5,530
2023-12-18 05:50:00+00:00,503.5,503.8,503.5,503.55,1590
2023-12-18 05:55:00+00:00,503.55,503.55,502.55,502.85,864
2023-12-18 06:00:00+00:00,502.85,502.85,502.55,502.55,127
2023-12-18 06:05:00+00:00,502.55,503.75,502.55,503.75,170
2023-12-18 06:10:00+00:00,503.75,503.75,503.7,503.7,101
2023-12-18 06:15:00+00:00,503.7,503.75,503.15,503.75,154
2023-12-18 06:20:00+00:00,503.75,503.75,502.5,503.1,1508
2023-12-18 06:25:00+00:00,503.1,503.15,503.1,503.15,12
2023-12-18 06:30:00+00:00,503.15,503.35,503.1,503.1,125
2023-12-18 06:35:00+00:00,503.1,503.1,503.05,503.05,149
2023-12-18 06:40:00+00:00,503.05,503.05,502.2,502.45,340
2023-12-18 06:45:00+00:00,502.85,502.85,499.35,501.65,5088
2023-12-18 06:50:00+00:00,501.65,501.65,501.05,501.05,170
2023-12-18 06:55:00+00:00,501.05,501.05,500.3,500.95,48
2023-12-18 07:00:00+00:00,500.95,500.95,499.15,499.9,1144
2023-12-18 07:05:00+00:00,499.9,500.0,499.3,500.0,503
2023-12-18 07:10:00+00:00,500.0,501.2,500.0,500.1,124
2023-12-18 07:15:00+00:00,500.1,500.6,500.1,500.5,36
2023-12-18 07:20:00+00:00,500.5,500.5,500.5,500.5,10
2023-12-18 07:25:00+00:00,500.5,500.5,499.65,499.95,183
2023-12-18 07:30:00+00:00,499.95,500.0,499.95,500.0,5
2023-12-18 07:35:00+00:00,500.0,500.0,498.6,498.6,2231
2023-12-18 07:40:00+00:00,498.6,499.05,498.6,499.05,321
2023-12-18 07:45:00+00:00,499.05,499.05,499.0,499.0,38
2023-12-18 07:50:00+00:00,499.0,499.0,498.6,498.6,379
2023-12-18 07:55:00+00:00,498.6,499.4,498.6,498.8,1099
2023-12-18 08:00:00+00:00,498.8,499.1,497.55,497.55,1761
2023-12-18 08:05:00+00:00,497.55,498.4,496.5,497.15,2803
2023-12-18 08:10:00+00:00,497.15,498.35,496.5,498.35,6954
2023-12-18 08:15:00+00:00,498.35,498.35,497.2,497.55,1903
2023-12-18 08:20:00+00:00,497.55,497.55,496.55,496.6,680
2023-12-18 08:25:00+00:00,496.6,497.05,496.6,497.05,346
2023-12-18 08:30:00+00:00,497.05,497.05,496.6,497.05,831
2023-12-18 08:35:00+00:00,497.05,497.85,497.0,497.1,1017
2023-12-18 08:40:00+00:00,497.1,497.75,497.1,497.7,567
2023-12-18 08:45:00+00:00,497.7,497.7,496.6,496.6,1202
2023-12-18 08:50:00+00:00,496.6,496.75,495.0,495.55,3128
2023-12-18 08:55:00+00:00,495.55,495.9,495.2,495.85,703
2023-12-18 09:00:00+00:00,495.85,495.85,495.0,495.65,1018
2023-12-18 09:05:00+00:00,495.65,496.5,493.95,494.0,2286
2023-12-18 09:10:00+00:00,494.0,494.0,492.3,493.8,2981
2023-12-18 09:15:00+00:00,493.8,494.05,493.35,494.0,3238
2023-12-18 09:20:00+00:00,494.0,495.65,493.35,494.9,2631
2023-12-18 09:25:00+00:00,494.9,495.5,494.0,494.1,1096
2023-12-18 09:30:00+00:00,494.1,494.1,493.05,493.65,3106
2023-12-18 09:35:00+00:00,493.65,495.95,493.65,495.8,2565
2023-12-18 09:40:00+00:00,495.8,495.95,494.55,495.1,3526
2023-12-18 09:45:00+00:00,495.1,496.05,492.3,494.0,10154
2023-12-18 09:50:00+00:00,494.0,494.2,492.0,492.45,7043
2023-12-18 09:55:00+00:00,492.45,494.0,491.6,494.0,4449
2023-12-19 03:45:00+00:00,493.0,499.8,493.0,497.4,4968
2023-12-19 03:50:00+00:00,497.85,499.9,497.05,498.3,3228
2023-12-19 03:55:00+00:00,498.3,499.75,498.05,499.75,1057
