,open,high,low,close,volume
2024-10-03 03:45:00+00:00,440.0,440.0,440.0,440.0,0
2024-10-03 04:10:00+00:00,480.0,480.0,480.0,480.0,2713210
2024-10-03 04:15:00+00:00,480.0,480.0,480.0,480.0,0
2024-10-03 04:20:00+00:00,480.0,480.0,480.0,480.0,0
2024-10-03 04:25:00+00:00,480.0,480.0,480.0,480.0,0
2024-10-03 04:30:00+00:00,480.05,490.0,450.0,487.37,7620994
2024-10-03 04:35:00+00:00,487.3,497.89,470.0,472.01,2768008
2024-10-03 04:40:00+00:00,472.53,474.74,465.37,474.74,722380
2024-10-03 04:45:00+00:00,474.7,476.98,467.76,473.15,660357
2024-10-03 04:50:00+00:00,473.16,473.64,470.0,472.49,275302
2024-10-03 04:55:00+00:00,472.38,480.0,470.62,478.0,652354
2024-10-03 05:00:00+00:00,478.0,483.83,476.0,478.12,457697
2024-10-03 05:05:00+00:00,478.5,478.78,475.0,477.8,187551
2024-10-03 05:10:00+00:00,477.8,478.89,476.11,476.66,124916
2024-10-03 05:15:00+00:00,476.5,477.0,474.0,474.0,128763
2024-10-03 05:20:00+00:00,474.0,474.79,471.26,474.68,140607
2024-10-03 05:25:00+00:00,474.5,474.81,471.66,473.02,97110
2024-10-03 05:30:00+00:00,473.02,476.38,473.0,475.0,124499
2024-10-03 05:35:00+00:00,475.0,480.0,475.0,479.25,299375
2024-10-03 05:40:00+00:00,479.25,479.5,475.0,475.02,92211
2024-10-03 05:45:00+00:00,474.68,477.9,474.68,477.74,81968
2024-10-03 05:50:00+00:00,477.7,484.0,477.7,481.05,401653
2024-10-03 05:55:00+00:00,481.05,481.49,477.98,479.95,170568
2024-10-03 06:00:00+00:00,479.94,484.4,479.15,481.55,217115
2024-10-03 06:05:00+00:00,481.61,482.0,478.35,480.75,124452
2024-10-03 06:10:00+00:00,480.35,481.9,479.37,479.64,85480
2024-10-03 06:15:00+00:00,479.64,480.0,477.0,479.95,108949
2024-10-03 06:20:00+00:00,479.75,480.95,479.75,480.7,79455
2024-10-03 06:25:00+00:00,480.7,481.99,480.0,480.67,69988
2024-10-03 06:30:00+00:00,480.55,484.8,480.0,483.49,195645
2024-10-03 06:35:00+00:00,483.23,490.0,483.01,490.0,417483
2024-10-03 06:40:00+00:00,489.63,493.89,485.35,488.52,727513
2024-10-03 06:45:00+00:00,488.5,499.0,488.22,496.01,887959
2024-10-03 06:50:00+00:00,496.01,498.95,487.99,490.38,569832
2024-10-03 06:55:00+00:00,490.12,503.7,490.0,503.51,958552
2024-10-03 07:00:00+00:00,502.94,504.85,498.0,503.39,515688
2024-10-03 07:05:00+00:00,503.22,508.9,503.22,507.51,658544
2024-10-03 07:10:00+00:00,507.76,513.0,507.12,511.9,849658
2024-10-03 07:15:00+00:00,511.9,513.5,505.0,506.29,619947
2024-10-03 07:20:00+00:00,506.47,506.87,491.75,495.69,709916
2024-10-03 07:25:00+00:00,494.78,496.5,487.33,492.21,365983
2024-10-03 07:30:00+00:00,492.3,496.5,492.0,493.86,147613
2024-10-03 07:35:00+00:00,493.95,496.0,478.98,483.79,613714
2024-10-03 07:40:00+00:00,483.0,486.0,479.55,483.59,273317
2024-10-03 07:45:00+00:00,483.59,484.0,477.6,481.31,295186
2024-10-03 07:50:00+00:00,481.31,486.65,481.0,486.45,160561
2024-10-03 07:55:00+00:00,486.45,486.45,481.6,482.55,104109
2024-10-03 08:00:00+00:00,482.55,482.99,477.5,480.69,189585
2024-10-03 08:05:00+00:00,480.39,482.0,478.3,479.45,69072
2024-10-03 08:10:00+00:00,479.49,481.56,477.5,478.52,167959
2024-10-03 08:15:00+00:00,478.49,478.5,472.6,476.48,311950
2024-10-03 08:20:00+00:00,476.21,476.96,473.95,473.95,100140
2024-10-03 08:25:00+00:00,473.95,475.76,473.06,474.73,97647
2024-10-03 08:30:00+00:00,474.73,475.0,472.2,474.9,115914
2024-10-03 08:35:00+00:00,475.0,479.22,473.3,474.23,229881
2024-10-03 08:40:00+00:00,474.11,481.25,473.94,480.93,114240
2024-10-03 08:45:00+00:00,481.21,481.25,477.98,478.0,138568
2024-10-03 08:50:00+00:00,477.98,478.64,477.16,477.4,55439
2024-10-03 08:55:00+00:00,477.4,477.67,474.26,474.7,97663
2024-10-03 09:00:00+00:00,474.52,479.55,474.11,476.68,102211
2024-10-03 09:05:00+00:00,476.68,477.88,475.55,476.75,53840
2024-10-03 09:10:00+00:00,476.75,476.75,474.35,475.65,69729
2024-10-03 09:15:00+00:00,476.0,483.7,475.95,482.7,300564
