,open,high,low,close,volume
2023-12-18 03:45:00+00:00,715.0,724.95,705.55,709.6,4771
2023-12-18 03:50:00+00:00,710.05,717.0,707.55,717.0,1108
2023-12-18 03:55:00+00:00,716.95,719.75,715.0,717.25,4060
2023-12-18 04:00:00+00:00,717.25,719.65,716.85,716.85,550
2023-12-18 04:05:00+00:00,716.85,721.0,716.5,720.05,1952
2023-12-18 04:10:00+00:00,720.05,743.9,720.05,737.6,22607
2023-12-18 04:15:00+00:00,737.6,740.05,726.0,727.9,12742
2023-12-18 04:20:00+00:00,727.9,731.45,727.5,729.65,2737
2023-12-18 04:25:00+00:00,729.7,731.35,728.05,729.85,1965
2023-12-18 04:30:00+00:00,729.85,729.85,718.85,724.0,14489
2023-12-18 04:35:00+00:00,724.0,725.2,724.0,725.2,750
2023-12-18 04:40:00+00:00,725.2,725.2,723.65,724.1,1074
2023-12-18 04:45:00+00:00,724.1,725.0,722.8,723.2,2345
2023-12-18 04:50:00+00:00,723.2,724.0,722.8,722.8,489
2023-12-18 04:55:00+00:00,722.8,722.8,722.1,722.8,274
2023-12-18 05:00:00+00:00,722.8,722.8,719.0,720.0,1546
2023-12-18 05:05:00+00:00,720.0,720.9,720.0,720.9,153
2023-12-18 05:10:00+00:00,720.9,724.0,720.9,724.0,1491
2023-12-18 05:15:00+00:00,724.0,727.5,724.0,727.05,3773
2023-12-18 05:20:00+00:00,727.05,727.1,725.3,726.35,1342
2023-12-18 05:25:00+00:00,726.35,726.35,724.0,724.85,4616
2023-12-18 05:30:00+00:00,724.9,725.0,722.2,722.2,7004
2023-12-18 05:35:00+00:00,722.0,722.9,721.95,722.8,5028
2023-12-18 05:40:00+00:00,722.8,723.55,722.05,722.95,277
2023-12-18 05:45:00+00:00,722.95,724.7,722.55,724.3,365
2023-12-18 05:50:00+00:00,724.3,724.3,723.5,723.5,34
2023-12-18 05:55:00+00:00,723.5,724.2,723.5,723.55,203
2023-12-18 06:00:00+00:00,724.15,724.95,722.6,723.1,1361
2023-12-18 06:05:00+00:00,723.1,724.0,722.05,723.5,1041
2023-12-18 06:10:00+00:00,723.5,728.0,722.3,727.9,7719
2023-12-18 06:15:00+00:00,727.9,730.0,727.6,728.1,3013
2023-12-18 06:20:00+00:00,728.1,730.0,727.85,728.55,2768
2023-12-18 06:25:00+00:00,728.55,730.0,728.05,729.9,305
2023-12-18 06:30:00+00:00,729.9,729.9,725.0,726.5,1620
2023-12-18 06:35:00+00:00,726.5,727.1,724.2,724.7,654
2023-12-18 06:40:00+00:00,724.7,725.0,721.0,722.35,1619
2023-12-18 06:45:00+00:00,723.7,724.9,723.05,723.1,340
2023-12-18 06:50:00+00:00,723.1,726.75,723.05,726.75,1109
2023-12-18 06:55:00+00:00,726.75,726.95,723.9,725.9,1282
2023-12-18 07:00:00+00:00,726.25,727.05,724.0,724.0,1413
2023-12-18 07:05:00+00:00,724.0,725.05,723.25,724.7,247
2023-12-18 07:10:00+00:00,724.7,725.4,723.3,725.05,1705
2023-12-18 07:15:00+00:00,725.05,725.05,724.5,724.9,721
2023-12-18 07:20:00+00:00,724.9,725.05,724.05,724.05,368
