,open,high,low,close,volume
2023-12-18 03:45:00+00:00,664.8,664.8,655.35,661.25,9665
2023-12-18 03:50:00+00:00,660.85,670.3,660.6,670.3,4505
2023-12-18 03:55:00+00:00,670.3,677.1,670.3,671.6,11595
2023-12-18 04:00:00+00:00,671.6,678.0,671.45,678.0,2125
2023-12-18 04:05:00+00:00,678.0,681.6,677.15,679.95,6425
2023-12-18 04:10:00+00:00,683.15,685.2,680.2,684.65,5885
2023-12-18 04:15:00+00:00,685.2,689.0,684.4,688.2,9395
2023-12-18 04:20:00+00:00,687.35,688.0,682.05,685.9,7960
2023-12-18 04:25:00+00:00,685.2,690.4,684.0,686.1,16800
2023-12-18 04:30:00+00:00,686.1,688.95,684.6,688.2,5795
2023-12-18 04:35:00+00:00,688.2,688.2,684.9,685.95,1750
2023-12-18 04:40:00+00:00,685.95,688.25,685.35,686.75,2550
2023-12-18 04:45:00+00:00,687.45,688.35,686.4,686.85,2265
2023-12-18 04:50:00+00:00,687.1,687.7,685.9,687.7,1275
2023-12-18 04:55:00+00:00,687.2,687.75,682.0,682.0,4735
2023-12-18 05:00:00+00:00,682.0,684.0,681.95,683.2,3680
2023-12-18 05:05:00+00:00,683.55,683.7,679.05,680.0,6380
2023-12-18 05:10:00+00:00,680.0,680.75,678.8,679.8,3960
2023-12-18 05:15:00+00:00,679.8,679.8,676.4,678.7,4575
2023-12-18 05:20:00+00:00,678.7,679.8,678.6,679.5,2220
2023-12-18 05:25:00+00:00,679.5,679.9,679.05,679.85,585
2023-12-18 05:30:00+00:00,679.85,679.95,678.7,679.95,1150
2023-12-18 05:35:00+00:00,679.75,685.6,679.1,683.7,3720
2023-12-18 05:40:00+00:00,683.7,684.0,676.95,678.25,7230
2023-12-18 05:45:00+00:00,678.25,678.6,677.1,677.4,1960
2023-12-18 05:50:00+00:00,677.4,678.55,677.4,677.7,770
2023-12-18 05:55:00+00:00,677.65,677.9,676.65,676.65,850
2023-12-18 06:00:00+00:00,677.05,677.6,675.45,677.0,3095
2023-12-18 06:05:00+00:00,676.55,677.95,676.55,676.85,1200
2023-12-18 06:10:00+00:00,676.05,676.95,675.4,675.4,1250
2023-12-18 06:15:00+00:00,675.4,678.0,675.4,677.0,1030
2023-12-18 06:20:00+00:00,677.0,678.0,676.8,677.0,1065
