,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1103.25,1125.0,1097.2,1100.6,4328
2023-12-18 03:50:00+00:00,1100.6,1111.95,1093.0,1105.0,1742
2023-12-18 03:55:00+00:00,1103.05,1103.95,1099.0,1099.4,1349
2023-12-18 04:00:00+00:00,1099.4,1110.45,1099.4,1105.55,931
2023-12-18 04:05:00+00:00,1105.55,1105.55,1101.95,1102.0,374
2023-12-18 04:10:00+00:00,1102.0,1102.35,1099.5,1099.5,319
2023-12-18 04:15:00+00:00,1099.5,1100.0,1096.2,1096.2,303
2023-12-18 04:20:00+00:00,1096.2,1100.0,1096.2,1100.0,60
2023-12-18 04:25:00+00:00,1100.0,1100.0,1097.1,1097.1,311
2023-12-18 04:30:00+00:00,1097.1,1099.35,1096.0,1096.05,302
2023-12-18 04:35:00+00:00,1099.35,1100.05,1095.05,1097.05,2360
2023-12-18 04:40:00+00:00,1097.05,1103.4,1097.05,1103.4,649
2023-12-18 04:45:00+00:00,1103.4,1103.4,1100.05,1100.15,302
2023-12-18 04:50:00+00:00,1102.0,1104.45,1102.0,1102.25,389
2023-12-18 04:55:00+00:00,1102.25,1102.55,1101.3,1101.3,218
2023-12-18 05:00:00+00:00,1102.3,1103.95,1101.45,1103.05,265
2023-12-18 05:05:00+00:00,1103.05,1103.05,1099.95,1099.95,301
2023-12-18 05:10:00+00:00,1099.95,1102.1,1098.55,1101.75,110
2023-12-18 05:15:00+00:00,1102.05,1102.1,1100.0,1100.05,109
2023-12-18 05:20:00+00:00,1100.05,1102.3,1099.05,1102.3,693
2023-12-18 05:25:00+00:00,1102.3,1102.3,1100.15,1101.7,71
2023-12-18 05:30:00+00:00,1101.7,1102.15,1101.7,1102.15,139
2023-12-18 05:35:00+00:00,1102.1,1104.0,1100.1,1104.0,995
2023-12-18 05:40:00+00:00,1104.0,1104.0,1100.0,1102.0,194
2023-12-18 05:45:00+00:00,1102.0,1104.0,1101.6,1104.0,247
2023-12-18 05:50:00+00:00,1104.0,1104.0,1102.0,1102.0,4
2023-12-18 05:55:00+00:00,1102.0,1106.0,1102.0,1106.0,872
2023-12-18 06:00:00+00:00,1106.0,1106.95,1103.05,1103.05,235
2023-12-18 06:05:00+00:00,1103.05,1106.95,1103.05,1106.4,119
2023-12-18 06:10:00+00:00,1106.4,1106.4,1103.2,1105.55,36
2023-12-18 06:15:00+00:00,1105.55,1106.9,1105.15,1105.15,137
2023-12-18 06:20:00+00:00,1105.15,1106.7,1104.45,1106.1,114
2023-12-18 06:25:00+00:00,1106.1,1106.85,1104.45,1106.35,101
2023-12-18 06:30:00+00:00,1106.35,1106.95,1104.7,1105.05,337
2023-12-18 06:35:00+00:00,1105.05,1106.95,1105.05,1106.95,357
2023-12-18 06:40:00+00:00,1106.95,1107.0,1104.45,1105.0,227
2023-12-18 06:45:00+00:00,1105.0,1105.0,1105.0,1105.0,91
2023-12-18 06:50:00+00:00,1105.0,1107.0,1104.5,1107.0,620
2023-12-18 06:55:00+00:00,1107.0,1107.0,1106.0,1106.0,194
2023-12-18 07:00:00+00:00,1107.0,1107.0,1107.0,1107.0,48
2023-12-18 07:05:00+00:00,1107.0,1107.0,1104.45,1104.6,12
2023-12-18 07:10:00+00:00,1104.6,1106.75,1104.6,1106.75,10
2023-12-18 07:15:00+00:00,1106.75,1106.75,1105.95,1105.95,29
2023-12-18 07:20:00+00:00,1105.95,1106.0,1104.75,1106.0,56
2023-12-18 07:25:00+00:00,1106.0,1106.0,1104.45,1106.0,622
2023-12-18 07:30:00+00:00,1106.0,1106.0,1104.0,1105.75,383
2023-12-18 07:35:00+00:00,1105.75,1105.85,1105.25,1105.25,53
2023-12-18 07:40:00+00:00,1105.25,1105.95,1104.5,1104.5,83
2023-12-18 07:45:00+00:00,1104.5,1106.0,1104.5,1106.0,10
2023-12-18 07:50:00+00:00,1105.05,1106.0,1105.05,1106.0,97
2023-12-18 07:55:00+00:00,1104.5,1104.7,1104.5,1104.7,388
2023-12-18 08:00:00+00:00,1104.7,1108.0,1104.7,1107.9,580
