,open,high,low,close,volume
2023-12-18 03:55:00+00:00,147.0,153.65,147.0,147.0,0
2023-12-18 04:10:00+00:00,147.0,147.0,147.0,147.0,0
2023-12-18 04:15:00+00:00,147.0,147.0,147.0,147.0,0
2023-12-18 04:20:00+00:00,147.0,147.0,147.0,147.0,0
2023-12-18 04:30:00+00:00,147.0,147.0,147.0,147.0,0
2023-12-18 04:35:00+00:00,150.0,150.0,148.5,148.5,45
2023-12-18 04:40:00+00:00,148.5,148.5,148.5,148.5,10
2023-12-18 04:50:00+00:00,148.5,148.5,148.5,148.5,0
2023-12-18 05:00:00+00:00,148.5,148.5,148.5,148.5,0
2023-12-18 05:10:00+00:00,148.45,148.45,148.45,148.45,11
2023-12-18 05:30:00+00:00,148.45,148.45,148.45,148.45,0
2023-12-18 05:35:00+00:00,148.45,148.45,148.45,148.45,0
2023-12-18 06:30:00+00:00,148.45,148.45,148.45,148.45,0
2023-12-18 07:05:00+00:00,148.45,148.45,148.45,148.45,10
2023-12-18 07:25:00+00:00,148.45,148.45,148.45,148.45,8
2023-12-18 07:30:00+00:00,148.45,148.45,148.45,148.45,0
2023-12-18 08:30:00+00:00,148.45,148.45,148.45,148.45,0
2023-12-18 08:45:00+00:00,148.45,148.45,148.45,148.45,2
2023-12-18 08:55:00+00:00,148.45,148.45,140.0,140.0,16
2023-12-18 09:00:00+00:00,140.0,143.1,140.0,143.1,14
2023-12-18 09:05:00+00:00,143.1,143.1,143.1,143.1,0
2023-12-18 09:10:00+00:00,143.1,143.1,143.1,143.1,0
2023-12-18 09:15:00+00:00,143.1,143.1,143.1,143.1,0
2023-12-18 09:25:00+00:00,143.1,143.1,143.1,143.1,0
2023-12-18 09:30:00+00:00,143.1,148.5,143.1,148.5,5
2023-12-18 09:45:00+00:00,148.5,148.5,148.5,148.5,1
2023-12-18 09:55:00+00:00,148.5,148.5,148.5,148.5,5
2023-12-19 03:45:00+00:00,155.0,155.0,153.0,153.0,1
2023-12-19 03:50:00+00:00,153.0,153.0,153.0,153.0,6
2023-12-19 03:55:00+00:00,152.95,152.95,151.5,151.5,1
2023-12-19 04:00:00+00:00,151.5,152.9,151.5,152.9,10
2023-12-19 04:05:00+00:00,152.9,152.9,152.9,152.9,0
2023-12-19 04:10:00+00:00,152.9,152.9,152.9,152.9,0
2023-12-19 04:20:00+00:00,152.9,152.9,152.85,152.85,0
2023-12-19 04:25:00+00:00,152.85,152.85,152.85,152.85,50
2023-12-19 04:30:00+00:00,152.85,152.85,152.85,152.85,3
2023-12-19 04:35:00+00:00,152.85,152.85,152.85,152.85,0
2023-12-19 04:40:00+00:00,152.85,152.85,152.85,152.85,0
2023-12-19 04:50:00+00:00,152.8,152.8,152.8,152.8,5
2023-12-19 05:00:00+00:00,152.8,152.8,152.8,152.8,0
2023-12-19 05:15:00+00:00,152.8,152.8,152.8,152.8,0
2023-12-19 05:30:00+00:00,152.8,152.8,152.8,152.8,0
2023-12-19 05:50:00+00:00,152.65,152.65,152.65,152.65,30
2023-12-19 06:00:00+00:00,152.65,152.65,152.65,152.65,49
2023-12-19 06:05:00+00:00,152.65,152.65,152.65,152.65,10
2023-12-19 06:15:00+00:00,149.0,149.0,147.0,147.0,25
2023-12-19 06:20:00+00:00,147.0,147.0,141.15,141.15,67
2023-12-19 06:25:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 06:30:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 06:45:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 06:50:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 07:00:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 07:10:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 07:15:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 07:20:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 07:25:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 07:30:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 07:35:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 07:50:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 07:55:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 08:00:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 08:10:00+00:00,141.15,141.15,141.15,141.15,0
2023-12-19 08:20:00+00:00,152.65,152.65,152.65,152.65,1
2023-12-19 08:25:00+00:00,152.65,152.65,152.65,152.65,0
2023-12-19 08:30:00+00:00,152.65,152.65,152.65,152.65,0
2023-12-19 08:45:00+00:00,152.65,152.65,152.65,152.65,0
2023-12-19 08:50:00+00:00,152.5,152.5,152.5,152.5,1
2023-12-19 08:55:00+00:00,152.5,152.5,152.5,152.5,0
2023-12-19 09:00:00+00:00,150.0,150.0,150.0,150.0,0
2023-12-19 09:30:00+00:00,150.0,150.0,150.0,150.0,0
2023-12-20 03:45:00+00:00,156.8,156.8,156.8,156.8,0
2023-12-20 03:50:00+00:00,156.8,156.8,154.0,154.0,48
2023-12-20 03:55:00+00:00,154.0,154.0,153.0,153.0,1
2023-12-20 04:05:00+00:00,153.0,153.0,153.0,153.0,4
2023-12-20 04:10:00+00:00,153.0,153.0,153.0,153.0,0
2023-12-20 04:15:00+00:00,153.0,153.0,153.0,153.0,0
2023-12-20 04:30:00+00:00,153.0,153.0,153.0,153.0,0
2023-12-20 04:40:00+00:00,152.85,152.85,152.85,152.85,0
2023-12-20 04:50:00+00:00,152.85,152.85,152.85,152.85,1
2023-12-20 05:00:00+00:00,152.85,152.85,152.85,152.85,0
2023-12-20 05:15:00+00:00,152.85,152.85,152.85,152.85,0
2023-12-20 05:25:00+00:00,152.85,152.85,152.85,152.85,1
2023-12-20 05:30:00+00:00,152.85,152.85,152.85,152.85,0
2023-12-20 05:50:00+00:00,152.85,152.85,152.85,152.85,0
2023-12-20 05:55:00+00:00,152.85,152.85,152.85,152.85,0
2023-12-20 06:00:00+00:00,152.85,152.85,152.85,152.85,0
2023-12-20 06:30:00+00:00,152.85,152.85,152.85,152.85,0
2023-12-20 06:50:00+00:00,152.85,152.85,152.85,152.85,0
2023-12-20 07:00:00+00:00,150.1,150.1,150.1,150.1,1
2023-12-20 07:05:00+00:00,150.1,150.1,150.1,150.1,0
2023-12-20 07:15:00+00:00,150.1,150.1,150.1,150.1,0
2023-12-20 07:30:00+00:00,150.1,150.1,150.1,150.1,0
2023-12-20 08:00:00+00:00,150.1,150.1,150.1,150.1,0
2023-12-20 08:05:00+00:00,150.1,150.1,150.1,150.1,0
2023-12-20 08:15:00+00:00,149.9,149.9,149.9,149.9,0
2023-12-20 08:40:00+00:00,149.9,149.9,149.9,149.9,12
2023-12-20 08:45:00+00:00,149.9,149.9,149.9,149.9,0
2023-12-20 09:10:00+00:00,149.9,149.9,149.9,149.9,0
2023-12-20 09:15:00+00:00,149.9,149.9,149.9,149.9,0
2023-12-20 09:20:00+00:00,149.9,149.9,149.9,149.9,0
2023-12-20 09:30:00+00:00,149.9,149.9,149.9,149.9,0
2023-12-20 09:55:00+00:00,149.8,149.8,149.8,149.8,6
2023-12-21 04:25:00+00:00,157.2,157.2,157.2,157.2,0
2023-12-21 04:30:00+00:00,157.2,157.2,157.2,157.2,0
2023-12-21 04:35:00+00:00,157.2,157.2,157.2,157.2,0
2023-12-21 04:55:00+00:00,157.2,157.2,157.2,157.2,0
2023-12-21 05:10:00+00:00,157.2,157.2,157.2,157.2,0
2023-12-21 05:15:00+00:00,157.2,157.2,143.0,143.0,14
2023-12-21 05:20:00+00:00,145.0,145.0,145.0,145.0,4
2023-12-21 05:25:00+00:00,145.0,145.0,145.0,145.0,12
2023-12-21 05:30:00+00:00,145.0,156.85,145.0,156.85,32
2023-12-21 05:35:00+00:00,156.85,156.85,156.85,156.85,0
2023-12-21 05:45:00+00:00,156.85,156.85,156.85,156.85,0
2023-12-21 06:00:00+00:00,156.85,156.85,156.85,156.85,0
2023-12-21 06:10:00+00:00,156.85,156.85,156.85,156.85,0
2023-12-21 06:15:00+00:00,156.85,156.85,156.85,156.85,0
2023-12-21 06:30:00+00:00,156.85,156.85,156.85,156.85,50
2023-12-21 06:55:00+00:00,156.85,156.85,156.85,156.85,0
2023-12-21 07:05:00+00:00,156.85,156.85,156.85,156.85,0
2023-12-21 07:20:00+00:00,155.85,155.85,155.85,155.85,13
2023-12-21 07:30:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 07:40:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 07:50:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 08:00:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 08:05:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 08:30:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 08:50:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 09:00:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 09:25:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 09:30:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 09:35:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 09:40:00+00:00,155.85,155.85,155.85,155.85,0
2023-12-21 09:45:00+00:00,155.0,155.0,155.0,155.0,1
2023-12-22 03:45:00+00:00,159.0,162.5,159.0,162.5,470
2023-12-22 03:50:00+00:00,162.5,162.5,162.5,162.5,0
2023-12-22 03:55:00+00:00,162.5,162.5,162.5,162.5,0
2023-12-22 04:00:00+00:00,162.5,162.5,162.5,162.5,0
2023-12-22 04:05:00+00:00,162.5,162.5,162.5,162.5,0
2023-12-22 04:10:00+00:00,162.5,162.5,162.5,162.5,0
2023-12-22 04:15:00+00:00,162.5,162.5,162.5,162.5,0
2023-12-22 04:20:00+00:00,162.5,162.5,162.5,162.5,0
2023-12-22 04:30:00+00:00,162.5,162.5,162.5,162.5,0
2023-12-22 04:35:00+00:00,162.5,162.5,159.0,159.0,5
2023-12-22 04:40:00+00:00,159.0,159.0,159.0,159.0,0
2023-12-22 04:45:00+00:00,159.0,159.0,157.5,158.0,20
2023-12-22 04:50:00+00:00,158.0,158.0,158.0,158.0,26
2023-12-22 04:55:00+00:00,158.0,158.0,158.0,158.0,23
2023-12-22 05:05:00+00:00,158.0,158.0,158.0,158.0,0
2023-12-22 05:15:00+00:00,158.0,158.0,158.0,158.0,13
2023-12-22 05:20:00+00:00,158.0,158.0,158.0,158.0,25
2023-12-22 05:30:00+00:00,158.0,158.0,158.0,158.0,14
2023-12-22 05:40:00+00:00,158.0,162.45,158.0,161.95,200
2023-12-22 05:45:00+00:00,161.95,161.95,161.95,161.95,0
2023-12-22 05:50:00+00:00,161.95,161.95,161.95,161.95,0
2023-12-22 06:00:00+00:00,161.95,161.95,161.95,161.95,0
2023-12-22 06:15:00+00:00,161.95,161.95,161.95,161.95,0
2023-12-22 06:20:00+00:00,161.95,161.95,161.95,161.95,0
2023-12-22 06:30:00+00:00,161.95,161.95,161.95,161.95,0
2023-12-22 07:15:00+00:00,161.6,161.6,161.6,161.6,0
2023-12-22 07:20:00+00:00,161.6,161.6,161.6,161.6,0
2023-12-22 07:25:00+00:00,161.6,161.6,161.6,161.6,0
2023-12-22 07:30:00+00:00,161.6,161.6,161.55,161.55,10
2023-12-22 07:35:00+00:00,161.55,162.75,161.55,162.75,190
2023-12-22 07:40:00+00:00,162.75,162.75,162.75,162.75,212
2023-12-22 07:45:00+00:00,162.75,162.75,162.75,162.75,49
2023-12-22 08:10:00+00:00,162.75,162.75,162.75,162.75,5
2023-12-22 08:25:00+00:00,162.75,162.75,162.75,162.75,0
2023-12-22 08:30:00+00:00,162.75,162.75,162.75,162.75,0
2023-12-22 08:35:00+00:00,162.75,162.75,162.75,162.75,34
2023-12-22 08:50:00+00:00,162.75,162.75,162.75,162.75,1
2023-12-22 08:55:00+00:00,162.75,162.75,162.75,162.75,0
2023-12-22 09:00:00+00:00,162.75,162.75,162.75,162.75,0
2023-12-22 09:10:00+00:00,162.75,162.75,162.75,162.75,0
2023-12-22 09:30:00+00:00,162.75,162.75,162.75,162.75,18
2023-12-22 09:35:00+00:00,162.75,162.75,162.75,162.75,2
