,open,high,low,close,volume
2023-12-18 03:45:00+00:00,646.45,646.5,638.85,639.9,1073
2023-12-18 03:50:00+00:00,639.9,645.8,639.5,642.85,576
2023-12-18 03:55:00+00:00,642.85,644.95,640.65,642.25,1582
2023-12-18 04:00:00+00:00,642.25,643.15,641.75,643.15,623
2023-12-18 04:05:00+00:00,643.15,646.9,642.6,645.65,966
2023-12-18 04:10:00+00:00,645.65,648.0,645.55,647.5,885
2023-12-18 04:15:00+00:00,646.55,646.55,645.55,645.9,195
2023-12-18 04:20:00+00:00,645.9,646.5,645.15,646.5,46
2023-12-18 04:25:00+00:00,646.5,646.8,646.5,646.8,56
2023-12-18 04:30:00+00:00,646.8,649.45,646.0,646.9,1297
2023-12-18 04:35:00+00:00,646.9,647.0,646.85,647.0,22
2023-12-18 04:40:00+00:00,646.9,647.45,646.05,646.85,202
2023-12-18 04:45:00+00:00,646.85,648.0,646.85,648.0,164
2023-12-18 04:50:00+00:00,648.0,649.95,647.1,649.0,1239
2023-12-18 04:55:00+00:00,648.25,648.25,647.65,647.7,42
2023-12-18 05:00:00+00:00,647.7,649.3,647.7,649.3,52
2023-12-18 05:05:00+00:00,649.3,650.6,648.95,648.95,1720
2023-12-18 05:10:00+00:00,648.95,649.5,648.0,648.8,87
2023-12-18 05:15:00+00:00,648.8,649.05,648.0,648.15,22
2023-12-18 05:20:00+00:00,648.15,649.7,648.15,649.7,155
2023-12-18 05:25:00+00:00,649.7,649.7,648.5,648.5,120
2023-12-18 05:30:00+00:00,647.5,650.0,647.5,648.45,1574
2023-12-18 05:35:00+00:00,648.45,650.0,648.05,650.0,629
2023-12-18 05:40:00+00:00,650.0,654.0,650.0,653.25,3832
2023-12-18 05:45:00+00:00,653.25,654.75,651.95,651.95,2282
2023-12-18 05:50:00+00:00,651.95,653.2,649.1,650.45,278
2023-12-18 05:55:00+00:00,650.45,651.0,650.05,650.05,58
2023-12-18 06:00:00+00:00,650.05,650.05,650.05,650.05,0
2023-12-18 06:05:00+00:00,650.05,650.7,649.65,649.65,7
2023-12-18 06:10:00+00:00,649.65,649.65,648.5,649.35,7
2023-12-18 06:15:00+00:00,649.35,649.55,648.2,648.3,215
2023-12-18 06:20:00+00:00,648.3,648.95,648.05,648.1,52
2023-12-18 06:25:00+00:00,648.1,648.1,647.45,647.85,148
2023-12-18 06:30:00+00:00,647.85,647.85,647.85,647.85,0
2023-12-18 06:35:00+00:00,647.85,648.75,647.2,648.75,47
2023-12-18 06:40:00+00:00,648.75,648.75,647.2,647.2,196
2023-12-18 06:45:00+00:00,647.2,647.2,647.2,647.2,500
2023-12-18 06:50:00+00:00,647.2,648.9,646.5,646.5,1588
2023-12-18 06:55:00+00:00,646.5,647.8,646.5,646.75,69
2023-12-18 07:00:00+00:00,647.5,647.5,645.75,645.75,154
2023-12-18 07:05:00+00:00,645.75,647.45,645.75,646.45,2143
2023-12-18 07:10:00+00:00,646.45,646.45,644.0,644.0,57
2023-12-18 07:15:00+00:00,644.0,645.3,644.0,644.25,149
2023-12-18 07:20:00+00:00,644.25,644.8,644.0,644.8,219
2023-12-18 07:25:00+00:00,644.8,644.9,644.05,644.9,10
2023-12-18 07:30:00+00:00,644.9,644.9,643.0,643.5,1339
2023-12-18 07:35:00+00:00,643.5,643.95,643.0,643.95,59
2023-12-18 07:40:00+00:00,643.95,644.0,643.35,643.35,26
2023-12-18 07:45:00+00:00,643.35,643.65,643.35,643.65,8
2023-12-18 07:50:00+00:00,643.65,643.65,643.35,643.35,34
2023-12-18 07:55:00+00:00,643.35,643.6,643.35,643.6,0
2023-12-18 08:00:00+00:00,643.6,643.6,643.6,643.6,7
2023-12-18 08:05:00+00:00,643.6,644.3,643.6,644.3,26
2023-12-18 08:10:00+00:00,644.3,644.3,643.4,644.25,262
2023-12-18 08:15:00+00:00,644.25,644.25,643.4,643.9,191
2023-12-18 08:20:00+00:00,644.0,644.45,644.0,644.25,193
2023-12-18 08:25:00+00:00,644.25,644.25,643.05,643.1,32
2023-12-18 08:30:00+00:00,643.1,643.1,642.25,642.25,641
2023-12-18 08:35:00+00:00,642.25,643.0,642.25,642.55,128
2023-12-18 08:40:00+00:00,643.6,643.65,642.25,642.25,243
2023-12-18 08:45:00+00:00,642.25,643.5,642.0,643.5,333
2023-12-18 08:50:00+00:00,643.5,643.5,642.6,642.6,59
2023-12-18 08:55:00+00:00,642.6,643.2,642.6,643.2,179
2023-12-18 09:00:00+00:00,643.2,643.2,642.05,642.05,57
