,open,high,low,close,volume
2023-12-18 03:45:00+00:00,5745.2,5764.0,5681.95,5683.5,1646
2023-12-18 03:50:00+00:00,5683.5,5694.9,5682.5,5686.05,682
2023-12-18 03:55:00+00:00,5686.05,5704.4,5685.15,5702.35,1126
2023-12-18 04:00:00+00:00,5702.35,5709.7,5666.6,5667.25,1586
2023-12-18 04:05:00+00:00,5667.25,5680.95,5651.05,5666.25,1669
2023-12-18 04:10:00+00:00,5666.25,5668.75,5653.1,5667.2,600
2023-12-18 04:15:00+00:00,5661.05,5671.1,5658.0,5660.0,570
2023-12-18 04:20:00+00:00,5655.0,5667.8,5655.0,5660.2,821
2023-12-18 04:25:00+00:00,5664.8,5672.25,5657.5,5660.6,1098
2023-12-18 04:30:00+00:00,5665.05,5670.35,5661.05,5669.35,303
2023-12-18 04:35:00+00:00,5669.35,5675.95,5669.25,5670.05,809
2023-12-18 04:40:00+00:00,5670.0,5679.0,5669.0,5669.0,469
2023-12-18 04:45:00+00:00,5665.85,5670.0,5662.9,5665.0,646
2023-12-18 04:50:00+00:00,5665.0,5674.7,5665.0,5670.0,525
2023-12-18 04:55:00+00:00,5670.0,5676.0,5661.8,5671.0,693
2023-12-18 05:00:00+00:00,5670.9,5674.9,5661.5,5661.5,423
2023-12-18 05:05:00+00:00,5661.5,5668.6,5661.0,5663.05,126
2023-12-18 05:10:00+00:00,5663.05,5673.6,5662.05,5669.95,326
2023-12-18 05:15:00+00:00,5669.95,5672.75,5666.2,5672.75,206
2023-12-18 05:20:00+00:00,5672.75,5672.75,5666.2,5666.35,443
2023-12-18 05:25:00+00:00,5666.35,5671.45,5666.2,5666.2,228
2023-12-18 05:30:00+00:00,5666.2,5667.25,5661.0,5662.15,1062
2023-12-18 05:35:00+00:00,5662.15,5667.05,5661.0,5661.05,374
2023-12-18 05:40:00+00:00,5661.05,5667.8,5661.0,5666.8,239
2023-12-18 05:45:00+00:00,5666.8,5671.7,5661.6,5668.05,227
2023-12-18 05:50:00+00:00,5668.05,5672.75,5668.05,5668.1,699
2023-12-18 05:55:00+00:00,5668.1,5674.8,5668.1,5672.0,352
2023-12-18 06:00:00+00:00,5672.0,5680.75,5665.85,5679.35,30816
2023-12-18 06:05:00+00:00,5679.35,5681.5,5670.9,5672.1,214
2023-12-18 06:10:00+00:00,5672.1,5674.95,5670.2,5671.0,108
2023-12-18 06:15:00+00:00,5670.2,5684.1,5669.75,5679.5,673
2023-12-18 06:20:00+00:00,5679.5,5683.75,5674.1,5675.1,389
2023-12-18 06:25:00+00:00,5679.1,5682.0,5674.8,5679.95,317
2023-12-18 06:30:00+00:00,5679.95,5684.95,5675.05,5678.65,335
2023-12-18 06:35:00+00:00,5678.65,5682.8,5676.75,5679.9,157
2023-12-18 06:40:00+00:00,5676.45,5724.65,5676.45,5715.65,2698
2023-12-18 06:45:00+00:00,5721.6,5730.0,5705.5,5724.9,1187
2023-12-18 06:50:00+00:00,5724.95,5730.0,5701.55,5702.0,425
2023-12-18 06:55:00+00:00,5702.0,5724.6,5702.0,5708.0,578
2023-12-18 07:00:00+00:00,5708.0,5719.0,5708.0,5710.3,343
2023-12-18 07:05:00+00:00,5715.45,5721.2,5710.55,5721.2,384
2023-12-18 07:10:00+00:00,5722.75,5722.9,5714.15,5719.95,316
2023-12-18 07:15:00+00:00,5719.95,5719.95,5708.0,5717.45,266
2023-12-18 07:20:00+00:00,5717.45,5725.0,5716.0,5720.25,436
2023-12-18 07:25:00+00:00,5720.25,5724.0,5716.0,5716.0,163
2023-12-18 07:30:00+00:00,5716.0,5723.15,5716.0,5722.6,294
2023-12-18 07:35:00+00:00,5722.65,5723.95,5716.95,5718.5,305
2023-12-18 07:40:00+00:00,5718.5,5723.7,5718.45,5718.55,288
2023-12-18 07:45:00+00:00,5718.55,5722.0,5711.0,5714.9,412
2023-12-18 07:50:00+00:00,5711.05,5714.9,5704.05,5709.05,602
2023-12-18 07:55:00+00:00,5710.1,5721.65,5710.1,5721.5,533
2023-12-18 08:00:00+00:00,5716.75,5734.2,5715.65,5716.5,808
2023-12-18 08:05:00+00:00,5716.5,5721.35,5710.0,5715.0,256
2023-12-18 08:10:00+00:00,5715.0,5717.9,5710.05,5710.8,236
2023-12-18 08:15:00+00:00,5710.7,5714.9,5705.5,5709.0,176
2023-12-18 08:20:00+00:00,5709.0,5720.55,5709.0,5719.0,201
2023-12-18 08:25:00+00:00,5719.0,5719.9,5709.2,5719.9,408
2023-12-18 08:30:00+00:00,5719.9,5719.9,5710.55,5710.55,123
2023-12-18 08:35:00+00:00,5710.55,5714.15,5709.5,5710.45,122
2023-12-18 08:40:00+00:00,5710.45,5713.5,5701.5,5708.55,609
2023-12-18 08:45:00+00:00,5707.25,5708.0,5702.4,5704.2,216
2023-12-18 08:50:00+00:00,5704.2,5708.1,5691.5,5693.95,608
2023-12-18 08:55:00+00:00,5693.95,5703.75,5690.0,5697.7,975
2023-12-18 09:00:00+00:00,5700.9,5702.0,5689.1,5695.95,402
2023-12-18 09:05:00+00:00,5691.25,5699.0,5690.25,5693.25,561
2023-12-18 09:10:00+00:00,5690.3,5697.0,5682.7,5684.15,594
2023-12-18 09:15:00+00:00,5689.65,5698.0,5681.5,5683.5,1696
2023-12-18 09:20:00+00:00,5683.5,5690.0,5681.5,5685.05,725
2023-12-18 09:25:00+00:00,5685.0,5690.0,5683.15,5683.15,617
2023-12-18 09:30:00+00:00,5683.15,5688.95,5655.55,5671.9,2929
2023-12-18 09:35:00+00:00,5671.95,5685.5,5665.1,5670.0,661
2023-12-18 09:40:00+00:00,5670.0,5678.1,5665.15,5670.0,917
2023-12-18 09:45:00+00:00,5670.0,5677.25,5667.0,5672.0,929
2023-12-18 09:50:00+00:00,5677.2,5685.55,5670.0,5676.85,1336
2023-12-18 09:55:00+00:00,5676.85,5676.85,5652.0,5672.75,1477
2023-12-19 03:45:00+00:00,5672.25,5731.8,5670.0,5676.9,903
2023-12-19 03:50:00+00:00,5680.95,5700.0,5670.5,5695.0,856
2023-12-19 03:55:00+00:00,5695.0,5698.0,5688.9,5696.4,334
2023-12-19 04:00:00+00:00,5696.4,5696.4,5640.0,5645.0,3605
2023-12-19 04:05:00+00:00,5644.0,5646.85,5606.75,5646.2,2207
2023-12-19 04:10:00+00:00,5646.2,5646.2,5625.0,5634.2,764
2023-12-19 04:15:00+00:00,5634.2,5653.55,5634.2,5653.55,927
2023-12-19 04:20:00+00:00,5653.55,5653.55,5637.1,5643.25,602
2023-12-19 04:25:00+00:00,5643.25,5645.6,5639.25,5642.15,103
2023-12-19 04:30:00+00:00,5642.15,5649.15,5640.0,5640.0,270
2023-12-19 04:35:00+00:00,5640.0,5644.0,5620.15,5630.4,760
2023-12-19 04:40:00+00:00,5630.4,5637.6,5620.0,5630.0,675
2023-12-19 04:45:00+00:00,5630.0,5641.0,5630.0,5641.0,202
2023-12-19 04:50:00+00:00,5641.0,5644.0,5637.2,5637.2,24
2023-12-19 04:55:00+00:00,5637.2,5641.4,5632.1,5638.35,200
2023-12-19 05:00:00+00:00,5632.1,5638.85,5632.1,5637.55,123
2023-12-19 05:05:00+00:00,5637.55,5641.9,5637.05,5637.05,52
2023-12-19 05:10:00+00:00,5637.05,5641.3,5637.0,5641.3,34
2023-12-19 05:15:00+00:00,5635.2,5638.95,5635.2,5638.95,103
2023-12-19 05:20:00+00:00,5638.95,5640.0,5635.0,5636.9,383
2023-12-19 05:25:00+00:00,5636.9,5640.0,5633.05,5633.3,54
2023-12-19 05:30:00+00:00,5633.3,5639.8,5633.05,5639.35,94
2023-12-19 05:35:00+00:00,5639.35,5639.35,5633.05,5634.0,91
2023-12-19 05:40:00+00:00,5634.0,5638.45,5634.0,5635.05,59
2023-12-19 05:45:00+00:00,5635.05,5638.5,5634.0,5634.0,150
2023-12-19 05:50:00+00:00,5634.0,5638.45,5634.0,5635.05,52
2023-12-19 05:55:00+00:00,5635.05,5638.0,5635.05,5637.8,208
2023-12-19 06:00:00+00:00,5637.8,5648.0,5637.5,5644.45,409
2023-12-19 06:05:00+00:00,5644.45,5652.75,5644.45,5652.75,185
2023-12-19 06:10:00+00:00,5652.75,5659.75,5652.0,5659.75,64
2023-12-19 06:15:00+00:00,5659.75,5659.75,5652.05,5655.5,262
2023-12-19 06:20:00+00:00,5655.5,5668.0,5650.0,5655.0,404
2023-12-19 06:25:00+00:00,5657.95,5660.05,5653.0,5660.05,225
2023-12-19 06:30:00+00:00,5660.05,5662.05,5660.0,5660.0,206
2023-12-19 06:35:00+00:00,5660.0,5660.0,5652.95,5657.25,54
2023-12-19 06:40:00+00:00,5655.4,5660.0,5655.0,5660.0,33
2023-12-19 06:45:00+00:00,5660.0,5660.0,5656.55,5660.0,12
2023-12-19 06:50:00+00:00,5660.0,5667.65,5660.0,5662.0,287
2023-12-19 06:55:00+00:00,5661.05,5665.0,5660.35,5665.0,232
2023-12-19 07:00:00+00:00,5665.0,5685.4,5661.2,5684.2,506
