,open,high,low,close,volume
2023-12-18 03:45:00+00:00,292.0,295.5,290.8,291.95,2401
2023-12-18 03:50:00+00:00,291.7,294.7,290.8,294.7,2622
2023-12-18 03:55:00+00:00,294.7,296.75,294.3,296.3,1878
2023-12-18 04:00:00+00:00,296.3,298.15,296.3,297.8,1908
2023-12-18 04:05:00+00:00,297.8,301.2,297.8,300.0,6865
2023-12-18 04:10:00+00:00,300.0,300.45,298.0,298.0,1830
2023-12-18 04:15:00+00:00,298.0,298.85,297.5,298.35,688
2023-12-18 04:20:00+00:00,298.35,299.5,298.2,299.5,1348
2023-12-18 04:25:00+00:00,299.5,299.7,298.05,298.6,1070
2023-12-18 04:30:00+00:00,298.6,299.3,298.6,299.3,615
2023-12-18 04:35:00+00:00,299.3,299.95,299.3,299.7,202
2023-12-18 04:40:00+00:00,299.7,299.7,299.45,299.45,50
2023-12-18 04:45:00+00:00,299.4,299.9,299.4,299.9,472
2023-12-18 04:50:00+00:00,299.9,300.0,299.6,299.6,155
2023-12-18 04:55:00+00:00,299.6,299.6,298.8,298.9,669
2023-12-18 05:00:00+00:00,298.9,298.9,298.4,298.4,600
2023-12-18 05:05:00+00:00,298.4,299.0,298.1,298.1,173
2023-12-18 05:10:00+00:00,298.1,298.75,298.05,298.05,345
2023-12-18 05:15:00+00:00,298.05,298.7,297.9,297.9,676
2023-12-18 05:20:00+00:00,297.5,297.5,297.2,297.4,1009
2023-12-18 05:25:00+00:00,297.4,297.8,297.1,297.7,136
2023-12-18 05:30:00+00:00,297.7,298.45,297.55,298.4,1153
2023-12-18 05:35:00+00:00,298.4,298.6,298.35,298.35,625
2023-12-18 05:40:00+00:00,298.4,298.6,298.05,298.35,472
2023-12-18 05:45:00+00:00,298.35,299.45,298.35,299.45,1229
2023-12-18 05:50:00+00:00,299.45,299.45,299.2,299.2,18
2023-12-18 05:55:00+00:00,299.2,299.2,298.85,298.85,2363
2023-12-18 06:00:00+00:00,298.85,299.2,298.55,298.55,899
2023-12-18 06:05:00+00:00,298.55,298.55,298.45,298.45,40
2023-12-18 06:10:00+00:00,298.45,298.55,298.45,298.55,535
2023-12-18 06:15:00+00:00,298.55,298.65,298.35,298.65,32
2023-12-18 06:20:00+00:00,298.65,298.65,298.65,298.65,0
2023-12-18 06:25:00+00:00,298.65,298.75,298.65,298.75,3
2023-12-18 06:30:00+00:00,298.75,298.75,298.2,298.2,558
2023-12-18 06:35:00+00:00,298.2,299.2,298.05,299.2,1943
2023-12-18 06:40:00+00:00,299.2,299.2,298.65,298.65,102
2023-12-18 06:45:00+00:00,298.65,299.2,298.65,299.2,130
2023-12-18 06:50:00+00:00,299.0,299.0,298.6,298.65,38
2023-12-18 06:55:00+00:00,298.65,298.65,298.65,298.65,2
2023-12-18 07:00:00+00:00,298.65,299.0,298.65,299.0,333
2023-12-18 07:05:00+00:00,299.0,299.05,299.0,299.05,203
2023-12-18 07:10:00+00:00,299.05,299.05,299.05,299.05,0
2023-12-18 07:15:00+00:00,299.05,299.05,298.3,298.3,260
2023-12-18 07:20:00+00:00,298.3,298.35,298.3,298.35,50
2023-12-18 07:25:00+00:00,298.35,298.85,298.35,298.85,1
2023-12-18 07:30:00+00:00,298.85,299.15,298.85,299.15,250
2023-12-18 07:35:00+00:00,299.15,299.2,299.15,299.2,330
2023-12-18 07:40:00+00:00,299.2,299.2,299.2,299.2,0
2023-12-18 07:45:00+00:00,298.5,298.7,298.05,298.7,324
2023-12-18 07:50:00+00:00,298.7,298.7,298.0,298.15,120
2023-12-18 07:55:00+00:00,298.15,298.15,298.05,298.05,50
2023-12-18 08:00:00+00:00,298.05,299.0,298.05,299.0,204
2023-12-18 08:05:00+00:00,299.0,299.0,299.0,299.0,0
2023-12-18 08:10:00+00:00,299.0,299.2,299.0,299.2,124
2023-12-18 08:15:00+00:00,299.2,299.2,299.0,299.0,1
2023-12-18 08:20:00+00:00,299.0,299.2,299.0,299.0,412
2023-12-18 08:25:00+00:00,299.0,299.0,299.0,299.0,80
2023-12-18 08:30:00+00:00,299.0,299.0,299.0,299.0,200
2023-12-18 08:35:00+00:00,299.05,299.05,299.05,299.05,54
2023-12-18 08:40:00+00:00,299.05,299.45,299.0,299.0,192
2023-12-18 08:45:00+00:00,299.0,299.45,299.0,299.45,179
2023-12-18 08:50:00+00:00,299.45,299.45,299.45,299.45,0
2023-12-18 08:55:00+00:00,299.45,299.8,299.05,299.8,813
2023-12-18 09:00:00+00:00,299.8,299.8,299.1,299.75,623
2023-12-18 09:05:00+00:00,299.75,299.75,299.65,299.65,5
2023-12-18 09:10:00+00:00,299.65,299.75,299.65,299.75,94
2023-12-18 09:15:00+00:00,299.75,299.75,297.0,297.0,4480
2023-12-18 09:20:00+00:00,297.0,297.75,297.0,297.75,75
2023-12-18 09:25:00+00:00,297.75,297.75,297.2,297.65,444
2023-12-18 09:30:00+00:00,297.65,297.8,297.2,297.8,363
2023-12-18 09:35:00+00:00,297.8,298.9,297.8,298.9,255
2023-12-18 09:40:00+00:00,298.55,299.1,298.45,299.1,865
2023-12-18 09:45:00+00:00,299.1,299.5,298.0,298.3,822
2023-12-18 09:50:00+00:00,298.3,298.75,297.85,298.45,1506
2023-12-18 09:55:00+00:00,298.45,298.95,295.0,295.0,2985
2023-12-19 03:45:00+00:00,299.6,301.2,295.0,298.5,2109
2023-12-19 03:50:00+00:00,298.5,302.05,297.8,302.05,3037
2023-12-19 03:55:00+00:00,302.65,308.0,301.8,305.15,10857
2023-12-19 04:00:00+00:00,305.15,306.7,304.65,306.7,4508
2023-12-19 04:05:00+00:00,306.7,306.9,304.3,304.3,909
2023-12-19 04:10:00+00:00,304.25,304.3,304.0,304.0,1352
2023-12-19 04:15:00+00:00,303.15,303.15,302.15,302.15,462
2023-12-19 04:20:00+00:00,302.15,303.05,302.15,303.05,80
2023-12-19 04:25:00+00:00,302.9,303.1,302.5,302.8,524
2023-12-19 04:30:00+00:00,302.8,303.3,302.55,302.55,225
2023-12-19 04:35:00+00:00,302.55,302.55,301.75,302.45,996
2023-12-19 04:40:00+00:00,302.45,302.45,301.4,301.4,352
2023-12-19 04:45:00+00:00,301.4,302.0,301.4,302.0,20
2023-12-19 04:50:00+00:00,302.0,302.0,301.05,301.05,190
2023-12-19 04:55:00+00:00,301.05,301.85,301.05,301.85,302
2023-12-19 05:00:00+00:00,301.85,301.9,301.85,301.9,102
2023-12-19 05:05:00+00:00,301.9,301.9,301.65,301.65,107
2023-12-19 05:10:00+00:00,301.65,301.65,301.0,301.4,296
2023-12-19 05:15:00+00:00,301.4,301.4,300.95,300.95,1
2023-12-19 05:20:00+00:00,300.95,301.4,300.95,301.4,6
2023-12-19 05:25:00+00:00,301.4,301.4,300.0,300.0,1643
