,open,high,low,close,volume
2023-12-18 03:45:00+00:00,6140.0,6175.0,6093.0,6124.95,20453
2023-12-18 03:50:00+00:00,6129.95,6138.85,6103.75,6131.05,8084
2023-12-18 03:55:00+00:00,6131.05,6169.0,6131.05,6141.35,11970
2023-12-18 04:00:00+00:00,6140.65,6147.25,6101.0,6109.5,10769
2023-12-18 04:05:00+00:00,6110.0,6124.05,6103.0,6117.4,6709
2023-12-18 04:10:00+00:00,6113.7,6116.0,6098.25,6108.4,5071
2023-12-18 04:15:00+00:00,6108.4,6111.0,6074.05,6078.0,10365
2023-12-18 04:20:00+00:00,6078.0,6105.0,6076.9,6100.95,5738
2023-12-18 04:25:00+00:00,6100.0,6100.75,6085.0,6096.4,2919
2023-12-18 04:30:00+00:00,6096.4,6113.35,6096.4,6105.6,6157
2023-12-18 04:35:00+00:00,6102.7,6130.0,6100.0,6125.75,4246
2023-12-18 04:40:00+00:00,6125.75,6146.1,6125.75,6143.0,5222
2023-12-18 04:45:00+00:00,6144.0,6158.5,6143.05,6147.0,7237
2023-12-18 04:50:00+00:00,6147.0,6155.3,6137.0,6152.1,6083
2023-12-18 04:55:00+00:00,6152.1,6159.7,6150.0,6152.9,3324
2023-12-18 05:00:00+00:00,6157.75,6165.75,6150.15,6160.6,3756
2023-12-18 05:05:00+00:00,6162.15,6164.5,6151.55,6161.1,2219
2023-12-18 05:10:00+00:00,6161.1,6190.0,6158.0,6166.1,14509
2023-12-18 05:15:00+00:00,6166.1,6186.0,6160.0,6180.85,4854
2023-12-18 05:20:00+00:00,6181.0,6197.0,6176.05,6196.0,6343
2023-12-18 05:25:00+00:00,6196.0,6204.9,6195.0,6199.95,7701
2023-12-18 05:30:00+00:00,6199.95,6203.95,6180.0,6187.0,4040
2023-12-18 05:35:00+00:00,6187.0,6190.0,6176.8,6179.75,5733
2023-12-18 05:40:00+00:00,6179.75,6191.95,6179.6,6185.65,7632
2023-12-18 05:45:00+00:00,6185.65,6192.55,6182.25,6190.65,3429
2023-12-18 05:50:00+00:00,6190.65,6193.5,6180.0,6180.05,3332
2023-12-18 05:55:00+00:00,6181.0,6184.45,6180.0,6180.0,4932
2023-12-18 06:00:00+00:00,6180.0,6183.25,6178.25,6180.55,3638
2023-12-18 06:05:00+00:00,6180.55,6182.55,6155.4,6160.85,16766
2023-12-18 06:10:00+00:00,6160.85,6173.0,6152.95,6170.95,2921
2023-12-18 06:15:00+00:00,6170.95,6175.35,6165.3,6170.15,2485
2023-12-18 06:20:00+00:00,6170.15,6185.0,6168.05,6180.0,5289
2023-12-18 06:25:00+00:00,6180.0,6184.9,6172.0,6174.0,2907
2023-12-18 06:30:00+00:00,6172.0,6175.0,6170.0,6172.0,5625
2023-12-18 06:35:00+00:00,6172.0,6175.0,6165.85,6168.5,2669
2023-12-18 06:40:00+00:00,6165.05,6168.0,6161.0,6165.7,2408
2023-12-18 06:45:00+00:00,6166.9,6178.0,6164.0,6173.85,3622
2023-12-18 06:50:00+00:00,6173.85,6179.35,6167.55,6175.0,1976
2023-12-18 06:55:00+00:00,6175.0,6179.95,6165.3,6166.0,3190
2023-12-18 07:00:00+00:00,6166.0,6176.65,6165.85,6175.4,2369
2023-12-18 07:05:00+00:00,6175.4,6176.85,6165.5,6168.15,2447
2023-12-18 07:10:00+00:00,6170.7,6176.2,6165.55,6176.2,2471
2023-12-18 07:15:00+00:00,6176.2,6176.2,6160.0,6162.95,5070
2023-12-18 07:20:00+00:00,6162.1,6172.9,6162.0,6171.9,3348
2023-12-18 07:25:00+00:00,6171.9,6175.0,6164.4,6164.55,2529
2023-12-18 07:30:00+00:00,6164.55,6169.0,6163.0,6163.45,2012
2023-12-18 07:35:00+00:00,6164.0,6166.1,6156.05,6158.9,2925
2023-12-18 07:40:00+00:00,6158.9,6163.0,6142.4,6148.0,4524
2023-12-18 07:45:00+00:00,6149.8,6150.0,6143.85,6149.1,2976
2023-12-18 07:50:00+00:00,6150.0,6150.0,6135.2,6144.45,3073
2023-12-18 07:55:00+00:00,6146.4,6163.0,6143.85,6160.8,3668
2023-12-18 08:00:00+00:00,6160.8,6163.0,6155.65,6159.95,2666
2023-12-18 08:05:00+00:00,6157.95,6170.4,6155.05,6168.1,2150
2023-12-18 08:10:00+00:00,6168.1,6170.0,6161.1,6162.4,3859
2023-12-18 08:15:00+00:00,6162.4,6166.4,6160.0,6160.0,1844
2023-12-18 08:20:00+00:00,6160.0,6162.3,6151.3,6153.95,2934
2023-12-18 08:25:00+00:00,6153.95,6156.35,6145.05,6147.6,2249
2023-12-18 08:30:00+00:00,6147.6,6157.75,6145.05,6150.0,2468
2023-12-18 08:35:00+00:00,6148.0,6151.2,6128.0,6128.1,3992
2023-12-18 08:40:00+00:00,6129.9,6139.7,6118.5,6133.0,6446
2023-12-18 08:45:00+00:00,6133.0,6139.15,6130.25,6135.0,6959
2023-12-18 08:50:00+00:00,6135.0,6138.95,6129.4,6131.95,12867
2023-12-18 08:55:00+00:00,6131.95,6148.6,6131.95,6147.9,4284
2023-12-18 09:00:00+00:00,6147.9,6150.0,6137.65,6146.0,4134
2023-12-18 09:05:00+00:00,6146.0,6149.95,6141.0,6146.45,4068
2023-12-18 09:10:00+00:00,6146.45,6150.0,6135.55,6138.5,4444
2023-12-18 09:15:00+00:00,6138.45,6144.1,6132.0,6135.65,2535
2023-12-18 09:20:00+00:00,6135.65,6139.6,6129.5,6132.85,3147
2023-12-18 09:25:00+00:00,6130.2,6142.55,6130.15,6136.05,2196
2023-12-18 09:30:00+00:00,6136.0,6147.05,6136.0,6143.1,4076
2023-12-18 09:35:00+00:00,6143.1,6146.45,6138.0,6139.05,7704
2023-12-18 09:40:00+00:00,6139.05,6145.0,6136.3,6145.0,5970
2023-12-18 09:45:00+00:00,6144.95,6145.0,6128.05,6136.0,10271
2023-12-18 09:50:00+00:00,6133.0,6150.0,6130.0,6138.6,21564
2023-12-18 09:55:00+00:00,6138.65,6150.0,6115.0,6115.0,10584
2023-12-19 03:45:00+00:00,6169.0,6169.0,6091.0,6111.6,11167
2023-12-19 03:50:00+00:00,6111.6,6125.0,6108.0,6108.0,4694
2023-12-19 03:55:00+00:00,6108.0,6123.0,6105.6,6122.0,6676
2023-12-19 04:00:00+00:00,6122.95,6134.85,6115.0,6124.0,6689
2023-12-19 04:05:00+00:00,6124.0,6128.75,6113.0,6117.4,7062
2023-12-19 04:10:00+00:00,6120.65,6120.65,6091.05,6107.2,11249
2023-12-19 04:15:00+00:00,6109.0,6109.85,6086.1,6100.0,7030
2023-12-19 04:20:00+00:00,6100.0,6106.0,6076.0,6079.0,13478
2023-12-19 04:25:00+00:00,6077.8,6085.0,6068.0,6069.0,11536
2023-12-19 04:30:00+00:00,6071.75,6072.1,6049.0,6049.55,12032
2023-12-19 04:35:00+00:00,6051.9,6056.85,6032.9,6034.9,15593
2023-12-19 04:40:00+00:00,6034.9,6062.35,6034.9,6056.0,8654
2023-12-19 04:45:00+00:00,6058.8,6075.6,6056.2,6066.7,6371
2023-12-19 04:50:00+00:00,6066.7,6070.0,6062.0,6070.0,10604
2023-12-19 04:55:00+00:00,6070.0,6079.6,6065.95,6066.8,2740
2023-12-19 05:00:00+00:00,6066.8,6075.35,6054.65,6070.05,6537
2023-12-19 05:05:00+00:00,6072.45,6089.0,6070.55,6080.0,11132
2023-12-19 05:10:00+00:00,6082.0,6097.0,6080.0,6095.05,5971
2023-12-19 05:15:00+00:00,6095.0,6100.0,6084.3,6085.4,10307
2023-12-19 05:20:00+00:00,6085.05,6085.05,6075.6,6080.1,4065
2023-12-19 05:25:00+00:00,6080.1,6085.95,6077.4,6082.2,2099
2023-12-19 05:30:00+00:00,6082.2,6082.2,6062.0,6065.15,4936
2023-12-19 05:35:00+00:00,6062.8,6067.15,6052.6,6063.0,3295
2023-12-19 05:40:00+00:00,6063.25,6069.5,6058.2,6066.2,2734
2023-12-19 05:45:00+00:00,6066.2,6069.3,6058.0,6061.35,5447
2023-12-19 05:50:00+00:00,6061.35,6068.9,6056.15,6060.0,2115
2023-12-19 05:55:00+00:00,6060.0,6060.0,6051.0,6052.5,3117
2023-12-19 06:00:00+00:00,6052.1,6055.9,6050.5,6055.7,1407
2023-12-19 06:05:00+00:00,6055.0,6065.95,6055.0,6063.1,3505
