,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1265.0,1282.05,1262.4,1281.7,211011
2023-12-18 03:50:00+00:00,1281.7,1286.0,1277.8,1278.05,182268
2023-12-18 03:55:00+00:00,1279.0,1282.3,1274.75,1276.8,91090
2023-12-18 04:00:00+00:00,1276.15,1284.8,1276.15,1281.5,62459
2023-12-18 04:05:00+00:00,1281.8,1288.15,1281.55,1287.85,90329
2023-12-18 04:10:00+00:00,1286.9,1287.6,1282.15,1284.65,57960
2023-12-18 04:15:00+00:00,1283.65,1285.4,1282.5,1284.85,28522
2023-12-18 04:20:00+00:00,1284.85,1285.0,1280.65,1280.65,26437
2023-12-18 04:25:00+00:00,1280.65,1282.5,1275.25,1281.5,44865
2023-12-18 04:30:00+00:00,1281.5,1286.0,1281.5,1284.0,30601
2023-12-18 04:35:00+00:00,1284.0,1286.0,1281.45,1284.7,22842
2023-12-18 04:40:00+00:00,1284.15,1284.55,1281.5,1283.45,11168
2023-12-18 04:45:00+00:00,1282.65,1284.4,1281.0,1281.25,16607
2023-12-18 04:50:00+00:00,1281.25,1281.25,1278.0,1278.75,21164
2023-12-18 04:55:00+00:00,1278.8,1281.8,1276.9,1279.5,18767
2023-12-18 05:00:00+00:00,1279.5,1281.3,1279.3,1280.05,9737
2023-12-18 05:05:00+00:00,1280.05,1281.6,1278.75,1279.0,8149
2023-12-18 05:10:00+00:00,1279.0,1280.7,1278.8,1280.35,9507
2023-12-18 05:15:00+00:00,1280.35,1281.3,1279.15,1281.3,9684
2023-12-18 05:20:00+00:00,1281.3,1283.7,1281.25,1281.5,16315
2023-12-18 05:25:00+00:00,1281.5,1282.75,1280.5,1280.7,5923
2023-12-18 05:30:00+00:00,1280.75,1281.35,1279.05,1280.8,9514
2023-12-18 05:35:00+00:00,1280.8,1281.0,1279.95,1280.4,5857
2023-12-18 05:40:00+00:00,1279.85,1280.85,1278.0,1278.95,11457
2023-12-18 05:45:00+00:00,1278.95,1279.9,1272.05,1273.05,44526
2023-12-18 05:50:00+00:00,1273.05,1275.85,1270.0,1275.35,30619
2023-12-18 05:55:00+00:00,1275.35,1275.35,1270.4,1271.0,49153
2023-12-18 06:00:00+00:00,1271.0,1272.0,1268.5,1269.35,35775
2023-12-18 06:05:00+00:00,1269.35,1271.95,1268.8,1270.9,15621
2023-12-18 06:10:00+00:00,1270.9,1272.0,1270.25,1271.25,10680
2023-12-18 06:15:00+00:00,1271.25,1272.0,1270.7,1272.0,4492
2023-12-18 06:20:00+00:00,1272.0,1276.7,1271.9,1275.15,34112
