,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1320.05,1324.9,1312.05,1320.2,2772
2023-12-18 03:50:00+00:00,1320.2,1323.9,1315.8,1320.55,2838
2023-12-18 03:55:00+00:00,1323.3,1326.55,1322.3,1325.55,2052
2023-12-18 04:00:00+00:00,1325.55,1326.3,1322.55,1323.2,851
2023-12-18 04:05:00+00:00,1322.3,1326.5,1322.0,1324.45,1611
2023-12-18 04:10:00+00:00,1324.45,1324.45,1321.55,1322.55,504
2023-12-18 04:15:00+00:00,1322.55,1325.25,1321.6,1324.0,392
2023-12-18 04:20:00+00:00,1324.0,1324.95,1321.05,1324.75,1388
2023-12-18 04:25:00+00:00,1324.75,1329.9,1324.4,1329.9,1273
2023-12-18 04:30:00+00:00,1329.9,1335.95,1328.55,1334.9,3523
2023-12-18 04:35:00+00:00,1334.9,1337.0,1334.0,1336.9,642
2023-12-18 04:40:00+00:00,1336.9,1337.0,1333.4,1334.8,443
2023-12-18 04:45:00+00:00,1333.7,1334.8,1332.0,1332.0,374
2023-12-18 04:50:00+00:00,1332.0,1333.0,1330.05,1331.7,867
2023-12-18 04:55:00+00:00,1331.7,1332.45,1330.0,1332.45,225
2023-12-18 05:00:00+00:00,1332.45,1334.35,1331.25,1331.55,513
2023-12-18 05:05:00+00:00,1331.55,1333.0,1330.1,1332.1,811
2023-12-18 05:10:00+00:00,1332.1,1332.5,1330.8,1332.25,285
2023-12-18 05:15:00+00:00,1332.25,1332.5,1330.05,1331.75,1815
2023-12-18 05:20:00+00:00,1331.75,1332.0,1330.05,1330.2,241
2023-12-18 05:25:00+00:00,1331.8,1331.8,1329.95,1331.1,254
2023-12-18 05:30:00+00:00,1331.1,1333.0,1331.1,1332.9,244
2023-12-18 05:35:00+00:00,1332.9,1333.45,1332.85,1333.45,92
2023-12-18 05:40:00+00:00,1332.0,1336.0,1332.0,1335.4,742
2023-12-18 05:45:00+00:00,1335.4,1338.95,1334.5,1337.45,1932
2023-12-18 05:50:00+00:00,1337.45,1338.7,1333.6,1335.9,1739
2023-12-18 05:55:00+00:00,1335.9,1336.45,1334.9,1336.45,301
2023-12-18 06:00:00+00:00,1336.45,1337.35,1335.95,1337.05,249
2023-12-18 06:05:00+00:00,1337.0,1337.0,1334.05,1335.8,296
