,open,high,low,close,volume
2023-12-18 03:45:00+00:00,282.95,283.4,280.55,281.0,46123
2023-12-18 03:50:00+00:00,281.15,285.45,280.55,285.1,61474
2023-12-18 03:55:00+00:00,285.4,285.9,284.5,284.9,38701
2023-12-18 04:00:00+00:00,285.0,285.35,283.55,284.3,19275
2023-12-18 04:05:00+00:00,284.3,284.8,284.0,284.5,16539
2023-12-18 04:10:00+00:00,284.5,284.95,284.0,284.95,8972
2023-12-18 04:15:00+00:00,285.4,286.5,285.4,285.8,73183
2023-12-18 04:20:00+00:00,285.8,285.9,285.1,285.5,17782
2023-12-18 04:25:00+00:00,285.5,285.7,284.75,285.2,27942
2023-12-18 04:30:00+00:00,285.3,286.2,285.3,285.6,20134
2023-12-18 04:35:00+00:00,285.6,286.0,285.2,285.3,8779
2023-12-18 04:40:00+00:00,285.3,286.0,285.0,285.4,12995
2023-12-18 04:45:00+00:00,285.4,289.1,285.25,287.4,179096
2023-12-18 04:50:00+00:00,287.4,288.5,286.45,288.5,37796
2023-12-18 04:55:00+00:00,288.5,288.6,287.15,287.85,56260
2023-12-18 05:00:00+00:00,287.85,291.25,287.85,290.5,220630
2023-12-18 05:05:00+00:00,290.55,291.25,289.35,289.8,131405
2023-12-18 05:10:00+00:00,289.8,291.95,289.5,291.35,131313
2023-12-18 05:15:00+00:00,291.35,291.7,290.4,291.25,92531
2023-12-18 05:20:00+00:00,291.1,291.25,289.85,290.35,47153
2023-12-18 05:25:00+00:00,290.6,290.6,289.4,289.4,37895
2023-12-18 05:30:00+00:00,289.5,289.8,289.05,289.35,27654
2023-12-18 05:35:00+00:00,289.35,289.5,288.65,289.25,39900
2023-12-18 05:40:00+00:00,289.25,289.45,288.85,289.15,21873
2023-12-18 05:45:00+00:00,289.15,291.0,288.6,290.6,138249
2023-12-18 05:50:00+00:00,290.6,290.6,289.4,289.4,48744
2023-12-18 05:55:00+00:00,289.4,289.65,288.8,289.5,11009
2023-12-18 06:00:00+00:00,289.5,290.0,289.45,289.7,14321
2023-12-18 06:05:00+00:00,289.7,290.0,288.9,289.15,9535
2023-12-18 06:10:00+00:00,288.9,289.85,288.9,289.25,15607
2023-12-18 06:15:00+00:00,289.25,289.85,289.15,289.85,16671
2023-12-18 06:20:00+00:00,289.85,292.3,289.85,291.2,134962
2023-12-18 06:25:00+00:00,291.2,292.0,290.7,291.3,63847
2023-12-18 06:30:00+00:00,291.3,291.35,290.8,291.1,17013
2023-12-18 06:35:00+00:00,291.1,291.4,290.4,290.55,24676
2023-12-18 06:40:00+00:00,290.7,291.15,290.5,290.6,17730
2023-12-18 06:45:00+00:00,290.6,290.95,290.2,290.45,18721
2023-12-18 06:50:00+00:00,290.45,290.65,290.05,290.2,9119
2023-12-18 06:55:00+00:00,290.05,290.5,289.55,289.85,15438
2023-12-18 07:00:00+00:00,289.85,289.95,289.45,289.8,13987
2023-12-18 07:05:00+00:00,289.8,290.5,289.65,289.85,9489
2023-12-18 07:10:00+00:00,289.85,290.35,289.65,290.3,7131
2023-12-18 07:15:00+00:00,290.3,290.3,289.6,289.9,18061
2023-12-18 07:20:00+00:00,289.9,289.95,289.3,289.3,6505
