,open,high,low,close,volume
2023-12-18 03:45:00+00:00,933.05,936.0,924.9,930.25,7873
2023-12-18 03:50:00+00:00,931.1,935.0,926.25,933.9,4757
2023-12-18 03:55:00+00:00,933.9,935.0,932.65,934.7,1534
2023-12-18 04:00:00+00:00,934.7,942.25,934.15,940.1,6593
2023-12-18 04:05:00+00:00,940.1,940.1,934.8,935.2,1617
2023-12-18 04:10:00+00:00,935.2,936.0,929.5,935.9,2823
2023-12-18 04:15:00+00:00,935.9,951.1,935.15,951.1,10750
2023-12-18 04:20:00+00:00,952.0,954.0,946.2,947.9,5905
2023-12-18 04:25:00+00:00,947.9,947.9,939.2,939.25,1536
2023-12-18 04:30:00+00:00,940.15,948.55,940.05,945.35,1615
2023-12-18 04:35:00+00:00,945.35,947.6,943.45,946.1,1344
2023-12-18 04:40:00+00:00,945.35,947.35,945.35,946.05,1645
2023-12-18 04:45:00+00:00,946.05,947.5,940.5,941.2,1576
2023-12-18 04:50:00+00:00,941.2,945.35,940.5,944.3,1140
2023-12-18 04:55:00+00:00,944.3,945.0,943.55,944.35,408
2023-12-18 05:00:00+00:00,944.35,945.0,944.0,944.25,1633
2023-12-18 05:05:00+00:00,944.25,944.7,940.85,943.75,1583
2023-12-18 05:10:00+00:00,943.75,944.7,943.1,943.9,357
2023-12-18 05:15:00+00:00,943.9,944.95,942.3,943.4,617
2023-12-18 05:20:00+00:00,943.4,944.95,942.0,943.35,440
2023-12-18 05:25:00+00:00,943.35,943.45,942.0,943.15,365
2023-12-18 05:30:00+00:00,943.15,944.35,943.05,943.65,294
2023-12-18 05:35:00+00:00,943.65,944.9,942.0,943.65,453
2023-12-18 05:40:00+00:00,943.65,945.0,943.65,944.5,156
2023-12-18 05:45:00+00:00,944.5,946.1,944.5,945.9,576
2023-12-18 05:50:00+00:00,945.15,946.0,944.95,945.45,490
2023-12-18 05:55:00+00:00,945.45,949.95,945.45,948.7,1730
2023-12-18 06:00:00+00:00,948.7,949.9,942.8,942.95,2345
2023-12-18 06:05:00+00:00,942.95,944.7,942.95,944.1,223
2023-12-18 06:10:00+00:00,944.45,944.45,943.0,943.75,593
2023-12-18 06:15:00+00:00,943.75,944.95,942.0,942.0,1114
2023-12-18 06:20:00+00:00,942.0,944.45,942.0,943.15,1033
2023-12-18 06:25:00+00:00,943.15,945.0,943.15,944.45,244
2023-12-18 06:30:00+00:00,944.45,945.0,943.5,943.5,543
2023-12-18 06:35:00+00:00,943.5,944.5,943.35,944.0,131
2023-12-18 06:40:00+00:00,944.5,945.0,942.75,943.0,807
2023-12-18 06:45:00+00:00,943.0,944.1,942.8,943.05,276
2023-12-18 06:50:00+00:00,943.05,945.0,943.05,944.9,294
2023-12-18 06:55:00+00:00,945.0,945.0,943.6,943.6,262
2023-12-18 07:00:00+00:00,943.6,944.0,942.9,943.0,1355
2023-12-18 07:05:00+00:00,943.0,944.7,943.0,944.15,305
2023-12-18 07:10:00+00:00,944.15,944.7,942.9,943.85,355
2023-12-18 07:15:00+00:00,943.85,944.0,943.0,943.95,449
2023-12-18 07:20:00+00:00,943.95,944.0,943.0,943.95,654
2023-12-18 07:25:00+00:00,943.95,944.0,943.1,943.95,193
2023-12-18 07:30:00+00:00,943.95,943.95,939.6,940.9,1712
2023-12-18 07:35:00+00:00,940.9,941.9,937.05,940.05,2467
2023-12-18 07:40:00+00:00,940.05,941.15,940.0,940.55,228
2023-12-18 07:45:00+00:00,940.55,941.95,939.05,939.75,432
2023-12-18 07:50:00+00:00,939.75,941.4,939.0,939.55,514
2023-12-18 07:55:00+00:00,939.55,940.4,938.0,938.0,1271
2023-12-18 08:00:00+00:00,938.0,938.85,935.0,937.65,1344
2023-12-18 08:05:00+00:00,938.3,939.0,937.35,937.55,1098
2023-12-18 08:10:00+00:00,937.55,937.75,936.0,936.15,810
2023-12-18 08:15:00+00:00,936.15,937.3,934.0,934.7,601
2023-12-18 08:20:00+00:00,934.7,936.1,933.45,934.7,774
2023-12-18 08:25:00+00:00,934.7,934.7,930.1,932.4,2311
2023-12-18 08:30:00+00:00,932.4,936.05,931.45,936.0,984
2023-12-18 08:35:00+00:00,936.0,936.0,932.3,934.95,701
2023-12-18 08:40:00+00:00,934.95,936.0,931.0,932.2,5840
2023-12-18 08:45:00+00:00,932.25,932.25,930.3,931.05,1364
2023-12-18 08:50:00+00:00,931.05,931.05,923.15,925.4,6473
2023-12-18 08:55:00+00:00,925.4,930.2,925.4,930.1,2919
2023-12-18 09:00:00+00:00,930.1,930.1,923.2,925.15,3590
2023-12-18 09:05:00+00:00,925.15,925.2,918.0,920.05,3207
2023-12-18 09:10:00+00:00,920.1,921.0,918.45,918.55,4034
2023-12-18 09:15:00+00:00,918.55,920.5,913.7,917.2,7851
2023-12-18 09:20:00+00:00,917.2,918.0,916.2,918.0,7179
2023-12-18 09:25:00+00:00,918.0,918.0,917.0,918.0,5921
2023-12-18 09:30:00+00:00,918.0,918.0,917.2,917.95,6956
2023-12-18 09:35:00+00:00,918.0,918.0,917.55,918.0,6794
2023-12-18 09:40:00+00:00,918.0,918.0,916.55,916.75,9787
2023-12-18 09:45:00+00:00,916.75,917.0,914.0,916.85,12942
2023-12-18 09:50:00+00:00,916.85,916.85,912.6,913.1,24267
2023-12-18 09:55:00+00:00,913.1,920.0,913.0,920.0,11957
2023-12-19 03:45:00+00:00,922.3,930.0,921.0,924.25,2770
2023-12-19 03:50:00+00:00,924.25,924.75,922.35,924.75,1111
2023-12-19 03:55:00+00:00,924.75,929.7,923.6,928.8,1836
2023-12-19 04:00:00+00:00,928.8,930.0,928.8,929.95,916
2023-12-19 04:05:00+00:00,929.95,930.95,929.05,930.2,1840
2023-12-19 04:10:00+00:00,930.2,932.0,928.05,931.35,4268
2023-12-19 04:15:00+00:00,931.35,931.35,925.0,927.4,4472
2023-12-19 04:20:00+00:00,928.6,929.95,927.6,929.0,359
