,open,high,low,close,volume
2023-12-18 03:45:00+00:00,378.0,383.25,378.0,382.4,540
2023-12-18 03:50:00+00:00,382.4,382.4,379.5,381.0,375
2023-12-18 03:55:00+00:00,381.0,381.0,376.8,380.7,3185
2023-12-18 04:00:00+00:00,380.7,381.55,378.75,381.55,160
2023-12-18 04:05:00+00:00,381.55,381.55,378.05,380.6,275
2023-12-18 04:10:00+00:00,380.5,381.5,380.5,381.5,55
2023-12-18 04:15:00+00:00,381.5,381.5,380.85,381.1,30
2023-12-18 04:20:00+00:00,381.1,381.25,381.1,381.1,170
2023-12-18 04:25:00+00:00,381.1,381.1,380.0,380.0,395
2023-12-18 04:30:00+00:00,380.0,383.5,379.75,381.35,790
2023-12-18 04:35:00+00:00,381.35,381.35,376.5,376.5,420
2023-12-18 04:40:00+00:00,376.5,380.5,376.5,380.4,85
2023-12-18 04:45:00+00:00,380.4,381.35,378.5,378.5,665
2023-12-18 04:50:00+00:00,378.5,380.5,378.5,380.5,100
2023-12-18 04:55:00+00:00,380.5,381.35,379.8,379.8,3180
2023-12-18 05:00:00+00:00,379.8,380.0,379.75,379.75,140
2023-12-18 05:05:00+00:00,379.75,379.75,379.75,379.75,0
2023-12-18 05:10:00+00:00,379.75,380.0,379.75,380.0,255
2023-12-18 05:15:00+00:00,380.0,380.0,380.0,380.0,0
2023-12-18 05:20:00+00:00,380.0,380.0,379.9,379.9,5
2023-12-18 05:25:00+00:00,379.9,379.9,379.9,379.9,0
2023-12-18 05:30:00+00:00,379.9,379.9,378.5,379.85,335
2023-12-18 05:35:00+00:00,379.85,379.85,379.1,379.1,0
2023-12-18 05:40:00+00:00,379.1,379.1,379.1,379.1,0
2023-12-18 05:45:00+00:00,379.1,380.0,379.1,380.0,55
2023-12-18 05:50:00+00:00,380.0,380.0,379.95,379.95,70
2023-12-18 05:55:00+00:00,379.95,379.95,379.95,379.95,0
2023-12-18 06:00:00+00:00,379.95,379.95,379.95,379.95,0
2023-12-18 06:05:00+00:00,379.95,380.0,379.95,380.0,235
2023-12-18 06:10:00+00:00,380.0,380.0,380.0,380.0,0
2023-12-18 06:15:00+00:00,380.0,380.0,379.45,379.45,10
2023-12-18 06:20:00+00:00,379.45,380.0,379.4,380.0,195
2023-12-18 06:25:00+00:00,380.0,380.0,379.0,379.0,960
2023-12-18 06:30:00+00:00,379.0,379.0,379.0,379.0,20
2023-12-18 06:35:00+00:00,379.0,380.0,379.0,379.6,660
2023-12-18 06:40:00+00:00,379.6,379.6,379.6,379.6,0
2023-12-18 06:45:00+00:00,379.6,379.6,379.6,379.6,100
2023-12-18 06:50:00+00:00,379.6,379.6,379.6,379.6,60
2023-12-18 06:55:00+00:00,379.6,379.6,379.6,379.6,45
2023-12-18 07:00:00+00:00,379.6,380.0,379.6,380.0,510
2023-12-18 07:05:00+00:00,380.0,380.0,380.0,380.0,0
