,open,high,low,close,volume
2023-12-18 03:45:00+00:00,302.4,310.2,300.15,301.5,3836
2023-12-18 03:50:00+00:00,301.5,303.7,301.25,303.4,1427
2023-12-18 03:55:00+00:00,303.4,304.6,303.4,304.2,1521
2023-12-18 04:00:00+00:00,304.2,305.35,304.2,305.35,1396
2023-12-18 04:05:00+00:00,305.35,306.0,304.5,304.65,2344
2023-12-18 04:10:00+00:00,304.65,304.65,302.3,304.2,9353
2023-12-18 04:15:00+00:00,304.35,305.65,304.0,305.55,1770
2023-12-18 04:20:00+00:00,305.55,307.8,305.25,307.5,28509
2023-12-18 04:25:00+00:00,307.5,307.9,307.15,307.5,361
2023-12-18 04:30:00+00:00,307.5,307.6,307.0,307.4,2597
2023-12-18 04:35:00+00:00,307.4,308.5,307.2,308.0,3519
2023-12-18 04:40:00+00:00,308.0,309.8,307.7,309.8,28707
2023-12-18 04:45:00+00:00,309.8,309.8,308.65,308.65,1076
2023-12-18 04:50:00+00:00,308.65,314.2,308.65,312.85,8436
2023-12-18 04:55:00+00:00,312.85,314.5,312.85,314.3,3916
2023-12-18 05:00:00+00:00,314.3,318.0,313.45,316.7,16168
2023-12-18 05:05:00+00:00,316.7,319.45,316.5,318.05,16163
2023-12-18 05:10:00+00:00,318.05,319.9,318.05,319.75,8059
2023-12-18 05:15:00+00:00,319.9,326.35,319.75,322.25,38827
2023-12-18 05:20:00+00:00,322.25,325.15,322.25,323.15,24838
2023-12-18 05:25:00+00:00,323.15,324.0,322.0,322.5,6086
2023-12-18 05:30:00+00:00,322.5,323.25,320.55,321.1,12939
2023-12-18 05:35:00+00:00,321.1,321.5,320.35,320.35,3387
2023-12-18 05:40:00+00:00,320.75,320.75,317.9,317.9,5012
2023-12-18 05:45:00+00:00,317.9,317.9,315.4,315.4,8136
2023-12-18 05:50:00+00:00,315.4,317.1,315.4,317.05,4295
2023-12-18 05:55:00+00:00,317.05,317.8,316.1,317.25,982
2023-12-18 06:00:00+00:00,317.25,317.35,314.0,314.15,4098
2023-12-18 06:05:00+00:00,314.15,315.65,311.9,313.45,4846
2023-12-18 06:10:00+00:00,313.45,314.9,313.0,313.8,1034
2023-12-18 06:15:00+00:00,313.8,314.7,311.0,313.95,10931
2023-12-18 06:20:00+00:00,313.95,315.05,313.95,314.3,501
2023-12-18 06:25:00+00:00,314.3,315.65,314.3,315.6,1015
2023-12-18 06:30:00+00:00,315.6,318.7,315.6,318.05,9391
2023-12-18 06:35:00+00:00,318.05,319.4,318.05,319.4,1875
2023-12-18 06:40:00+00:00,319.4,319.6,318.65,319.5,968
2023-12-18 06:45:00+00:00,319.5,321.4,319.3,320.75,4581
2023-12-18 06:50:00+00:00,320.5,320.5,318.0,318.0,4376
2023-12-18 06:55:00+00:00,318.0,320.0,318.0,319.35,2712
2023-12-18 07:00:00+00:00,319.35,319.5,317.9,317.95,1323
2023-12-18 07:05:00+00:00,317.95,317.95,317.2,317.95,323
2023-12-18 07:10:00+00:00,317.95,320.65,317.95,320.55,2537
2023-12-18 07:15:00+00:00,320.55,320.75,320.15,320.4,555
2023-12-18 07:20:00+00:00,320.4,322.2,320.4,321.5,4489
2023-12-18 07:25:00+00:00,321.5,322.4,321.5,322.1,1683
2023-12-18 07:30:00+00:00,322.1,322.65,321.5,321.75,3550
2023-12-18 07:35:00+00:00,321.75,323.55,321.45,323.2,3524
2023-12-18 07:40:00+00:00,323.0,323.55,323.0,323.2,2239
2023-12-18 07:45:00+00:00,323.2,323.75,321.65,322.25,4411
2023-12-18 07:50:00+00:00,322.25,322.25,321.0,321.5,2182
2023-12-18 07:55:00+00:00,321.5,321.6,321.0,321.5,2303
2023-12-18 08:00:00+00:00,321.5,321.6,321.15,321.15,221
2023-12-18 08:05:00+00:00,321.15,323.9,321.0,323.05,9743
2023-12-18 08:10:00+00:00,323.05,323.35,322.05,323.0,9953
2023-12-18 08:15:00+00:00,323.0,323.0,322.15,322.5,4321
2023-12-18 08:20:00+00:00,322.5,322.6,321.95,322.5,1037
2023-12-18 08:25:00+00:00,322.5,322.5,321.95,322.25,79
2023-12-18 08:30:00+00:00,322.25,323.25,322.25,322.4,1444
2023-12-18 08:35:00+00:00,322.4,323.95,322.4,323.55,6693
2023-12-18 08:40:00+00:00,323.55,323.95,323.55,323.65,282
2023-12-18 08:45:00+00:00,323.65,323.8,323.65,323.8,123
2023-12-18 08:50:00+00:00,323.8,323.8,323.1,323.45,131
2023-12-18 08:55:00+00:00,323.45,323.7,322.85,323.5,637
2023-12-18 09:00:00+00:00,323.5,323.9,322.05,323.5,1637
2023-12-18 09:05:00+00:00,323.5,323.85,323.25,323.8,985
2023-12-18 09:10:00+00:00,323.8,324.45,323.25,324.45,7865
2023-12-18 09:15:00+00:00,324.45,324.7,324.35,324.35,328
2023-12-18 09:20:00+00:00,324.35,324.35,322.0,323.2,3223
2023-12-18 09:25:00+00:00,323.2,323.25,322.35,323.25,2914
2023-12-18 09:30:00+00:00,323.25,323.8,323.25,323.8,253
2023-12-18 09:35:00+00:00,323.8,323.8,322.8,323.0,1704
2023-12-18 09:40:00+00:00,323.0,323.15,318.9,320.0,3712
2023-12-18 09:45:00+00:00,320.0,322.45,319.25,321.25,11200
