,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1320.0,1330.45,1320.0,1322.15,79
2023-12-18 03:50:00+00:00,1322.15,1326.1,1320.65,1324.9,141
2023-12-18 03:55:00+00:00,1324.9,1326.1,1320.0,1320.05,181
2023-12-18 04:00:00+00:00,1320.05,1320.35,1316.15,1319.0,131
2023-12-18 04:05:00+00:00,1319.0,1319.9,1317.55,1317.55,35
2023-12-18 04:10:00+00:00,1317.55,1319.1,1316.2,1319.0,42
2023-12-18 04:15:00+00:00,1319.0,1319.0,1312.55,1312.55,138
2023-12-18 04:20:00+00:00,1312.55,1312.55,1309.9,1312.3,183
2023-12-18 04:25:00+00:00,1312.3,1312.3,1312.0,1312.25,16
2023-12-18 04:30:00+00:00,1312.25,1312.3,1310.0,1310.0,9
2023-12-18 04:35:00+00:00,1310.0,1310.65,1307.55,1310.4,17
2023-12-18 04:40:00+00:00,1310.4,1310.45,1310.4,1310.45,10
2023-12-18 04:45:00+00:00,1310.45,1310.45,1310.0,1310.0,22
2023-12-18 04:50:00+00:00,1310.0,1310.0,1310.0,1310.0,25
2023-12-18 04:55:00+00:00,1310.0,1310.0,1310.0,1310.0,0
2023-12-18 05:00:00+00:00,1310.75,1311.55,1310.75,1311.55,31
2023-12-18 05:05:00+00:00,1311.55,1311.55,1307.0,1308.35,51
2023-12-18 05:10:00+00:00,1308.35,1308.8,1308.35,1308.8,7
2023-12-18 05:15:00+00:00,1308.8,1312.3,1308.1,1312.3,264
2023-12-18 05:20:00+00:00,1312.3,1313.25,1312.3,1313.25,11
2023-12-18 05:25:00+00:00,1313.25,1317.35,1313.25,1313.5,80
2023-12-18 05:30:00+00:00,1313.5,1313.95,1311.0,1312.3,285
2023-12-18 05:35:00+00:00,1312.3,1315.45,1312.3,1315.45,485
2023-12-18 05:40:00+00:00,1316.0,1319.0,1306.55,1314.6,642
2023-12-18 05:45:00+00:00,1314.6,1318.15,1310.35,1318.15,113
2023-12-18 05:50:00+00:00,1318.15,1318.15,1314.9,1314.9,2
2023-12-18 05:55:00+00:00,1314.9,1314.9,1314.9,1314.9,5
2023-12-18 06:00:00+00:00,1314.9,1315.55,1314.9,1314.9,21
2023-12-18 06:05:00+00:00,1314.9,1314.9,1314.9,1314.9,0
2023-12-18 06:10:00+00:00,1314.9,1314.9,1311.05,1311.05,54
2023-12-18 06:15:00+00:00,1311.05,1311.05,1309.7,1309.7,10
2023-12-18 06:20:00+00:00,1309.7,1309.7,1300.0,1300.8,651
2023-12-18 06:25:00+00:00,1300.8,1310.95,1300.8,1310.85,11
2023-12-18 06:30:00+00:00,1310.85,1310.85,1301.0,1301.0,4
2023-12-18 06:35:00+00:00,1301.0,1306.25,1301.0,1306.25,57
2023-12-18 06:40:00+00:00,1306.25,1306.45,1305.3,1306.45,4
2023-12-18 06:45:00+00:00,1306.45,1306.45,1306.45,1306.45,0
2023-12-18 06:50:00+00:00,1306.45,1306.45,1304.1,1304.1,15
2023-12-18 06:55:00+00:00,1304.1,1307.9,1304.1,1307.9,30
2023-12-18 07:00:00+00:00,1307.9,1307.9,1307.9,1307.9,0
2023-12-18 07:05:00+00:00,1307.9,1310.55,1307.9,1310.55,115
2023-12-18 07:10:00+00:00,1310.55,1326.1,1310.0,1326.0,1659
2023-12-18 07:15:00+00:00,1326.0,1326.0,1321.55,1321.55,120
2023-12-18 07:20:00+00:00,1321.55,1321.55,1318.75,1319.55,40
2023-12-18 07:25:00+00:00,1319.55,1321.45,1317.45,1321.45,62
2023-12-18 07:30:00+00:00,1321.45,1321.45,1321.45,1321.45,0
2023-12-18 07:35:00+00:00,1321.45,1321.45,1315.75,1315.75,75
2023-12-18 07:40:00+00:00,1315.75,1321.05,1315.75,1321.05,6
2023-12-18 07:45:00+00:00,1321.05,1321.05,1316.95,1316.95,25
2023-12-18 07:50:00+00:00,1315.65,1315.65,1311.05,1315.0,393
2023-12-18 07:55:00+00:00,1315.0,1315.0,1315.0,1315.0,51
2023-12-18 08:00:00+00:00,1315.35,1315.35,1310.3,1314.75,197
2023-12-18 08:05:00+00:00,1314.75,1314.75,1307.05,1307.45,202
2023-12-18 08:10:00+00:00,1307.45,1309.65,1307.45,1309.0,51
2023-12-18 08:15:00+00:00,1309.0,1315.7,1309.0,1311.6,46
2023-12-18 08:20:00+00:00,1311.6,1311.6,1311.6,1311.6,0
2023-12-18 08:25:00+00:00,1311.6,1311.6,1311.6,1311.6,0
2023-12-18 08:30:00+00:00,1311.6,1312.1,1311.6,1311.6,6
2023-12-18 08:35:00+00:00,1311.6,1311.6,1311.6,1311.6,17
2023-12-18 08:40:00+00:00,1311.6,1311.6,1311.6,1311.6,0
2023-12-18 08:45:00+00:00,1311.6,1311.6,1311.6,1311.6,10
2023-12-18 08:50:00+00:00,1311.6,1311.6,1311.6,1311.6,0
2023-12-18 08:55:00+00:00,1311.6,1311.6,1311.6,1311.6,0
2023-12-18 09:00:00+00:00,1311.6,1311.6,1311.0,1311.0,547
2023-12-18 09:05:00+00:00,1311.0,1312.45,1311.0,1312.45,2
2023-12-18 09:10:00+00:00,1312.45,1312.45,1311.0,1311.0,4
2023-12-18 09:15:00+00:00,1311.0,1313.0,1311.0,1313.0,48
2023-12-18 09:20:00+00:00,1313.0,1315.7,1313.0,1315.7,247
2023-12-18 09:25:00+00:00,1315.7,1317.0,1315.7,1317.0,47
2023-12-18 09:30:00+00:00,1317.0,1317.0,1317.0,1317.0,0
2023-12-18 09:35:00+00:00,1317.0,1317.6,1315.05,1317.6,140
2023-12-18 09:40:00+00:00,1317.6,1319.7,1316.75,1316.75,55
2023-12-18 09:45:00+00:00,1316.75,1316.75,1315.0,1315.0,58
2023-12-18 09:50:00+00:00,1315.0,1316.3,1315.0,1315.05,215
2023-12-18 09:55:00+00:00,1315.05,1319.0,1315.0,1315.0,2614
2023-12-19 03:45:00+00:00,1301.45,1324.0,1301.45,1309.55,154
2023-12-19 03:50:00+00:00,1309.55,1316.45,1309.55,1316.45,147
2023-12-19 03:55:00+00:00,1316.45,1316.45,1308.05,1309.5,46
2023-12-19 04:00:00+00:00,1309.5,1315.0,1309.5,1312.65,134
2023-12-19 04:05:00+00:00,1312.65,1315.5,1312.6,1315.5,65
2023-12-19 04:10:00+00:00,1315.5,1315.5,1312.0,1312.0,50
2023-12-19 04:15:00+00:00,1312.0,1313.6,1312.0,1313.45,12
2023-12-19 04:20:00+00:00,1313.45,1313.45,1310.0,1310.0,102
2023-12-19 04:25:00+00:00,1310.0,1310.05,1310.0,1310.0,18
2023-12-19 04:30:00+00:00,1310.0,1310.0,1310.0,1310.0,0
2023-12-19 04:35:00+00:00,1310.0,1310.05,1308.1,1308.1,20
2023-12-19 04:40:00+00:00,1308.1,1308.1,1308.0,1308.0,63
2023-12-19 04:45:00+00:00,1306.6,1308.0,1306.6,1308.0,143
2023-12-19 04:50:00+00:00,1308.0,1308.0,1300.0,1300.0,235
2023-12-19 04:55:00+00:00,1300.0,1304.35,1300.0,1304.35,129
2023-12-19 05:00:00+00:00,1304.35,1304.35,1303.5,1303.5,19
2023-12-19 05:05:00+00:00,1305.0,1309.75,1300.0,1303.3,459
2023-12-19 05:10:00+00:00,1303.3,1303.3,1302.65,1303.0,36
2023-12-19 05:15:00+00:00,1303.0,1303.0,1303.0,1303.0,10
2023-12-19 05:20:00+00:00,1302.9,1302.9,1300.0,1300.0,85
2023-12-19 05:25:00+00:00,1303.0,1303.0,1303.0,1303.0,100
2023-12-19 05:30:00+00:00,1303.0,1303.0,1303.0,1303.0,0
2023-12-19 05:35:00+00:00,1303.0,1303.0,1303.0,1303.0,0
2023-12-19 05:40:00+00:00,1303.0,1303.0,1303.0,1303.0,0
2023-12-19 05:45:00+00:00,1303.0,1303.0,1300.0,1300.0,10
2023-12-19 05:50:00+00:00,1300.0,1301.3,1300.0,1301.3,8
2023-12-19 05:55:00+00:00,1301.3,1301.3,1301.3,1301.3,0
2023-12-19 06:00:00+00:00,1301.3,1302.9,1300.0,1300.0,85
2023-12-19 06:05:00+00:00,1300.0,1300.0,1300.0,1300.0,0
2023-12-19 06:10:00+00:00,1300.0,1302.9,1300.0,1302.9,3
2023-12-19 06:15:00+00:00,1302.9,1303.0,1302.65,1303.0,236
2023-12-19 06:20:00+00:00,1303.0,1303.0,1303.0,1303.0,0
2023-12-19 06:25:00+00:00,1303.0,1313.1,1303.0,1308.05,49
2023-12-19 06:30:00+00:00,1308.05,1308.05,1302.25,1303.8,67
2023-12-19 06:35:00+00:00,1303.8,1305.3,1303.8,1305.3,1
2023-12-19 06:40:00+00:00,1305.3,1305.3,1305.3,1305.3,0
2023-12-19 06:45:00+00:00,1305.3,1305.3,1305.3,1305.3,0
2023-12-19 06:50:00+00:00,1305.3,1308.65,1305.3,1308.15,305
2023-12-19 06:55:00+00:00,1308.15,1308.35,1306.1,1308.35,70
2023-12-19 07:00:00+00:00,1308.35,1308.35,1307.5,1307.5,5
2023-12-19 07:05:00+00:00,1307.5,1307.5,1306.3,1306.3,27
2023-12-19 07:10:00+00:00,1306.3,1308.95,1306.3,1308.95,1
2023-12-19 07:15:00+00:00,1308.95,1308.95,1308.95,1308.95,0
2023-12-19 07:20:00+00:00,1308.8,1308.8,1308.8,1308.8,69
2023-12-19 07:25:00+00:00,1308.8,1308.8,1306.1,1306.1,300
2023-12-19 07:30:00+00:00,1306.1,1306.1,1298.9,1299.85,1028
2023-12-19 07:35:00+00:00,1299.85,1312.0,1299.85,1308.1,349
2023-12-19 07:40:00+00:00,1308.1,1308.1,1299.85,1301.05,152
2023-12-19 07:45:00+00:00,1300.0,1301.05,1298.3,1301.0,324
2023-12-19 07:50:00+00:00,1301.0,1301.0,1301.0,1301.0,0
2023-12-19 07:55:00+00:00,1301.0,1310.0,1301.0,1307.35,362
2023-12-19 08:00:00+00:00,1307.35,1309.95,1305.3,1305.3,108
2023-12-19 08:05:00+00:00,1305.3,1305.3,1303.55,1303.55,150
2023-12-19 08:10:00+00:00,1303.55,1303.55,1298.05,1298.05,397
2023-12-19 08:15:00+00:00,1298.05,1301.8,1298.05,1301.8,68
2023-12-19 08:20:00+00:00,1301.8,1301.8,1301.8,1301.8,0
2023-12-19 08:25:00+00:00,1301.8,1302.75,1300.25,1302.75,9
2023-12-19 08:30:00+00:00,1302.75,1304.95,1301.85,1301.85,15
2023-12-19 08:35:00+00:00,1301.85,1305.0,1301.85,1302.5,120
2023-12-19 08:40:00+00:00,1302.5,1303.5,1300.9,1301.8,15
2023-12-19 08:45:00+00:00,1301.8,1303.35,1300.0,1300.0,40
2023-12-19 08:50:00+00:00,1300.0,1302.5,1300.0,1302.5,10
2023-12-19 08:55:00+00:00,1302.5,1302.5,1300.8,1300.8,10
2023-12-19 09:00:00+00:00,1300.8,1301.0,1300.8,1301.0,219
2023-12-19 09:05:00+00:00,1301.75,1302.6,1301.05,1301.8,475
2023-12-19 09:10:00+00:00,1301.8,1302.45,1301.8,1302.45,10
2023-12-19 09:15:00+00:00,1302.45,1302.45,1302.45,1302.45,10
2023-12-19 09:20:00+00:00,1302.25,1302.25,1301.15,1301.15,73
2023-12-19 09:25:00+00:00,1301.15,1304.6,1299.0,1299.0,886
2023-12-19 09:30:00+00:00,1299.0,1299.75,1297.05,1299.45,10
2023-12-19 09:35:00+00:00,1299.45,1299.45,1298.4,1298.4,30
2023-12-19 09:40:00+00:00,1298.4,1299.65,1298.4,1299.65,34
2023-12-19 09:45:00+00:00,1299.65,1302.5,1299.65,1302.5,35
2023-12-19 09:50:00+00:00,1302.5,1302.5,1282.0,1291.2,1169
2023-12-19 09:55:00+00:00,1291.2,1309.95,1291.2,1309.95,975
2023-12-20 03:45:00+00:00,1318.25,1318.25,1294.6,1294.6,439
2023-12-20 03:50:00+00:00,1303.9,1303.9,1302.0,1302.0,71
2023-12-20 03:55:00+00:00,1302.0,1302.0,1302.0,1302.0,0
2023-12-20 04:00:00+00:00,1302.0,1302.0,1301.05,1301.65,99
2023-12-20 04:05:00+00:00,1301.65,1302.0,1301.65,1302.0,20
2023-12-20 04:10:00+00:00,1302.0,1302.0,1296.55,1296.55,52
2023-12-20 04:15:00+00:00,1296.55,1296.55,1296.2,1296.2,5
2023-12-20 04:20:00+00:00,1296.2,1296.2,1296.2,1296.2,0
2023-12-20 04:25:00+00:00,1296.2,1296.2,1296.2,1296.2,0
2023-12-20 04:30:00+00:00,1296.2,1299.8,1296.2,1299.8,10
2023-12-20 04:35:00+00:00,1299.8,1302.15,1299.8,1302.15,20
2023-12-20 04:40:00+00:00,1302.15,1302.15,1301.25,1301.25,0
2023-12-20 04:45:00+00:00,1301.25,1311.9,1300.65,1311.9,224
2023-12-20 04:50:00+00:00,1311.9,1325.0,1311.9,1317.15,2501
2023-12-20 04:55:00+00:00,1317.15,1317.15,1313.0,1313.4,23
2023-12-20 05:00:00+00:00,1313.4,1313.55,1313.0,1313.55,63
2023-12-20 05:05:00+00:00,1310.3,1313.35,1310.3,1313.35,61
2023-12-20 05:10:00+00:00,1313.35,1313.35,1308.3,1312.45,18
2023-12-20 05:15:00+00:00,1312.45,1312.45,1312.45,1312.45,0
2023-12-20 05:20:00+00:00,1312.15,1312.15,1309.15,1309.15,6
2023-12-20 05:25:00+00:00,1312.05,1312.05,1312.05,1312.05,2
2023-12-20 05:30:00+00:00,1312.05,1312.05,1312.05,1312.05,0
2023-12-20 05:35:00+00:00,1312.05,1312.05,1309.6,1309.6,29
2023-12-20 05:40:00+00:00,1309.6,1309.6,1309.6,1309.6,0
2023-12-20 05:45:00+00:00,1311.95,1311.95,1311.95,1311.95,3
2023-12-20 05:50:00+00:00,1311.95,1311.95,1311.95,1311.95,0
2023-12-20 05:55:00+00:00,1311.95,1311.95,1311.85,1311.85,4
2023-12-20 06:00:00+00:00,1311.85,1311.85,1311.85,1311.85,0
2023-12-20 06:05:00+00:00,1311.85,1311.85,1306.55,1306.55,13
2023-12-20 06:10:00+00:00,1306.55,1309.75,1306.55,1309.75,1
2023-12-20 06:15:00+00:00,1309.75,1309.75,1309.75,1309.75,0
2023-12-20 06:20:00+00:00,1309.75,1309.75,1309.75,1309.75,0
2023-12-20 06:25:00+00:00,1309.75,1309.75,1309.75,1309.75,0
2023-12-20 06:30:00+00:00,1309.15,1309.15,1309.15,1309.15,8
2023-12-20 06:35:00+00:00,1312.0,1312.0,1312.0,1312.0,100
2023-12-20 06:40:00+00:00,1312.0,1312.0,1303.9,1310.1,21
2023-12-20 06:45:00+00:00,1305.2,1305.2,1305.2,1305.2,50
2023-12-20 06:55:00+00:00,1305.2,1305.2,1305.2,1305.2,0
2023-12-20 07:00:00+00:00,1305.0,1305.0,1305.0,1305.0,0
2023-12-20 07:05:00+00:00,1305.0,1305.45,1305.0,1305.45,5
2023-12-20 07:10:00+00:00,1308.0,1308.0,1305.0,1305.0,21
2023-12-20 07:15:00+00:00,1305.0,1305.0,1305.0,1305.0,0
2023-12-20 07:20:00+00:00,1305.0,1305.0,1305.0,1305.0,0
2023-12-20 07:25:00+00:00,1305.0,1309.65,1305.0,1306.55,40
2023-12-20 07:30:00+00:00,1306.55,1307.55,1306.55,1307.55,2
2023-12-20 07:35:00+00:00,1307.55,1307.55,1307.55,1307.55,1
2023-12-20 07:40:00+00:00,1307.55,1307.55,1307.55,1307.55,0
2023-12-20 07:45:00+00:00,1307.55,1307.55,1300.55,1300.55,6
2023-12-20 07:50:00+00:00,1300.55,1300.55,1300.4,1300.55,171
2023-12-20 07:55:00+00:00,1300.55,1300.55,1298.0,1298.0,40
2023-12-20 08:00:00+00:00,1298.0,1298.0,1286.1,1286.1,337
2023-12-20 08:05:00+00:00,1286.1,1286.1,1270.0,1273.95,284
2023-12-20 08:10:00+00:00,1273.95,1286.0,1273.9,1281.5,133
2023-12-20 08:15:00+00:00,1281.5,1281.5,1273.55,1273.55,202
2023-12-20 08:20:00+00:00,1273.55,1273.55,1263.05,1266.4,278
2023-12-20 08:25:00+00:00,1266.4,1269.65,1265.05,1268.8,71
2023-12-20 08:30:00+00:00,1268.8,1273.0,1268.8,1269.0,39
2023-12-20 08:35:00+00:00,1265.6,1268.6,1265.6,1268.6,129
2023-12-20 08:40:00+00:00,1268.6,1269.8,1267.0,1268.0,21
2023-12-20 08:45:00+00:00,1268.0,1269.3,1268.0,1269.3,3
2023-12-20 08:50:00+00:00,1269.3,1270.6,1269.3,1270.6,21
2023-12-20 08:55:00+00:00,1270.6,1270.6,1269.0,1269.0,46
2023-12-20 09:00:00+00:00,1269.0,1273.0,1269.0,1269.0,124
